Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Walter Benítez,ARG,GK,PSV Eindhoven,30.0,1993.0,32.9,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,6,5
Mitchell van Bergen,NED,FW,Twente,23.0,1999.0,5.8,6,5,3,0,3,3,8,37.5,5,9,1,8,4,10,7,0
Steven Berghuis,NED,"FW,MF",Ajax,31.0,1991.0,16.0,26,15,14,8,4,12,22,54.5,10,14,0,14,5,31,11,0
Steven Bergwijn,NED,"FW,MF",Ajax,25.0,1997.0,21.6,17,12,7,6,4,9,21,42.9,12,12,1,11,4,21,7,0
Gijs Besselink,NED,"FW,MF",Twente,19.0,2004.0,0.6,6,2,2,2,2,3,3,100.0,0,0,0,0,1,7,0,0
Justin Bijlow,NED,GK,Feyenoord,25.0,1998.0,16.2,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,8,4
Daan Bisschops,NED,FW,Fortuna Sittard,18.0,2005.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Adrian Blake,ENG,"FW,MF",Utrecht,18.0,2005.0,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Xander Blomme,BEL,MF,Go Ahead Eag,21.0,2002.0,7.9,29,15,15,7,7,13,22,59.1,9,20,5,15,18,47,20,0
Myron Boadu,NED,"FW,MF",Twente,22.0,2001.0,3.3,1,1,0,1,0,0,2,0.0,2,3,0,3,0,1,2,0
Paweł Bochniewicz,POL,DF,Heerenveen,27.0,1996.0,25.7,27,14,19,7,1,16,29,55.2,13,42,33,9,25,52,116,1
Ruben van Bommel,NED,FW,AZ Alkmaar,18.0,2004.0,17.2,35,21,10,18,7,17,33,51.5,16,11,0,11,10,45,12,0
Taylor Booth,USA,FW,Utrecht,22.0,2001.0,9.6,11,5,4,4,3,4,12,33.3,8,7,2,5,7,18,7,0
Zach Booth,USA,"MF,FW",Volendam,19.0,2004.0,17.3,16,8,5,8,3,2,16,12.5,14,11,1,10,8,24,16,0
Yvandro Borges Sanches,LUX,"FW,MF",NEC Nijmegen,19.0,2004.0,2.4,2,1,0,0,2,0,4,0.0,4,5,0,5,0,2,1,0
Olivier Boscagli,FRA,DF,PSV Eindhoven,25.0,1997.0,31.5,41,26,23,13,5,23,39,59.0,16,32,16,16,66,107,119,3
Othman Boussaid,BEL,FW,Utrecht,23.0,2000.0,21.9,20,12,9,9,2,13,40,32.5,27,19,1,18,19,39,9,1
Amine Boutrah,FRA,FW,Vitesse,22.0,2000.0,20.2,16,11,7,6,3,6,25,24.0,19,24,3,21,15,31,7,1
Can Bozdogan,GER,MF,Utrecht,22.0,2001.0,21.8,55,36,17,32,6,30,58,51.7,28,28,6,22,25,80,34,0
Jayden Braaf,NED,"FW,MF",Fortuna Sittard,20.0,2002.0,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
Mattijs Branderhorst,NED,GK,Utrecht,29.0,1993.0,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1
Oliver Braude,NOR,DF,Heerenveen,19.0,2004.0,23.5,78,52,44,28,6,39,62,62.9,23,47,10,37,18,96,70,1
Myron van Brederode,NED,FW,AZ Alkmaar,20.0,2003.0,14.6,29,19,9,13,7,14,34,41.2,20,18,1,17,9,38,5,0
Joshua Brenet,CUW,DF,Twente,29.0,1994.0,12.0,31,19,15,11,5,19,34,55.9,15,11,0,11,12,43,11,1
Jakob Breum,DEN,FW,Go Ahead Eag,19.0,2003.0,16.1,27,17,13,7,7,16,35,45.7,19,28,3,25,10,37,16,0
Brian Brobbey,NED,FW,Ajax,21.0,2002.0,26.7,7,4,0,2,5,2,4,50.0,2,16,1,15,0,7,25,0
Michael Brouwer,NED,GK,Heracles Almelo,30.0,1993.0,34.0,2,0,2,0,0,2,3,66.7,1,0,0,0,1,3,14,2
Luuk Brouwers,NED,MF,Heerenveen,25.0,1998.0,22.5,26,11,8,12,6,13,34,38.2,21,20,5,15,17,43,15,0
