Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Patrick van Aanholt,NED,DF,PSV Eindhoven,32.0,1990.0,12.4,0,0,0,6,5,2,28,15,17,0,0,0,95,3,5,37.5
Paxten Aaronson,USA,MF,Vitesse,19.0,2003.0,13.9,4,0,0,16,14,0,30,9,25,0,0,0,51,11,23,32.4
Jayden Addai,NED,FW,AZ Alkmaar,17.0,2005.0,3.3,1,0,0,5,8,0,6,0,7,0,0,0,15,2,2,50.0
Bobby Adekanye,NED,FW,Go Ahead Eag,24.0,1999.0,20.0,4,1,0,21,40,4,46,4,11,0,0,0,91,8,20,28.6
Shawn Adewoye,BEL,DF,RKC Waalwijk,23.0,2000.0,26.0,1,1,0,17,4,0,1,32,24,0,1,0,127,71,39,64.5
Nikolas Agrafiotis,NED,FW,Excelsior,23.0,2000.0,8.4,0,0,0,13,6,1,3,1,7,0,0,0,25,39,35,52.7
Chuba Akpom,ENG,"FW,MF",Ajax,27.0,1995.0,11.7,0,0,0,11,29,5,5,3,8,0,0,0,35,42,44,48.8
Hamdi Akujobi,NED,"DF,FW",Almere City,23.0,2000.0,17.3,4,0,0,27,16,2,43,16,29,0,0,1,89,17,20,45.9
Hussein Ali,IRQ,"DF,FW",Heerenveen,21.0,2002.0,7.8,0,0,0,6,2,1,20,12,7,0,1,0,32,8,8,50.0
Jordi Altena,NED,MF,Vitesse,19.0,2003.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Ben Aissa Ben Amar,MAR,DF,Volendam,26.0,1997.0,25.2,7,1,1,20,7,0,4,24,19,0,0,0,128,51,33,60.7
Jaydon Amauri Banel,NED,"FW,MF",Ajax,18.0,2004.0,1.0,0,0,0,2,4,0,2,0,2,0,0,0,4,1,0,100.0
Pelle van Amersfoort,NED,FW,Heerenveen,27.0,1996.0,23.7,3,0,0,32,26,9,10,7,6,0,0,0,39,98,96,50.5
Jamal Amofa,NED,DF,Go Ahead Eag,24.0,1998.0,18.5,7,1,1,16,15,0,1,17,19,0,0,0,82,21,18,53.8
Silas Andersen,DEN,FW,Utrecht,19.0,2004.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
