Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Steven Berghuis,NED,"FW,MF",Ajax,31.0,1991.0,16.0,1012,896,111,24,17,13,126,17,70,34,16,1,756,5,31
Steven Bergwijn,NED,"FW,MF",Ajax,25.0,1997.0,21.6,926,870,51,10,9,4,20,24,11,3,1,0,792,5,20
Gijs Besselink,NED,"FW,MF",Twente,19.0,2004.0,0.6,31,30,1,0,0,0,0,1,0,0,0,0,23,0,1
Justin Bijlow,NED,GK,Feyenoord,25.0,1998.0,16.2,708,631,77,25,1,2,0,0,0,0,0,0,619,0,0
Daan Bisschops,NED,FW,Fortuna Sittard,18.0,2005.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Blake,ENG,"FW,MF",Utrecht,18.0,2005.0,0.3,16,16,0,0,0,1,1,0,0,0,0,0,14,0,1
Xander Blomme,BEL,MF,Go Ahead Eag,21.0,2002.0,7.9,257,250,6,5,0,0,1,0,0,0,0,0,194,1,7
Myron Boadu,NED,"FW,MF",Twente,22.0,2001.0,3.3,62,61,1,0,0,0,0,0,0,0,0,0,45,0,2
Paweł Bochniewicz,POL,DF,Heerenveen,27.0,1996.0,25.7,1573,1519,51,28,1,16,1,1,0,0,0,0,1336,3,9
Ruben van Bommel,NED,FW,AZ Alkmaar,18.0,2004.0,17.2,601,577,18,0,2,9,38,15,3,1,0,0,421,6,23
Taylor Booth,USA,FW,Utrecht,22.0,2001.0,9.6,259,241,15,2,0,1,57,7,5,3,2,0,162,3,21
Zach Booth,USA,"MF,FW",Volendam,19.0,2004.0,17.3,280,272,6,0,1,1,22,1,1,1,0,0,192,2,22
Yvandro Borges Sanches,LUX,"FW,MF",NEC Nijmegen,19.0,2004.0,2.4,102,100,1,0,0,0,4,1,0,0,0,0,86,1,3
Olivier Boscagli,FRA,DF,PSV Eindhoven,25.0,1997.0,31.5,2847,2733,105,66,7,41,18,14,1,0,0,0,2474,9,16
Othman Boussaid,BEL,FW,Utrecht,23.0,2000.0,21.9,962,920,40,5,5,13,94,18,11,8,0,0,701,2,35
Amine Boutrah,FRA,FW,Vitesse,22.0,2000.0,20.2,732,713,17,2,2,5,37,9,3,2,0,0,587,2,19
Can Bozdogan,GER,MF,Utrecht,22.0,2001.0,21.8,1043,952,88,42,3,3,61,10,36,16,15,0,832,3,19
Jayden Braaf,NED,"FW,MF",Fortuna Sittard,20.0,2002.0,0.5,14,14,0,0,0,0,0,0,0,0,0,0,12,0,0
Mattijs Branderhorst,NED,GK,Utrecht,29.0,1993.0,5.0,145,112,33,8,0,0,0,0,0,0,0,0,96,0,0
Oliver Braude,NOR,DF,Heerenveen,19.0,2004.0,23.5,1139,927,208,8,0,1,39,200,0,0,0,0,891,4,35
Myron van Brederode,NED,FW,AZ Alkmaar,20.0,2003.0,14.6,527,505,22,11,4,0,28,4,7,5,0,0,434,0,16
Joshua Brenet,CUW,DF,Twente,29.0,1994.0,12.0,693,574,115,6,7,1,16,109,0,0,0,0,559,4,18
Jakob Breum,DEN,FW,Go Ahead Eag,19.0,2003.0,16.1,584,520,62,14,1,1,72,11,34,13,13,0,427,2,31
Brian Brobbey,NED,FW,Ajax,21.0,2002.0,26.7,530,480,50,6,2,2,7,1,0,0,0,0,414,0,21
Michael Brouwer,NED,GK,Heracles Almelo,30.0,1993.0,34.0,1353,974,371,63,0,6,0,0,0,0,0,0,840,8,0
Luuk Brouwers,NED,MF,Heerenveen,25.0,1998.0,22.5,774,713,58,9,4,1,10,7,0,0,0,0,645,3,14
Damian van Bruggen,NED,DF,Almere City,27.0,1996.0,27.8,860,803,56,54,0,1,0,2,0,0,0,0,623,1,1
Jordy Bruijn,NED,MF,Heracles Almelo,27.0,1996.0,7.6,223,186,36,10,0,2,24,4,16,8,5,0,142,1,4
Jeffrey Bruma,NED,DF,RKC Waalwijk,31.0,1991.0,4.4,242,236,6,6,0,1,0,0,0,0,0,0,198,0,4
Max Bruns,NED,DF,Twente,20.0,2002.0,6.3,328,316,11,10,0,0,0,0,0,0,0,0,289,1,2
