Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Vasilios Barkas,GRE,GK,Utrecht,29.0,1994.0,29.0,1092,962,1085,8,0,0,1092,0,0,,0,,578,3408,2007,0,0,0,1,0,447,0
Riechedly Bazoer,CUW,DF,AZ Alkmaar,26.0,1996.0,27.0,2099,176,796,1162,154,5,2099,5,3,60.0,1,20.0,1405,8838,5831,39,37,1,12,6,1524,3
Sven van Beek,NED,DF,Heerenveen,29.0,1994.0,29.1,2207,343,1161,960,95,21,2207,5,3,60.0,2,40.0,1215,6763,4185,25,23,0,12,3,1412,10
Thomas Beelen,NED,DF,Feyenoord,22.0,2001.0,14.4,1303,86,462,755,94,8,1303,7,6,85.7,1,14.3,814,4447,2831,26,23,0,11,2,895,4
Kristijan Belic,SRB,MF,AZ Alkmaar,22.0,2001.0,10.2,710,29,157,423,138,15,710,26,14,53.8,11,42.3,375,1842,906,13,8,1,15,10,441,17
Mouhamed Belkheir,FRA,"FW,MF",Fortuna Sittard,24.0,1999.0,4.7,119,2,9,42,71,19,118,13,7,53.8,5,38.5,65,519,142,4,2,2,18,6,78,22
Armel Bella Kotchap,GER,DF,PSV Eindhoven,21.0,2001.0,1.8,165,5,28,125,12,2,165,0,0,,0,,131,763,453,3,1,0,2,0,132,0
Mimeirhel Benita,NED,DF,Excelsior,19.0,2003.0,10.5,608,61,237,235,141,8,608,9,4,44.4,3,33.3,271,1402,496,7,6,1,8,7,307,40
Walter Benítez,ARG,GK,PSV Eindhoven,30.0,1993.0,32.9,1080,866,1072,8,0,0,1080,0,0,,0,,654,2912,1522,0,0,0,2,0,631,0
Mitchell van Bergen,NED,FW,Twente,23.0,1999.0,5.8,318,4,30,83,208,37,318,25,9,36.0,15,60.0,198,1930,1050,46,23,16,11,7,221,84
Steven Berghuis,NED,"FW,MF",Ajax,31.0,1991.0,16.0,1196,16,109,476,618,71,1196,46,19,41.3,23,50.0,752,3924,1862,55,41,20,30,7,920,176
Steven Bergwijn,NED,"FW,MF",Ajax,25.0,1997.0,21.6,1174,11,110,473,609,118,1169,82,39,47.6,38,46.3,763,5016,2499,75,79,35,61,33,920,171
Gijs Besselink,NED,"FW,MF",Twente,19.0,2004.0,0.6,46,0,10,22,14,3,46,4,1,25.0,3,75.0,24,114,57,1,1,0,3,1,22,1
Justin Bijlow,NED,GK,Feyenoord,25.0,1998.0,16.2,738,463,716,24,0,0,738,2,2,100.0,0,0.0,494,2403,1327,0,0,0,0,0,483,0
Daan Bisschops,NED,FW,Fortuna Sittard,18.0,2005.0,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Adrian Blake,ENG,"FW,MF",Utrecht,18.0,2005.0,0.3,21,0,0,7,14,4,21,2,2,100.0,0,0.0,15,91,62,3,1,0,1,0,17,6
Xander Blomme,BEL,MF,Go Ahead Eag,21.0,2002.0,7.9,373,31,112,214,48,0,373,6,2,33.3,4,66.7,103,444,160,1,1,0,5,6,145,2
Myron Boadu,NED,"FW,MF",Twente,22.0,2001.0,3.3,120,2,4,26,90,39,120,14,6,42.9,7,50.0,71,264,120,7,2,3,13,4,95,27
Paweł Bochniewicz,POL,DF,Heerenveen,27.0,1996.0,25.7,1852,278,923,848,95,21,1852,6,3,50.0,3,50.0,1035,5902,3773,28,16,0,11,6,1200,10
Ruben van Bommel,NED,FW,AZ Alkmaar,18.0,2004.0,17.2,786,13,98,304,399,78,786,33,18,54.5,13,39.4,486,2959,1483,53,29,22,35,12,576,176
Taylor Booth,USA,FW,Utrecht,22.0,2001.0,9.6,401,9,41,156,210,36,401,42,18,42.9,21,50.0,253,1877,825,37,21,14,26,17,272,81
Zach Booth,USA,"MF,FW",Volendam,19.0,2004.0,17.3,463,15,87,195,197,47,463,34,17,50.0,15,44.1,265,2824,1299,42,39,17,44,22,286,78
