Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Mimeirhel Benita,NED,DF,Excelsior,19.0,2003.0,10.5,12,1.14,8,0,1,2,1,0,3,0.29,1,0,0,1,1,0
Walter Benítez,ARG,GK,PSV Eindhoven,30.0,1993.0,32.9,3,0.09,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Mitchell van Bergen,NED,FW,Twente,23.0,1999.0,5.8,36,6.21,22,6,2,4,1,1,3,0.52,2,0,0,1,0,0
Steven Berghuis,NED,"FW,MF",Ajax,31.0,1991.0,16.0,90,5.62,68,13,6,3,0,0,14,0.87,10,3,0,1,0,0
Steven Bergwijn,NED,"FW,MF",Ajax,25.0,1997.0,21.6,99,4.58,72,4,16,4,3,0,14,0.65,9,0,3,1,1,0
Gijs Besselink,NED,"FW,MF",Twente,19.0,2004.0,0.6,2,3.16,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Justin Bijlow,NED,GK,Feyenoord,25.0,1998.0,16.2,4,0.25,1,3,0,0,0,0,1,0.06,1,0,0,0,0,0
Daan Bisschops,NED,FW,Fortuna Sittard,18.0,2005.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Adrian Blake,ENG,"FW,MF",Utrecht,18.0,2005.0,0.3,4,12.0,3,0,1,0,0,0,2,6.0,1,0,1,0,0,0
Xander Blomme,BEL,MF,Go Ahead Eag,21.0,2002.0,7.9,11,1.39,10,0,0,0,1,0,1,0.13,1,0,0,0,0,0
Myron Boadu,NED,"FW,MF",Twente,22.0,2001.0,3.3,14,4.17,7,0,3,4,0,0,2,0.6,0,0,1,1,0,0
