Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches
1,Patrick van Aanholt,nl NED,DF,PSV Eindhoven,32,1990,12.4,689,808,85.3,11024,3341,346,385,89.9,273,320,85.3,50,65,76.9,1,2.3,3.1,-1.3,23,68,22,7,65,Matches
2,Paxten Aaronson,us USA,MF,Vitesse,19,2003,13.9,339,426,79.6,5532,1298,167,189,88.4,135,155,87.1,26,44,59.1,0,1.7,2.0,-1.7,27,22,6,1,43,Matches
3,Jayden Addai,nl NED,FW,AZ Alkmaar,17,2005,3.3,50,79,63.3,681,203,29,40,72.5,16,18,88.9,2,9,22.2,0,0.1,0.9,-0.1,3,4,1,0,8,Matches
4,Bobby Adekanye,nl NED,FW,Go Ahead Eag,24,1999,20.0,314,453,69.3,5075,1606,169,205,82.4,104,147,70.7,33,61,54.1,5,5.7,4.0,-0.7,31,27,24,12,51,Matches
5,Shawn Adewoye,be BEL,DF,RKC Waalwijk,23,2000,26.0,972,1129,86.1,19469,6137,253,283,89.4,605,649,93.2,101,158,63.9,0,0.4,0.4,-0.4,6,73,3,0,97,Matches
6,Nikolas Agrafiotis,nl NED,FW,Excelsior,23,2000,8.4,115,185,62.2,1604,266,69,100,69.0,34,49,69.4,5,11,45.5,2,1.3,1.2,+0.7,11,8,2,1,12,Matches
7,Chuba Akpom,eng ENG,"FW,MF",Ajax,27,1995,11.7,187,252,74.2,2752,655,107,136,78.7,60,73,82.2,10,12,83.3,3,1.9,2.1,+1.1,17,19,12,0,38,Matches
8,Hamdi Akujobi,nl NED,"DF,FW",Almere City,23,2000,17.3,443,682,65.0,7259,2818,224,260,86.2,161,266,60.5,40,114,35.1,2,1.4,2.0,+0.6,15,36,16,7,50,Matches
9,Hussein Ali,iq IRQ,"DF,FW",Heerenveen,21,2002,7.8,196,261,75.1,3376,814,96,107,89.7,78,103,75.7,19,37,51.4,0,0.7,0.6,-0.7,5,8,4,2,16,Matches
10,Jordi Altena,nl NED,MF,Vitesse,19,2003,0.1,2,4,50.0,20,0,0,0,,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
11,Ben Aissa Ben Amar,ma MAR,DF,Volendam,26,1997,25.2,1105,1265,87.4,23286,7679,296,336,88.1,642,693,92.6,157,210,74.8,0,0.1,0.5,-0.1,2,95,4,0,107,Matches
12,Jaydon Amauri Banel,nl NED,"FW,MF",Ajax,18,2004,1.0,32,40,80.0,330,17,22,24,91.7,4,8,50.0,0,0,,1,0.2,0.0,+0.8,2,0,0,0,1,Matches
13,Pelle van Amersfoort,nl NED,FW,Heerenveen,27,1996,23.7,258,442,58.4,3719,833,143,216,66.2,90,147,61.2,11,17,64.7,1,1.8,1.8,-0.8,18,32,4,0,37,Matches
14,Jamal Amofa,nl NED,DF,Go Ahead Eag,24,1998,18.5,628,775,81.0,12521,5900,217,241,90.0,325,371,87.6,81,147,55.1,0,0.3,0.6,-0.3,5,76,8,0,71,Matches
15,Silas Andersen,dk DEN,FW,Utrecht,19,2004,0.1,9,9,100.0,176,69,3,3,100.0,4,4,100.0,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
16,Augustin Anello,it ITA,"FW,MF",Sparta R'dam,21,2002,2.5,62,100,62.0,1134,357,32,41,78.0,20,36,55.6,9,19,47.4,0,0.1,0.9,-0.1,2,3,3,2,5,Matches
17,Joey Antonioli,nl NED,MF,Volendam,19,2003,1.1,13,20,65.0,189,52,5,6,83.3,6,6,100.0,1,3,33.3,0,0.0,0.0,0.0,1,0,0,0,1,Matches
18,Carlens Arcus,ht HAI,DF,Vitesse,27,1996,24.2,1232,1509,81.6,22140,8089,540,595,90.8,524,625,83.8,141,207,68.1,4,3.2,3.7,+0.8,30,117,37,19,143,Matches
19,D'Leanu Arts,nl NED,DF,NEC Nijmegen,20,2003,0.3,9,14,64.3,202,154,3,4,75.0,4,5,80.0,2,4,50.0,0,0.0,0.0,0.0,0,1,0,0,3,Matches
20,Gastón Ávila,ar ARG,DF,Ajax,21,2001,3.9,252,296,85.1,4937,1660,71,76,93.4,161,178,90.4,19,38,50.0,0,0.6,0.3,-0.6,3,22,1,0,26,Matches
21,Marouan Azarkan,nl NED,FW,Utrecht,21,2001,8.8,237,342,69.3,3771,1316,119,144,82.6,79,111,71.2,24,52,46.2,1,1.2,1.9,-0.2,15,19,23,7,45,Matches
22,Anouar El Azzouzi,nl NED,MF,Zwolle,22,2001,14.6,686,811,84.6,12270,3047,274,318,86.2,354,392,90.3,50,76,65.8,0,0.7,0.8,-0.7,12,50,8,2,67,Matches
23,Julian Baas,nl NED,MF,Excelsior,21,2002,32.0,1069,1387,77.1,20866,5071,402,471,85.4,462,541,85.4,171,293,58.4,2,3.4,3.6,-1.4,44,93,15,5,95,Matches
24,Youri Baas,nl NED,"DF,FW",NEC Nijmegen,20,2003,19.1,577,757,76.2,9508,2961,300,344,87.2,216,288,75.0,47,77,61.0,3,2.2,2.0,+0.8,19,34,15,6,52,Matches
25,Isaac Babadi,nl NED,MF,PSV Eindhoven,18,2005,3.9,188,233,80.7,2920,815,103,115,89.6,62,68,91.2,14,27,51.9,0,0.2,1.0,-0.2,4,20,10,0,30,Matches
26,Mio Backhaus,de GER,GK,Volendam,19,2004,32.0,869,1404,61.9,26934,21008,136,139,97.8,394,401,98.3,339,856,39.6,0,0.0,0.1,0.0,1,26,1,0,2,Matches
27,Thibo Baeten,be BEL,"FW,MF",Go Ahead Eag,21,2002,10.1,140,203,69.0,2065,431,79,106,74.5,43,61,70.5,9,13,69.2,2,2.2,1.2,-0.2,13,14,5,1,21,Matches
28,Saïd Bakari,km COM,DF,Sparta R'dam,28,1994,31.7,1126,1439,78.2,20404,6648,484,563,86.0,507,616,82.3,114,195,58.5,2,2.1,2.6,-0.1,23,80,35,18,93,Matches
29,Johan Bakayoko,be BEL,FW,PSV Eindhoven,20,2003,27.7,1112,1364,81.5,15822,3354,691,754,91.6,315,390,80.8,61,118,51.7,9,8.0,10.6,+1.0,68,34,75,21,97,Matches
30,Navajo Bakboord,nl NED,DF,Heracles Almelo,24,1999,18.7,677,847,79.9,12811,4019,253,287,88.2,344,400,86.0,72,124,58.1,1,1.7,1.4,-0.7,10,60,16,9,69,Matches
31,Zakaria Bakkali,be BEL,"MF,FW",RKC Waalwijk,27,1996,8.0,183,269,68.0,2745,557,97,113,85.8,65,91,71.4,11,35,31.4,0,0.8,1.1,-0.8,10,5,6,3,21,Matches
32,Nordin Bakker,nl NED,GK,Almere City,25,1997,28.8,483,1081,44.7,21008,18920,31,32,96.9,133,136,97.8,318,908,35.0,0,0.0,0.2,0.0,0,60,2,0,0,Matches
33,Jesse Bal,nl NED,MF,Sparta R'dam,16,2006,0.1,1,1,100.0,18,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
34,Théo Barbet,fr FRA,DF,Almere City,22,2001,20.2,549,769,71.4,10574,5030,208,255,81.6,262,325,80.6,68,156,43.6,1,1.3,1.8,-0.3,8,64,4,0,58,Matches
35,Vasilios Barkas,gr GRE,GK,Utrecht,29,1994,29.0,709,1026,69.1,19997,14878,132,135,97.8,330,337,97.9,245,548,44.7,0,0.4,0.1,-0.4,1,16,2,0,1,Matches
36,Riechedly Bazoer,cw CUW,DF,AZ Alkmaar,26,1996,27.0,1721,1945,88.5,33205,10721,607,639,95.0,917,976,94.0,178,293,60.8,1,1.0,1.2,0.0,16,159,11,0,167,Matches
37,Sven van Beek,nl NED,DF,Heerenveen,29,1994,29.1,1608,1867,86.1,30537,12301,586,631,92.9,832,916,90.8,169,279,60.6,1,0.8,0.7,+0.2,7,99,5,2,122,Matches
38,Thomas Beelen,nl NED,DF,Feyenoord,22,2001,14.4,1075,1175,91.5,18983,6181,422,449,94.0,597,628,95.1,49,79,62.0,0,0.4,1.1,-0.4,6,102,15,2,120,Matches
39,Kristijan Belic,rs SRB,MF,AZ Alkmaar,22,2001,10.2,450,532,84.6,7808,1894,194,223,87.0,192,207,92.8,44,64,68.8,1,0.4,0.7,+0.6,6,47,10,0,64,Matches
40,Mouhamed Belkheir,fr FRA,"FW,MF",Fortuna Sittard,24,1999,4.7,42,63,66.7,645,162,24,30,80.0,11,18,61.1,4,7,57.1,0,0.0,0.2,0.0,1,5,2,0,8,Matches
41,Armel Bella Kotchap,de GER,DF,PSV Eindhoven,21,2001,1.8,135,152,88.8,2516,818,44,48,91.7,82,84,97.6,7,16,43.8,0,0.0,0.1,0.0,0,24,0,0,13,Matches
