Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Brenden Aaronson,USA,"MF,FW",Union Berlin,22,2000,14.1,472,439,29,3,5,1,22,12,6,2,3,0,365,4,21
Paxten Aaronson,USA,MF,Eint Frankfurt,19,2003,1.1,50,48,2,1,0,0,0,1,0,0,0,0,41,0,0
Junior Adamu,AUT,"FW,MF",Freiburg,22,2001,1.2,30,29,1,0,0,0,1,0,0,0,0,0,18,0,0
Sargis Adamyan,ARM,"FW,MF",Köln,30,1993,8.9,189,166,22,1,0,2,4,2,0,0,0,0,132,1,6
Karim Adeyemi,GER,"FW,MF",Dortmund,21,2002,10.1,299,280,19,3,0,1,25,11,4,1,2,0,218,0,16
Amine Adli,MAR,"MF,FW",Leverkusen,23,2000,10.0,459,447,11,2,2,1,23,7,0,0,0,0,367,1,10
Felix Agu,NGA,"DF,MF",Werder Bremen,23,1999,17.9,669,538,128,3,0,2,46,124,1,0,0,0,488,3,30
Ludovic Ajorque,FRA,FW,Mainz 05,29,1994,15.1,453,423,28,2,2,4,3,0,0,0,0,0,318,2,6
Kevin Akpoguma,NGA,DF,Hoffenheim,28,1995,12.2,711,680,30,17,0,2,4,13,0,0,0,0,611,1,6
Faride Alidou,GER,"FW,MF",Köln,22,2001,14.2,305,293,12,0,0,2,39,7,1,0,1,0,196,0,17
Skelly Alvero,FRA,MF,Werder Bremen,21,2002,1.4,76,75,1,1,0,1,0,0,0,0,0,0,59,0,2
Nadiem Amiri,GER,MF,Mainz 05,26,1996,14.6,798,612,181,80,2,3,126,9,88,32,44,0,567,5,11
Nadiem Amiri,GER,MF,Leverkusen,26,1996,1.0,100,98,2,1,0,0,1,0,1,0,0,0,92,0,2
Kofi Amoako,GER,MF,Wolfsburg,18,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Andrich,GER,"MF,DF",Leverkusen,28,1994,18.8,1494,1458,34,32,5,4,14,2,0,0,0,0,1346,2,10
Waldemar Anton,GER,DF,Stuttgart,27,1996,32.1,2624,2511,109,51,6,9,14,29,0,0,0,0,2330,4,16
Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,29,1994,13.5,454,343,108,1,1,1,55,106,0,0,0,0,274,3,21
Asaf Arania,ISR,MF,Darmstadt 98,17,2005,0.1,4,3,1,0,0,0,0,1,0,0,0,0,4,0,0
Maximilian Arnold,GER,MF,Wolfsburg,29,1994,27.8,1582,1404,171,87,4,17,110,1,58,39,13,2,1285,7,19
Arthur,BRA,DF,Leverkusen,20,2003,2.0,109,96,13,0,0,0,7,12,1,0,0,0,88,0,3
Takuma Asano,JPN,"FW,MF",Bochum,28,1994,22.1,397,383,12,1,1,0,37,2,1,0,0,0,262,2,26
Jonathan Asp Jensen,DEN,FW,Bayern Munich,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noah Atubolu,GER,GK,Freiburg,21,2002,34.0,1392,1060,329,88,0,4,0,0,0,0,0,0,982,3,1
Matthias Bader,GER,"DF,MF",Darmstadt 98,26,1997,20.0,912,747,160,5,1,10,32,155,0,0,0,0,687,5,31
Ridle Baku,GER,"DF,MF",Wolfsburg,25,1998,22.4,1048,896,150,16,5,4,54,124,10,9,0,0,789,2,20
Samuel Bamba,GER,FW,Dortmund,19,2004,0.5,20,19,1,0,0,0,4,1,0,0,0,0,14,0,1
Aymen Barkok,MAR,"MF,FW",Mainz 05,25,1998,3.6,184,171,13,0,1,0,13,8,4,2,2,0,118,0,4
Leandro Barreiro Martins,LUX,MF,Mainz 05,23,2000,29.0,925,900,20,18,0,3,5,2,0,0,0,0,679,5,24
Daniel Batz,GER,GK,Mainz 05,32,1991,4.0,153,120,33,12,0,0,0,0,0,0,0,0,104,0,0
Maximilian Bauer,GER,DF,Augsburg,23,2000,9.0,491,452,39,17,0,0,1,15,0,0,0,0,423,0,3
Elias Baum,GER,"DF,MF",Eint Frankfurt,17,2005,0.3,17,13,4,0,0,0,0,4,0,0,0,0,13,0,0
Oliver Baumann,GER,GK,Hoffenheim,33,1990,34.0,1412,1072,336,87,0,1,0,0,0,0,0,0,1055,4,0
Christoph Baumgartner,AUT,"MF,FW",RB Leipzig,23,1999,12.9,456,443,8,5,4,1,8,3,0,0,0,0,340,5,15
Ihlas Bebou,TOG,"FW,DF",Hoffenheim,29,1994,18.2,514,462,49,0,2,2,35,40,0,0,0,0,360,3,25
Adrian Beck,GER,"MF,FW",Heidenheim,26,1997,10.8,431,411,18,3,2,5,6,1,0,0,0,0,311,2,17
Sheraldo Becker,SUR,"FW,MF",Union Berlin,28,1995,7.2,280,261,18,0,0,1,57,13,1,0,0,1,183,1,13
Chris Bedia,CIV,"FW,MF",Union Berlin,27,1996,1.6,20,19,1,0,0,0,0,0,0,0,0,0,14,0,1
Donny van de Beek,NED,"MF,FW",Eint Frankfurt,26,1997,4.0,139,134,5,1,1,0,7,0,4,0,4,0,109,0,5
Kevin Behrens,GER,FW,Wolfsburg,32,1991,6.8,175,171,3,0,1,0,4,0,0,0,0,0,112,1,4
Kevin Behrens,GER,FW,Union Berlin,32,1991,14.0,336,323,11,0,2,0,6,3,0,0,0,0,215,2,15
Maximilian Beier,GER,"FW,MF",Hoffenheim,20,2002,26.9,550,498,50,0,4,1,38,8,1,1,0,0,384,2,26
Stefan Bell,GER,DF,Mainz 05,31,1991,7.4,370,364,6,6,0,0,1,0,0,0,0,0,297,0,4
Ramy Bensebaini,ALG,DF,Dortmund,28,1995,11.5,851,746,105,22,1,4,21,83,0,0,0,0,702,0,26
Mergim Berisha,GER,FW,Hoffenheim,25,1998,1.6,33,30,2,0,1,1,2,0,0,0,0,0,22,1,2
Mergim Berisha,GER,FW,Augsburg,25,1998,1.4,14,13,1,0,0,0,1,0,0,0,0,0,10,0,1
Bernardo,BRA,DF,Bochum,28,1995,32.5,1622,1356,259,12,0,4,30,233,0,0,0,0,1167,7,34
Matúš Bero,SVK,"MF,FW",Bochum,27,1995,18.5,535,502,28,3,7,1,16,23,0,0,0,0,355,5,20
Jan-Niklas Beste,GER,"FW,MF",Heidenheim,24,1999,28.9,947,675,269,85,0,13,279,34,145,75,61,0,543,3,49
Pep Biel,ESP,"MF,FW",Augsburg,26,1996,3.2,123,113,10,3,0,1,14,0,6,1,4,0,99,0,2
