Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Brenden Aaronson,USA,"MF,FW",Union Berlin,22,2000,14.1,53,3.76,41,1,8,3,0,0,8,0.57,6,0,2,0,0,0
Paxten Aaronson,USA,MF,Eint Frankfurt,19,2003,1.1,1,0.89,1,0,0,0,0,0,1,0.89,1,0,0,0,0,0
Junior Adamu,AUT,"FW,MF",Freiburg,22,2001,1.2,2,1.73,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Sargis Adamyan,ARM,"FW,MF",Köln,30,1993,8.9,31,3.48,22,0,1,1,6,1,3,0.34,1,0,0,1,1,0
Karim Adeyemi,GER,"FW,MF",Dortmund,21,2002,10.1,25,2.46,13,1,3,2,6,0,2,0.2,2,0,0,0,0,0
Amine Adli,MAR,"MF,FW",Leverkusen,23,2000,10.0,52,5.22,39,0,6,3,4,0,9,0.9,5,0,2,1,1,0
Felix Agu,NGA,"DF,MF",Werder Bremen,23,1999,17.9,24,1.34,16,1,0,0,7,0,3,0.17,0,0,0,0,3,0
Ludovic Ajorque,FRA,FW,Mainz 05,29,1994,15.1,37,2.45,29,1,0,1,5,1,0,0.0,0,0,0,0,0,0
Kevin Akpoguma,NGA,DF,Hoffenheim,28,1995,12.2,16,1.31,13,0,2,0,1,0,3,0.25,3,0,0,0,0,0
Faride Alidou,GER,"FW,MF",Köln,22,2001,14.2,34,2.39,23,0,5,1,5,0,3,0.21,1,0,1,0,1,0
Skelly Alvero,FRA,MF,Werder Bremen,21,2002,1.4,4,2.9,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nadiem Amiri,GER,MF,Mainz 05,26,1996,14.6,91,6.23,34,43,6,1,4,3,11,0.75,6,4,1,0,0,0
Nadiem Amiri,GER,MF,Leverkusen,26,1996,1.0,1,1.02,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kofi Amoako,GER,MF,Wolfsburg,18,2005,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Robert Andrich,GER,"MF,DF",Leverkusen,28,1994,18.8,54,2.88,47,0,0,4,2,1,6,0.32,6,0,0,0,0,0
Waldemar Anton,GER,DF,Stuttgart,27,1996,32.1,39,1.22,33,0,0,4,1,1,9,0.28,8,0,0,1,0,0
Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,29,1994,13.5,48,3.55,31,9,2,3,3,0,4,0.3,4,0,0,0,0,0
Asaf Arania,ISR,MF,Darmstadt 98,17,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Maximilian Arnold,GER,MF,Wolfsburg,29,1994,27.8,82,2.94,47,28,1,3,2,1,3,0.11,1,0,0,2,0,0
Arthur,BRA,DF,Leverkusen,20,2003,2.0,7,3.41,5,1,0,0,0,1,2,0.97,2,0,0,0,0,0
Takuma Asano,JPN,"FW,MF",Bochum,28,1994,22.1,65,2.95,44,1,5,8,6,1,5,0.23,3,0,0,2,0,0
Jonathan Asp Jensen,DEN,FW,Bayern Munich,17,2006,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Noah Atubolu,GER,GK,Freiburg,21,2002,34.0,4,0.12,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0
Matthias Bader,GER,"DF,MF",Darmstadt 98,26,1997,20.0,49,2.45,37,2,3,3,2,2,4,0.2,3,0,0,0,0,1
Ridle Baku,GER,"DF,MF",Wolfsburg,25,1998,22.4,59,2.64,50,0,0,5,4,0,1,0.04,1,0,0,0,0,0
Samuel Bamba,GER,FW,Dortmund,19,2004,0.5,2,3.75,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Aymen Barkok,MAR,"MF,FW",Mainz 05,25,1998,3.6,15,4.21,10,2,1,1,1,0,1,0.28,1,0,0,0,0,0
Leandro Barreiro Martins,LUX,MF,Mainz 05,23,2000,29.0,58,2.0,40,1,1,6,8,2,5,0.17,5,0,0,0,0,0
Daniel Batz,GER,GK,Mainz 05,32,1991,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Maximilian Bauer,GER,DF,Augsburg,23,2000,9.0,4,0.44,2,0,0,2,0,0,0,0.0,0,0,0,0,0,0
Elias Baum,GER,"DF,MF",Eint Frankfurt,17,2005,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Oliver Baumann,GER,GK,Hoffenheim,33,1990,34.0,6,0.18,3,3,0,0,0,0,1,0.03,0,1,0,0,0,0
Christoph Baumgartner,AUT,"MF,FW",RB Leipzig,23,1999,12.9,45,3.5,31,0,3,5,5,1,5,0.39,3,0,0,1,1,0
Ihlas Bebou,TOG,"FW,DF",Hoffenheim,29,1994,18.2,48,2.64,31,0,7,7,2,1,14,0.77,6,0,5,1,1,1
Adrian Beck,GER,"MF,FW",Heidenheim,26,1997,10.8,29,2.68,22,0,3,3,0,1,4,0.37,3,0,0,1,0,0
Sheraldo Becker,SUR,"FW,MF",Union Berlin,28,1995,7.2,28,3.91,22,0,2,2,2,0,4,0.56,2,0,0,1,1,0
Chris Bedia,CIV,"FW,MF",Union Berlin,27,1996,1.6,4,2.48,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Donny van de Beek,NED,"MF,FW",Eint Frankfurt,26,1997,4.0,7,1.76,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Kevin Behrens,GER,FW,Wolfsburg,32,1991,6.8,18,2.63,15,0,1,2,0,0,2,0.29,2,0,0,0,0,0
Kevin Behrens,GER,FW,Union Berlin,32,1991,14.0,35,2.5,25,0,0,2,7,1,2,0.14,1,0,0,0,1,0
Maximilian Beier,GER,"FW,MF",Hoffenheim,20,2002,26.9,76,2.83,47,0,11,7,11,0,10,0.37,2,0,3,3,2,0
Stefan Bell,GER,DF,Mainz 05,31,1991,7.4,5,0.68,5,0,0,0,0,0,1,0.14,1,0,0,0,0,0
Ramy Bensebaini,ALG,DF,Dortmund,28,1995,11.5,26,2.27,16,2,2,2,4,0,3,0.26,3,0,0,0,0,0
Mergim Berisha,GER,FW,Hoffenheim,25,1998,1.6,4,2.48,2,0,1,1,0,0,0,0.0,0,0,0,0,0,0
Mergim Berisha,GER,FW,Augsburg,25,1998,1.4,5,3.69,4,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Bernardo,BRA,DF,Bochum,28,1995,32.5,46,1.42,32,3,1,4,4,2,4,0.12,2,0,0,2,0,0
Matúš Bero,SVK,"MF,FW",Bochum,27,1995,18.5,29,1.57,22,0,0,3,2,2,2,0.11,1,0,0,0,1,0
Jan-Niklas Beste,GER,"FW,MF",Heidenheim,24,1999,28.9,123,4.26,43,60,2,7,10,1,20,0.69,9,8,0,1,2,0
Pep Biel,ESP,"MF,FW",Augsburg,26,1996,3.2,10,3.17,7,2,1,0,0,0,0,0.0,0,0,0,0,0,0
Tom Bischof,GER,"MF,FW",Hoffenheim,18,2005,2.0,7,3.48,4,2,0,1,0,0,2,0.99,2,0,0,0,0,0
Leonardo Bittencourt,GER,MF,Werder Bremen,29,1993,17.5,46,2.63,43,0,0,2,1,0,3,0.17,2,0,0,0,1,0
Hendry Blank,GER,DF,Dortmund,18,2004,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Janis Blaswich,GER,GK,RB Leipzig,32,1991,21.0,3,0.14,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Sacha Boey,FRA,DF,Bayern Munich,22,2000,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Victor Boniface,NGA,FW,Leverkusen,22,2000,17.2,57,3.32,29,0,21,3,3,1,15,0.87,9,0,4,1,1,0
Leonardo Bonucci,ITA,DF,Union Berlin,36,1987,5.1,4,0.78,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Yvandro Borges Sanches,LUX,"MF,FW",Gladbach,19,2004,0.2,1,5.0,0,0,0,0,1,0,1,5.0,0,0,0,0,1,0
Sebastiaan Bornauw,BEL,DF,Wolfsburg,24,1999,15.9,5,0.31,2,0,0,1,1,1,0,0.0,0,0,0,0,0,0
Rafael Borré,COL,FW,Werder Bremen,27,1995,11.0,22,2.0,19,0,0,2,1,0,2,0.18,1,0,0,0,1,0
Julian Brandt,GER,"MF,FW",Dortmund,27,1996,24.7,133,5.38,78,43,7,4,0,1,17,0.69,9,6,1,1,0,0
Fabian Bredlow,GER,GK,Stuttgart,28,1995,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Tim Breithaupt,GER,MF,Augsburg,21,2002,7.0,11,1.58,11,0,0,0,0,0,1,0.14,1,0,0,0,0,0
Maximilian Breunig,GER,FW,Freiburg,22,2000,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Bennit Bröger,GER,FW,Wolfsburg,17,2006,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
John Brooks,USA,DF,Hoffenheim,30,1993,17.1,9,0.53,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Moritz Broschinski,GER,FW,Bochum,22,2000,13.9,34,2.46,25,0,2,6,0,1,7,0.51,5,0,1,1,0,0
Alexander Brunst,GER,GK,Darmstadt 98,28,1995,3.0,2,0.67,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Marius Bülter,GER,"DF,FW",Hoffenheim,30,1993,15.0,49,3.26,39,1,2,4,2,1,6,0.4,6,0,0,0,0,0
Jonathan Burkardt,GER,"FW,MF",Mainz 05,23,2000,17.1,41,2.4,24,0,3,5,9,0,3,0.18,2,0,1,0,0,0
Oliver Burke,SCO,FW,Werder Bremen,26,1997,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marnon Busch,GER,DF,Heidenheim,28,1994,6.6,13,1.96,13,0,0,0,0,0,1,0.15,1,0,0,0,0,0
Aurélio Buta,POR,"DF,MF",Eint Frankfurt,26,1997,19.4,34,1.75,29,1,1,2,1,0,4,0.21,3,0,0,1,0,0
