Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
39,Kevin Behrens,de GER,FW,Wolfsburg,32,1991,6.8,2,1,0,1,1,0,2,0.0,2,9,0,9,3,5,6,0,Matches
40,Kevin Behrens,de GER,FW,Union Berlin,32,1991,14.0,13,10,3,7,3,1,4,25.0,3,7,2,5,6,19,19,0,Matches
41,Maximilian Beier,de GER,"FW,MF",Hoffenheim,20,2002,26.9,20,12,5,11,4,4,19,21.1,15,21,1,20,9,29,12,0,Matches
42,Stefan Bell,de GER,DF,Mainz 05,31,1991,7.4,8,8,7,1,0,4,8,50.0,4,7,5,2,6,14,30,0,Matches
43,Ramy Bensebaini,dz ALG,DF,Dortmund,28,1995,11.5,34,21,21,11,2,24,34,70.6,10,22,7,15,16,50,37,0,Matches
44,Mergim Berisha,de GER,FW,Hoffenheim,25,1998,1.6,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0,Matches
45,Mergim Berisha,de GER,FW,Augsburg,25,1998,1.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,Matches
46,Bernardo,br BRA,DF,Bochum,28,1995,32.5,99,58,56,35,8,45,69,65.2,24,66,30,36,55,154,120,1,Matches
47,Matúš Bero,sk SVK,"MF,FW",Bochum,27,1995,18.5,32,22,13,12,7,13,32,40.6,19,24,3,21,12,44,26,0,Matches
48,Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,24,1999,28.9,77,49,35,24,18,28,55,50.9,27,48,1,47,18,95,31,0,Matches
49,Pep Biel,es ESP,"MF,FW",Augsburg,26,1996,3.2,4,3,0,2,2,1,3,33.3,2,2,1,1,2,6,2,0,Matches
50,Tom Bischof,de GER,"MF,FW",Hoffenheim,18,2005,2.0,8,4,6,1,1,2,9,22.2,7,3,0,3,1,9,2,0,Matches
51,Leonardo Bittencourt,de GER,MF,Werder Bremen,29,1993,17.5,42,18,20,17,5,15,39,38.5,24,18,1,17,13,55,6,0,Matches
52,Hendry Blank,de GER,DF,Dortmund,18,2004,0.5,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,4,0,Matches
53,Janis Blaswich,de GER,GK,RB Leipzig,32,1991,21.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,7,3,Matches
54,Sacha Boey,fr FRA,DF,Bayern Munich,22,2000,1.2,2,0,2,0,0,1,2,50.0,1,1,0,1,1,3,2,0,Matches
55,Victor Boniface,ng NGA,FW,Leverkusen,22,2000,17.2,6,4,0,1,5,1,4,25.0,3,6,1,5,0,6,13,0,Matches
56,Leonardo Bonucci,it ITA,DF,Union Berlin,36,1987,5.1,6,5,2,4,0,4,4,100.0,0,5,3,2,7,13,16,0,Matches
57,Yvandro Borges Sanches,lu LUX,"MF,FW",Gladbach,19,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
58,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24,1999,15.9,26,12,19,7,0,13,19,68.4,6,21,12,9,18,44,81,0,Matches
59,Rafael Borré,co COL,FW,Werder Bremen,27,1995,11.0,10,7,2,4,4,5,16,31.3,11,8,2,6,2,12,10,0,Matches
60,Julian Brandt,de GER,"MF,FW",Dortmund,27,1996,24.7,17,14,8,8,1,10,27,37.0,17,20,3,17,8,25,18,0,Matches
61,Fabian Bredlow,de GER,GK,Stuttgart,28,1995,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0,Matches
62,Tim Breithaupt,de GER,MF,Augsburg,21,2002,7.0,20,11,11,9,0,13,21,61.9,8,15,3,12,8,28,10,0,Matches
63,Maximilian Breunig,de GER,FW,Freiburg,22,2000,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
64,Bennit Bröger,de GER,FW,Wolfsburg,17,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
65,John Brooks,us USA,DF,Hoffenheim,30,1993,17.1,28,15,17,10,1,15,30,50.0,15,29,17,12,27,55,109,1,Matches
66,Moritz Broschinski,de GER,FW,Bochum,22,2000,13.9,11,7,2,5,4,2,8,25.0,6,11,2,9,0,11,6,0,Matches
67,Alexander Brunst,de GER,GK,Darmstadt 98,28,1995,3.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,1,Matches
68,Marius Bülter,de GER,"DF,FW",Hoffenheim,30,1993,15.0,18,11,9,5,4,12,23,52.2,11,17,3,14,10,28,20,0,Matches
69,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,23,2000,17.1,12,8,2,6,4,4,11,36.4,7,16,3,13,3,15,2,0,Matches
70,Oliver Burke,sct SCO,FW,Werder Bremen,26,1997,0.4,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,Matches
71,Marnon Busch,de GER,DF,Heidenheim,28,1994,6.6,11,9,6,3,2,7,12,58.3,5,9,2,7,10,21,12,0,Matches
72,Aurélio Buta,pt POR,"DF,MF",Eint Frankfurt,26,1997,19.4,40,25,19,16,5,21,38,55.3,17,24,5,19,15,55,36,0,Matches
73,Anthony Caci,fr FRA,DF,Mainz 05,26,1997,27.6,56,23,30,25,1,27,44,61.4,17,43,7,36,32,88,45,0,Matches
74,Emre Can,de GER,"MF,DF",Dortmund,29,1994,21.7,63,45,37,23,3,28,48,58.3,20,30,7,23,22,85,41,2,Matches
75,Irvin Cardona,mt MLT,"MF,DF",Augsburg,25,1997,0.6,1,1,0,0,1,1,3,33.3,2,1,0,1,0,1,1,0,Matches
76,Rasmus Carstensen,dk DEN,"DF,FW",Köln,22,2000,18.4,47,22,23,20,4,31,56,55.4,25,38,9,29,20,67,50,2,Matches
77,Fabio Carvalho,pt POR,MF,RB Leipzig,20,2002,1.8,3,1,0,2,1,1,3,33.3,2,8,0,8,0,3,1,0,Matches
78,Koen Casteels,be BEL,GK,Wolfsburg,31,1992,25.0,2,1,2,0,0,2,3,66.7,1,0,0,0,0,2,16,5,Matches
79,Václav Černý,cz CZE,"FW,MF",Wolfsburg,25,1997,10.2,8,3,3,4,1,2,14,14.3,12,13,0,13,8,16,6,0,Matches
80,Julian Chabot,de GER,DF,Köln,25,1998,30.0,59,42,40,17,2,35,59,59.3,24,66,43,23,45,104,145,0,Matches
81,El Chadaille Bitshiabu,fr FRA,"DF,MF",RB Leipzig,18,2005,0.4,1,0,1,0,0,0,0,,0,0,0,0,1,2,4,0,Matches
82,Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,20,2002,21.2,27,17,7,12,8,8,18,44.4,10,37,1,36,5,32,19,0,Matches
83,Timothy Chandler,us USA,"MF,DF",Eint Frankfurt,33,1990,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
84,Fabio Chiarodia,it ITA,DF,Gladbach,18,2005,1.7,8,5,5,1,2,5,7,71.4,2,2,1,1,3,11,9,0,Matches
85,Jacob Christensen,dk DEN,MF,Köln,22,2001,2.4,10,6,7,3,0,4,7,57.1,3,8,2,6,4,14,4,0,Matches
86,Nnamdi Collins,de GER,DF,Eint Frankfurt,19,2004,1.0,0,0,0,0,0,0,0,,0,0,0,0,2,2,4,0,Matches
87,Kingsley Coman,fr FRA,FW,Bayern Munich,27,1996,12.4,12,7,5,3,4,9,17,52.9,8,15,1,14,2,14,5,0,Matches
88,Bambasé Conté,de GER,"MF,FW",Hoffenheim,20,2003,0.5,3,3,2,0,1,1,1,100.0,0,0,0,0,0,3,0,0,Matches
89,Danny da Costa,de GER,DF,Mainz 05,30,1993,9.2,18,9,9,7,2,9,19,47.4,10,17,4,13,16,34,24,0,Matches
90,Nicolas Cozza,fr FRA,DF,Wolfsburg,24,1999,3.1,8,6,4,4,0,2,7,28.6,5,3,0,3,4,12,6,0,Matches
91,Tomáš Čvančara,cz CZE,FW,Gladbach,22,2000,10.0,4,3,0,2,2,1,3,33.3,2,5,1,4,2,6,8,0,Matches
92,Finn Dahmen,de GER,GK,Augsburg,25,1998,31.0,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,17,5,Matches
93,Mahmoud Dahoud,de GER,MF,Stuttgart,27,1996,2.5,5,1,1,4,0,3,7,42.9,4,4,0,4,0,5,1,0,Matches
94,Lukas Daschner,de GER,"MF,FW",Bochum,24,1998,6.0,9,4,2,3,4,4,9,44.4,5,7,0,7,2,11,2,0,Matches
95,David Datro Fofana,ci CIV,"FW,MF",Union Berlin,20,2002,7.6,10,7,3,5,2,4,9,44.4,5,4,0,4,0,10,5,0,Matches
96,Alphonso Davies,ca CAN,DF,Bayern Munich,22,2000,22.9,47,24,29,13,5,30,53,56.6,23,30,4,26,26,73,49,1,Matches
97,Olivier Deman,be BEL,DF,Werder Bremen,23,2000,15.2,28,15,21,4,3,18,38,47.4,20,24,8,16,14,42,49,1,Matches
98,Ermedin Demirović,ba BIH,"FW,MF",Augsburg,25,1998,31.9,24,14,5,16,3,12,40,30.0,28,28,2,26,11,35,26,0,Matches
99,Sepp van den Berg,nl NED,DF,Mainz 05,21,2001,31.5,38,23,20,15,3,15,26,57.7,11,66,36,30,43,81,159,2,Matches
100,Samuele Di Benedetto,de GER,MF,Stuttgart,18,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
101,Justin Diehl,de GER,"FW,MF",Köln,18,2004,1.9,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,1,Matches
102,Eric Dier,eng ENG,DF,Bayern Munich,29,1994,13.0,11,8,5,5,1,5,6,83.3,1,20,12,8,10,21,48,1,Matches
