Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Keven Schlotterbeck,GER,DF,Bochum,26,1997,24.3,9,0,0,36,32,0,12,33,22,2,2,2,144,112,70,61.5
Nico Schlotterbeck,GER,DF,Dortmund,23,1999,31.8,4,0,0,17,32,0,8,45,50,1,0,1,245,58,41,58.6
Romano Schmid,AUT,"MF,FW",Werder Bremen,23,2000,28.9,5,0,0,33,53,4,62,11,20,0,0,0,189,24,50,32.4
Kenneth Schmidt,GER,DF,Freiburg,21,2002,0.8,0,0,0,1,0,0,2,1,2,0,0,0,11,1,1,50.0
Benno Schmitz,GER,DF,Köln,28,1994,12.8,5,0,0,9,10,0,40,7,15,0,0,0,59,14,22,38.9
Fabian Schnellhardt,GER,MF,Darmstadt 98,29,1994,2.6,1,0,0,2,3,0,4,4,1,0,0,0,25,1,3,25.0
Jan Schöppner,GER,MF,Heidenheim,24,1999,22.2,3,0,0,14,12,1,7,26,26,0,0,0,108,39,39,50.0
Marcel Schuhen,GER,GK,Darmstadt 98,30,1993,31.0,2,0,0,0,8,0,0,2,0,0,0,0,53,8,2,80.0
Marvin Schwäbe,GER,GK,Köln,28,1995,34.0,0,0,0,0,1,0,0,0,0,0,0,0,35,5,3,62.5
Alexander Schwolow,GER,GK,Union Berlin,31,1992,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nicolas Seiwald,AUT,MF,RB Leipzig,22,2001,8.0,1,0,0,5,1,0,4,8,18,0,0,1,50,6,8,42.9
Davie Selke,GER,FW,Köln,28,1995,14.1,3,0,0,24,18,10,4,0,2,0,0,0,9,67,55,54.9
Benjamin Šeško,SVN,FW,RB Leipzig,20,2003,17.0,0,0,0,14,10,12,4,3,5,0,0,0,28,38,29,56.7
Kevin Sessa,GER,"MF,FW",Heidenheim,23,2000,11.2,1,0,0,16,20,1,20,4,10,0,0,0,75,14,16,46.7
Aaron Seydel,GER,FW,Darmstadt 98,27,1996,6.9,1,0,0,9,7,2,1,1,2,0,0,0,14,45,31,59.2
Tim Siersleben,GER,DF,Heidenheim,23,2000,10.1,1,0,0,16,5,0,1,21,11,0,2,0,59,13,11,54.2
Kiliann Sildillia,FRA,DF,Freiburg,21,2002,20.1,2,1,0,29,10,4,37,22,19,0,0,0,107,32,37,46.4
Mohamed Simakan,FRA,DF,RB Leipzig,23,2000,23.8,8,0,0,35,25,3,18,29,29,1,1,0,113,60,36,62.5
Xavi Simons,NED,MF,RB Leipzig,20,2003,29.5,11,1,1,32,70,1,76,16,17,2,0,0,167,19,17,52.8
Tim Skarke,GER,"FW,DF",Darmstadt 98,26,1996,26.7,7,0,0,31,40,17,94,6,16,0,0,0,125,11,50,18.0
Ellyes Skhiri,TUN,MF,Eint Frankfurt,28,1995,24.1,1,0,0,14,18,3,4,39,24,0,0,0,160,31,25,55.4
Robert Skov,DEN,"DF,FW",Hoffenheim,27,1996,14.0,2,0,0,15,20,1,70,10,16,0,0,0,71,13,9,59.1
Hrvoje Smolčić,CRO,DF,Eint Frankfurt,22,2000,3.9,0,0,0,3,2,0,0,6,3,0,0,0,20,14,12,53.8
Danilo Soares,BRA,DF,Bochum,31,1991,3.9,0,0,0,5,5,0,3,7,6,0,0,0,35,4,7,36.4
Borna Sosa,CRO,"FW,DF",Stuttgart,25,1998,0.5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,
Anton Stach,GER,MF,Hoffenheim,24,1998,25.8,4,0,0,30,41,0,54,72,42,1,0,0,209,52,27,65.8
Anton Stach,GER,MF,Mainz 05,24,1998,1.9,0,0,0,2,4,0,2,2,0,0,0,0,13,12,9,57.1
Jens Stage,DEN,MF,Werder Bremen,26,1996,25.9,5,1,0,49,39,2,10,23,22,1,0,0,165,63,34,64.9
Josip Stanišić,CRO,DF,Leverkusen,23,2000,14.0,3,0,0,5,7,1,16,9,20,0,0,0,87,12,14,46.2
Niklas Stark,GER,DF,Werder Bremen,28,1995,12.1,4,0,0,20,16,1,0,19,15,0,1,0,54,29,23,55.8
Pascal Stenzel,GER,DF,Stuttgart,27,1996,11.8,3,1,1,16,11,0,26,15,8,0,0,0,49,9,17,34.6
Leonidas Stergiou,SUI,DF,Stuttgart,21,2002,6.6,0,0,0,5,1,0,12,5,8,0,0,0,27,4,9,30.8
Angelo Stiller,GER,MF,Hoffenheim,22,2001,0.9,0,0,0,0,1,0,3,0,0,0,0,0,1,2,0,100.0
Angelo Stiller,GER,MF,Stuttgart,22,2001,29.9,5,0,0,36,33,0,81,28,33,0,0,0,196,30,30,50.0
Kevin Stöger,AUT,MF,Bochum,29,1993,29.6,8,0,0,36,63,1,258,19,30,0,0,0,210,8,33,19.5
Filip Stojilković,SUI,"FW,MF",Darmstadt 98,23,2000,1.7,1,0,0,3,1,2,3,0,1,0,0,0,4,0,2,0.0
Niklas Süle,GER,DF,Dortmund,27,1995,16.8,0,0,0,9,1,0,2,25,10,0,0,0,83,21,14,60.0
Mattias Svanberg,SWE,MF,Wolfsburg,24,1999,19.1,8,0,0,42,32,2,55,21,17,1,0,0,98,20,11,64.5
Attila Szalai,HUN,DF,Hoffenheim,25,1998,3.2,1,0,0,7,0,0,5,1,1,0,0,1,11,5,5,50.0
Attila Szalai,HUN,DF,Freiburg,25,1998,1.1,0,0,0,0,0,1,0,1,1,0,0,0,4,2,2,50.0
