Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches
41,Maximilian Beier,de GER,"FW,MF",Hoffenheim,20,2002,26.9,550,498,50,0,4,1,38,8,1,1,0,0,384,2,26,Matches
42,Stefan Bell,de GER,DF,Mainz 05,31,1991,7.4,370,364,6,6,0,0,1,0,0,0,0,0,297,0,4,Matches
43,Ramy Bensebaini,dz ALG,DF,Dortmund,28,1995,11.5,851,746,105,22,1,4,21,83,0,0,0,0,702,0,26,Matches
44,Mergim Berisha,de GER,FW,Hoffenheim,25,1998,1.6,33,30,2,0,1,1,2,0,0,0,0,0,22,1,2,Matches
45,Mergim Berisha,de GER,FW,Augsburg,25,1998,1.4,14,13,1,0,0,0,1,0,0,0,0,0,10,0,1,Matches
46,Bernardo,br BRA,DF,Bochum,28,1995,32.5,1622,1356,259,12,0,4,30,233,0,0,0,0,1167,7,34,Matches
47,Matúš Bero,sk SVK,"MF,FW",Bochum,27,1995,18.5,535,502,28,3,7,1,16,23,0,0,0,0,355,5,20,Matches
48,Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,24,1999,28.9,947,675,269,85,0,13,279,34,145,75,61,0,543,3,49,Matches
49,Pep Biel,es ESP,"MF,FW",Augsburg,26,1996,3.2,123,113,10,3,0,1,14,0,6,1,4,0,99,0,2,Matches
50,Tom Bischof,de GER,"MF,FW",Hoffenheim,18,2005,2.0,112,106,6,1,0,1,11,0,5,1,3,0,90,0,4,Matches
51,Leonardo Bittencourt,de GER,MF,Werder Bremen,29,1993,17.5,829,802,22,10,7,3,40,7,5,2,2,0,665,5,16,Matches
52,Hendry Blank,de GER,DF,Dortmund,18,2004,0.5,59,56,3,1,0,1,0,0,0,0,0,0,58,0,0,Matches
53,Janis Blaswich,de GER,GK,RB Leipzig,32,1991,21.0,957,786,170,36,0,0,0,0,0,0,0,0,836,1,1,Matches
54,Sacha Boey,fr FRA,DF,Bayern Munich,22,2000,1.2,69,52,17,2,0,0,0,15,0,0,0,0,58,0,2,Matches
55,Victor Boniface,ng NGA,FW,Leverkusen,22,2000,17.2,385,367,15,1,4,3,3,5,0,0,0,0,278,3,17,Matches
56,Leonardo Bonucci,it ITA,DF,Union Berlin,36,1987,5.1,248,236,11,7,0,1,6,4,0,0,0,0,190,1,0,Matches
57,Yvandro Borges Sanches,lu LUX,"MF,FW",Gladbach,19,2004,0.2,11,11,0,0,0,0,3,0,0,0,0,0,7,0,2,Matches
58,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24,1999,15.9,842,800,42,26,0,0,1,0,0,0,0,0,737,0,3,Matches
59,Rafael Borré,co COL,FW,Werder Bremen,27,1995,11.0,301,284,15,0,2,4,12,6,0,0,0,0,223,2,9,Matches
60,Julian Brandt,de GER,"MF,FW",Dortmund,27,1996,24.7,1319,1143,172,38,6,12,165,15,116,53,53,2,1054,4,24,Matches
61,Fabian Bredlow,de GER,GK,Stuttgart,28,1995,4.0,179,158,21,10,0,0,0,0,0,0,0,0,136,0,0,Matches
62,Tim Breithaupt,de GER,MF,Augsburg,21,2002,7.0,281,274,6,3,0,0,2,0,0,0,0,0,232,1,6,Matches
63,Maximilian Breunig,de GER,FW,Freiburg,22,2000,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
64,Bennit Bröger,de GER,FW,Wolfsburg,17,2006,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
65,John Brooks,us USA,DF,Hoffenheim,30,1993,17.1,892,828,64,42,0,5,3,1,0,0,0,0,740,0,11,Matches
66,Moritz Broschinski,de GER,FW,Bochum,22,2000,13.9,223,215,5,0,0,0,12,0,0,0,0,0,135,3,10,Matches
67,Alexander Brunst,de GER,GK,Darmstadt 98,28,1995,3.0,150,116,34,13,0,1,0,0,0,0,0,0,103,0,0,Matches
68,Marius Bülter,de GER,"DF,FW",Hoffenheim,30,1993,15.0,695,589,106,5,2,4,73,98,3,1,0,0,500,0,30,Matches
69,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,23,2000,17.1,394,374,18,1,2,3,33,2,0,0,0,0,266,2,16,Matches
70,Oliver Burke,sct SCO,FW,Werder Bremen,26,1997,0.4,12,8,4,0,0,0,2,4,0,0,0,0,6,0,0,Matches
71,Marnon Busch,de GER,DF,Heidenheim,28,1994,6.6,411,327,83,6,1,3,26,77,0,0,0,0,282,1,13,Matches
72,Aurélio Buta,pt POR,"DF,MF",Eint Frankfurt,26,1997,19.4,1112,930,181,10,1,3,46,171,0,0,0,0,875,1,23,Matches
73,Anthony Caci,fr FRA,DF,Mainz 05,26,1997,27.6,1523,1296,224,36,1,22,73,176,11,6,4,0,1118,3,49,Matches
74,Emre Can,de GER,"MF,DF",Dortmund,29,1994,21.7,1471,1431,39,32,4,7,2,5,0,0,0,0,1286,1,15,Matches
75,Irvin Cardona,mt MLT,"MF,DF",Augsburg,25,1997,0.6,15,10,5,0,0,0,6,2,3,0,3,0,8,0,0,Matches
76,Rasmus Carstensen,dk DEN,"DF,FW",Köln,22,2000,18.4,827,666,160,9,1,0,58,151,0,0,0,0,594,1,47,Matches
77,Fabio Carvalho,pt POR,MF,RB Leipzig,20,2002,1.8,92,90,2,0,1,0,6,1,1,0,0,0,72,0,4,Matches
78,Koen Casteels,be BEL,GK,Wolfsburg,31,1992,25.0,949,726,221,60,0,2,0,0,0,0,0,0,688,2,0,Matches
79,Václav Černý,cz CZE,"FW,MF",Wolfsburg,25,1997,10.2,364,343,20,5,3,3,33,7,8,6,1,0,255,1,15,Matches
80,Julian Chabot,de GER,DF,Köln,25,1998,30.0,1616,1405,208,108,0,12,4,2,0,0,0,0,1361,3,5,Matches
81,El Chadaille Bitshiabu,fr FRA,"DF,MF",RB Leipzig,18,2005,0.4,59,53,6,0,0,0,2,6,0,0,0,0,48,0,1,Matches
82,Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,20,2002,21.2,922,744,172,41,3,3,176,28,94,41,50,0,592,6,32,Matches
83,Timothy Chandler,us USA,"MF,DF",Eint Frankfurt,33,1990,0.2,26,22,3,0,0,0,4,3,0,0,0,0,18,1,1,Matches
84,Fabio Chiarodia,it ITA,DF,Gladbach,18,2005,1.7,87,81,6,2,0,0,1,4,0,0,0,0,78,0,0,Matches
85,Jacob Christensen,dk DEN,MF,Köln,22,2001,2.4,85,85,0,0,0,1,5,0,0,0,0,0,66,0,1,Matches
86,Nnamdi Collins,de GER,DF,Eint Frankfurt,19,2004,1.0,75,64,10,2,0,0,2,8,0,0,0,0,61,1,0,Matches
87,Kingsley Coman,fr FRA,FW,Bayern Munich,27,1996,12.4,647,630,13,1,1,5,60,6,3,0,0,0,528,4,19,Matches
