Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Brenden Aaronson,USA,"MF,FW",Union Berlin,22,2000,14.1,32,18,13,13,6,16,32,50.0,16,26,1,25,2,34,4,0
Paxten Aaronson,USA,MF,Eint Frankfurt,19,2003,1.1,2,2,1,1,0,1,1,100.0,0,2,0,2,0,2,0,0
Junior Adamu,AUT,"FW,MF",Freiburg,22,2001,1.2,5,1,1,2,2,1,2,50.0,1,1,0,1,0,5,2,0
Sargis Adamyan,ARM,"FW,MF",Köln,30,1993,8.9,14,9,2,9,3,6,11,54.5,5,16,1,15,5,19,7,0
Karim Adeyemi,GER,"FW,MF",Dortmund,21,2002,10.1,16,14,9,4,3,8,20,40.0,12,11,0,11,3,19,5,0
Amine Adli,MAR,"MF,FW",Leverkusen,23,2000,10.0,16,7,2,10,4,7,17,41.2,10,10,2,8,6,22,5,0
Felix Agu,NGA,"DF,MF",Werder Bremen,23,1999,17.9,45,29,28,13,4,29,41,70.7,12,27,7,20,13,58,41,0
Ludovic Ajorque,FRA,FW,Mainz 05,29,1994,15.1,3,2,1,2,0,2,11,18.2,9,6,2,4,4,7,11,0
Kevin Akpoguma,NGA,DF,Hoffenheim,28,1995,12.2,35,18,22,12,1,26,35,74.3,9,28,8,20,18,53,32,0
Faride Alidou,GER,"FW,MF",Köln,22,2001,14.2,10,4,3,6,1,4,18,22.2,14,23,2,21,8,18,15,1
Skelly Alvero,FRA,MF,Werder Bremen,21,2002,1.4,6,4,1,5,0,3,3,100.0,0,3,1,2,1,7,1,0
Nadiem Amiri,GER,MF,Mainz 05,26,1996,14.6,22,14,8,10,4,13,19,68.4,6,16,2,14,14,36,18,0
Nadiem Amiri,GER,MF,Leverkusen,26,1996,1.0,4,2,0,3,1,0,3,0.0,3,0,0,0,0,4,1,0
Kofi Amoako,GER,MF,Wolfsburg,18,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Robert Andrich,GER,"MF,DF",Leverkusen,28,1994,18.8,30,18,8,14,8,13,24,54.2,11,15,4,11,20,50,17,0
Waldemar Anton,GER,DF,Stuttgart,27,1996,32.1,39,25,21,16,2,23,42,54.8,19,33,20,13,40,79,150,1
Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,29,1994,13.5,21,12,10,6,5,12,22,54.5,10,13,2,11,2,23,11,1
Asaf Arania,ISR,MF,Darmstadt 98,17,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Maximilian Arnold,GER,MF,Wolfsburg,29,1994,27.8,51,31,15,27,9,28,57,49.1,29,23,4,19,24,75,60,0
Arthur,BRA,DF,Leverkusen,20,2003,2.0,4,3,2,0,2,2,2,100.0,0,1,1,0,0,4,7,0
