Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Patrick van Aanholt,NED,DF,PSV Eindhoven,31,1990,13.1,814,29,228,351,240,33,814,10,4,40.0,5,50.0,398,1669,849,26,18,6,12,5,481,69
Dirk Abels,NED,DF,Sparta R'dam,25,1997,14.7,847,111,377,353,121,7,847,10,4,40.0,4,40.0,440,2090,1209,18,11,2,6,1,473,30
Paulos Abraham,SWE,"FW,MF",Groningen,20,2002,5.4,211,8,45,90,79,16,211,21,8,38.1,12,57.1,130,1071,529,19,8,9,13,16,140,39
Bobby Adekanye,NED,"FW,MF",Go Ahead Eag,23,1999,23.8,958,9,118,423,441,89,958,114,52,45.6,46,40.4,645,3914,1864,64,39,22,72,45,664,167
Shawn Adewoye,BEL,DF,RKC Waalwijk,22,2000,32.6,1756,309,1030,660,80,24,1756,23,15,65.2,6,26.1,936,5295,2774,25,13,2,22,3,993,7
Luuk Admiraal,NED,FW,Excelsior,20,2002,0.0,4,0,0,3,1,0,4,0,0,,0,,3,17,7,0,0,0,1,0,4,0
Nikolas Agrafiotis,NED,"FW,MF",Excelsior,22,2000,6.3,258,9,18,125,116,31,257,17,7,41.2,6,35.3,111,468,104,3,4,0,20,6,194,23
Joost van Aken,NED,DF,Heerenveen,28,1994,11.0,700,93,348,328,25,11,700,2,2,100.0,0,0.0,363,1851,1180,11,5,0,4,3,438,2
Norbert Alblas,NED,GK,Excelsior,27,1994,0.3,12,10,12,0,0,0,12,0,0,,0,,2,20,16,0,0,0,0,0,5,0
Pedro Alemañ,ESP,MF,Sparta R'dam,20,2002,0.5,49,0,8,24,17,4,49,3,2,66.7,1,33.3,35,167,51,2,0,1,5,3,33,3
Hussein Ali,IRQ,"DF,MF",Heerenveen,20,2002,0.3,27,3,13,7,7,0,27,0,0,,0,,12,118,48,2,3,0,1,1,9,1
Edson Álvarez,MEX,"MF,DF",Ajax,24,1997,28.7,2811,188,864,1582,394,86,2811,39,18,46.2,18,46.2,1792,11565,6327,73,60,0,26,21,1943,22
Ben Aissa Ben Amar,MAR,"DF,MF",Volendam,25,1997,22.8,1199,148,566,554,85,10,1199,12,8,66.7,4,33.3,603,2749,1102,6,5,1,14,5,663,13
Pelle van Amersfoort,NED,"MF,FW",Heerenveen,26,1996,13.2,508,20,50,249,214,60,508,20,5,25.0,11,55.0,264,1093,449,13,11,2,28,14,367,75
Jamal Amofa,NED,DF,Go Ahead Eag,23,1998,26.8,1542,234,792,669,97,8,1542,45,30,66.7,13,28.9,913,5613,3366,25,16,0,23,10,904,9
Fredrik André Bjørkan,NOR,DF,Feyenoord,23,1998,0.8,62,1,11,24,27,2,62,1,0,0.0,1,100.0,18,130,59,1,1,0,1,0,37,9
Vurnon Anita,CUW,MF,RKC Waalwijk,33,1989,30.8,1519,51,366,941,225,11,1519,19,12,63.2,7,36.8,786,2971,1325,15,13,0,24,18,1019,38
Oliver Antman,FIN,"FW,MF",Groningen,20,2001,7.4,300,8,53,110,144,22,300,26,11,42.3,10,38.5,191,1220,579,18,13,8,17,4,208,55
Joey Antonioli,NED,MF,Volendam,18,2003,0.4,16,0,1,9,6,2,16,0,0,,0,,8,80,44,1,0,1,2,2,11,5
Jeremy Antonisse,CUW,"FW,MF",Emmen,20,2002,8.9,387,15,83,157,158,21,387,41,21,51.2,15,36.6,243,1759,860,28,27,5,30,13,252,51
Francesco Antonucci,BEL,"MF,FW",Volendam,23,1999,10.0,413,1,52,200,173,6,413,33,20,60.6,10,30.3,280,1662,820,17,16,2,12,8,316,39
Antony,BRA,FW,Ajax,22,2000,2.0,133,0,5,30,100,12,133,12,8,66.7,4,33.3,94,632,409,14,8,4,4,1,104,33
Miguel Araujo,PER,DF,Emmen,27,1994,29.9,2012,299,1079,878,69,26,2012,13,5,38.5,2,15.4,1113,5920,3849,24,16,0,12,9,1273,7
Carlens Arcus,HAI,DF,Vitesse,26,1996,28.0,1907,99,531,870,525,37,1907,44,15,34.1,23,52.3,861,4400,2085,55,37,9,32,15,1010,148
Jasin Assehnoun,FIN,FW,Emmen,23,1998,8.1,454,14,82,168,212,20,454,30,12,40.0,17,56.7,263,1635,752,29,22,9,17,16,299,65
Adil Auassar,NED,DF,Sparta R'dam,35,1986,21.3,1428,275,815,601,21,12,1428,2,1,50.0,1,50.0,871,4664,2616,9,6,0,8,3,932,1
Sebbe Augustijns,BEL,"MF,FW",RKC Waalwijk,22,1999,0.8,42,4,14,22,6,1,42,0,0,,0,,14,93,16,1,2,0,2,0,21,1
Fredrik Aursnes,NOR,MF,Feyenoord,26,1995,2.0,192,3,30,118,46,3,192,2,2,100.0,0,0.0,100,600,300,4,7,0,1,0,145,5
