Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Patrick van Aanholt,NED,DF,PSV Eindhoven,31,1990,13.1,1,11,4,36.4,0.84,0.31,0.09,0.25,21.9,0,0,0,0.4,0.4,0.04,0.6,0.6
Dirk Abels,NED,DF,Sparta R'dam,25,1997,14.7,1,10,2,20.0,0.68,0.14,0.1,0.5,27.2,0,0,0,0.3,0.3,0.03,0.7,0.7
Paulos Abraham,SWE,"FW,MF",Groningen,20,2002,5.4,0,11,5,45.5,2.02,0.92,0.0,0.0,17.3,0,0,0,1.1,1.1,0.1,-1.1,-1.1
Bobby Adekanye,NED,"FW,MF",Go Ahead Eag,23,1999,23.8,6,46,15,32.6,1.93,0.63,0.13,0.4,18.4,0,0,0,4.0,4.0,0.09,2.0,2.0
Shawn Adewoye,BEL,DF,RKC Waalwijk,22,2000,32.6,1,11,2,18.2,0.34,0.06,0.09,0.5,9.2,0,0,0,1.7,1.7,0.16,-0.7,-0.7
Luuk Admiraal,NED,FW,Excelsior,20,2002,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Nikolas Agrafiotis,NED,"FW,MF",Excelsior,22,2000,6.3,2,15,5,33.3,2.39,0.8,0.13,0.4,11.4,0,0,1,2.8,2.1,0.15,-0.8,-0.1
Joost van Aken,NED,DF,Heerenveen,28,1994,11.0,0,7,1,14.3,0.64,0.09,0.0,0.0,14.6,1,0,0,0.6,0.6,0.09,-0.6,-0.6
Norbert Alblas,NED,GK,Excelsior,27,1994,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Pedro Alemañ,ESP,MF,Sparta R'dam,20,2002,0.5,0,2,1,50.0,3.75,1.87,0.0,0.0,16.6,0,0,0,0.2,0.2,0.12,-0.2,-0.2
Hussein Ali,IRQ,"DF,MF",Heerenveen,20,2002,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Edson Álvarez,MEX,"MF,DF",Ajax,24,1997,28.7,3,63,18,28.6,2.19,0.63,0.05,0.17,15.1,0,0,0,3.4,3.4,0.05,-0.4,-0.4
Ben Aissa Ben Amar,MAR,"DF,MF",Volendam,25,1997,22.8,2,9,3,33.3,0.39,0.13,0.22,0.67,16.1,0,0,0,0.9,0.9,0.1,1.1,1.1
Pelle van Amersfoort,NED,"MF,FW",Heerenveen,26,1996,13.2,3,35,12,34.3,2.64,0.91,0.09,0.25,13.1,0,0,0,3.8,3.8,0.11,-0.8,-0.8
Jamal Amofa,NED,DF,Go Ahead Eag,23,1998,26.8,0,4,0,0.0,0.15,0.0,0.0,,12.1,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Fredrik André Bjørkan,NOR,DF,Feyenoord,23,1998,0.8,0,1,0,0.0,1.32,0.0,0.0,,21.3,0,0,0,0.0,0.0,0.04,0.0,0.0
Vurnon Anita,CUW,MF,RKC Waalwijk,33,1989,30.8,2,9,2,22.2,0.29,0.07,0.22,1.0,20.1,0,0,0,0.7,0.7,0.07,1.3,1.3
Oliver Antman,FIN,"FW,MF",Groningen,20,2001,7.4,2,12,4,33.3,1.61,0.54,0.17,0.5,18.5,0,0,0,1.3,1.3,0.11,0.7,0.7
Joey Antonioli,NED,MF,Volendam,18,2003,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jeremy Antonisse,CUW,"FW,MF",Emmen,20,2002,8.9,1,23,7,30.4,2.58,0.79,0.04,0.14,19.7,0,0,0,2.5,2.5,0.11,-1.5,-1.5
Francesco Antonucci,BEL,"MF,FW",Volendam,23,1999,10.0,2,28,14,50.0,2.79,1.4,0.07,0.14,24.0,0,0,0,1.1,1.1,0.04,0.9,0.9
Antony,BRA,FW,Ajax,22,2000,2.0,1,9,2,22.2,4.5,1.0,0.11,0.5,20.0,0,0,0,0.4,0.4,0.04,0.6,0.6
Miguel Araujo,PER,DF,Emmen,27,1994,29.9,1,13,3,23.1,0.43,0.1,0.08,0.33,12.5,0,0,0,1.8,1.8,0.14,-0.8,-0.8
Carlens Arcus,HAI,DF,Vitesse,26,1996,28.0,1,21,5,23.8,0.75,0.18,0.05,0.2,22.7,0,0,0,1.0,1.0,0.05,0.0,0.0
Jasin Assehnoun,FIN,FW,Emmen,23,1998,8.1,1,17,6,35.3,2.09,0.74,0.06,0.17,19.6,0,0,0,1.5,1.5,0.09,-0.5,-0.5
Adil Auassar,NED,DF,Sparta R'dam,35,1986,21.3,0,4,2,50.0,0.19,0.09,0.0,0.0,13.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Sebbe Augustijns,BEL,"MF,FW",RKC Waalwijk,22,1999,0.8,0,1,0,0.0,1.3,0.0,0.0,,7.3,0,0,0,0.1,0.1,0.1,-0.1,-0.1
Fredrik Aursnes,NOR,MF,Feyenoord,26,1995,2.0,0,2,1,50.0,1.0,0.5,0.0,0.0,19.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Aventis Aventisian,ARM,"MF,DF",Go Ahead Eag,19,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Maxime Awoudja,GER,DF,Excelsior,24,1998,2.8,0,2,1,50.0,0.72,0.36,0.0,0.0,11.1,0,0,0,0.2,0.2,0.11,-0.2,-0.2
Yassin Ayoub,NED,MF,Excelsior,28,1994,8.0,0,8,1,12.5,1.0,0.12,0.0,0.0,23.0,1,0,0,0.3,0.3,0.04,-0.3,-0.3
Marouan Azarkan,NED,"FW,MF",Excelsior,20,2001,20.4,3,28,9,32.1,1.38,0.44,0.11,0.33,14.1,1,0,0,3.5,3.5,0.12,-0.5,-0.5
