Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Cole Bassett,USA,"MF,FW",Fortuna Sittard,21,2001,2.2,0,0,0,0,1,0,7,1,2,0,0,0,12,6,2,75.0
Cole Bassett,USA,FW,Feyenoord,21,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Calvin Bassey,NGA,DF,Ajax,22,1999,20.1,0,0,0,14,25,0,33,23,25,0,0,0,156,36,22,62.1
Riechedly Bazoer,CUW,"MF,DF",AZ Alkmaar,25,1996,3.7,1,0,0,6,11,2,3,1,8,1,0,0,22,11,8,57.9
Mads Bech Sørensen,DEN,DF,Groningen,23,1999,10.1,2,0,0,7,2,1,2,6,7,0,1,0,54,10,12,45.5
Sven van Beek,NED,DF,Heerenveen,28,1994,15.0,2,0,0,8,8,1,14,21,13,0,0,0,88,26,23,53.1
Mike van Beijnen,NED,DF,Fortuna Sittard,23,1999,0.1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
Jan Bekkema,NED,GK,Heerenveen,26,1996,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Iliass Bel Hassani,MAR,"MF,FW",RKC Waalwijk,29,1992,14.9,3,2,0,9,14,2,82,5,7,0,0,0,59,7,15,31.8
Mimeirhel Benita,NED,DF,Feyenoord,18,2003,0.6,0,0,0,1,0,0,2,1,1,0,0,0,7,1,1,50.0
Walter Benítez,ARG,GK,PSV Eindhoven,29,1993,30.0,2,0,0,0,1,0,0,0,0,0,0,0,36,5,0,100.0
Martijn Berden,NED,"FW,MF",Go Ahead Eag,25,1997,0.9,0,0,0,2,0,0,0,1,1,0,0,0,8,1,2,33.3
Thom van Bergen,NED,"FW,DF",Groningen,18,2004,4.1,1,0,0,10,3,0,4,2,8,0,0,0,22,6,15,28.6
Steven Berghuis,NED,"MF,FW",Ajax,30,1991,23.3,5,0,0,13,11,0,158,6,25,0,0,0,126,14,5,73.7
Leon Bergsma,NED,DF,Cambuur,25,1997,20.4,4,0,0,14,5,0,2,20,23,0,1,1,92,34,37,47.9
Steven Bergwijn,NED,"FW,MF",Ajax,24,1997,26.0,0,0,0,14,36,9,45,5,21,1,0,0,111,6,11,35.3
Lucas Bernadou,FRA,MF,Emmen,21,2000,21.0,3,0,0,16,11,0,15,31,27,0,0,0,130,17,30,36.2
Matúš Bero,SVK,"MF,FW",Vitesse,26,1995,30.5,6,0,0,38,52,5,22,16,27,0,0,0,195,56,64,46.7
Vicente Besuijen,NED,"FW,MF",Excelsior,21,2001,0.7,0,0,0,0,1,1,2,0,3,0,0,0,5,0,1,0.0
Sam Beukema,NED,DF,AZ Alkmaar,23,1998,24.4,2,0,0,18,11,0,4,33,16,0,2,0,146,53,33,61.6
Bartosz Białek,POL,FW,Vitesse,20,2001,17.0,1,0,0,26,19,4,3,0,2,0,0,0,39,25,57,30.5
Mika Biereth,DEN,"FW,MF",RKC Waalwijk,19,2003,3.4,1,0,0,2,9,0,3,1,1,0,0,0,8,7,10,41.2
Justin Bijlow,NED,GK,Feyenoord,24,1998,25.0,1,0,0,0,1,0,0,0,1,0,0,0,45,3,0,100.0
Kristijan Bistrović,CRO,MF,Fortuna Sittard,24,1998,12.8,1,0,0,6,10,0,56,16,10,0,0,0,93,6,9,40.0
Daley Blind,NED,DF,Ajax,32,1990,10.5,1,0,0,5,6,0,21,12,12,0,0,0,72,15,10,60.0
Thijmen Blokzijl,NED,DF,Groningen,17,2005,13.1,0,0,0,4,2,0,1,8,12,0,0,0,77,16,23,41.0
Jordi Blom,NED,FW,Volendam,20,2002,0.5,0,0,0,1,0,0,2,0,1,0,0,0,4,0,0,
Xander Blomme,BEL,MF,Go Ahead Eag,20,2002,4.2,1,0,0,6,3,0,0,11,7,0,0,0,33,8,9,47.1
Paweł Bochniewicz,POL,DF,Heerenveen,26,1996,32.3,4,0,0,26,19,2,2,50,28,0,0,0,175,118,46,72.0
Jan de Boer,NED,GK,Groningen,22,2000,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Tom Boere,NED,FW,Cambuur,29,1992,6.8,1,0,0,6,11,7,2,0,3,0,0,0,17,22,26,45.8
Taylor Booth,USA,"FW,MF",Utrecht,21,2001,17.3,5,0,0,24,31,1,105,9,15,0,0,0,73,6,10,37.5
Olivier Boscagli,FRA,DF,PSV Eindhoven,24,1997,2.4,0,0,0,3,1,0,1,6,0,0,0,0,18,2,4,33.3
Mohamed Bouchouari,BEL,DF,Emmen,21,2000,19.3,2,0,0,21,25,1,93,17,24,0,0,0,134,9,16,36.0
Othman Boussaid,BEL,"FW,MF",Utrecht,22,2000,23.2,3,0,0,6,26,2,81,32,8,2,0,0,162,5,11,31.3
Can Bozdogan,GER,MF,Utrecht,21,2001,17.3,3,0,0,25,26,0,70,15,28,0,0,0,114,9,5,64.3
Wout Brama,NED,MF,Twente,35,1986,2.3,0,0,0,2,2,0,3,5,2,0,0,0,21,2,3,40.0
Mattijs Branderhorst,NED,GK,NEC Nijmegen,28,1993,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jarrad Branthwaite,ENG,DF,PSV Eindhoven,20,2002,22.1,2,0,0,12,5,2,2,36,14,0,0,0,147,62,47,56.9
Myron van Brederode,NED,FW,AZ Alkmaar,19,2003,13.3,1,0,0,10,21,9,33,12,14,0,0,0,85,2,8,20.0
Michael Breij,NED,"FW,MF",Cambuur,25,1997,16.2,3,0,0,27,25,2,47,11,18,0,0,0,79,10,31,24.4
Joshua Brenet,CUW,DF,Twente,28,1994,27.9,3,0,0,30,16,3,56,28,29,0,0,0,220,27,18,60.0
Brian Brobbey,NED,FW,Ajax,20,2002,18.3,1,0,0,22,24,15,0,3,6,0,0,0,31,36,43,45.6
Ilias Bronkhorst,NED,"FW,DF",NEC Nijmegen,25,1997,0.6,1,0,0,2,1,0,2,0,1,0,0,0,2,4,6,40.0
Patrick Brouwer,NED,"FW,MF",Sparta R'dam,21,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Luuk Brouwers,NED,MF,Utrecht,24,1998,18.0,5,0,0,19,14,1,13,26,18,0,0,0,117,17,25,40.5
Jordy Bruijn,NED,"MF,FW",NEC Nijmegen,26,1996,6.4,1,0,0,2,8,2,9,3,4,0,0,0,35,2,4,33.3
Jeffrey Bruma,NED,DF,Heerenveen,30,1991,7.3,3,0,0,9,2,0,0,7,8,0,1,0,47,17,13,56.7
Max Bruns,NED,"DF,MF",Twente,19,2002,4.8,0,0,0,6,1,0,0,9,5,0,0,0,34,10,13,43.5
Charles-Andréas Brym,CAN,"FW,DF",Sparta R'dam,23,1998,0.1,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,
Thomas Buitink,NED,"FW,DF",Vitesse,22,2000,1.4,0,0,0,3,0,2,3,0,1,0,0,0,5,0,0,
Thomas Buitink,NED,"FW,MF",Fortuna Sittard,22,2000,4.1,2,0,0,9,0,1,8,2,2,0,0,0,22,4,5,44.4
Ezequiel Bullaude,ARG,"MF,FW",Feyenoord,21,2000,1.7,0,0,0,0,3,0,0,0,1,0,0,0,13,4,7,36.4
Lorenzo Burnet,NED,DF,Emmen,31,1991,14.7,1,0,0,15,10,2,25,15,26,0,0,0,68,13,17,43.3
Oskar Buur,DEN,"DF,MF",Volendam,24,1998,9.1,0,0,0,4,6,1,11,8,15,0,0,0,57,6,5,54.5
Zico Buurmeester,NED,MF,AZ Alkmaar,20,2002,0.7,0,0,0,3,1,0,0,0,0,0,0,0,8,2,2,50.0
Gianmarco Cangiano,ITA,"MF,FW",Fortuna Sittard,20,2001,0.6,0,0,0,0,4,0,1,0,1,0,0,0,4,0,1,0.0
Joel Castro Pereira,POR,GK,RKC Waalwijk,26,1996,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Václav Černý,CZE,FW,Twente,24,1997,26.5,1,1,0,15,9,10,155,16,20,0,0,0,148,4,15,21.1
Matěj Chaluš,CZE,DF,Groningen,24,1998,4.4,2,0,0,13,3,0,0,8,3,0,0,0,28,12,11,52.2
Jasper Cillessen,NED,GK,NEC Nijmegen,33,1989,32.0,0,0,0,0,5,0,0,1,0,0,0,0,48,4,0,100.0
Ibrahim Cissoko,NED,FW,NEC Nijmegen,19,2003,9.5,0,0,0,4,31,2,27,0,6,1,1,0,31,6,4,60.0
Jordy Clasie,NED,MF,AZ Alkmaar,31,1991,32.2,7,0,0,37,18,0,15,49,40,0,0,0,278,17,16,51.5
Pelle Clement,NED,MF,RKC Waalwijk,26,1996,26.3,1,0,0,29,20,4,36,20,23,0,0,0,145,19,20,48.7
Denilho Cleonise,NED,FW,Twente,20,2001,2.7,0,0,0,3,5,0,4,0,0,0,0,0,11,0,1,0.0
Antoine Colassin,BEL,"FW,MF",Heerenveen,21,2001,8.3,3,0,0,17,6,2,11,4,11,0,1,0,44,12,18,40.0
Francisco Conceição,POR,"FW,MF",Ajax,19,2002,5.8,3,0,0,10,13,1,15,1,6,0,0,0,25,3,6,33.3
Iñigo Córdoba,ESP,"FW,MF",Fortuna Sittard,25,1997,25.4,3,0,0,18,37,9,75,38,47,0,0,0,176,31,37,45.6
Enzo Cornelisse,NED,DF,Vitesse,19,2003,14.9,1,0,0,7,10,0,11,9,12,0,0,0,79,19,25,43.2
George Cox,ENG,DF,Fortuna Sittard,24,1998,23.9,5,0,0,17,24,2,108,45,23,0,0,0,142,14,12,53.8
Vito van Crooij,NED,FW,Sparta R'dam,26,1996,31.7,4,0,0,28,17,12,239,13,15,0,0,0,103,38,42,47.5
Lennerd Daneels,BEL,FW,RKC Waalwijk,24,1998,2.0,0,0,0,3,7,2,8,0,2,0,0,0,4,2,2,50.0
Danilo,BRA,FW,Feyenoord,23,1999,14.8,0,0,0,9,5,6,1,8,2,0,0,0,68,22,34,39.3
Damil Dankerlui,SUR,DF,Groningen,25,1996,8.7,2,0,0,11,1,2,32,10,15,0,0,0,59,13,8,61.9
Oussama Darfalou,ALG,"FW,MF",Emmen,28,1993,1.9,0,0,0,2,1,1,0,1,0,0,0,0,3,3,18,14.3
Jeffrey De Lange,NED,GK,Go Ahead Eag,24,1998,34.0,1,0,0,0,1,0,0,0,0,0,0,1,54,5,1,83.3
Mats Deijl,NED,DF,Go Ahead Eag,25,1997,31.2,3,1,0,28,33,1,84,35,32,0,0,0,175,53,30,63.9
Maxim Dekker,NED,DF,AZ Alkmaar,18,2004,9.4,0,0,0,2,4,0,0,8,6,0,0,0,27,17,8,68.0
Mickey van der Hart,NED,GK,Emmen,28,1994,25.0,0,0,0,0,2,0,0,0,1,0,0,0,45,11,0,100.0
Mike van der Hoorn,NED,DF,Utrecht,29,1992,23.2,3,1,0,15,18,0,3,19,13,0,0,0,135,90,44,67.2
Djevencio van der Kust,SUR,DF,Utrecht,21,2001,6.4,1,0,0,4,5,0,27,8,8,0,0,0,24,4,4,50.0
Mark van der Maarel,NED,DF,Utrecht,32,1989,24.3,5,0,0,31,8,0,16,35,28,0,0,0,126,19,25,43.2
Silvester van der Water,NED,"FW,MF",Cambuur,25,1996,13.2,3,0,0,20,15,1,82,3,23,0,0,0,57,7,19,26.9
Anthony Descotte,BEL,"FW,MF",Utrecht,18,2003,1.2,0,0,0,3,2,3,2,0,0,0,0,0,5,0,5,0.0
Mark Diemers,NED,"MF,FW",Emmen,28,1993,30.2,2,0,0,12,81,3,240,13,23,0,0,0,175,9,11,45.0
