Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Patrick van Aanholt,NED,DF,PSV Eindhoven,31,1990,13.1,26,15,12,11,3,12,29,41.4,17,9,0,9,17,43,17,0
Dirk Abels,NED,DF,Sparta R'dam,25,1997,14.7,23,11,17,5,1,15,25,60.0,10,26,18,8,16,39,59,0
Paulos Abraham,SWE,"FW,MF",Groningen,20,2002,5.4,17,7,7,6,4,5,17,29.4,12,5,0,5,2,19,5,0
Bobby Adekanye,NED,"FW,MF",Go Ahead Eag,23,1999,23.8,30,17,8,18,4,11,45,24.4,34,28,4,24,9,39,5,0
Shawn Adewoye,BEL,DF,RKC Waalwijk,22,2000,32.6,63,33,46,14,3,25,48,52.1,23,59,36,23,46,109,168,1
Luuk Admiraal,NED,FW,Excelsior,20,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Nikolas Agrafiotis,NED,"FW,MF",Excelsior,22,2000,6.3,7,6,2,4,1,0,5,0.0,5,7,2,5,1,8,8,0
Joost van Aken,NED,DF,Heerenveen,28,1994,11.0,12,7,9,3,0,8,13,61.5,5,11,8,3,17,29,51,1
Norbert Alblas,NED,GK,Excelsior,27,1994,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Pedro Alemañ,ESP,MF,Sparta R'dam,20,2002,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Hussein Ali,IRQ,"DF,MF",Heerenveen,20,2002,0.3,2,1,2,0,0,1,1,100.0,0,0,0,0,3,5,3,0
Edson Álvarez,MEX,"MF,DF",Ajax,24,1997,28.7,71,40,40,26,5,44,72,61.1,28,36,13,23,36,107,76,1
Ben Aissa Ben Amar,MAR,"DF,MF",Volendam,25,1997,22.8,32,22,19,12,1,14,27,51.9,13,27,15,12,21,53,78,0
Pelle van Amersfoort,NED,"MF,FW",Heerenveen,26,1996,13.2,17,11,3,9,5,10,16,62.5,6,7,0,7,3,20,19,0
Jamal Amofa,NED,DF,Go Ahead Eag,23,1998,26.8,46,32,30,12,4,16,31,51.6,15,35,17,18,36,82,82,1
Fredrik André Bjørkan,NOR,DF,Feyenoord,23,1998,0.8,2,0,1,0,1,1,2,50.0,1,1,1,0,0,2,2,0
Vurnon Anita,CUW,MF,RKC Waalwijk,33,1989,30.8,36,17,15,17,4,16,34,47.1,18,21,5,16,26,62,19,0
Oliver Antman,FIN,"FW,MF",Groningen,20,2001,7.4,9,7,4,5,0,5,12,41.7,7,9,0,9,2,11,5,0
