Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
38,Zakaria Bakkali,be BEL,"FW,DF",RKC Waalwijk,26,1996,4.9,8,6,5,2,1,5,5,100.0,0,2,0,2,2,10,3,0,Matches
39,Justin Bakker,nl NED,DF,Go Ahead Eag,24,1998,2.5,2,2,1,1,0,2,4,50.0,2,2,1,1,2,4,8,1,Matches
40,Remco Balk,nl NED,"FW,MF",Cambuur,21,2001,13.2,28,16,14,10,4,10,33,30.3,23,17,3,14,4,32,13,0,Matches
41,Radinio Balker,sr SUR,DF,Groningen,23,1998,29.4,47,31,34,13,0,20,31,64.5,11,53,34,19,38,85,115,0,Matches
42,Alex Bangura,sl SLE,DF,Cambuur,23,1999,27.2,41,27,30,10,1,24,37,64.9,13,23,7,16,20,61,43,0,Matches
43,Yusuf Barasi,tr TUR,"FW,MF",AZ Alkmaar,19,2003,2.1,3,2,1,1,1,2,3,66.7,1,2,0,2,0,3,3,0,Matches
44,Vasilios Barkas,gr GRE,GK,Utrecht,28,1994,32.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Matches
45,Cole Bassett,us USA,"MF,FW",Fortuna Sittard,21,2001,2.2,3,2,1,2,0,1,1,100.0,0,1,0,1,1,4,4,0,Matches
46,Cole Bassett,us USA,FW,Feyenoord,21,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
47,Calvin Bassey,ng NGA,DF,Ajax,22,1999,20.1,40,25,21,16,3,15,22,68.2,7,24,6,18,23,63,42,1,Matches
48,Riechedly Bazoer,cw CUW,"MF,DF",AZ Alkmaar,25,1996,3.7,8,8,3,5,0,2,6,33.3,4,3,1,2,1,9,11,0,Matches
49,Mads Bech Sørensen,dk DEN,DF,Groningen,23,1999,10.1,9,7,5,4,0,8,11,72.7,3,16,11,5,6,15,44,0,Matches
50,Sven van Beek,nl NED,DF,Heerenveen,28,1994,15.0,26,13,20,5,1,17,29,58.6,12,18,10,8,21,47,63,0,Matches
51,Mike van Beijnen,nl NED,DF,Fortuna Sittard,23,1999,0.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
52,Jan Bekkema,nl NED,GK,Heerenveen,26,1996,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
53,Iliass Bel Hassani,ma MAR,"MF,FW",RKC Waalwijk,29,1992,14.9,16,7,5,4,7,9,27,33.3,18,9,3,6,5,21,11,0,Matches
54,Mimeirhel Benita,nl NED,DF,Feyenoord,18,2003,0.6,4,1,3,1,0,3,3,100.0,0,0,0,0,1,5,0,0,Matches
55,Walter Benítez,ar ARG,GK,PSV Eindhoven,29,1993,30.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,9,1,Matches
56,Martijn Berden,nl NED,"FW,MF",Go Ahead Eag,25,1997,0.9,1,1,0,0,1,1,1,100.0,0,2,0,2,1,2,1,0,Matches
57,Thom van Bergen,nl NED,"FW,DF",Groningen,18,2004,4.1,16,8,7,8,1,7,16,43.8,9,8,1,7,2,18,5,0,Matches
58,Steven Berghuis,nl NED,"MF,FW",Ajax,30,1991,23.3,44,25,13,19,12,17,35,48.6,18,19,2,17,6,50,8,2,Matches
59,Leon Bergsma,nl NED,DF,Cambuur,25,1997,20.4,36,23,24,12,0,23,29,79.3,6,31,18,13,20,56,90,1,Matches
60,Steven Bergwijn,nl NED,"FW,MF",Ajax,24,1997,26.0,30,21,11,15,4,5,12,41.7,7,13,1,12,5,35,8,0,Matches
61,Lucas Bernadou,fr FRA,MF,Emmen,21,2000,21.0,47,27,20,21,6,27,54,50.0,27,18,2,16,31,78,26,0,Matches
62,Matúš Bero,sk SVK,"MF,FW",Vitesse,26,1995,30.5,51,27,16,24,11,22,69,31.9,47,45,7,38,16,67,30,0,Matches
63,Vicente Besuijen,nl NED,"FW,MF",Excelsior,21,2001,0.7,4,3,2,1,1,3,3,100.0,0,2,0,2,0,4,1,0,Matches
64,Sam Beukema,nl NED,DF,AZ Alkmaar,23,1998,24.4,27,16,16,9,2,16,24,66.7,8,31,27,4,33,60,108,0,Matches
65,Bartosz Białek,pl POL,FW,Vitesse,20,2001,17.0,10,2,3,3,4,6,16,37.5,10,7,1,6,0,10,13,0,Matches
66,Mika Biereth,dk DEN,"FW,MF",RKC Waalwijk,19,2003,3.4,2,1,0,0,2,0,1,0.0,1,3,1,2,1,3,2,0,Matches
67,Justin Bijlow,nl NED,GK,Feyenoord,24,1998,25.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,6,0,Matches
68,Kristijan Bistrović,hr CRO,MF,Fortuna Sittard,24,1998,12.8,14,10,4,7,3,8,27,29.6,19,9,2,7,16,30,10,0,Matches
69,Daley Blind,nl NED,DF,Ajax,32,1990,10.5,18,12,7,10,1,9,13,69.2,4,9,2,7,12,30,18,0,Matches
70,Thijmen Blokzijl,nl NED,DF,Groningen,17,2005,13.1,17,12,10,5,2,8,13,61.5,5,19,12,7,8,25,37,1,Matches
71,Jordi Blom,nl NED,FW,Volendam,20,2002,0.5,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,1,0,Matches
72,Xander Blomme,be BEL,MF,Go Ahead Eag,20,2002,4.2,10,7,5,5,0,6,13,46.2,7,6,0,6,11,21,4,0,Matches
73,Paweł Bochniewicz,pl POL,DF,Heerenveen,26,1996,32.3,47,28,32,12,3,29,45,64.4,16,44,29,15,50,97,170,0,Matches
74,Jan de Boer,nl NED,GK,Groningen,22,2000,2.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches
75,Tom Boere,nl NED,FW,Cambuur,29,1992,6.8,3,3,0,3,0,1,3,33.3,2,4,1,3,0,3,8,0,Matches
76,Taylor Booth,us USA,"FW,MF",Utrecht,21,2001,17.3,30,15,16,8,6,14,29,48.3,15,12,1,11,9,39,9,0,Matches
77,Olivier Boscagli,fr FRA,DF,PSV Eindhoven,24,1997,2.4,0,0,0,0,0,0,3,0.0,3,0,0,0,6,6,4,0,Matches
78,Mohamed Bouchouari,be BEL,DF,Emmen,21,2000,19.3,52,24,27,17,8,25,53,47.2,28,33,5,28,17,69,49,0,Matches
79,Othman Boussaid,be BEL,"FW,MF",Utrecht,22,2000,23.2,15,8,4,8,3,9,35,25.7,26,15,1,14,32,47,13,0,Matches
80,Can Bozdogan,de GER,MF,Utrecht,21,2001,17.3,43,28,13,24,6,12,29,41.4,17,19,0,19,15,58,22,0,Matches
81,Wout Brama,nl NED,MF,Twente,35,1986,2.3,4,2,3,1,0,1,4,25.0,3,1,1,0,5,9,5,0,Matches
82,Mattijs Branderhorst,nl NED,GK,NEC Nijmegen,28,1993,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
83,Jarrad Branthwaite,eng ENG,DF,PSV Eindhoven,20,2002,22.1,23,14,17,6,0,14,23,60.9,9,17,12,5,36,59,96,2,Matches
84,Myron van Brederode,nl NED,FW,AZ Alkmaar,19,2003,13.3,22,14,8,12,2,14,22,63.6,8,10,0,10,12,34,4,0,Matches
85,Michael Breij,nl NED,"FW,MF",Cambuur,25,1997,16.2,28,18,9,11,8,8,37,21.6,29,26,2,24,11,39,17,0,Matches
86,Joshua Brenet,cw CUW,DF,Twente,28,1994,27.9,46,29,33,9,4,27,45,60.0,18,21,7,14,28,74,33,4,Matches
87,Brian Brobbey,nl NED,FW,Ajax,20,2002,18.3,9,6,1,3,5,3,4,75.0,1,5,1,4,3,12,10,0,Matches
88,Ilias Bronkhorst,nl NED,"FW,DF",NEC Nijmegen,25,1997,0.6,2,1,1,0,1,0,1,0.0,1,0,0,0,0,2,1,0,Matches
89,Patrick Brouwer,nl NED,"FW,MF",Sparta R'dam,21,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
90,Luuk Brouwers,nl NED,MF,Utrecht,24,1998,18.0,30,18,10,15,5,11,24,45.8,13,23,8,15,26,56,32,0,Matches
91,Jordy Bruijn,nl NED,"MF,FW",NEC Nijmegen,26,1996,6.4,8,4,3,4,1,6,16,37.5,10,6,3,3,3,11,2,0,Matches
92,Jeffrey Bruma,nl NED,DF,Heerenveen,30,1991,7.3,13,8,10,3,0,9,10,90.0,1,10,5,5,7,20,30,0,Matches
93,Max Bruns,nl NED,"DF,MF",Twente,19,2002,4.8,6,5,3,3,0,2,7,28.6,5,6,3,3,9,15,17,1,Matches
94,Charles-Andréas Brym,ca CAN,"FW,DF",Sparta R'dam,23,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
95,Thomas Buitink,nl NED,"FW,DF",Vitesse,22,2000,1.4,2,1,2,0,0,0,1,0.0,1,2,0,2,0,2,4,0,Matches
96,Thomas Buitink,nl NED,"FW,MF",Fortuna Sittard,22,2000,4.1,7,2,3,3,1,1,7,14.3,6,6,0,6,2,9,1,0,Matches
97,Ezequiel Bullaude,ar ARG,"MF,FW",Feyenoord,21,2000,1.7,1,1,0,1,0,0,4,0.0,4,4,0,4,0,1,1,0,Matches
98,Lorenzo Burnet,nl NED,DF,Emmen,31,1991,14.7,38,26,26,12,0,19,27,70.4,8,22,5,17,15,53,50,0,Matches
99,Oskar Buur,dk DEN,"DF,MF",Volendam,24,1998,9.1,18,15,10,7,1,9,24,37.5,15,12,4,8,8,26,18,0,Matches
100,Zico Buurmeester,nl NED,MF,AZ Alkmaar,20,2002,0.7,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,3,0,Matches
101,Gianmarco Cangiano,it ITA,"MF,FW",Fortuna Sittard,20,2001,0.6,1,1,1,0,0,1,1,100.0,0,2,0,2,0,1,0,0,Matches
102,Joel Castro Pereira,pt POR,GK,RKC Waalwijk,26,1996,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
103,Václav Černý,cz CZE,FW,Twente,24,1997,26.5,34,20,10,18,6,14,54,25.9,40,36,0,36,16,50,6,0,Matches
104,Matěj Chaluš,cz CZE,DF,Groningen,24,1998,4.4,4,3,2,2,0,2,4,50.0,2,6,4,2,8,12,17,1,Matches
105,Jasper Cillessen,nl NED,GK,NEC Nijmegen,33,1989,32.0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,13,3,Matches
106,Ibrahim Cissoko,nl NED,FW,NEC Nijmegen,19,2003,9.5,10,6,5,5,0,3,6,50.0,3,7,1,6,0,10,4,0,Matches
107,Jordy Clasie,nl NED,MF,AZ Alkmaar,31,1991,32.2,66,40,28,34,4,32,62,51.6,30,42,15,27,49,115,46,1,Matches
108,Pelle Clement,nl NED,MF,RKC Waalwijk,26,1996,26.3,43,23,22,13,8,22,66,33.3,44,31,3,28,20,63,38,0,Matches
109,Denilho Cleonise,nl NED,FW,Twente,20,2001,2.7,0,0,0,0,0,0,0,,0,4,0,4,0,0,0,0,Matches
110,Antoine Colassin,be BEL,"FW,MF",Heerenveen,21,2001,8.3,21,11,14,2,5,12,22,54.5,10,17,2,15,4,25,16,0,Matches
