Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 30_level_0_Matches
374,Mathis Suray,be BEL,FW,Go Ahead Eag,24-150,2001,14.8,515,20,94,199,230,37,515,15,9,60.0,6,40.0,301,1721,781,26,22,4,24,18,352,73,Matches
375,Josip Šutalo,hr CRO,DF,Ajax,25-298,2000,6.9,683,76,260,405,21,5,683,9,7,77.8,2,22.2,448,2333,1298,7,6,0,7,1,492,2,Matches
376,Juho Talvitie,fi FIN,"FW,DF",NAC Breda,20-278,2005,12.1,541,11,75,198,272,36,541,49,13,26.5,35,71.4,338,2712,1491,53,26,25,18,21,359,83,Matches
377,Oussama Targhalline,ma MAR,MF,Feyenoord,23-217,2002,9.6,598,26,118,377,105,4,598,9,6,66.7,3,33.3,333,1611,628,6,13,0,10,9,355,16,Matches
378,Kenneth Taylor,nl NED,MF,Ajax,23-221,2002,14.2,774,20,135,392,251,55,773,18,11,61.1,7,38.9,452,2372,1175,26,19,7,14,12,566,77,Matches
379,Mike te Wierik,nl NED,DF,Heracles Almelo,33-198,1992,7.9,388,35,148,150,91,15,388,5,2,40.0,3,60.0,153,548,190,2,1,0,0,1,183,20,Matches
380,Kay Tejan,nl NED,"FW,MF",Telstar,28-323,1997,5.6,190,10,20,80,98,31,190,17,8,47.1,8,47.1,97,688,359,10,6,5,19,13,124,29,Matches
381,Casper Tengstedt,dk DEN,"FW,MF",Feyenoord,25-205,2000,0.6,21,0,0,8,13,7,21,0,0,,0,,13,49,16,0,0,0,2,0,19,2,Matches
382,Ryan Thomas,nz NZL,MF,Zwolle,31-003,1994,14.0,755,86,242,409,121,9,755,19,9,47.4,7,36.8,352,2347,896,19,19,3,21,9,383,13,Matches
383,Mathijs Tielemans,nl NED,MF,Excelsior,23-241,2002,1.5,94,8,17,55,22,0,94,0,0,,0,,57,231,92,2,3,0,1,1,72,1,Matches
384,Jop Tijink,nl NED,DF,Heracles Almelo,20-327,2005,0.1,2,0,1,0,1,1,2,0,0,,0,,1,1,1,0,0,0,0,0,1,0,Matches
