Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Patrick van Aanholt,NED,DF,Sparta R'dam,35-116,1990.0,7.3,1,0,0,3,1,0,14,5,11,0,0,0,33,3,1,75.0
Aske Adelgaard,DEN,DF,Go Ahead Eag,22-043,2003.0,4.5,2,0,0,7,3,0,23,4,4,0,0,0,21,6,4,60.0
Shawn Adewoye,BEL,DF,Fortuna Sittard,25-177,2000.0,14.1,4,0,0,24,12,0,1,18,20,0,1,1,54,35,19,64.8
Olivier Aertssen,NED,DF,Zwolle,21-138,2004.0,12.4,2,0,0,12,8,0,17,17,20,0,0,0,47,11,13,45.8
Isaiah Ahmed,CUW,MF,Heerenveen,19-360,2005.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0
Anel Ahmedhodžić,BIH,DF,Feyenoord,26-272,1999.0,15.1,5,1,1,19,12,0,1,19,9,0,0,0,73,30,21,58.8
Makan Aiko,FRA,FW,Fortuna Sittard,24-350,2001.0,5.1,2,0,0,7,10,2,24,3,4,0,0,0,16,3,13,18.8
Gerald Alders,NED,DF,Ajax,20-230,2005.0,2.0,0,0,0,2,5,1,0,0,4,0,0,0,10,0,8,0.0
Mawouna Amevor,TOG,DF,Volendam,34-007,1991.0,13.6,0,1,0,15,2,0,2,10,4,0,0,0,38,27,20,57.4
Julian Baas,NED,MF,Sparta R'dam,23-251,2002.0,8.2,2,0,0,8,10,0,40,12,10,0,0,0,26,8,8,50.0
Youri Baas,NED,DF,Ajax,22-281,2003.0,14.7,3,1,1,15,28,0,2,18,20,0,1,0,74,17,19,47.2
Thibo Baeten,BEL,"FW,MF",Go Ahead Eag,23-202,2002.0,3.7,0,0,0,14,5,4,16,1,3,0,0,0,10,1,12,7.7
Esmir Bajraktarevic,BIH,"FW,MF",PSV Eindhoven,20-288,2005.0,4.5,0,0,0,4,12,0,21,0,3,0,0,0,17,1,4,20.0
Saïd Bakari,COM,DF,Sparta R'dam,31-092,1994.0,3.7,0,0,0,2,3,0,7,8,5,0,0,1,24,8,3,72.7
Danny Bakker,NED,DF,Telstar,30-341,1995.0,12.3,0,0,0,13,11,0,4,15,10,0,1,0,45,38,31,55.1
Max Balard,AUS,MF,NAC Breda,25-033,2000.0,15.4,2,1,1,20,21,0,0,14,14,0,0,0,70,13,13,50.0
Vasilios Barkas,GRE,GK,Utrecht,31-207,1994.0,15.5,0,0,0,0,3,0,0,0,1,0,0,0,32,2,0,100.0
Samuel Bastien,COD,"MF,DF",Fortuna Sittard,29-088,1996.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,100.0
Mimeirhel Benita,NED,DF,Heracles Almelo,22-036,2003.0,5.4,3,0,0,7,9,0,13,5,12,0,0,0,24,8,4,66.7
Mitchell van Bergen,NED,FW,Sparta R'dam,26-118,1999.0,12.6,0,0,0,4,4,4,88,3,2,0,0,0,39,0,1,0.0
Mitchell van Bergen,NED,FW,Twente,26-118,1999.0,0.7,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,
Thom van Bergen,NED,"FW,MF",Groningen,21-351,2004.0,16.0,2,0,0,24,41,7,4,3,16,1,0,0,59,30,68,30.6
Steven Berghuis,NED,"MF,FW",Ajax,34-004,1991.0,5.1,0,0,0,3,4,1,35,4,2,0,0,0,20,2,0,100.0
Jerolldino Bergraaf,NED,FW,Excelsior,19-171,2006.0,4.9,1,0,0,9,9,1,1,2,2,1,0,0,9,16,15,51.6
Daniel Bielica,POL,GK,NAC Breda,26-237,1999.0,16.0,1,0,0,0,3,0,0,0,0,0,0,0,32,4,0,100.0
Adrian Blake,ENG,"FW,MF",Utrecht,20-161,2005.0,9.5,2,0,0,4,10,2,21,2,2,0,0,0,36,1,9,10.0
Sil Blokhuis,NED,MF,Heracles Almelo,17-280,2008.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Thijmen Blokzijl,NED,DF,Groningen,20-301,2005.0,17.0,2,0,0,9,8,0,5,17,11,0,0,0,73,35,49,41.7
Myron Boadu,NED,FW,PSV Eindhoven,24-343,2001.0,0.6,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0.0
Paweł Bochniewicz,POL,FW,Heerenveen,29-327,1996.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Ruben van Bommel,NED,FW,PSV Eindhoven,21-142,2004.0,4.2,1,0,0,9,3,0,14,6,8,0,0,0,19,9,7,56.3
Kasper Boogaard,NED,MF,AZ Alkmaar,19-328,2006.0,0.7,1,0,0,1,0,0,1,2,0,0,0,0,6,0,0,
Taylor Booth,USA,FW,Twente,24-206,2001.0,3.9,0,0,0,9,4,0,24,1,7,0,0,0,14,3,10,23.1
Zach Booth,USA,MF,Excelsior,21-309,2004.0,1.2,0,0,0,4,0,1,0,0,0,0,0,0,3,0,2,0.0
Gonçalo Borges,POR,FW,Feyenoord,24-269,2001.0,2.4,0,0,0,1,5,1,11,1,1,0,0,0,8,0,1,0.0
Yvandro Borges Sanches,LUX,"FW,MF",Heracles Almelo,21-213,2004.0,5.8,0,0,0,2,3,0,9,0,8,0,0,0,25,0,4,0.0
Jordy Bos,AUS,DF,Feyenoord,23-055,2002.0,8.1,0,0,0,3,8,0,26,8,23,0,0,0,51,16,14,53.3
Rayane Bounida,BEL,"FW,MF",Ajax,19-295,2006.0,1.5,2,0,0,3,6,0,9,0,1,0,0,0,8,2,4,33.3
Aaron Bouwman,NED,DF,Ajax,18-117,2007.0,4.0,2,0,0,5,0,0,0,3,3,0,0,0,11,2,6,25.0
Wassim Bouziane,NED,"DF,FW",AZ Alkmaar,19-001,2006.0,0.7,0,0,0,1,4,0,2,0,0,0,0,0,4,0,0,
Can Bozdogan,GER,MF,Utrecht,24-262,2001.0,1.9,0,0,0,4,7,1,5,0,0,0,0,0,9,6,8,42.9
Mattijs Branderhorst,NED,GK,Fortuna Sittard,31-357,1993.0,17.0,3,0,0,1,0,0,0,0,1,0,0,0,37,6,1,85.7
Oliver Braude,NOR,DF,Heerenveen,21-305,2004.0,15.5,2,0,0,22,29,1,34,11,20,0,0,0,87,28,24,53.8
Jakob Breum,DEN,MF,Go Ahead Eag,22-036,2003.0,7.3,0,0,0,2,6,0,30,3,2,0,0,0,31,1,5,16.7
Philip Brittijn,NED,"MF,DF",Fortuna Sittard,21-258,2004.0,13.6,5,0,0,25,9,1,3,15,27,0,0,0,66,17,13,56.7
Ilias Bronkhorst,NED,DF,Excelsior,28-227,1997.0,13.4,4,0,0,12,14,0,34,13,14,0,0,0,79,47,19,71.2
