Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches
53,Thomas Buitink,nl NED,FW,Zwolle,25-192,2000,0.8,18,16,2,0,0,0,2,0,0,0,0,0,13,0,0,Matches
54,Nordin Bukala,nl NED,MF,Volendam,20-096,2005,14.8,387,384,3,3,0,4,7,0,0,0,0,0,316,0,11,Matches
55,Zico Buurmeester,nl NED,MF,AZ Alkmaar,23-199,2002,0.4,16,16,0,0,0,0,2,0,0,0,0,0,13,0,0,Matches
56,Zico Buurmeester,nl NED,MF,Zwolle,23-199,2002,4.1,132,119,11,6,0,1,10,0,5,3,2,0,100,2,1,Matches
57,Jayden Candelaria,cw CUW,"DF,FW",NAC Breda,21-296,2004,0.3,14,9,5,0,0,0,0,5,0,0,0,0,8,0,0,Matches
58,Adam Carlén,se SWE,MF,Excelsior,25-179,2000,12.1,409,387,21,6,0,1,2,1,0,0,0,0,322,1,6,Matches
59,Yoann Cathline,fr FRA,"FW,MF",Utrecht,23-154,2002,6.2,133,131,1,0,1,0,15,1,0,0,0,0,92,1,8,Matches
60,Mateo Chávez,mx MEX,DF,AZ Alkmaar,21-225,2004,4.0,247,203,44,9,1,3,8,33,2,2,0,0,191,0,7,Matches
61,Tjaronn Chery,sr SUR,"MF,FW",NEC Nijmegen,37-202,1988,14.9,611,537,73,13,3,1,56,4,29,17,9,0,470,1,15,Matches
62,Jordy Clasie,nl NED,MF,AZ Alkmaar,34-179,1991,5.9,363,341,22,21,1,1,1,0,0,0,0,0,321,0,5,Matches
63,Pelle Clement,nl NED,MF,Sparta R'dam,29-218,1996,9.4,257,243,10,5,2,2,1,2,0,0,0,0,199,4,4,Matches
