Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Patrick van Aanholt,NED,DF,Sparta R'dam,35-116,1990.0,7.3,18,11,12,4,2,11,21,52.4,10,15,6,9,5,23,19,0
Aske Adelgaard,DEN,DF,Go Ahead Eag,22-043,2003.0,4.5,8,4,4,4,0,3,6,50.0,3,3,2,1,4,12,13,0
Shawn Adewoye,BEL,DF,Fortuna Sittard,25-177,2000.0,14.1,30,20,21,5,4,15,20,75.0,5,20,12,8,18,48,67,1
Olivier Aertssen,NED,DF,Zwolle,21-138,2004.0,12.4,31,20,18,12,1,18,27,66.7,9,20,9,11,17,48,74,1
Isaiah Ahmed,CUW,MF,Heerenveen,19-360,2005.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Anel Ahmedhodžić,BIH,DF,Feyenoord,26-272,1999.0,15.1,19,9,9,7,3,8,9,88.9,1,12,9,3,19,38,86,1
Makan Aiko,FRA,FW,Fortuna Sittard,24-350,2001.0,5.1,5,4,1,4,0,0,1,0.0,1,6,0,6,3,8,3,0
Gerald Alders,NED,DF,Ajax,20-230,2005.0,2.0,11,4,4,6,1,6,6,100.0,0,1,1,0,0,11,6,1
Mawouna Amevor,TOG,DF,Volendam,34-007,1991.0,13.6,13,4,12,1,0,9,13,69.2,4,21,14,7,10,23,76,1
Julian Baas,NED,MF,Sparta R'dam,23-251,2002.0,8.2,15,10,6,9,0,7,18,38.9,11,15,6,9,12,27,26,0
Youri Baas,NED,DF,Ajax,22-281,2003.0,14.7,31,20,21,7,3,11,19,57.9,8,22,14,8,18,49,63,0
Thibo Baeten,BEL,"FW,MF",Go Ahead Eag,23-202,2002.0,3.7,10,3,2,4,4,3,10,30.0,7,7,1,6,1,11,7,0
Esmir Bajraktarevic,BIH,"FW,MF",PSV Eindhoven,20-288,2005.0,4.5,6,3,0,4,2,3,8,37.5,5,6,0,6,0,6,3,0
Saïd Bakari,COM,DF,Sparta R'dam,31-092,1994.0,3.7,9,5,4,3,2,5,10,50.0,5,10,2,8,8,17,14,0
Danny Bakker,NED,DF,Telstar,30-341,1995.0,12.3,16,10,8,7,1,7,16,43.8,9,24,8,16,15,31,70,2
Max Balard,AUS,MF,NAC Breda,25-033,2000.0,15.4,31,14,19,7,5,15,20,75.0,5,11,4,7,14,45,31,1
Vasilios Barkas,GRE,GK,Utrecht,31-207,1994.0,15.5,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,10,1
Samuel Bastien,COD,"MF,DF",Fortuna Sittard,29-088,1996.0,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0
Mimeirhel Benita,NED,DF,Heracles Almelo,22-036,2003.0,5.4,15,12,10,3,2,9,16,56.3,7,14,6,8,5,20,27,0
Mitchell van Bergen,NED,FW,Sparta R'dam,26-118,1999.0,12.6,6,2,1,4,1,3,9,33.3,6,7,0,7,3,9,15,0
Mitchell van Bergen,NED,FW,Twente,26-118,1999.0,0.7,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Thom van Bergen,NED,"FW,MF",Groningen,21-351,2004.0,16.0,30,16,6,14,10,9,20,45.0,11,18,0,18,3,33,4,0
Steven Berghuis,NED,"MF,FW",Ajax,34-004,1991.0,5.1,5,2,0,3,2,3,3,100.0,0,3,2,1,4,9,2,0
Jerolldino Bergraaf,NED,FW,Excelsior,19-171,2006.0,4.9,2,2,0,2,0,1,6,16.7,5,5,0,5,2,4,4,0
Daniel Bielica,POL,GK,NAC Breda,26-237,1999.0,16.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,13,1
Adrian Blake,ENG,"FW,MF",Utrecht,20-161,2005.0,9.5,3,2,2,0,1,1,6,16.7,5,2,0,2,2,5,4,0
Sil Blokhuis,NED,MF,Heracles Almelo,17-280,2008.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Thijmen Blokzijl,NED,DF,Groningen,20-301,2005.0,17.0,18,11,9,9,0,8,12,66.7,4,18,14,4,17,35,72,1
Myron Boadu,NED,FW,PSV Eindhoven,24-343,2001.0,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Paweł Bochniewicz,POL,FW,Heerenveen,29-327,1996.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ruben van Bommel,NED,FW,PSV Eindhoven,21-142,2004.0,4.2,10,8,4,3,3,5,6,83.3,1,1,0,1,6,16,9,0
Kasper Boogaard,NED,MF,AZ Alkmaar,19-328,2006.0,0.7,0,0,0,0,0,0,0,,0,2,0,2,2,2,1,1
Taylor Booth,USA,FW,Twente,24-206,2001.0,3.9,11,7,4,7,0,7,10,70.0,3,8,1,7,1,12,3,0
Zach Booth,USA,MF,Excelsior,21-309,2004.0,1.2,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0
Gonçalo Borges,POR,FW,Feyenoord,24-269,2001.0,2.4,1,1,0,1,0,1,6,16.7,5,2,0,2,1,2,2,0
Yvandro Borges Sanches,LUX,"FW,MF",Heracles Almelo,21-213,2004.0,5.8,13,8,9,4,0,10,15,66.7,5,3,0,3,0,13,7,0
Jordy Bos,AUS,DF,Feyenoord,23-055,2002.0,8.1,33,23,15,13,5,13,19,68.4,6,17,3,14,8,41,25,1
Rayane Bounida,BEL,"FW,MF",Ajax,19-295,2006.0,1.5,4,1,2,0,2,2,5,40.0,3,1,1,0,0,4,0,1
Aaron Bouwman,NED,DF,Ajax,18-117,2007.0,4.0,5,3,3,2,0,2,4,50.0,2,6,4,2,3,8,24,1
Wassim Bouziane,NED,"DF,FW",AZ Alkmaar,19-001,2006.0,0.7,2,0,1,0,1,1,2,50.0,1,0,0,0,0,2,1,0
Can Bozdogan,GER,MF,Utrecht,24-262,2001.0,1.9,4,0,2,1,1,2,3,66.7,1,2,1,1,0,4,3,1
Mattijs Branderhorst,NED,GK,Fortuna Sittard,31-357,1993.0,17.0,2,1,2,0,0,2,3,66.7,1,0,0,0,0,2,8,2
Oliver Braude,NOR,DF,Heerenveen,21-305,2004.0,15.5,32,20,14,15,3,13,30,43.3,17,17,5,12,11,43,47,1
Jakob Breum,DEN,MF,Go Ahead Eag,22-036,2003.0,7.3,2,2,0,1,1,2,4,50.0,2,7,3,4,3,5,4,0
Philip Brittijn,NED,"MF,DF",Fortuna Sittard,21-258,2004.0,13.6,42,27,26,11,5,21,37,56.8,16,20,9,11,15,57,26,1
Ilias Bronkhorst,NED,DF,Excelsior,28-227,1997.0,13.4,23,14,16,5,2,11,21,52.4,10,10,4,6,13,36,53,1
Michael Brouwer,NED,GK,Utrecht,32-336,1993.0,1.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Patrick Brouwer,NED,MF,Telstar,24-279,2001.0,14.8,21,13,13,5,3,11,26,42.3,15,13,2,11,9,30,13,0
Luuk Brouwers,NED,MF,Heerenveen,27-234,1998.0,14.6,30,17,8,14,8,10,24,41.7,14,7,0,7,9,39,23,1
Max Bruns,NED,DF,Twente,23-047,2002.0,7.5,10,7,4,6,0,4,5,80.0,1,12,7,5,6,16,32,0
Thomas Bruns,NED,MF,Heracles Almelo,33-350,1992.0,8.0,16,6,5,6,5,9,16,56.3,7,8,0,8,6,22,14,0
Charles-Andréas Brym,CAN,FW,NAC Breda,27-137,1998.0,4.8,3,0,0,2,1,2,8,25.0,6,4,1,3,5,8,3,0
Thomas Buitink,NED,FW,Zwolle,25-192,2000.0,0.8,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0
Nordin Bukala,NED,MF,Volendam,20-096,2005.0,14.8,43,25,22,18,3,19,34,55.9,15,33,5,28,21,64,23,3
Zico Buurmeester,NED,MF,AZ Alkmaar,23-199,2002.0,0.4,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0
Zico Buurmeester,NED,MF,Zwolle,23-199,2002.0,4.1,7,3,4,2,1,4,8,50.0,4,5,2,3,4,11,4,1
Jayden Candelaria,CUW,"DF,FW",NAC Breda,21-296,2004.0,0.3,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0
Adam Carlén,SWE,MF,Excelsior,25-179,2000.0,12.1,31,19,14,15,2,13,26,50.0,13,22,8,14,8,39,36,0
Yoann Cathline,FRA,"FW,MF",Utrecht,23-154,2002.0,6.2,8,7,4,3,1,3,7,42.9,4,7,0,7,3,11,5,0
Mateo Chávez,MEX,DF,AZ Alkmaar,21-225,2004.0,4.0,25,15,11,13,1,10,18,55.6,8,3,0,3,5,30,16,0
Tjaronn Chery,SUR,"MF,FW",NEC Nijmegen,37-202,1988.0,14.9,7,2,2,3,2,5,12,41.7,7,7,2,5,2,9,2,0
Jordy Clasie,NED,MF,AZ Alkmaar,34-179,1991.0,5.9,12,9,5,5,2,3,7,42.9,4,4,2,2,3,15,14,1
Pelle Clement,NED,MF,Sparta R'dam,29-218,1996.0,9.4,11,6,4,2,5,8,26,30.8,18,17,6,11,5,16,21,0
Gonzalo Crettaz,ARG,GK,NEC Nijmegen,25-298,2000.0,17.0,4,2,4,0,0,4,6,66.7,2,0,0,0,0,4,22,3
Vito van Crooij,NED,"MF,FW",NEC Nijmegen,29-328,1996.0,2.8,2,2,1,1,0,1,2,50.0,1,3,0,3,0,2,5,0
Robin van Cruijsen,,MF,Volendam,,,6.4,4,2,1,2,1,2,6,33.3,4,2,1,1,3,7,15,0
Ro-Zangelo Daal,NED,FW,AZ Alkmaar,21-316,2004.0,5.6,14,8,8,4,2,6,12,50.0,6,3,0,3,1,15,4,1
Jasper Dahlhaus,NED,DF,Fortuna Sittard,24-026,2001.0,14.1,33,16,16,14,3,17,32,53.1,15,18,3,15,35,68,64,2
Brynjolfur Darri Willumsson,ISL,FW,Groningen,25-133,2000.0,8.5,5,3,1,3,1,3,6,50.0,3,7,3,4,1,6,3,0
Eli Dasa,ISR,DF,NEC Nijmegen,33-020,1992.0,9.2,10,7,5,4,1,7,9,77.8,2,9,1,8,8,18,22,2
Jari De Busser,BEL,GK,Go Ahead Eag,26-063,1999.0,17.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,2
Mats Deijl,NED,DF,Go Ahead Eag,28-161,1997.0,16.5,22,19,10,10,2,13,18,72.2,5,20,13,7,9,31,55,0
Maxim Dekker,NED,DF,AZ Alkmaar,21-246,2004.0,0.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
