Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Patrick van Aanholt,NED,DF,Sparta R'dam,35-116,1990.0,7.3,254,327,77.7,4416,1359,116,142,81.7,118,140,84.3,17,35,48.6,2,1.4,1.0,0.6,11,15,6,2,23
Aske Adelgaard,DEN,DF,Go Ahead Eag,22-043,2003.0,4.5,188,245,76.7,3106,1065,97,110,88.2,71,89,79.8,16,34,47.1,0,0.8,0.9,-0.8,5,11,8,3,18
Shawn Adewoye,BEL,DF,Fortuna Sittard,25-177,2000.0,14.1,512,601,85.2,9894,3072,157,168,93.5,296,314,94.3,51,92,55.4,0,0.2,0.1,-0.2,3,37,0,0,33
Olivier Aertssen,NED,DF,Zwolle,21-138,2004.0,12.4,325,464,70.0,5893,2614,133,164,81.1,142,182,78.0,36,78,46.2,2,1.4,1.5,0.6,7,22,9,5,32
Isaiah Ahmed,CUW,MF,Heerenveen,19-360,2005.0,0.0,0,2,0.0,0,0,0,0,,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Anel Ahmedhodžić,BIH,DF,Feyenoord,26-272,1999.0,15.1,810,886,91.4,13878,3845,319,339,94.1,447,470,95.1,31,55,56.4,1,0.3,1.1,0.7,7,73,7,0,78
Makan Aiko,FRA,FW,Fortuna Sittard,24-350,2001.0,5.1,75,119,63.0,1000,238,48,60,80.0,23,36,63.9,1,5,20.0,2,0.8,0.8,1.2,5,4,6,4,8
Gerald Alders,NED,DF,Ajax,20-230,2005.0,2.0,104,119,87.4,1730,444,48,52,92.3,51,56,91.1,4,6,66.7,0,0.0,0.0,0.0,0,10,1,0,8
Mawouna Amevor,TOG,DF,Volendam,34-007,1991.0,13.6,532,598,89.0,10595,3616,143,149,96.0,322,340,94.7,55,89,61.8,1,0.9,0.3,0.1,3,28,2,0,30
Julian Baas,NED,MF,Sparta R'dam,23-251,2002.0,8.2,274,368,74.5,5991,1876,73,92,79.3,141,168,83.9,55,94,58.5,0,0.8,1.8,-0.8,12,35,10,2,39
Youri Baas,NED,DF,Ajax,22-281,2003.0,14.7,1144,1234,92.7,20349,6511,457,477,95.8,601,624,96.3,71,104,68.3,0,0.6,0.9,-0.6,5,109,6,1,96
Thibo Baeten,BEL,"FW,MF",Go Ahead Eag,23-202,2002.0,3.7,46,75,61.3,701,170,24,27,88.9,20,27,74.1,1,16,6.3,1,0.5,0.4,0.5,6,4,3,1,6
Esmir Bajraktarevic,BIH,"FW,MF",PSV Eindhoven,20-288,2005.0,4.5,156,196,79.6,2307,598,89,99,89.9,49,65,75.4,11,19,57.9,2,1.3,1.3,0.7,11,6,13,4,17
Saïd Bakari,COM,DF,Sparta R'dam,31-092,1994.0,3.7,177,210,84.3,3416,1222,62,69,89.9,96,105,91.4,18,29,62.1,0,0.2,0.2,-0.2,3,19,2,1,20
