Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Brenden Aaronson,USA,"MF,FW",Leeds United,21,2000,26.4,1,41,9,22.0,1.56,0.34,0.02,0.11,18.4,2,0,0,3.9,3.9,0.09,-2.9,-2.9
George Abbott,ENG,MF,Tottenham,16,2005,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Che Adams,SCO,FW,Southampton,26,1996,22.1,5,47,14,29.8,2.12,0.63,0.11,0.36,13.8,0,0,0,6.7,6.7,0.14,-1.7,-1.7
Tyler Adams,USA,MF,Leeds United,23,1999,24.0,0,4,0,0.0,0.17,0.0,0.0,,27.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Tosin Adarabioyo,ENG,DF,Fulham,24,1997,23.2,1,16,4,25.0,0.69,0.17,0.06,0.25,21.2,1,0,0,0.7,0.7,0.04,0.3,0.3
Nayef Aguerd,MAR,DF,West Ham,26,1996,17.7,2,12,2,16.7,0.68,0.11,0.17,1.0,9.9,0,0,0,2.2,2.2,0.19,-0.2,-0.2
Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,20,2002,1.0,0,3,0,0.0,2.87,0.0,0.0,,15.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Rayan Aït-Nouri,ALG,DF,Wolves,21,2001,12.0,1,10,5,50.0,0.84,0.42,0.1,0.2,14.1,0,0,0,0.7,0.7,0.07,0.3,0.3
Kristoffer Ajer,NOR,DF,Brentford,24,1998,8.5,0,1,0,0.0,0.12,0.0,0.0,,6.0,0,0,0,0.0,0.0,0.04,0.0,0.0
Manuel Akanji,SUI,DF,Manchester City,27,1995,25.4,0,15,2,13.3,0.59,0.08,0.0,0.0,15.9,0,0,0,1.3,1.3,0.09,-1.3,-1.3
Nathan Aké,NED,DF,Manchester City,27,1995,20.8,1,9,2,22.2,0.43,0.1,0.11,0.5,10.5,0,0,0,1.6,1.6,0.17,-0.6,-0.6
Marc Albrighton,ENG,"FW,MF",Leicester City,32,1989,2.6,1,2,1,50.0,0.76,0.38,0.5,1.0,8.0,0,0,0,0.3,0.3,0.17,0.7,0.7
Thiago Alcántara,ESP,MF,Liverpool,31,1991,13.9,0,10,1,10.0,0.72,0.07,0.0,0.0,24.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Carlos Alcaraz,ARG,"MF,FW",Southampton,19,2002,11.4,4,24,10,41.7,2.1,0.87,0.17,0.4,20.0,0,0,0,1.9,1.9,0.08,2.1,2.1
Trent Alexander-Arnold,ENG,DF,Liverpool,23,1998,32.5,2,40,8,20.0,1.23,0.25,0.05,0.25,23.8,5,0,0,2.4,2.4,0.06,-0.4,-0.4
Alisson,BRA,GK,Liverpool,29,1992,37.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Dele Alli,ENG,MF,Everton,26,1996,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Miguel Almirón,PAR,FW,Newcastle Utd,28,1994,27.7,11,69,20,29.0,2.49,0.72,0.16,0.55,16.4,0,0,0,8.0,8.0,0.12,3.0,3.0
Julián Álvarez,ARG,"FW,MF",Manchester City,22,2000,16.3,9,46,20,43.5,2.83,1.23,0.17,0.4,16.0,0,1,1,7.0,6.2,0.13,2.0,1.8
Daniel Amartey,GHA,DF,Leicester City,27,1994,17.9,0,6,2,33.3,0.34,0.11,0.0,0.0,17.4,0,0,0,1.1,1.1,0.18,-1.1,-1.1
Samuel Amo-Ameyaw,ENG,MF,Southampton,16,2006,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Joachim Andersen,DEN,DF,Crystal Palace,26,1996,30.9,1,22,9,40.9,0.71,0.29,0.05,0.11,13.9,1,0,0,1.8,1.8,0.08,-0.8,-0.8
