Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 24_level_0_Matches
412,Kalvin Phillips,eng ENG,MF,Manchester City,26,1995,3.3,1,0,0,10,2,0,0,5,4,0,0,0,19,5,2,71.4,Matches
413,Nathaniel Phillips,eng ENG,DF,Liverpool,25,1997,0.7,0,0,0,1,0,0,0,2,1,0,0,0,14,4,0,100.0,Matches
414,Jordan Pickford,eng ENG,GK,Everton,28,1994,37.0,6,0,0,1,5,0,0,4,0,0,1,0,36,8,3,72.7,Matches
415,Ethan Pinnock,jm JAM,DF,Brentford,29,1993,30.0,0,0,0,6,10,0,10,35,28,0,0,1,123,105,52,66.9,Matches
416,Daniel Podence,pt POR,"FW,MF",Wolves,26,1995,19.7,5,0,0,26,23,4,56,7,17,0,0,0,87,6,12,33.3,Matches
417,Nick Pope,eng ENG,GK,Newcastle Utd,30,1992,36.2,3,1,0,1,2,0,0,0,0,0,0,0,30,4,1,80.0,Matches
418,Pedro Porro,es ESP,"DF,MF",Tottenham,22,1999,12.6,0,0,0,12,16,1,77,15,16,0,0,0,85,1,11,8.3,Matches
419,Dennis Praet,be BEL,"MF,FW",Leicester City,28,1994,7.2,1,0,0,9,8,1,15,5,9,0,0,0,48,1,11,8.3,Matches
420,Isaac Price,nir NIR,MF,Everton,18,2003,0.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
421,Christian Pulisic,us USA,"FW,DF",Chelsea,23,1998,9.1,1,0,0,10,15,0,18,4,6,0,0,0,31,5,18,21.7,Matches
422,Aaron Ramsdale,eng ENG,GK,Arsenal,24,1998,38.0,1,0,0,0,4,0,0,0,1,0,0,0,33,6,0,100.0,Matches
423,Jacob Ramsey,eng ENG,"MF,FW",Aston Villa,21,2001,29.3,5,0,0,35,45,2,18,23,39,0,1,1,141,16,33,32.7,Matches
424,Marcus Rashford,eng ENG,FW,Manchester Utd,24,1997,32.0,2,0,0,15,23,15,24,7,10,0,0,0,100,20,40,33.3,Matches
425,David Raya,es ESP,GK,Brentford,26,1995,38.0,1,0,0,0,6,0,0,1,0,0,0,1,47,12,2,85.7,Matches
426,Tim Ream,us USA,DF,Fulham,34,1987,32.2,2,0,0,18,7,1,4,41,16,0,1,0,199,48,31,60.8,Matches
427,Nathan Redmond,eng ENG,DF,Southampton,28,1994,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
428,Harrison Reed,eng ENG,MF,Fulham,27,1995,31.8,5,0,0,38,21,4,54,19,27,0,0,1,160,29,36,44.6,Matches
429,Declan Rice,eng ENG,MF,West Ham,23,1999,36.4,5,0,0,23,11,1,44,63,38,0,0,0,334,37,26,58.7,Matches
430,Chris Richards,us USA,DF,Crystal Palace,22,2000,5.0,0,0,0,2,1,1,0,8,6,0,0,0,15,14,4,77.8,Matches
431,Richarlison,br BRA,"MF,FW",Tottenham,25,1997,11.2,3,0,0,14,22,9,16,5,16,2,0,0,52,18,29,38.3,Matches
