Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Brenden Aaronson,USA,"MF,FW",Leeds United,21,2000,26.4,797,711,85,26,8,2,72,5,38,17,14,1,592,1,27
George Abbott,ENG,MF,Tottenham,16,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Che Adams,SCO,FW,Southampton,26,1996,22.1,498,490,7,0,6,7,12,4,0,0,0,0,330,1,17
Tyler Adams,USA,MF,Leeds United,23,1999,24.0,1343,1271,72,58,1,2,2,14,0,0,0,0,1108,0,24
Tosin Adarabioyo,ENG,DF,Fulham,24,1997,23.2,1300,1235,58,47,2,12,2,7,0,0,0,0,1066,7,10
Nayef Aguerd,MAR,DF,West Ham,26,1996,17.7,763,723,36,29,0,21,0,0,0,0,0,0,599,4,5
Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,20,2002,1.0,46,45,1,0,0,0,2,0,0,0,0,0,37,0,0
Rayan Aït-Nouri,ALG,DF,Wolves,21,2001,12.0,578,487,89,5,0,2,21,81,3,1,2,0,470,2,18
Kristoffer Ajer,NOR,DF,Brentford,24,1998,8.5,345,293,51,7,0,4,6,44,0,0,0,0,259,1,8
Manuel Akanji,SUI,DF,Manchester City,27,1995,25.4,2056,1999,55,28,0,8,6,27,0,0,0,0,1912,2,8
Nathan Aké,NED,DF,Manchester City,27,1995,20.8,1813,1685,126,35,1,6,15,91,0,0,0,0,1639,2,26
Marc Albrighton,ENG,"FW,MF",Leicester City,32,1989,2.6,148,130,17,1,1,0,28,7,7,1,3,2,89,1,10
Thiago Alcántara,ESP,MF,Liverpool,31,1991,13.9,1097,1063,31,23,8,15,3,6,0,0,0,0,946,3,22
Carlos Alcaraz,ARG,"MF,FW",Southampton,19,2002,11.4,290,279,9,1,2,4,4,1,0,0,0,0,222,2,10
Trent Alexander-Arnold,ENG,DF,Liverpool,23,1998,32.5,2912,2393,509,70,26,59,252,341,98,16,74,1,2188,10,37
Alisson,BRA,GK,Liverpool,29,1992,37.0,1453,1199,250,57,0,2,0,0,0,0,0,0,1241,4,1
