Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 24_level_0_Matches
1,James Abankwah,ie IRL,DF,Watford,21-341,2004,9.1,1,1,0,13,7,0,3,8,8,0,0,0,25,25,8,75.8,Matches
2,Ebou Adams,gm GAM,MF,Derby County,29-342,1996,14.3,7,0,0,31,31,4,8,21,30,0,0,0,87,22,19,53.7,Matches
3,Kealey Adamson,au AUS,DF,QPR,22-289,2003,0.5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0.0,Matches
4,Patrick Agyemang,us USA,"FW,MF",Derby County,25-046,2000,14.5,1,0,0,26,23,8,5,1,1,0,0,0,51,48,51,48.5,Matches
5,Semi Ajayi,ng NGA,DF,Hull City,32-044,1993,9.7,0,0,0,4,7,0,5,14,9,0,1,0,36,25,17,59.5,Matches
6,Babajide Akintola,ng NGA,"FW,MF",Hull City,29-344,1996,4.7,3,0,0,12,4,5,4,1,8,0,0,0,25,9,11,45.0,Matches
7,Chuba Akpom,eng ENG,"MF,FW",Ipswich Town,30-075,1995,7.3,0,0,0,5,21,2,0,0,5,1,0,0,26,13,15,46.4,Matches
8,Yisa Alao,,DF,Sheffield Weds,,,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
9,Ryan Alebiosu,ng NGA,DF,Blackburn,24-006,2001,19.1,2,0,0,12,5,2,100,16,28,0,0,0,65,10,22,31.3,Matches
10,Jamie Allen,eng ENG,MF,Coventry City,30-328,1995,5.1,0,0,0,5,1,0,0,5,5,0,0,0,26,7,8,46.7,Matches
11,Max Alleyne,eng ENG,DF,Watford,20-155,2005,11.0,2,0,0,4,7,0,3,12,18,0,0,1,39,29,21,58.0,Matches
12,Ryan Allsop,eng ENG,GK,Birmingham City,33-189,1992,10.0,2,0,0,0,4,0,0,0,1,0,0,0,16,0,0,,Matches
13,Olabade Aluko,,"DF,FW",Leicester City,,,0.6,2,1,1,2,1,0,0,0,0,0,0,0,1,2,0,100.0,Matches
14,Papa Amadou Diallo,sn SEN,"DF,FW",Norwich City,21-181,2004,4.3,1,0,0,3,3,3,9,3,7,0,0,0,17,6,6,50.0,Matches
15,Harry Amass,eng ENG,DF,Sheffield Weds,18-282,2007,16.7,2,0,0,18,27,1,29,18,29,0,0,1,108,22,32,40.7,Matches
16,Karoy Anderson,jm JAM,MF,Charlton Ath,21-083,2004,2.6,1,0,0,7,0,1,2,1,8,0,0,0,9,3,8,27.3,Matches
17,Keshi Anderson,eng ENG,"FW,MF",Birmingham City,30-261,1995,7.2,2,0,0,8,19,3,30,2,9,0,0,0,36,7,8,46.7,Matches
18,Kai Andrews,wls WAL,"FW,MF",Coventry City,19-139,2006,0.6,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,Matches
19,Ryan Andrews,eng ENG,DF,Watford,21-119,2004,0.3,1,0,0,1,1,0,0,0,1,0,0,0,3,0,0,,Matches
20,Robert Apter,sct SCO,"FW,MF",Charlton Ath,22-244,2003,6.2,1,0,0,3,5,0,47,1,7,0,0,0,25,3,5,37.5,Matches
21,Oliver Arblaster,eng ENG,MF,Sheffield Utd,21-232,2004,1.8,0,0,0,0,0,0,1,2,1,0,0,0,9,1,1,50.0,Matches
22,Cameron Archer,eng ENG,"FW,MF",Southampton,24-155,2001,5.6,1,0,0,9,7,6,1,0,2,0,0,0,16,6,23,20.7,Matches
23,Joe Aribo,ng NGA,"MF,FW",Southampton,29-155,1996,1.3,1,0,0,1,0,0,1,1,1,0,0,0,3,1,8,11.1,Matches
24,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-316,1997,17.6,4,0,0,23,12,12,7,4,9,0,0,0,36,8,23,25.8,Matches
25,Harrison Armstrong,eng ENG,MF,Preston,18-338,2007,10.9,3,0,0,11,18,0,5,12,9,0,0,0,46,19,5,79.2,Matches
26,Sinclair Armstrong,ie IRL,FW,Bristol City,22-184,2003,9.0,3,0,0,16,18,4,3,1,5,0,0,0,22,9,20,31.0,Matches
27,Tom Atcheson,nir NIR,DF,Blackburn,19-092,2006,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0,Matches
28,Robert Atkinson,eng ENG,DF,Bristol City,27-163,1998,11.8,1,0,0,2,11,1,2,13,18,0,0,0,39,51,19,72.9,Matches
29,Jordan Ayew,gh GHA,"FW,MF",Leicester City,34-103,1991,15.4,3,0,0,29,32,5,39,8,16,0,0,0,50,27,45,37.5,Matches
30,Luke Ayling,eng ENG,DF,Middlesbrough,34-120,1991,16.7,4,0,0,11,27,0,20,16,26,0,0,0,97,28,22,56.0,Matches
31,Finn Azaz,ie IRL,"MF,FW",Southampton,25-107,2000,12.8,0,0,0,13,16,2,18,3,12,0,0,0,61,12,14,46.2,Matches
32,Finn Azaz,ie IRL,MF,Middlesbrough,25-107,2000,1.0,0,0,0,0,0,0,3,2,1,0,0,0,8,0,0,,Matches
33,Femi Azeez,eng ENG,"FW,MF",Millwall,24-201,2001,10.1,1,1,0,24,10,7,60,6,13,1,0,0,44,21,28,42.9,Matches
34,Ivan Azón,es ESP,FW,Ipswich Town,22-364,2002,6.3,0,0,0,8,10,6,2,0,0,0,0,0,14,16,29,35.6,Matches
35,Kwadwo Baah,eng ENG,"FW,MF",Watford,22-330,2003,6.6,4,0,0,15,16,2,21,1,2,0,0,0,24,3,7,30.0,Matches
36,Lewis Baker,eng ENG,MF,Stoke City,30-242,1995,11.1,1,0,0,13,9,1,12,7,7,0,0,0,44,5,10,33.3,Matches
37,Thierno Ballo,at AUT,"FW,MF",Millwall,23-355,2002,12.3,3,0,0,20,7,6,19,7,13,0,0,0,61,10,29,25.6,Matches
38,Patrick Bamford,eng ENG,FW,Sheffield Utd,32-109,1993,3.8,0,0,0,4,9,3,0,1,4,0,0,0,6,9,12,42.9,Matches
39,Alex Bangura,sl SLE,DF,Middlesbrough,26-163,1999,2.6,0,0,0,2,8,0,6,2,0,0,0,0,7,1,4,20.0,Matches
40,Raees Bangura-Williams,,MF,Millwall,,,4.3,2,0,0,12,6,2,3,3,4,0,0,0,16,3,1,75.0,Matches
41,Tamer Bani Odeh,jo JOR,MF,West Brom,22-065,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
42,Barry Bannan,sct SCO,MF,Sheffield Weds,36-022,1989,20.3,5,1,1,10,9,1,121,19,16,0,0,0,101,6,8,42.9,Matches
43,Moussa Baradji,fr FRA,MF,Blackburn,25-033,2000,1.1,0,0,0,3,1,0,3,2,4,0,0,0,8,8,2,80.0,Matches
44,Ryan Barnett,eng ENG,DF,Wrexham,26-091,1999,4.4,0,0,0,0,5,0,36,2,2,0,0,0,13,2,7,22.2,Matches
45,Louie Barry,eng ENG,"FW,MF",Sheffield Utd,22-185,2003,4.9,1,0,0,3,2,2,24,0,7,0,0,0,15,1,6,14.3,Matches
46,Danny Batth,eng ENG,DF,Derby County,35-093,1990,3.7,0,0,0,5,5,0,0,4,0,0,0,0,8,17,9,65.4,Matches
47,Nathan Baxter,eng ENG,GK,Watford,27-045,1998,6.5,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,100.0,Matches
48,Gavin Bazunu,ie IRL,GK,Southampton,23-306,2002,15.0,1,0,0,1,8,0,0,0,0,0,0,0,21,3,0,100.0,Matches
49,James Beadle,eng ENG,GK,Birmingham City,21-160,2004,12.0,2,0,0,1,1,0,0,0,0,0,0,0,24,6,0,100.0,Matches
50,Asmir Begović,ba BIH,GK,Leicester City,38-186,1987,4.5,1,0,0,0,3,0,0,0,0,0,0,0,6,2,0,100.0,Matches
51,Amari'i Bell,jm JAM,DF,Charlton Ath,31-232,1994,12.0,2,0,0,6,19,0,5,16,10,0,0,0,43,18,9,66.7,Matches
52,Sam Bell,eng ENG,MF,Bristol City,23-214,2002,0.2,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,,Matches
53,Bachir Belloumi,dz ALG,"FW,MF",Hull City,23-205,2002,5.0,1,0,0,4,5,5,10,10,7,0,0,0,25,3,17,15.0,Matches
54,Anis Ben Slimane,tn TUN,MF,Norwich City,24-282,2001,0.2,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,50.0,Matches
55,Steven Benda,de GER,GK,Millwall,27-083,1998,9.0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,2,0.0,Matches
56,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,23-007,2002,1.4,0,0,0,0,0,0,4,0,4,0,0,0,4,3,0,100.0,Matches
57,Luke Berry,eng ENG,MF,Charlton Ath,33-164,1992,2.2,1,0,0,4,3,0,1,0,1,0,0,0,5,3,2,60.0,Matches
58,Florian Bianchini,fr FRA,FW,Portsmouth,24-181,2001,5.7,0,0,0,8,9,1,27,1,11,1,0,0,21,12,14,46.2,Matches
59,Jake Bidwell,eng ENG,DF,Coventry City,32-277,1993,1.9,1,0,0,0,0,0,2,1,1,0,0,0,7,1,2,33.3,Matches
60,Krystian Bielik,pl POL,DF,West Brom,27-353,1998,5.6,0,0,0,10,7,0,1,12,6,0,0,0,25,29,12,70.7,Matches
61,Tyler Bindon,nz NZL,DF,Sheffield Utd,20-330,2005,6.4,0,0,0,8,5,2,0,3,5,0,0,0,28,24,13,64.9,Matches
62,Max Bird,eng ENG,MF,Bristol City,25-096,2000,1.1,0,0,0,0,1,0,6,1,1,0,0,0,4,0,0,,Matches
63,Colby Bishop,eng ENG,FW,Portsmouth,29-049,1996,18.6,2,0,0,20,17,12,3,1,6,0,0,0,29,94,125,42.9,Matches
64,Corey Blackett-Taylor,eng ENG,"MF,DF",Derby County,28-091,1997,1.5,0,0,0,0,0,0,5,4,0,0,0,0,4,1,0,100.0,Matches
65,Harvey Blair,eng ENG,FW,Portsmouth,22-100,2003,1.1,0,0,0,0,1,0,7,0,0,0,0,0,1,3,3,50.0,Matches
66,Eric Bocat,fr FRA,DF,Stoke City,26-160,1999,6.0,0,0,0,2,4,0,12,16,7,0,0,0,31,12,6,66.7,Matches
