Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Mark McGuinness,IRL,DF,Sheffield Utd,24-352,2001.0,11.6,3,0.26,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Kenny McLean,SCO,"MF,DF",Norwich City,33-349,1992.0,17.3,56,3.24,40,12,2,1,1,0,3,0.17,3,0,0,0,0,0
Sean McLoughlin,IRL,DF,Blackburn,29-040,1996.0,18.4,14,0.72,11,1,0,1,0,1,0,0.0,0,0,0,0,0,0
Dan McNamara,IRL,DF,Millwall,26-361,1998.0,2.9,5,1.72,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Charlie McNeill,ENG,"MF,FW",Sheffield Weds,22-105,2003.0,9.2,19,1.87,12,4,1,2,0,0,1,0.1,1,0,0,0,0,0
Jakov Medić,CRO,DF,Norwich City,27-107,1998.0,12.5,11,0.88,11,0,0,0,0,0,2,0.16,2,0,0,0,0,0
Ben Mee,ENG,DF,Sheffield Utd,36-093,1989.0,11.4,9,0.79,8,1,0,0,0,0,2,0.18,2,0,0,0,0,0
Anis Mehmeti,ALB,"MF,FW",Bristol City,24-348,2001.0,21.0,92,4.38,57,13,12,5,5,0,10,0.48,5,2,1,1,1,0
Formose Mendy,SEN,DF,Watford,24-355,2001.0,1.0,3,2.93,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nampalys Mendy,SEN,MF,Watford,33-183,1992.0,3.1,7,2.26,7,0,0,0,0,0,1,0.32,1,0,0,0,0,0
Chris Mepham,WAL,DF,West Brom,28-048,1997.0,15.5,16,1.03,13,2,0,1,0,0,2,0.13,2,0,0,0,0,0
Liam Millar,CAN,"FW,MF",Hull City,26-087,1999.0,4.4,20,4.52,17,1,1,1,0,0,6,1.36,5,0,1,0,0,0
Lewis Miller,AUS,DF,Blackburn,25-121,2000.0,16.8,25,1.4,12,9,2,1,1,0,3,0.17,2,1,0,0,0,0
Stanley Mills,ENG,"MF,FW",Oxford United,22-059,2003.0,9.2,27,2.94,18,1,5,2,1,0,2,0.22,2,0,0,0,0,0
Yang Minhyeok,KOR,FW,Portsmouth,19-251,2006.0,7.1,17,2.39,13,0,2,1,1,0,2,0.28,1,0,1,0,0,0
Billy Mitchell,ENG,MF,Millwall,25-245,2000.0,6.8,14,2.05,13,0,0,0,0,1,1,0.15,1,0,0,0,0,0
