Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Josh Murphy,ENG,"FW,MF",Portsmouth,30-302,1995.0,11.8,158,338,46.7,3493,1485,52,78,66.7,68,126,54.0,35,109,32.1,5,3.7,2.6,1.3,24,18,23,14,27
Paul Nardi,FRA,GK,QPR,31-219,1994.0,14.8,295,462,63.9,8906,6860,60,61,98.4,136,139,97.8,99,259,38.2,0,0.7,0.1,-0.7,1,9,2,0,1
Joel Ndala,ENG,"FW,MF",Hull City,19-206,2006.0,7.1,82,110,74.5,1239,114,44,52,84.6,30,38,78.9,5,9,55.6,0,0.1,1.0,-0.1,3,4,2,1,5
Camiel Neghli,NED,"MF,FW",Millwall,24-047,2001.0,13.0,337,494,68.2,5408,1313,153,193,79.3,136,174,78.2,27,68,39.7,0,0.6,1.1,-0.6,12,27,10,4,49
Benjamin Nelson,ENG,DF,Leicester City,21-280,2004.0,5.4,139,181,76.8,3041,869,29,37,78.4,93,105,88.6,17,37,45.9,0,0.0,0.0,0.0,0,5,0,0,4
Curtis Nelson,ENG,DF,Derby County,32-216,1993.0,0.0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Phil Neumann,GER,DF,Birmingham City,28-168,1997.0,16.5,761,889,85.6,14697,4191,243,267,91.0,458,503,91.1,55,102,53.9,0,0.0,0.2,0.0,1,56,2,1,62
Jeremy Ngakia,,DF,Watford,25-107,2000.0,17.4,700,936,74.8,12446,5024,313,358,87.4,312,382,81.7,68,160,42.5,4,1.5,1.6,2.5,18,64,18,10,76
Kevin Nisbet,SCO,FW,Millwall,28-290,1997.0,0.2,3,5,60.0,48,18,1,1,100.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
Casper de Norre,BEL,MF,Millwall,28-319,1997.0,11.9,376,470,80.0,6915,1779,147,173,85.0,169,190,88.9,44,69,63.8,2,0.8,0.8,1.2,9,49,8,1,56
