Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 24_level_0_Matches
38,Patrick Bamford,eng ENG,FW,Sheffield Utd,32-109,1993,3.8,13,3.45,8,0,1,3,0,1,2,0.53,0,0,1,1,0,0,Matches
39,Alex Bangura,sl SLE,DF,Middlesbrough,26-163,1999,2.6,7,2.66,6,0,0,0,1,0,1,0.38,1,0,0,0,0,0,Matches
40,Raees Bangura-Williams,,MF,Millwall,,,4.3,10,2.31,7,0,1,0,1,1,1,0.23,1,0,0,0,0,0,Matches
41,Tamer Bani Odeh,jo JOR,MF,West Brom,22-065,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
42,Barry Bannan,sct SCO,MF,Sheffield Weds,36-022,1989,20.3,85,4.00,58,20,2,3,1,1,3,0.14,1,2,0,0,0,0,Matches
43,Moussa Baradji,fr FRA,MF,Blackburn,25-033,2000,1.1,2,1.28,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
44,Ryan Barnett,eng ENG,DF,Wrexham,26-091,1999,4.4,7,1.58,6,0,1,0,0,0,2,0.45,2,0,0,0,0,0,Matches
45,Louie Barry,eng ENG,"FW,MF",Sheffield Utd,22-185,2003,4.9,19,3.83,8,6,0,3,1,1,0,0.00,0,0,0,0,0,0,Matches
46,Danny Batth,eng ENG,DF,Derby County,35-093,1990,3.7,1,0.27,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
47,Nathan Baxter,eng ENG,GK,Watford,27-045,1998,6.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
48,Gavin Bazunu,ie IRL,GK,Southampton,23-306,2002,15.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
49,James Beadle,eng ENG,GK,Birmingham City,21-160,2004,12.0,2,0.17,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
50,Asmir Begović,ba BIH,GK,Leicester City,38-186,1987,4.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
51,Amari'i Bell,jm JAM,DF,Charlton Ath,31-232,1994,12.0,14,1.16,12,1,0,0,0,1,1,0.08,1,0,0,0,0,0,Matches
52,Sam Bell,eng ENG,MF,Bristol City,23-214,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
53,Bachir Belloumi,dz ALG,"FW,MF",Hull City,23-205,2002,5.0,24,4.81,15,1,4,1,1,2,3,0.60,2,0,1,0,0,0,Matches
54,Anis Ben Slimane,tn TUN,MF,Norwich City,24-282,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
55,Steven Benda,de GER,GK,Millwall,27-083,1998,9.0,1,0.11,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
56,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,23-007,2002,1.4,1,0.70,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
57,Luke Berry,eng ENG,MF,Charlton Ath,33-164,1992,2.2,5,2.26,4,0,0,1,0,0,1,0.45,0,0,0,1,0,0,Matches
58,Florian Bianchini,fr FRA,FW,Portsmouth,24-181,2001,5.7,13,2.29,10,0,0,1,2,0,1,0.18,1,0,0,0,0,0,Matches
59,Jake Bidwell,eng ENG,DF,Coventry City,32-277,1993,1.9,2,1.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
60,Krystian Bielik,pl POL,DF,West Brom,27-353,1998,5.6,9,1.62,7,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
61,Tyler Bindon,nz NZL,DF,Sheffield Utd,20-330,2005,6.4,6,0.94,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
62,Max Bird,eng ENG,MF,Bristol City,25-096,2000,1.1,3,2.65,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
63,Colby Bishop,eng ENG,FW,Portsmouth,29-049,1996,18.6,23,1.23,15,1,0,5,2,0,1,0.05,0,0,0,1,0,0,Matches
64,Corey Blackett-Taylor,eng ENG,"MF,DF",Derby County,28-091,1997,1.5,5,3.38,4,0,0,1,0,0,1,0.68,1,0,0,0,0,0,Matches
65,Harvey Blair,eng ENG,FW,Portsmouth,22-100,2003,1.1,4,3.60,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
66,Eric Bocat,fr FRA,DF,Stoke City,26-160,1999,6.0,14,2.34,10,0,2,1,1,0,3,0.50,2,0,0,1,0,0,Matches
67,Marc Bola,eng ENG,DF,Watford,28-014,1997,16.9,34,2.01,29,0,2,1,2,0,4,0.24,3,0,0,1,0,0,Matches
68,Neto Borges,br BRA,DF,Middlesbrough,29-101,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
69,Neto Borges,br BRA,DF,Bristol City,29-101,1996,10.8,30,2.77,22,5,1,1,0,1,2,0.18,2,0,0,0,0,0,Matches
70,Raphael Borges Rodrigues,au AUS,FW,Coventry City,22-103,2003,0.4,3,7.50,3,0,0,0,0,0,1,2.50,1,0,0,0,0,0,Matches
71,Oliver Bostock,wls WAL,MF,West Brom,18-306,2007,0.0,2,90.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
72,Ibane Bowat,sct SCO,DF,Portsmouth,23-099,2002,4.5,4,0.89,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
73,Róbert Boženík,sk SVK,FW,Stoke City,26-035,1999,5.9,8,1.37,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
74,Tom Bradshaw,wls WAL,FW,Oxford United,33-149,1992,0.8,2,2.61,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
75,Cameron Bragg,eng ENG,MF,Southampton,20-257,2005,2.1,6,2.78,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
76,Cameron Brannagan,eng ENG,MF,Oxford United,29-228,1996,14.9,41,2.75,32,3,0,3,2,1,3,0.20,2,0,0,1,0,0,Matches
77,Brau,es ESP,"DF,FW",Coventry City,23-361,2001,0.9,2,2.28,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
78,James Bree,eng ENG,"DF,FW",Charlton Ath,28-073,1997,14.1,47,3.32,25,17,2,1,2,0,4,0.28,1,2,1,0,0,0,Matches
79,Ben Brereton,cl CHI,"MF,FW",Derby County,26-249,1999,14.0,22,1.57,17,0,2,2,0,1,2,0.14,0,0,1,1,0,0,Matches
80,Rhian Brewster,eng ENG,"MF,FW",Derby County,25-266,2000,5.5,14,2.52,8,0,3,2,0,1,3,0.54,0,0,2,1,0,0,Matches
81,Callum Brittain,eng ENG,DF,Middlesbrough,27-286,1998,20.6,53,2.58,43,3,2,3,1,1,6,0.29,4,1,0,0,1,0,Matches
82,Nathan Broadhead,wls WAL,MF,Ipswich Town,27-262,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
83,Nathan Broadhead,wls WAL,"FW,MF",Wrexham,27-262,1998,8.7,28,3.22,18,0,2,3,4,1,2,0.23,1,0,0,1,0,0,Matches
84,Andre Brooks,eng ENG,"MF,FW",Sheffield Utd,22-125,2003,10.7,25,2.33,18,0,2,3,1,1,4,0.37,2,0,0,1,1,0,Matches
85,Ciaron Brown,nir NIR,DF,Oxford United,27-343,1998,12.9,19,1.47,15,0,0,4,0,0,0,0.00,0,0,0,0,0,0,Matches
86,Dajaune Brown,jm JAM,FW,Derby County,20-068,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
87,George Brown,,FW,Sheffield Weds,,,3.4,9,2.62,5,0,0,0,4,0,1,0.29,0,0,0,0,1,0,Matches
88,Alan Browne,ie IRL,"MF,DF",Middlesbrough,30-252,1995,10.4,24,2.30,19,0,1,3,1,0,4,0.38,4,0,0,0,0,0,Matches
89,Lewis Brunt,eng ENG,DF,Wrexham,25-047,2000,6.1,1,0.16,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
90,Joe Bryan,eng ENG,DF,Millwall,32-097,1993,6.3,14,2.21,11,0,2,0,1,0,0,0.00,0,0,0,0,0,0,Matches
91,Solomon Brynn,eng ENG,GK,Middlesbrough,25-054,2000,22.0,1,0.05,1,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
92,Cameron Burgess,au AUS,DF,Swansea City,30-063,1995,22.0,21,0.95,18,0,0,3,0,0,0,0.00,0,0,0,0,0,0,Matches
93,Delano Burgzorg,sr SUR,"FW,MF",Middlesbrough,27-046,1998,8.7,36,4.16,26,1,0,4,5,0,3,0.35,2,0,0,1,0,0,Matches
94,Reece Burke,eng ENG,DF,Charlton Ath,29-112,1996,4.6,1,0.22,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
95,Rumarn Burrell,jm JAM,"FW,MF",QPR,25-007,2000,18.1,35,1.94,27,0,4,3,0,1,3,0.17,2,0,1,0,0,0,Matches
96,Harrison Burrows,eng ENG,DF,Sheffield Utd,23-345,2002,13.3,43,3.23,24,15,1,1,2,0,2,0.15,1,1,0,0,0,0,Matches
97,Josef Bursik,eng ENG,GK,Portsmouth,25-164,2000,9.0,2,0.22,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
98,Ben Cabango,wls WAL,DF,Swansea City,25-207,2000,20.8,11,0.53,10,0,0,1,0,0,1,0.05,0,0,0,1,0,0,Matches
99,Liberato Cacace,nz NZL,"DF,FW",Wrexham,25-087,2000,5.4,8,1.49,6,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
100,Bailey-Tye Cadamarteri,jm JAM,FW,Sheffield Weds,20-228,2005,15.4,19,1.16,13,0,2,1,2,1,0,0.00,0,0,0,0,0,0,Matches
101,Jens Cajuste,se SWE,MF,Ipswich Town,26-135,1999,9.1,29,3.19,19,2,3,3,2,0,3,0.33,3,0,0,0,0,0,Matches
102,George Campbell,us USA,DF,West Brom,24-184,2001,15.6,30,1.92,25,2,1,1,1,0,2,0.13,2,0,0,0,0,0,Matches
103,Tyreece Campbell,jm JAM,"FW,MF",Charlton Ath,22-100,2003,16.7,45,2.69,29,0,7,5,3,1,3,0.18,2,0,0,1,0,0,Matches
104,Tyrese Campbell,eng ENG,FW,Sheffield Utd,25-360,1999,15.4,24,1.56,16,0,4,3,1,0,3,0.20,2,0,1,0,0,0,Matches
105,Thomas Cannon,ie IRL,"FW,MF",Sheffield Utd,22-360,2002,7.9,11,1.39,8,0,0,3,0,0,1,0.13,1,0,0,0,0,0,Matches
106,Todd Cantwell,eng ENG,MF,Blackburn,27-299,1998,9.4,43,4.55,25,16,1,1,0,0,3,0.32,2,1,0,0,0,0,Matches
107,Sonny Carey,eng ENG,MF,Charlton Ath,24-337,2001,18.3,59,3.23,37,3,6,6,5,2,5,0.27,1,1,1,1,1,0,Matches
108,Julián Carranza,ar ARG,"FW,MF",Leicester City,25-215,2000,3.5,6,1.70,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
109,Hayden Carter,eng ENG,DF,Blackburn,26-006,1999,1.0,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
110,Kaelan Casey,eng ENG,DF,Swansea City,21-056,2004,3.2,5,1.54,5,0,0,0,0,0,1,0.31,1,0,0,0,0,0,Matches
111,Eiran Cashin,ie IRL,DF,Birmingham City,24-044,2001,2.4,5,2.06,3,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
112,Žan Celar,si SVN,FW,QPR,26-284,1999,0.8,2,2.37,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
113,Ilias Chair,ma MAR,"FW,MF",QPR,28-054,1997,8.9,47,5.29,28,11,1,7,0,0,5,0.56,3,0,0,2,0,0,Matches
114,Giorgi Chakvetadze,ge GEO,"MF,FW",Watford,26-116,1999,2.7,4,1.46,3,0,0,0,0,1,1,0.36,1,0,0,0,0,0,Matches
115,Nathaniel Chalobah,eng ENG,"MF,FW",Sheffield Weds,31-011,1994,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
116,Archie Chaplin,eng ENG,"DF,FW",Middlesbrough,20-056,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
117,Conor Chaplin,eng ENG,"MF,FW",Portsmouth,28-310,1997,11.2,38,3.39,21,5,0,6,5,1,2,0.18,1,1,0,0,0,0,Matches
118,Conor Chaplin,eng ENG,"FW,MF",Ipswich Town,28-310,1997,1.5,6,4.00,4,0,1,1,0,0,1,0.67,0,0,0,1,0,0,Matches
119,Pierce Charles,nir NIR,GK,Sheffield Weds,20-155,2005,5.0,1,0.17,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
120,Shea Charles,nir NIR,MF,Southampton,22-048,2003,11.3,36,3.10,29,2,0,1,4,0,2,0.17,1,0,0,0,1,0,Matches
121,Tahith Chong,cw CUW,"MF,FW",Sheffield Utd,26-019,1999,2.6,13,4.94,11,0,1,0,1,0,2,0.76,1,0,1,0,0,0,Matches
122,Hamza Choudhury,bd BAN,"DF,MF",Leicester City,28-083,1997,8.1,10,1.24,8,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
123,Benjamin Chrisene,eng ENG,DF,Norwich City,21-345,2004,3.7,3,0.81,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
