Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
James Abankwah,IRL,DF,Watford,21-341,2004.0,9.1,1,1,0,13,7,0,3,8,8,0,0,0,25,25,8,75.8
Ebou Adams,GAM,MF,Derby County,29-342,1996.0,14.3,7,0,0,31,31,4,8,21,30,0,0,0,87,22,19,53.7
Kealey Adamson,AUS,DF,QPR,22-289,2003.0,0.5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0.0
Patrick Agyemang,USA,"FW,MF",Derby County,25-046,2000.0,14.5,1,0,0,26,23,8,5,1,1,0,0,0,51,48,51,48.5
Semi Ajayi,NGA,DF,Hull City,32-044,1993.0,9.7,0,0,0,4,7,0,5,14,9,0,1,0,36,25,17,59.5
Babajide Akintola,NGA,"FW,MF",Hull City,29-344,1996.0,4.7,3,0,0,12,4,5,4,1,8,0,0,0,25,9,11,45.0
Chuba Akpom,ENG,"MF,FW",Ipswich Town,30-075,1995.0,7.3,0,0,0,5,21,2,0,0,5,1,0,0,26,13,15,46.4
Yisa Alao,,DF,Sheffield Weds,,,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Ryan Alebiosu,NGA,DF,Blackburn,24-006,2001.0,19.1,2,0,0,12,5,2,100,16,28,0,0,0,65,10,22,31.3
Jamie Allen,ENG,MF,Coventry City,30-328,1995.0,5.1,0,0,0,5,1,0,0,5,5,0,0,0,26,7,8,46.7
Max Alleyne,ENG,DF,Watford,20-155,2005.0,11.0,2,0,0,4,7,0,3,12,18,0,0,1,39,29,21,58.0
Ryan Allsop,ENG,GK,Birmingham City,33-189,1992.0,10.0,2,0,0,0,4,0,0,0,1,0,0,0,16,0,0,
Olabade Aluko,,"DF,FW",Leicester City,,,0.6,2,1,1,2,1,0,0,0,0,0,0,0,1,2,0,100.0
Papa Amadou Diallo,SEN,"DF,FW",Norwich City,21-181,2004.0,4.3,1,0,0,3,3,3,9,3,7,0,0,0,17,6,6,50.0
Harry Amass,ENG,DF,Sheffield Weds,18-282,2007.0,16.7,2,0,0,18,27,1,29,18,29,0,0,1,108,22,32,40.7
Karoy Anderson,JAM,MF,Charlton Ath,21-083,2004.0,2.6,1,0,0,7,0,1,2,1,8,0,0,0,9,3,8,27.3
