Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 24_level_0_Matches
374,Nicola Murru,it ITA,DF,Sampdoria,27,1994,8.7,3,0,0,15,6,1,9,10,14,0,3,0,36,8,8,50.0,Matches
375,Juan Musso,ar ARG,GK,Atalanta,28,1994,23.1,1,0,0,0,5,0,0,0,1,0,0,1,18,1,0,100.0,Matches
376,Joakim Mæhle,dk DEN,"DF,MF",Atalanta,25,1997,24.5,5,1,0,16,19,6,38,24,18,0,0,0,138,4,12,25.0,Matches
377,Herculano Nabian,pt POR,MF,Empoli,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
378,Michel Ndary Adopo,fr FRA,"MF,DF",Torino,22,2000,2.9,1,0,0,6,2,0,0,1,2,0,0,0,20,9,6,60.0,Matches
379,Tanguy Ndombele,fr FRA,MF,Napoli,25,1996,9.0,5,0,0,15,23,0,1,7,8,0,1,0,42,7,3,70.0,Matches
380,Ilija Nestorovski,mk MKD,"FW,MF",Udinese,32,1990,7.1,3,0,0,18,21,5,0,2,3,1,0,0,13,12,35,25.5,Matches
381,Cyril Ngonge,be BEL,"MF,FW",Hellas Verona,22,2000,8.3,2,0,0,13,11,5,18,6,3,0,1,0,29,17,35,32.7,Matches
382,Hans Nicolussi Caviglia,it ITA,MF,Salernitana,22,2000,6.5,2,0,0,13,6,0,4,7,6,0,1,0,46,9,11,45.0,Matches
383,Dimitris Nikolaou,gr GRE,DF,Spezia,23,1998,32.9,9,1,0,27,20,0,18,27,32,0,0,0,202,30,29,50.8,Matches
384,Samuel Ntanda,cd COD,MF,Sampdoria,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
385,Bram Nuytinck,nl NED,DF,Udinese,32,1990,4.3,1,0,0,4,2,0,0,5,4,0,0,0,19,7,5,58.3,Matches
386,Bram Nuytinck,nl NED,DF,Sampdoria,32,1990,16.6,4,0,0,23,8,0,0,23,38,0,1,0,74,29,34,46.0,Matches
387,M'Bala Nzola,ao ANG,FW,Spezia,25,1996,29.5,8,0,0,57,41,10,10,7,5,0,0,0,74,42,80,34.4,Matches
388,Pedro Obiang,gq EQG,MF,Sassuolo,30,1992,9.7,2,0,0,16,8,0,1,8,17,0,0,0,53,17,20,45.9,Matches
389,Guillermo Ochoa,mx MEX,GK,Salernitana,37,1985,20.0,1,0,0,0,1,0,0,0,0,0,0,0,22,2,0,100.0,Matches
390,Marios Oikonomou,gr GRE,DF,Sampdoria,29,1992,2.4,3,0,0,3,2,0,0,4,2,0,0,0,16,4,2,66.7,Matches
391,David Okereke,ng NGA,"FW,MF",Cremonese,24,1997,25.2,4,0,0,21,33,9,22,10,8,3,1,0,60,49,85,36.6,Matches
392,Caleb Okoli,it ITA,DF,Atalanta,21,2001,10.7,3,0,0,15,8,0,2,30,17,0,0,0,66,43,25,63.2,Matches
393,Mathías Olivera,uy URU,DF,Napoli,24,1997,18.3,2,0,0,21,25,2,19,22,23,0,0,0,99,33,42,44.0,Matches
394,André Onana,cm CMR,GK,Inter,26,1996,24.0,1,0,0,0,3,0,0,0,0,0,0,1,24,3,0,100.0,Matches
395,Divock Origi,be BEL,FW,Milan,27,1995,11.4,1,0,0,13,17,6,11,0,5,0,0,0,33,15,34,30.6,Matches
396,Riccardo Orsolini,it ITA,FW,Bologna,25,1997,23.6,8,2,1,39,43,18,99,8,19,1,0,0,113,16,25,39.0,Matches
397,Victor Osimhen,ng NGA,FW,Napoli,23,1998,28.5,4,0,0,40,38,32,19,6,6,2,1,0,58,65,54,54.6,Matches
398,Remi Oudin,fr FRA,"FW,MF",Lecce,25,1996,14.7,3,0,0,10,14,2,113,29,13,0,0,0,90,11,12,47.8,Matches
399,Adam Ounas,dz ALG,FW,Napoli,25,1996,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0,Matches
400,Simone Pafundi,it ITA,"MF,FW",Udinese,16,2006,0.9,0,0,0,0,3,0,1,1,5,0,0,0,6,1,0,100.0,Matches
401,Flavio Paoletti,it ITA,MF,Sampdoria,19,2003,3.2,1,0,0,5,3,0,1,5,2,0,0,0,18,1,6,14.3,Matches
402,Leandro Paredes,ar ARG,MF,Juventus,28,1994,10.9,7,1,0,20,10,0,51,17,13,0,1,0,75,4,3,57.1,Matches
403,Fabiano Parisi,it ITA,DF,Empoli,21,2000,31.4,10,1,0,34,74,0,59,41,35,1,1,0,233,30,13,69.8,Matches
404,Mario Pašalić,hr CRO,"MF,FW",Atalanta,27,1995,19.7,3,0,0,24,16,2,5,21,10,0,0,0,102,37,34,52.1,Matches
405,Patric,es ESP,DF,Lazio,29,1993,15.7,1,0,0,3,4,0,0,11,11,0,0,0,96,8,22,26.7,Matches
406,Rui Patrício,pt POR,GK,Roma,34,1988,35.0,1,0,0,1,0,0,0,2,1,0,1,0,37,2,0,100.0,Matches
407,Pedro,es ESP,FW,Lazio,35,1987,21.1,1,0,0,26,30,5,34,6,24,1,0,0,89,1,5,16.7,Matches
408,Gianluca Pegolo,it ITA,GK,Sassuolo,41,1981,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
409,Pietro Pellegri,it ITA,FW,Torino,21,2001,5.2,3,0,0,15,14,7,3,0,2,0,0,0,12,11,33,25.0,Matches
410,Lorenzo Pellegrini,it ITA,MF,Roma,26,1996,28.3,5,0,0,25,57,5,162,26,29,0,0,0,130,12,24,33.3,Matches
411,Luca Pellegrini,it ITA,DF,Lazio,23,1999,2.0,3,0,0,5,1,0,15,7,0,0,0,0,12,3,7,30.0,Matches
412,Pepín,gq EQG,MF,Monza,25,1996,12.5,4,0,0,19,12,0,11,13,19,0,0,0,66,6,7,46.2,Matches
413,Roberto Pereyra,ar ARG,"DF,MF",Udinese,31,1991,31.3,7,0,0,31,47,2,71,16,20,0,1,0,160,3,9,25.0,Matches
414,Nehuén Pérez,ar ARG,DF,Udinese,22,2000,31.3,7,1,0,29,11,0,18,35,40,0,0,1,146,35,22,61.4,Matches
415,Simone Perilli,it ITA,GK,Hellas Verona,27,1995,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
416,Mattia Perin,it ITA,GK,Juventus,29,1992,10.5,0,0,0,0,1,0,0,0,0,0,0,0,18,2,0,100.0,Matches
