Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Gonzalo Villar,ESP,MF,Sampdoria,24,1998,7.7,2,0,0,17,18,0,7,4,7,0,1,0,55,9,5,64.3
Matías Viña,URU,DF,Roma,24,1997,0.6,0,0,0,4,1,0,2,2,1,0,0,0,5,1,0,100.0
Dušan Vlahović,SRB,FW,Juventus,22,2000,21.4,1,0,0,19,26,22,7,3,6,1,0,0,55,36,56,39.1
Nikola Vlašić,CRO,"MF,FW",Torino,24,1997,30.3,1,0,0,32,38,15,46,10,21,0,0,0,128,25,49,33.8
Joel Voelkerling Persson,SWE,"FW,MF",Lecce,19,2003,1.1,0,0,0,3,1,0,4,0,1,0,0,0,7,8,10,44.4
Mërgim Vojvoda,KVX,DF,Torino,27,1995,19.1,3,0,0,19,7,2,43,10,12,0,0,0,117,10,18,35.7
Cristian Volpato,ITA,MF,Roma,18,2003,2.5,0,0,0,7,6,0,9,2,2,0,0,0,18,1,1,50.0
Lukáš Vorlický,CZE,"MF,FW",Atalanta,20,2002,0.3,0,0,0,0,0,0,1,1,0,0,0,0,5,2,2,50.0
Aster Vranckx,BEL,MF,Milan,19,2002,2.7,1,0,0,6,4,0,3,2,2,0,0,0,12,4,5,44.4
Stefan de Vrij,NED,DF,Inter,30,1992,21.6,4,0,0,15,7,0,0,40,18,0,1,0,100,82,30,73.2
Walace,BRA,MF,Udinese,27,1995,35.4,6,0,0,40,39,0,21,51,39,0,1,0,297,23,29,44.2
Sebastian Walukiewicz,POL,DF,Empoli,22,2000,6.7,0,0,0,5,2,0,0,7,6,0,0,0,21,4,7,36.4
Georginio Wijnaldum,NED,MF,Roma,31,1990,8.5,0,0,0,3,9,1,4,2,3,1,0,0,32,13,5,72.2
Harry Winks,ENG,MF,Sampdoria,26,1996,19.1,2,0,0,15,13,1,46,24,12,0,0,0,120,6,12,33.3
Przemysław Wiśniewski,POL,DF,Spezia,24,1998,11.1,3,0,0,13,7,0,2,11,6,0,0,2,46,40,16,71.4
Gerard Yepes,ESP,MF,Sampdoria,19,2002,2.2,2,0,0,7,4,0,0,4,3,0,0,0,13,5,2,71.4
Mattia Zaccagni,ITA,FW,Lazio,27,1995,30.8,9,0,0,53,117,5,62,21,28,0,1,0,132,15,29,34.1
Denis Zakaria,SUI,MF,Juventus,25,1996,1.4,0,0,0,0,0,0,3,2,3,0,0,0,5,0,0,
Nicola Zalewski,POL,DF,Roma,20,2002,24.4,3,0,0,22,51,1,76,31,26,0,0,0,135,4,16,20.0
Andre-Frank Zambo Anguissa,CMR,MF,Napoli,26,1995,33.9,3,0,0,44,48,2,24,49,32,1,0,0,226,47,27,63.5
Luca Zanimacchia,ITA,"MF,FW",Cremonese,24,1998,8.3,2,0,0,9,10,2,46,9,13,1,0,0,48,3,10,23.1
Nicolò Zaniolo,ITA,"MF,FW",Roma,23,1999,9.9,4,0,0,22,32,4,20,2,5,0,0,0,39,5,8,38.5
Alessandro Zanoli,ITA,DF,Sampdoria,21,2000,17.1,3,0,0,4,10,0,33,12,14,0,0,0,79,10,19,34.5
Alessandro Zanoli,ITA,DF,Napoli,21,2000,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
Mattia Zanotti,ITA,DF,Inter,19,2003,0.3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0.0
Duván Zapata,COL,FW,Atalanta,31,1991,15.4,1,0,0,17,37,7,29,4,4,1,0,0,42,42,43,49.4
Davide Zappacosta,ITA,DF,Atalanta,30,1992,16.3,4,0,0,18,13,2,59,9,18,0,0,0,90,2,8,20.0
Karim Zedadka,FRA,FW,Napoli,22,2000,0.2,0,0,0,0,4,0,1,0,0,0,0,0,0,1,1,50.0
Deyovaisio Zeefuik,NED,DF,Hellas Verona,24,1998,0.1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,
Marvin Zeegelaar,NED,DF,Udinese,31,1990,3.9,3,1,1,13,1,1,4,3,4,0,0,0,16,8,2,80.0
Alessio Zerbin,ITA,FW,Napoli,23,1999,2.2,1,0,0,9,6,1,1,2,5,0,0,0,8,0,1,0.0
Piotr Zieliński,POL,MF,Napoli,28,1994,25.4,3,0,0,21,35,2,112,14,10,0,0,0,102,4,13,23.5
David Zima,CZE,DF,Torino,21,2000,4.5,0,0,0,4,2,0,0,9,5,0,0,0,24,15,9,62.5
Joshua Zirkzee,NED,FW,Bologna,21,2001,9.1,1,0,0,8,9,2,1,4,2,0,0,0,19,12,25,32.4
Jeroen Zoet,NED,GK,Spezia,31,1991,3.7,1,0,0,0,0,0,0,0,1,0,0,0,8,0,0,
Nadir Zortea,ITA,"DF,MF",Atalanta,23,1999,2.5,1,0,0,4,0,0,10,0,5,0,0,0,14,5,1,83.3
Nadir Zortea,ITA,DF,Sassuolo,23,1999,7.3,4,0,0,11,6,0,33,4,8,0,0,0,35,6,8,42.9
Petar Zovko,BIH,GK,Spezia,20,2002,0.8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Szymon Żurkowski,POL,MF,Fiorentina,24,1997,0.4,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,50.0
Szymon Żurkowski,POL,MF,Spezia,24,1997,4.7,1,0,0,15,11,0,4,4,3,0,0,0,26,6,10,37.5
Milan Đurić,BIH,FW,Hellas Verona,32,1990,15.2,3,0,0,24,29,5,0,1,1,0,0,0,30,197,57,77.6
Filip Đuričić,SRB,"MF,FW",Sampdoria,30,1992,24.1,9,0,0,38,48,0,41,7,22,0,0,0,110,14,29,32.6
