Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Keita Baldé,SEN,FW,Monza,29,1995,7.1,2,14,5,35.7,1.97,0.71,0.14,0.4,15.5,0,0,0,1.1,1.1,0.08,0.9,0.9
Botond Balogh,HUN,DF,Parma,22,2002,22.8,0,3,0,0.0,0.13,0.0,0.0,,5.3,0,0,0,0.4,0.4,0.14,-0.4,-0.4
Mario Balotelli,ITA,"FW,MF",Genoa,33,1990,0.7,0,2,0,0.0,2.9,0.0,0.0,,30.5,1,0,0,0.0,0.0,0.02,0.0,0.0
Lameck Banda,ZAM,"FW,MF",Lecce,23,2001,6.8,0,17,4,23.5,2.51,0.59,0.0,0.0,19.7,0,0,0,1.2,1.2,0.07,-1.2,-1.2
Daniel Bandeira,POR,MF,Hellas Verona,24,2000,4.5,0,2,1,50.0,0.44,0.22,0.0,0.0,31.1,0,0,0,0.0,0.0,0.02,0.0,0.0
Mattia Bani,ITA,DF,Genoa,30,1993,16.7,0,8,3,37.5,0.48,0.18,0.0,0.0,9.2,0,0,0,1.2,1.2,0.15,-1.2,-1.2
Antonín Barák,CZE,MF,Fiorentina,29,1994,0.6,0,2,2,100.0,3.33,3.33,0.0,0.0,25.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Federico Barba,ITA,DF,Como,30,1993,4.8,0,2,1,50.0,0.42,0.21,0.0,0.0,8.9,0,0,0,0.2,0.2,0.1,-0.2,-0.2
Nicolò Barella,ITA,MF,Inter,27,1997,27.7,3,43,9,20.9,1.55,0.32,0.07,0.33,24.8,1,0,0,2.2,2.2,0.05,0.8,0.8
Davide Bartesaghi,ITA,DF,Milan,18,2005,1.3,0,1,1,100.0,0.76,0.76,0.0,0.0,24.6,0,0,0,0.0,0.0,0.01,0.0,0.0
Federico Baschirotto,ITA,DF,Lecce,27,1996,38.0,2,22,8,36.4,0.58,0.21,0.09,0.25,11.8,0,0,0,1.2,1.2,0.06,0.8,0.8
Daniele Baselli,ITA,MF,Como,32,1992,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Alessandro Bastoni,ITA,DF,Inter,25,1999,26.7,1,13,2,15.4,0.49,0.07,0.08,0.5,13.3,0,0,0,0.8,0.8,0.06,0.2,0.2
Reda Belahyane,MAR,MF,Hellas Verona,20,2004,18.4,0,6,2,33.3,0.33,0.11,0.0,0.0,23.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Reda Belahyane,MAR,MF,Lazio,20,2004,2.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Raoul Bellanova,ITA,DF,Torino,24,2000,1.0,0,1,0,0.0,1.03,0.0,0.0,,8.4,0,0,0,0.0,0.0,0.03,0.0,0.0
Raoul Bellanova,ITA,DF,Atalanta,24,2000,26.7,0,18,5,27.8,0.67,0.19,0.0,0.0,15.2,0,0,0,1.1,1.1,0.06,-1.1,-1.1
Andrea Belotti,ITA,FW,Como,30,1993,6.6,2,19,3,15.8,2.88,0.46,0.11,0.67,12.7,0,0,0,2.5,2.5,0.13,-0.5,-0.5
Lucas Beltrán,ARG,"FW,MF",Fiorentina,23,2001,21.7,5,26,6,23.1,1.2,0.28,0.12,0.5,15.9,0,2,3,5.4,3.1,0.12,-0.4,-0.1
Adrian Benedyczak,POL,"FW,MF",Parma,23,2000,2.4,0,3,0,0.0,1.26,0.0,0.0,,18.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Ismaël Bennacer,ALG,MF,Milan,26,1997,3.3,0,3,2,66.7,0.9,0.6,0.0,0.0,31.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Medon Berisha,ALB,MF,Lecce,20,2003,8.0,0,24,6,25.0,3.02,0.75,0.0,0.0,26.7,2,0,0,0.7,0.7,0.03,-0.7,-0.7
Adrian Bernabe,ESP,MF,Parma,23,2001,16.1,1,27,5,18.5,1.67,0.31,0.04,0.2,26.2,7,0,0,1.3,1.3,0.05,-0.3,-0.3
Antoine Bernede,FRA,MF,Hellas Verona,25,1999,6.6,1,4,2,50.0,0.61,0.3,0.25,0.5,21.0,0,0,0,0.8,0.8,0.19,0.2,0.2
Sam Beukema,NED,DF,Bologna,25,1998,33.5,0,15,4,26.7,0.45,0.12,0.0,0.0,10.6,0,0,0,1.5,1.5,0.1,-1.5,-1.5
Alessandro Bianco,ITA,MF,Monza,21,2002,28.9,1,26,6,23.1,0.9,0.21,0.04,0.17,23.7,0,0,0,1.3,1.3,0.05,-0.3,-0.3
Alessandro Bianco,ITA,MF,Fiorentina,21,2002,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jaka Bijol,SVN,DF,Udinese,25,1999,32.9,1,19,6,31.6,0.58,0.18,0.05,0.17,11.8,0,0,0,2.0,2.0,0.1,-1.0,-1.0
Philip Billing,DEN,MF,Napoli,28,1996,2.2,1,6,3,50.0,2.74,1.37,0.17,0.33,14.5,2,0,0,1.5,1.5,0.27,-0.5,-0.5
Cristiano Biraghi,ITA,DF,Torino,31,1992,12.9,0,10,1,10.0,0.78,0.08,0.0,0.0,25.9,3,0,0,0.5,0.5,0.05,-0.5,-0.5
Cristiano Biraghi,ITA,DF,Fiorentina,31,1992,4.8,1,5,2,40.0,1.04,0.42,0.2,0.5,26.2,3,0,0,0.2,0.2,0.03,0.8,0.8
Samuele Birindelli,ITA,"DF,MF",Monza,25,1999,16.3,3,16,10,62.5,0.98,0.61,0.19,0.3,15.4,0,0,0,2.1,2.1,0.13,0.9,0.9
Bjarki Bjarkason,ISL,"DF,MF",Venezia,24,2000,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Emil Bohinen,NOR,MF,Genoa,25,1999,1.8,0,2,0,0.0,1.08,0.0,0.0,,28.6,1,0,0,0.1,0.1,0.05,-0.1,-0.1
Warren Bondo,FRA,MF,Monza,20,2003,18.0,0,13,1,7.7,0.72,0.06,0.0,0.0,25.9,0,0,0,0.4,0.4,0.03,-0.4,-0.4
Warren Bondo,FRA,MF,Milan,20,2003,1.8,0,1,1,100.0,0.56,0.56,0.0,0.0,24.6,0,0,0,0.0,0.0,0.03,0.0,0.0
Kevin Bonifazi,ITA,DF,Lecce,28,1996,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ange-Yoan Bonny,FRA,FW,Parma,20,2003,28.1,6,61,19,31.1,2.17,0.68,0.07,0.21,16.7,0,2,3,9.4,7.1,0.12,-3.4,-3.1
Edoardo Bove,ITA,"MF,FW",Fiorentina,22,2002,9.5,1,7,2,28.6,0.74,0.21,0.14,0.5,14.6,0,0,0,0.6,0.6,0.08,0.4,0.4
Domagoj Bradarić,CRO,DF,Hellas Verona,24,1999,21.5,1,9,4,44.4,0.42,0.19,0.11,0.25,19.6,0,0,0,0.8,0.8,0.08,0.2,0.2
Matthias Braunöder,AUT,MF,Como,22,2002,3.0,0,2,0,0.0,0.67,0.0,0.0,,24.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Iker Bravo,ESP,"FW,MF",Udinese,19,2005,7.6,2,13,3,23.1,1.72,0.4,0.15,0.67,17.2,0,0,0,0.9,0.9,0.07,1.1,1.1
Gleison Bremer,BRA,DF,Juventus,27,1997,6.0,0,3,0,0.0,0.5,0.0,0.0,,18.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Brenner,BRA,"MF,FW",Udinese,24,2000,4.3,1,7,4,57.1,1.63,0.93,0.14,0.25,19.8,0,0,0,0.6,0.6,0.09,0.4,0.4
Marco Brescianini,ITA,MF,Atalanta,24,2000,11.0,4,20,8,40.0,1.82,0.73,0.2,0.5,13.4,0,0,0,3.1,3.1,0.16,0.9,0.9
Arvid Brorsson,SWE,DF,Monza,25,1999,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Tajon Buchanan,CAN,"DF,FW",Inter,25,1999,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Alessandro Buongiorno,ITA,DF,Napoli,25,1999,21.4,1,8,4,50.0,0.37,0.19,0.13,0.25,11.0,0,0,0,0.8,0.8,0.1,0.2,0.2
Rareș-Cătălin Burnete,ROU,FW,Lecce,20,2004,0.3,0,1,0,0.0,3.21,0.0,0.0,,16.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Gianluca Busio,USA,MF,Venezia,22,2002,28.0,2,36,7,19.4,1.29,0.25,0.06,0.29,17.7,0,0,0,2.4,2.4,0.07,-0.4,-0.4
Jean Butez,FRA,GK,Como,29,1995,18.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Liberato Cacace,NZL,"MF,DF",Empoli,23,2000,24.8,2,29,9,31.0,1.17,0.36,0.07,0.22,17.4,2,0,0,2.6,2.6,0.09,-0.6,-0.6
Alessio Cacciamani,ITA,"MF,DF",Torino,17,2007,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Davide Calabria,ITA,DF,Bologna,27,1996,7.0,0,3,0,0.0,0.43,0.0,0.0,,28.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Davide Calabria,ITA,DF,Milan,27,1996,3.5,0,2,0,0.0,0.57,0.0,0.0,,16.6,0,0,0,0.3,0.3,0.15,-0.3,-0.3
Luca Caldirola,ITA,DF,Monza,33,1991,9.7,0,4,2,50.0,0.41,0.21,0.0,0.0,19.6,1,0,0,0.3,0.3,0.07,-0.3,-0.3
Hakan Çalhanoğlu,TUR,MF,Inter,30,1994,21.6,5,42,12,28.6,1.94,0.55,0.05,0.17,27.2,6,3,4,4.4,1.3,0.03,0.6,0.7
Drissa Camara,CIV,"MF,FW",Parma,22,2002,5.0,0,15,5,33.3,3.02,1.01,0.0,0.0,19.8,0,0,0,1.2,1.2,0.08,-1.2,-1.2
Francesco Camarda,ITA,"FW,MF",Milan,16,2008,2.3,0,8,1,12.5,3.5,0.44,0.0,0.0,14.2,0,0,0,0.6,0.6,0.07,-0.6,-0.6
Nicolò Cambiaghi,ITA,FW,Bologna,23,2000,6.9,1,14,4,28.6,2.03,0.58,0.07,0.25,17.1,0,0,0,0.8,0.8,0.06,0.2,0.2
Andrea Cambiaso,ITA,"DF,FW",Juventus,24,2000,24.7,2,17,6,35.3,0.69,0.24,0.12,0.33,22.1,0,0,0,0.7,0.7,0.04,1.3,1.3
Thomas Campaniello,ITA,FW,Empoli,16,2008,0.3,0,1,0,0.0,3.6,0.0,0.0,,10.8,0,0,0,0.5,0.5,0.51,-0.5,-0.5
Matteo Cancellieri,ITA,"FW,MF",Parma,22,2002,15.8,3,22,7,31.8,1.39,0.44,0.14,0.43,17.6,0,0,0,2.7,2.7,0.12,0.3,0.3
Fali Candé,GNB,DF,Venezia,26,1998,17.0,1,5,2,40.0,0.29,0.12,0.2,0.5,11.7,1,0,0,1.1,1.1,0.23,-0.1,-0.1
Antonio Candela,ITA,DF,Venezia,24,2000,11.2,0,5,0,0.0,0.45,0.0,0.0,,19.1,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Gianluca Caprari,ITA,"MF,FW",Monza,31,1993,18.3,3,28,9,32.1,1.53,0.49,0.04,0.11,22.0,2,2,2,4.2,2.6,0.09,-1.2,-1.6
Elia Caprile,ITA,GK,Cagliari,22,2001,18.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Elia Caprile,ITA,GK,Napoli,22,2001,3.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Francesco Caputo,ITA,FW,Empoli,36,1987,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Maxence Caqueret,FRA,MF,Como,24,2000,12.1,2,8,3,37.5,0.66,0.25,0.25,0.67,18.6,0,0,0,0.8,0.8,0.1,1.2,1.2
Andrea Carboni,ITA,DF,Monza,23,2001,24.3,0,8,1,12.5,0.33,0.04,0.0,0.0,18.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Franco Carboni,ITA,DF,Venezia,21,2003,2.5,0,1,0,0.0,0.4,0.0,0.0,,28.0,0,0,0,0.0,0.0,0.01,0.0,0.0
Marco Carnesecchi,ITA,GK,Atalanta,24,2000,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Cesare Casadei,ITA,MF,Torino,21,2003,11.3,1,14,7,50.0,1.24,0.62,0.07,0.14,13.3,0,0,0,1.2,1.2,0.08,-0.2,-0.2
Nicolò Casale,ITA,DF,Bologna,26,1998,10.0,0,4,1,25.0,0.4,0.1,0.0,0.0,9.7,0,0,0,0.5,0.5,0.12,-0.5,-0.5
Nicolò Casale,ITA,DF,Lazio,26,1998,1.5,0,1,1,100.0,0.67,0.67,0.0,0.0,11.4,0,0,0,0.0,0.0,0.04,0.0,0.0
Federico Cassa,ITA,"MF,FW",Atalanta,18,2006,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Valentín Castellanos,ARG,FW,Lazio,25,1998,26.5,10,105,36,34.3,3.96,1.36,0.08,0.22,16.8,3,2,3,13.4,11.3,0.11,-3.4,-3.3
Santiago Castro,ARG,FW,Bologna,19,2004,25.5,8,62,20,32.3,2.43,0.78,0.13,0.4,15.8,0,0,1,7.7,6.9,0.11,0.3,1.1
Gaetano Castrovilli,ITA,MF,Monza,27,1997,6.6,0,6,0,0.0,0.91,0.0,0.0,,17.7,1,0,0,0.3,0.3,0.05,-0.3,-0.3
Gaetano Castrovilli,ITA,"MF,FW",Lazio,27,1997,1.6,0,2,0,0.0,1.22,0.0,0.0,,19.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Danilo Cataldi,ITA,MF,Fiorentina,29,1994,19.2,3,13,5,38.5,0.68,0.26,0.23,0.6,22.8,2,0,0,1.1,1.1,0.09,1.9,1.9
Zeki Çelik,TUR,DF,Roma,27,1997,25.1,0,13,4,30.8,0.52,0.16,0.0,0.0,15.7,0,0,0,0.6,0.6,0.04,-0.6,-0.6
Alberto Cerri,ITA,FW,Como,28,1996,1.0,0,4,1,25.0,4.14,1.03,0.0,0.0,11.2,0,0,0,1.0,1.0,0.25,-1.0,-1.0
Gabriel Charpentier,CGO,FW,Parma,25,1999,3.0,1,9,4,44.4,2.99,1.33,0.11,0.25,17.6,0,0,0,1.3,1.3,0.15,-0.3,-0.3
Walid Cheddira,MAR,FW,Napoli,26,1998,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Leandro Chichizola,ARG,GK,Parma,34,1990,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Samuel Chukwueze,NGA,"FW,MF",Milan,25,1999,10.3,3,32,8,25.0,3.11,0.78,0.09,0.38,19.5,0,0,0,2.7,2.7,0.08,0.3,0.3
Aaron Ciammaglichella,ITA,MF,Torino,19,2005,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Giuseppe Ciocci,ITA,GK,Cagliari,22,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Alessandro Circati,AUS,DF,Parma,20,2003,6.0,0,2,0,0.0,0.33,0.0,0.0,,7.5,0,0,0,0.3,0.3,0.16,-0.3,-0.3
Alphadjo Cissè,ITA,"FW,MF",Hellas Verona,17,2006,0.1,0,2,2,100.0,20.0,20.0,0.0,0.0,26.5,0,0,0,0.0,0.0,0.02,0.0,0.0
Patrick Ciurria,ITA,"MF,DF",Monza,29,1995,12.3,1,11,2,18.2,0.89,0.16,0.09,0.5,21.0,0,0,0,0.8,0.8,0.08,0.2,0.2
Saúl Coco,EQG,DF,Torino,25,1999,31.6,2,20,5,25.0,0.63,0.16,0.1,0.4,18.7,3,0,0,1.2,1.2,0.06,0.8,0.8
Lorenzo Colombo,ITA,"FW,MF",Empoli,22,2002,24.8,6,55,18,32.7,2.22,0.73,0.09,0.28,18.1,0,1,1,5.9,5.1,0.09,0.1,-0.1
Andrea Colpani,ITA,"FW,MF",Fiorentina,25,1999,16.1,2,36,12,33.3,2.23,0.74,0.06,0.17,18.5,2,0,0,2.7,2.7,0.07,-0.7,-0.7
Florinel Coman,ROU,"FW,MF",Cagliari,26,1998,2.9,1,4,1,25.0,1.37,0.34,0.25,1.0,19.9,1,0,0,0.2,0.2,0.06,0.8,0.8
