Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 24_level_0_Matches
39,Mario Balotelli,it ITA,"FW,MF",Genoa,33,1990,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
40,Lameck Banda,zm ZAM,"FW,MF",Lecce,23,2001,6.8,23,3.39,15,1,3,1,3,0,1,0.15,1,0,0,0,0,0,Matches
41,Daniel Bandeira,pt POR,MF,Hellas Verona,24,2000,4.5,6,1.33,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
42,Mattia Bani,it ITA,DF,Genoa,30,1993,16.7,7,0.42,6,0,0,1,0,0,2,0.12,1,0,0,1,0,0,Matches
43,Antonín Barák,cz CZE,MF,Fiorentina,29,1994,0.6,3,5.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
44,Federico Barba,it ITA,DF,Como,30,1993,4.8,3,0.63,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
45,Nicolò Barella,it ITA,MF,Inter,27,1997,27.7,112,4.07,89,7,5,5,4,2,15,0.54,14,0,1,0,0,0,Matches
46,Davide Bartesaghi,it ITA,DF,Milan,18,2005,1.3,2,1.53,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
47,Federico Baschirotto,it ITA,DF,Lecce,27,1996,38.0,17,0.45,13,2,0,2,0,0,1,0.03,0,0,0,1,0,0,Matches
48,Daniele Baselli,it ITA,MF,Como,32,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
49,Alessandro Bastoni,it ITA,DF,Inter,25,1999,26.7,71,2.66,61,4,0,1,3,2,11,0.41,9,1,0,0,1,0,Matches
50,Reda Belahyane,ma MAR,MF,Hellas Verona,20,2004,18.4,41,2.23,34,0,3,1,1,2,3,0.16,2,0,0,0,0,1,Matches
51,Reda Belahyane,ma MAR,MF,Lazio,20,2004,2.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
52,Raoul Bellanova,it ITA,DF,Torino,24,2000,1.0,1,1.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
53,Raoul Bellanova,it ITA,DF,Atalanta,24,2000,26.7,56,2.10,45,8,2,0,1,0,11,0.41,10,1,0,0,0,0,Matches
54,Andrea Belotti,it ITA,FW,Como,30,1993,6.6,14,2.13,9,0,0,3,2,0,0,0.00,0,0,0,0,0,0,Matches
55,Lucas Beltrán,ar ARG,"FW,MF",Fiorentina,23,2001,21.7,63,2.90,55,1,1,2,2,2,9,0.41,8,0,0,0,1,0,Matches
56,Adrian Benedyczak,pl POL,"FW,MF",Parma,23,2000,2.4,3,1.26,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
57,Ismaël Bennacer,dz ALG,MF,Milan,26,1997,3.3,12,3.60,9,2,1,0,0,0,1,0.30,1,0,0,0,0,0,Matches
58,Medon Berisha,al ALB,MF,Lecce,20,2003,8.0,29,3.64,17,6,1,2,2,1,2,0.25,2,0,0,0,0,0,Matches
59,Adrian Bernabe,es ESP,MF,Parma,23,2001,16.1,58,3.59,45,6,1,2,4,0,4,0.25,4,0,0,0,0,0,Matches
60,Antoine Bernede,fr FRA,MF,Hellas Verona,25,1999,6.6,22,3.33,16,2,1,1,0,2,1,0.15,0,0,1,0,0,0,Matches
61,Sam Beukema,nl NED,DF,Bologna,25,1998,33.5,36,1.08,31,2,0,3,0,0,6,0.18,4,0,0,2,0,0,Matches
62,Alessandro Bianco,it ITA,MF,Monza,21,2002,28.9,38,1.32,33,1,0,4,0,0,0,0.00,0,0,0,0,0,0,Matches
63,Alessandro Bianco,it ITA,MF,Fiorentina,21,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
64,Jaka Bijol,si SVN,DF,Udinese,25,1999,32.9,30,0.91,26,1,0,3,0,0,1,0.03,0,0,0,1,0,0,Matches
65,Philip Billing,dk DEN,MF,Napoli,28,1996,2.2,8,3.65,4,0,0,2,1,1,1,0.46,0,0,0,1,0,0,Matches
66,Cristiano Biraghi,it ITA,DF,Torino,31,1992,12.9,41,3.19,23,14,0,2,1,1,0,0.00,0,0,0,0,0,0,Matches
67,Cristiano Biraghi,it ITA,DF,Fiorentina,31,1992,4.8,8,1.66,3,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
68,Samuele Birindelli,it ITA,"DF,MF",Monza,25,1999,16.3,35,2.15,30,2,0,2,1,0,2,0.12,1,0,0,1,0,0,Matches
69,Bjarki Bjarkason,is ISL,"DF,MF",Venezia,24,2000,1.8,1,0.55,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
70,Emil Bohinen,no NOR,MF,Genoa,25,1999,1.8,5,2.69,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
71,Warren Bondo,fr FRA,MF,Monza,20,2003,18.0,26,1.45,20,0,2,0,4,0,1,0.06,1,0,0,0,0,0,Matches
72,Warren Bondo,fr FRA,MF,Milan,20,2003,1.8,1,0.56,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
73,Kevin Bonifazi,it ITA,DF,Lecce,28,1996,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
74,Ange-Yoan Bonny,fr FRA,FW,Parma,20,2003,28.1,67,2.39,44,1,11,6,5,0,8,0.28,4,0,2,1,1,0,Matches
75,Edoardo Bove,it ITA,"MF,FW",Fiorentina,22,2002,9.5,31,3.27,24,1,1,1,3,1,7,0.74,5,0,1,0,1,0,Matches
76,Domagoj Bradarić,hr CRO,DF,Hellas Verona,24,1999,21.5,47,2.19,30,12,3,1,1,0,1,0.05,1,0,0,0,0,0,Matches
77,Matthias Braunöder,at AUT,MF,Como,22,2002,3.0,4,1.34,2,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
