Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Lameck Banda,ZAM,"FW,MF",Lecce,23,2001,6.8,23,3.39,15,1,3,1,3,0,1,0.15,1,0,0,0,0,0
Daniel Bandeira,POR,MF,Hellas Verona,24,2000,4.5,6,1.33,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Mattia Bani,ITA,DF,Genoa,30,1993,16.7,7,0.42,6,0,0,1,0,0,2,0.12,1,0,0,1,0,0
Antonín Barák,CZE,MF,Fiorentina,29,1994,0.6,3,5.0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Federico Barba,ITA,DF,Como,30,1993,4.8,3,0.63,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nicolò Barella,ITA,MF,Inter,27,1997,27.7,112,4.07,89,7,5,5,4,2,15,0.54,14,0,1,0,0,0
Davide Bartesaghi,ITA,DF,Milan,18,2005,1.3,2,1.53,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Federico Baschirotto,ITA,DF,Lecce,27,1996,38.0,17,0.45,13,2,0,2,0,0,1,0.03,0,0,0,1,0,0
Daniele Baselli,ITA,MF,Como,32,1992,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Alessandro Bastoni,ITA,DF,Inter,25,1999,26.7,71,2.66,61,4,0,1,3,2,11,0.41,9,1,0,0,1,0
Reda Belahyane,MAR,MF,Hellas Verona,20,2004,18.4,41,2.23,34,0,3,1,1,2,3,0.16,2,0,0,0,0,1
Reda Belahyane,MAR,MF,Lazio,20,2004,2.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Raoul Bellanova,ITA,DF,Torino,24,2000,1.0,1,1.03,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Raoul Bellanova,ITA,DF,Atalanta,24,2000,26.7,56,2.1,45,8,2,0,1,0,11,0.41,10,1,0,0,0,0
Andrea Belotti,ITA,FW,Como,30,1993,6.6,14,2.13,9,0,0,3,2,0,0,0.0,0,0,0,0,0,0
Lucas Beltrán,ARG,"FW,MF",Fiorentina,23,2001,21.7,63,2.9,55,1,1,2,2,2,9,0.41,8,0,0,0,1,0
Adrian Benedyczak,POL,"FW,MF",Parma,23,2000,2.4,3,1.26,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ismaël Bennacer,ALG,MF,Milan,26,1997,3.3,12,3.6,9,2,1,0,0,0,1,0.3,1,0,0,0,0,0
Medon Berisha,ALB,MF,Lecce,20,2003,8.0,29,3.64,17,6,1,2,2,1,2,0.25,2,0,0,0,0,0
Adrian Bernabe,ESP,MF,Parma,23,2001,16.1,58,3.59,45,6,1,2,4,0,4,0.25,4,0,0,0,0,0
Antoine Bernede,FRA,MF,Hellas Verona,25,1999,6.6,22,3.33,16,2,1,1,0,2,1,0.15,0,0,1,0,0,0
Sam Beukema,NED,DF,Bologna,25,1998,33.5,36,1.08,31,2,0,3,0,0,6,0.18,4,0,0,2,0,0
Alessandro Bianco,ITA,MF,Monza,21,2002,28.9,38,1.32,33,1,0,4,0,0,0,0.0,0,0,0,0,0,0
Alessandro Bianco,ITA,MF,Fiorentina,21,2002,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jaka Bijol,SVN,DF,Udinese,25,1999,32.9,30,0.91,26,1,0,3,0,0,1,0.03,0,0,0,1,0,0
Philip Billing,DEN,MF,Napoli,28,1996,2.2,8,3.65,4,0,0,2,1,1,1,0.46,0,0,0,1,0,0
Cristiano Biraghi,ITA,DF,Torino,31,1992,12.9,41,3.19,23,14,0,2,1,1,0,0.0,0,0,0,0,0,0
Cristiano Biraghi,ITA,DF,Fiorentina,31,1992,4.8,8,1.66,3,5,0,0,0,0,0,0.0,0,0,0,0,0,0
Samuele Birindelli,ITA,"DF,MF",Monza,25,1999,16.3,35,2.15,30,2,0,2,1,0,2,0.12,1,0,0,1,0,0
Bjarki Bjarkason,ISL,"DF,MF",Venezia,24,2000,1.8,1,0.55,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Emil Bohinen,NOR,MF,Genoa,25,1999,1.8,5,2.69,4,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Warren Bondo,FRA,MF,Monza,20,2003,18.0,26,1.45,20,0,2,0,4,0,1,0.06,1,0,0,0,0,0
Warren Bondo,FRA,MF,Milan,20,2003,1.8,1,0.56,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kevin Bonifazi,ITA,DF,Lecce,28,1996,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ange-Yoan Bonny,FRA,FW,Parma,20,2003,28.1,67,2.39,44,1,11,6,5,0,8,0.28,4,0,2,1,1,0
Edoardo Bove,ITA,"MF,FW",Fiorentina,22,2002,9.5,31,3.27,24,1,1,1,3,1,7,0.74,5,0,1,0,1,0
Domagoj Bradarić,CRO,DF,Hellas Verona,24,1999,21.5,47,2.19,30,12,3,1,1,0,1,0.05,1,0,0,0,0,0
Matthias Braunöder,AUT,MF,Como,22,2002,3.0,4,1.34,2,0,0,1,1,0,0,0.0,0,0,0,0,0,0
Iker Bravo,ESP,"FW,MF",Udinese,19,2005,7.6,14,1.85,10,2,1,1,0,0,0,0.0,0,0,0,0,0,0
Gleison Bremer,BRA,DF,Juventus,27,1997,6.0,3,0.5,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Brenner,BRA,"MF,FW",Udinese,24,2000,4.3,11,2.56,8,3,0,0,0,0,1,0.23,1,0,0,0,0,0
Marco Brescianini,ITA,MF,Atalanta,24,2000,11.0,26,2.37,22,0,2,2,0,0,6,0.55,4,0,0,2,0,0
Arvid Brorsson,SWE,DF,Monza,25,1999,4.0,1,0.25,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Tajon Buchanan,CAN,"DF,FW",Inter,25,1999,1.1,3,2.84,1,0,2,0,0,0,0,0.0,0,0,0,0,0,0
Alessandro Buongiorno,ITA,DF,Napoli,25,1999,21.4,19,0.89,18,0,0,1,0,0,2,0.09,2,0,0,0,0,0
Rareș-Cătălin Burnete,ROU,FW,Lecce,20,2004,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Gianluca Busio,USA,MF,Venezia,22,2002,28.0,65,2.33,54,0,1,5,5,0,2,0.07,1,0,0,1,0,0
Jean Butez,FRA,GK,Como,29,1995,18.5,5,0.27,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Liberato Cacace,NZL,"MF,DF",Empoli,23,2000,24.8,54,2.18,33,14,4,2,1,0,4,0.16,2,2,0,0,0,0
Alessio Cacciamani,ITA,"MF,DF",Torino,17,2007,0.3,1,2.9,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Davide Calabria,ITA,DF,Bologna,27,1996,7.0,24,3.42,22,1,0,0,0,1,3,0.43,3,0,0,0,0,0
Davide Calabria,ITA,DF,Milan,27,1996,3.5,9,2.56,6,1,0,1,1,0,0,0.0,0,0,0,0,0,0
Luca Caldirola,ITA,DF,Monza,33,1991,9.7,5,0.51,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Hakan Çalhanoğlu,TUR,MF,Inter,30,1994,21.6,99,4.58,58,33,1,5,0,2,14,0.65,7,6,0,1,0,0
Drissa Camara,CIV,"MF,FW",Parma,22,2002,5.0,15,3.01,8,2,1,2,2,0,2,0.4,0,0,0,1,1,0
Francesco Camarda,ITA,"FW,MF",Milan,16,2008,2.3,7,3.04,4,0,0,2,0,1,1,0.43,0,0,0,1,0,0
Nicolò Cambiaghi,ITA,FW,Bologna,23,2000,6.9,30,4.36,22,0,2,2,4,0,8,1.16,6,0,0,0,2,0
Andrea Cambiaso,ITA,"DF,FW",Juventus,24,2000,24.7,85,3.45,67,7,4,3,2,2,9,0.36,7,1,0,1,0,0
Thomas Campaniello,ITA,FW,Empoli,16,2008,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Matteo Cancellieri,ITA,"FW,MF",Parma,22,2002,15.8,27,1.71,15,2,4,1,5,0,3,0.19,1,0,2,0,0,0
Fali Candé,GNB,DF,Venezia,26,1998,17.0,14,0.82,10,2,0,1,1,0,3,0.18,2,0,0,1,0,0
Antonio Candela,ITA,DF,Venezia,24,2000,11.2,17,1.52,13,1,1,0,0,2,1,0.09,1,0,0,0,0,0
Gianluca Caprari,ITA,"MF,FW",Monza,31,1993,18.3,63,3.43,43,13,1,4,1,1,5,0.27,5,0,0,0,0,0
Elia Caprile,ITA,GK,Cagliari,22,2001,18.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Elia Caprile,ITA,GK,Napoli,22,2001,3.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Francesco Caputo,ITA,FW,Empoli,36,1987,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Maxence Caqueret,FRA,MF,Como,24,2000,12.1,41,3.4,34,1,3,2,1,0,8,0.66,7,0,1,0,0,0
Andrea Carboni,ITA,DF,Monza,23,2001,24.3,11,0.45,11,0,0,0,0,0,2,0.08,2,0,0,0,0,0
Franco Carboni,ITA,DF,Venezia,21,2003,2.5,5,2.0,4,0,0,0,1,0,1,0.4,0,0,0,0,1,0
Marco Carnesecchi,ITA,GK,Atalanta,24,2000,34.0,5,0.15,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0
Cesare Casadei,ITA,MF,Torino,21,2003,11.3,19,1.68,16,0,0,1,1,1,2,0.18,2,0,0,0,0,0
Nicolò Casale,ITA,DF,Bologna,26,1998,10.0,12,1.2,10,0,0,2,0,0,2,0.2,2,0,0,0,0,0
Nicolò Casale,ITA,DF,Lazio,26,1998,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Federico Cassa,ITA,"MF,FW",Atalanta,18,2006,0.2,1,6.43,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Valentín Castellanos,ARG,FW,Lazio,25,1998,26.5,73,2.76,37,1,5,23,5,2,14,0.53,7,0,1,3,2,1
Santiago Castro,ARG,FW,Bologna,19,2004,25.5,69,2.71,45,1,6,7,8,2,11,0.43,8,0,2,1,0,0
Gaetano Castrovilli,ITA,MF,Monza,27,1997,6.6,15,2.27,9,2,1,2,0,1,2,0.3,0,1,0,1,0,0
Gaetano Castrovilli,ITA,"MF,FW",Lazio,27,1997,1.6,3,1.84,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Danilo Cataldi,ITA,MF,Fiorentina,29,1994,19.2,32,1.68,21,6,0,3,1,1,1,0.05,0,1,0,0,0,0
Zeki Çelik,TUR,DF,Roma,27,1997,25.1,38,1.51,35,1,1,1,0,0,4,0.16,4,0,0,0,0,0
Alberto Cerri,ITA,FW,Como,28,1996,1.0,1,1.03,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Gabriel Charpentier,CGO,FW,Parma,25,1999,3.0,11,3.64,8,0,0,0,2,1,3,0.99,2,0,0,0,1,0
Walid Cheddira,MAR,FW,Napoli,26,1998,0.1,1,7.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Leandro Chichizola,ARG,GK,Parma,34,1990,1.0,2,2.0,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Samuel Chukwueze,NGA,"FW,MF",Milan,25,1999,10.3,49,4.77,38,2,6,2,1,0,2,0.19,1,1,0,0,0,0
Aaron Ciammaglichella,ITA,MF,Torino,19,2005,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Giuseppe Ciocci,ITA,GK,Cagliari,22,2002,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Alessandro Circati,AUS,DF,Parma,20,2003,6.0,3,0.5,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Alphadjo Cissè,ITA,"FW,MF",Hellas Verona,17,2006,0.1,1,10.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Patrick Ciurria,ITA,"MF,DF",Monza,29,1995,12.3,26,2.11,20,5,0,1,0,0,2,0.16,1,0,0,1,0,0
Saúl Coco,EQG,DF,Torino,25,1999,31.6,16,0.51,12,0,0,3,1,0,1,0.03,0,0,0,0,1,0
Lorenzo Colombo,ITA,"FW,MF",Empoli,22,2002,24.8,55,2.21,33,0,5,8,8,1,3,0.12,1,0,1,1,0,0
Andrea Colpani,ITA,"FW,MF",Fiorentina,25,1999,16.1,43,2.7,34,4,0,4,1,0,5,0.31,3,0,0,2,0,0
Florinel Coman,ROU,"FW,MF",Cagliari,26,1998,2.9,4,1.37,3,0,0,0,1,0,1,0.34,1,0,0,0,0,0
Pietro Comuzzo,ITA,DF,Fiorentina,19,2005,24.4,20,0.82,17,0,0,1,0,2,1,0.04,1,0,0,0,0,0
Francisco Conceição,POR,"FW,MF",Juventus,21,2002,14.9,64,4.3,45,4,10,4,1,0,9,0.6,5,1,1,1,1,0
Diego Coppola,ITA,DF,Hellas Verona,20,2003,32.5,10,0.31,9,0,0,1,0,0,1,0.03,1,0,0,0,0,0
Maxwel Cornet,CIV,"FW,MF",Genoa,27,1996,2.7,8,2.93,6,0,2,0,0,0,1,0.37,1,0,0,0,0,0
Joaquín Correa,ARG,"FW,MF",Inter,29,1994,8.1,25,3.07,21,0,2,1,1,0,4,0.49,3,0,1,0,0,0
Alberto costa,POR,DF,Juventus,20,2003,4.0,7,1.76,4,0,1,2,0,0,1,0.25,1,0,0,0,0,0
Lassana Coulibaly,MLI,MF,Lecce,28,1996,29.6,46,1.55,34,0,1,1,7,3,2,0.07,1,0,0,0,1,0
Woyo Coulibaly,MLI,DF,Parma,25,1999,12.0,19,1.58,17,0,1,0,1,0,3,0.25,1,0,1,0,1,0
Bryan Cristante,ITA,MF,Roma,29,1995,22.7,51,2.24,46,0,0,4,1,0,5,0.22,5,0,0,0,0,0
Domen Črnigoj,SVN,MF,Venezia,28,1995,1.5,2,1.32,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Juan Cuadrado,COL,"DF,MF",Atalanta,36,1988,9.2,37,4.0,27,7,1,0,2,0,3,0.32,1,1,0,0,1,0
Patrick Cutrone,ITA,FW,Como,26,1998,22.7,49,2.15,33,0,1,10,3,2,6,0.26,6,0,0,0,0,0
Wylan Cyprien,FRA,MF,Parma,29,1995,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Danilo D'Ambrosio,ITA,DF,Monza,35,1988,12.2,8,0.66,8,0,0,0,0,0,1,0.08,1,0,0,0,0,0
Lucas Da Cunha,FRA,MF,Como,23,2001,29.0,110,3.79,70,28,1,6,4,1,7,0.24,4,2,0,0,0,1
Samuel Dahl,SWE,"DF,MF",Roma,24,2000,0.5,1,2.09,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Thijs Dallinga,NED,FW,Bologna,23,2000,12.8,27,2.11,20,0,0,3,3,1,5,0.39,3,0,0,0,1,1
Maat Daniel Caprini,ITA,FW,Fiorentina,18,2006,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
