Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Botond Balogh,HUN,DF,Parma,22,2002,22.8,1228,250,731,476,25,8,1228,0,0,,0,,621,2737,1401,7,3,0,9,1,725,1
Mario Balotelli,ITA,"FW,MF",Genoa,33,1990,0.7,23,1,4,7,12,1,23,0,0,,0,,10,46,23,0,1,0,1,0,16,5
Lameck Banda,ZAM,"FW,MF",Lecce,23,2001,6.8,252,5,39,100,120,21,252,28,10,35.7,14,50.0,169,1620,859,27,10,17,17,9,171,46
Daniel Bandeira,POR,MF,Hellas Verona,24,2000,4.5,266,12,75,171,24,0,266,1,1,100.0,0,0.0,148,750,352,1,2,0,4,6,167,4
Mattia Bani,ITA,DF,Genoa,30,1993,16.7,1048,180,689,340,24,10,1048,5,2,40.0,0,0.0,558,2317,1013,6,1,0,4,3,699,3
Antonín Barák,CZE,MF,Fiorentina,29,1994,0.6,25,1,2,11,12,3,25,1,0,0.0,1,100.0,20,117,35,2,1,0,1,0,20,5
Federico Barba,ITA,DF,Como,30,1993,4.8,320,33,155,144,21,5,320,0,0,,0,,201,999,567,5,2,0,1,1,215,5
Nicolò Barella,ITA,MF,Inter,27,1997,27.7,2064,43,332,1121,634,42,2064,57,23,40.4,27,47.4,1393,6866,3158,63,47,8,29,42,1612,133
Davide Bartesaghi,ITA,DF,Milan,18,2005,1.3,89,2,14,36,40,2,89,2,0,0.0,2,100.0,55,228,121,2,3,0,0,1,61,17
Federico Baschirotto,ITA,DF,Lecce,27,1996,38.0,2043,370,1242,736,73,36,2043,5,4,80.0,0,0.0,940,4670,2500,13,9,0,13,1,1157,5
Daniele Baselli,ITA,MF,Como,32,1992,0.2,31,1,6,23,2,0,31,0,0,,0,,22,134,45,2,0,0,1,0,24,0
Alessandro Bastoni,ITA,DF,Inter,25,1999,26.7,2446,196,824,1181,454,28,2446,16,7,43.8,5,31.3,1633,8290,4995,62,72,5,26,5,1815,83
Reda Belahyane,MAR,MF,Hellas Verona,20,2004,18.4,884,49,251,526,126,8,884,52,33,63.5,17,32.7,551,3272,1498,22,17,5,34,21,591,13
Reda Belahyane,MAR,MF,Lazio,20,2004,2.2,118,11,45,66,10,0,118,6,3,50.0,2,33.3,76,378,215,4,1,0,6,2,82,1
Raoul Bellanova,ITA,DF,Torino,24,2000,1.0,51,5,19,19,13,1,51,1,0,0.0,1,100.0,34,228,127,4,3,0,1,0,33,5
Raoul Bellanova,ITA,DF,Atalanta,24,2000,26.7,1469,46,334,582,570,48,1469,48,21,43.8,23,47.9,822,5166,2770,83,51,8,29,11,940,191
Andrea Belotti,ITA,FW,Como,30,1993,6.6,185,7,23,82,82,28,185,6,2,33.3,2,33.3,106,477,203,9,5,3,10,10,131,33
Lucas Beltrán,ARG,"FW,MF",Fiorentina,23,2001,21.7,791,15,91,423,285,51,788,30,15,50.0,14,46.7,468,2320,853,23,18,7,41,41,592,94
Adrian Benedyczak,POL,"FW,MF",Parma,23,2000,2.4,79,7,17,35,27,4,79,2,0,0.0,2,100.0,44,176,80,3,2,0,5,3,60,12
Ismaël Bennacer,ALG,MF,Milan,26,1997,3.3,249,7,48,151,50,1,249,10,9,90.0,1,10.0,156,971,406,8,4,0,3,3,199,12
Medon Berisha,ALB,MF,Lecce,20,2003,8.0,486,14,96,271,128,7,486,9,3,33.3,4,44.4,279,1600,877,13,7,3,10,1,315,17
Adrian Bernabe,ESP,MF,Parma,23,2001,16.1,1140,40,253,655,247,8,1140,33,15,45.5,13,39.4,738,3703,2220,37,39,3,12,14,818,20
Antoine Bernede,FRA,MF,Hellas Verona,25,1999,6.6,297,4,47,171,83,3,297,4,2,50.0,2,50.0,156,753,282,7,6,1,14,6,179,22
Sam Beukema,NED,DF,Bologna,25,1998,33.5,2419,158,920,1363,147,32,2419,2,1,50.0,0,0.0,1519,9080,4593,27,33,1,12,8,1625,9
Alessandro Bianco,ITA,MF,Monza,21,2002,28.9,1818,97,535,1055,246,14,1818,41,17,41.5,19,46.3,1186,5758,2527,35,32,4,40,24,1289,24
Alessandro Bianco,ITA,MF,Fiorentina,21,2002,0.2,14,0,2,11,1,0,14,0,0,,0,,8,48,30,0,0,0,1,0,8,1
Jaka Bijol,SVN,DF,Udinese,25,1999,32.9,2083,264,1057,959,86,49,2083,3,2,66.7,1,33.3,1211,7149,4292,22,12,1,17,2,1339,10
Philip Billing,DEN,MF,Napoli,28,1996,2.2,136,7,27,72,39,5,136,3,1,33.3,1,33.3,62,271,92,1,0,0,1,2,90,8
Cristiano Biraghi,ITA,DF,Torino,31,1992,12.9,832,48,220,365,254,12,832,8,1,12.5,6,75.0,390,1789,928,24,18,1,11,2,462,49
Cristiano Biraghi,ITA,DF,Fiorentina,31,1992,4.8,335,28,120,150,65,1,335,0,0,,0,,178,695,296,3,2,1,3,0,229,17
Samuele Birindelli,ITA,"DF,MF",Monza,25,1999,16.3,757,35,181,311,272,29,757,10,5,50.0,3,30.0,457,2547,1325,40,27,13,28,13,494,100
Bjarki Bjarkason,ISL,"DF,MF",Venezia,24,2000,1.8,111,3,30,45,36,0,111,6,1,16.7,3,50.0,71,356,209,6,2,0,2,0,79,13
Emil Bohinen,NOR,MF,Genoa,25,1999,1.8,109,12,30,52,28,3,109,0,0,,0,,51,463,224,6,3,0,4,2,72,2
Warren Bondo,FRA,MF,Monza,20,2003,18.0,741,27,179,440,140,7,741,40,20,50.0,12,30.0,511,3240,1464,25,19,2,20,30,521,21
Warren Bondo,FRA,MF,Milan,20,2003,1.8,97,3,19,65,16,0,97,1,1,100.0,0,0.0,66,287,129,2,3,0,2,1,68,0
Kevin Bonifazi,ITA,DF,Lecce,28,1996,0.7,54,6,28,27,0,0,54,2,1,50.0,1,50.0,28,204,53,0,0,0,2,0,31,1
Ange-Yoan Bonny,FRA,FW,Parma,20,2003,28.1,898,14,70,412,435,112,895,67,33,49.3,28,41.8,527,2690,1112,41,35,17,86,70,647,163
Edoardo Bove,ITA,"MF,FW",Fiorentina,22,2002,9.5,437,12,80,244,117,21,437,16,7,43.8,7,43.8,251,1288,531,12,19,2,13,11,286,24
Domagoj Bradarić,CRO,DF,Hellas Verona,24,1999,21.5,988,39,258,409,340,23,988,37,15,40.5,18,48.6,426,2554,1313,30,32,3,30,11,459,83
Matthias Braunöder,AUT,MF,Como,22,2002,3.0,175,4,43,108,25,3,175,4,1,25.0,2,50.0,88,362,187,2,4,1,3,2,112,0
Iker Bravo,ESP,"FW,MF",Udinese,19,2005,7.6,294,4,27,131,140,28,294,29,11,37.9,18,62.1,157,852,281,7,5,6,31,14,190,39
Gleison Bremer,BRA,DF,Juventus,27,1997,6.0,569,63,286,268,15,3,569,4,3,75.0,1,25.0,352,1760,985,2,1,0,4,2,445,0
Brenner,BRA,"MF,FW",Udinese,24,2000,4.3,151,5,28,74,53,6,151,5,3,60.0,2,40.0,94,502,210,5,4,1,5,9,107,16
Marco Brescianini,ITA,MF,Atalanta,24,2000,11.0,547,8,68,261,226,38,547,26,8,30.8,15,57.7,355,2337,1219,46,30,13,28,19,417,69
Arvid Brorsson,SWE,DF,Monza,25,1999,4.0,303,56,201,93,10,0,303,1,1,100.0,0,0.0,185,749,364,1,1,0,1,1,202,1
Tajon Buchanan,CAN,"DF,FW",Inter,25,1999,1.1,64,3,18,29,19,2,64,9,3,33.3,4,44.4,42,403,259,6,3,0,2,2,44,8
Alessandro Buongiorno,ITA,DF,Napoli,25,1999,21.4,1489,125,655,788,55,15,1489,7,1,14.3,3,42.9,902,4549,2741,27,7,1,13,8,1059,8
Rareș-Cătălin Burnete,ROU,FW,Lecce,20,2004,0.3,22,0,0,12,10,4,22,2,1,50.0,1,50.0,12,26,2,0,0,0,6,4,15,4
Gianluca Busio,USA,MF,Venezia,22,2002,28.0,1250,58,217,635,417,56,1250,48,15,31.3,28,58.3,747,4377,2249,60,57,5,54,32,842,135
Jean Butez,FRA,GK,Como,29,1995,18.5,799,641,791,9,0,0,799,0,0,,0,,534,2755,1559,0,0,0,1,0,447,0
Liberato Cacace,NZL,"MF,DF",Empoli,23,2000,24.8,1187,81,343,485,381,56,1187,51,14,27.5,34,66.7,542,3590,1884,53,34,7,40,21,635,97
Alessio Cacciamani,ITA,"MF,DF",Torino,17,2007,0.3,18,0,4,4,10,1,18,1,1,100.0,0,0.0,14,138,75,2,1,1,1,0,12,2
Davide Calabria,ITA,DF,Bologna,27,1996,7.0,490,10,141,243,111,4,490,3,0,0.0,3,100.0,271,1208,586,7,7,0,10,3,285,20
Davide Calabria,ITA,DF,Milan,27,1996,3.5,258,9,56,137,69,4,258,5,3,60.0,1,20.0,159,727,358,8,5,0,1,1,174,31
Luca Caldirola,ITA,DF,Monza,33,1991,9.7,699,86,362,315,23,4,699,1,1,100.0,0,0.0,461,2278,1223,5,5,0,2,1,498,4
Hakan Çalhanoğlu,TUR,MF,Inter,30,1994,21.6,1881,45,380,1010,500,23,1877,7,3,42.9,4,57.1,1150,5984,3106,52,53,6,21,9,1353,51
Drissa Camara,CIV,"MF,FW",Parma,22,2002,5.0,251,1,30,120,113,24,251,27,17,63.0,10,37.0,174,1222,648,18,10,10,14,3,173,35
Francesco Camarda,ITA,"FW,MF",Milan,16,2008,2.3,80,5,10,32,39,17,80,7,2,28.6,4,57.1,34,191,66,2,1,0,7,3,51,16
Nicolò Cambiaghi,ITA,FW,Bologna,23,2000,6.9,334,1,38,106,195,36,334,25,11,44.0,8,32.0,241,1731,884,45,9,15,16,11,257,63
Andrea Cambiaso,ITA,"DF,FW",Juventus,24,2000,24.7,1911,55,474,939,517,42,1911,50,27,54.0,18,36.0,1195,7318,3868,78,63,13,45,21,1364,122
Thomas Campaniello,ITA,FW,Empoli,16,2008,0.3,17,0,1,6,10,1,17,0,0,,0,,5,20,2,0,0,0,1,0,13,6
Matteo Cancellieri,ITA,"FW,MF",Parma,22,2002,15.8,531,20,103,210,230,40,531,70,28,40.0,33,47.1,314,2108,1025,40,20,16,34,24,348,79
Fali Candé,GNB,DF,Venezia,26,1998,17.0,1131,164,591,496,55,8,1131,10,9,90.0,0,0.0,557,2582,1115,5,9,0,12,8,572,3
Antonio Candela,ITA,DF,Venezia,24,2000,11.2,505,38,198,201,112,13,505,12,6,50.0,5,41.7,250,1430,700,12,5,2,17,10,285,25
Gianluca Caprari,ITA,"MF,FW",Monza,31,1993,18.3,912,3,70,450,399,39,910,40,10,25.0,23,57.5,629,3384,1544,43,37,12,38,31,686,104
Elia Caprile,ITA,GK,Cagliari,22,2001,18.0,756,620,754,2,0,0,756,0,0,,0,,408,1899,1065,0,0,0,1,0,335,0
Elia Caprile,ITA,GK,Napoli,22,2001,3.6,105,79,105,0,0,0,105,0,0,,0,,44,234,161,0,0,0,0,0,62,0
Francesco Caputo,ITA,FW,Empoli,36,1987,0.1,2,0,0,1,1,0,2,0,0,,0,,1,1,0,0,0,0,0,0,1,1
Maxence Caqueret,FRA,MF,Como,24,2000,12.1,698,9,134,368,205,24,698,33,14,42.4,15,45.5,455,2082,883,15,17,1,29,17,512,46
Andrea Carboni,ITA,DF,Monza,23,2001,24.3,1412,155,681,614,120,18,1412,9,5,55.6,4,44.4,822,3143,1502,9,13,0,15,5,925,32
Franco Carboni,ITA,DF,Venezia,21,2003,2.5,128,11,62,39,29,2,128,6,2,33.3,3,50.0,70,303,184,2,1,0,4,3,68,11
Marco Carnesecchi,ITA,GK,Atalanta,24,2000,34.0,1178,1034,1175,3,0,0,1178,0,0,,0,,678,3476,1966,0,0,0,0,0,578,0
Cesare Casadei,ITA,MF,Torino,21,2003,11.3,508,30,107,303,102,22,508,10,7,70.0,2,20.0,259,1609,640,14,8,0,20,9,352,12
Nicolò Casale,ITA,DF,Bologna,26,1998,10.0,615,62,296,307,20,9,615,3,3,100.0,0,0.0,328,1545,675,3,1,0,9,1,353,2
Nicolò Casale,ITA,DF,Lazio,26,1998,1.5,124,9,39,83,2,2,124,0,0,,0,,83,375,211,0,1,1,1,0,99,0
Federico Cassa,ITA,"MF,FW",Atalanta,18,2006,0.2,9,0,1,2,6,0,9,1,0,0.0,1,100.0,9,61,41,1,2,1,0,0,8,2
Valentín Castellanos,ARG,FW,Lazio,25,1998,26.5,835,20,57,353,434,155,832,37,16,43.2,19,51.4,423,1889,848,27,22,15,55,29,618,149
Santiago Castro,ARG,FW,Bologna,19,2004,25.5,722,23,55,312,363,101,721,43,18,41.9,22,51.2,428,1867,599,17,23,8,70,64,519,136
Gaetano Castrovilli,ITA,MF,Monza,27,1997,6.6,305,15,65,151,92,10,305,11,5,45.5,5,45.5,187,906,487,10,8,0,9,9,192,28
Gaetano Castrovilli,ITA,"MF,FW",Lazio,27,1997,1.6,99,2,18,57,24,6,99,2,1,50.0,1,50.0,58,333,176,5,1,1,2,4,68,6
Danilo Cataldi,ITA,MF,Fiorentina,29,1994,19.2,1147,55,284,720,151,7,1147,10,3,30.0,4,40.0,657,3018,1172,18,22,1,13,7,764,16
Zeki Çelik,TUR,DF,Roma,27,1997,25.1,1627,98,469,818,352,40,1627,14,8,57.1,4,28.6,836,3758,1820,28,27,1,20,8,1011,93
Alberto Cerri,ITA,FW,Como,28,1996,1.0,36,1,4,12,21,9,36,0,0,,0,,20,54,10,0,0,1,2,3,29,11
