Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Reda Belahyane,MAR,MF,Hellas Verona,20,2004,18.4,701,685,15,14,1,3,3,1,0,0,0,0,587,1,9
Reda Belahyane,MAR,MF,Lazio,20,2004,2.2,94,93,1,0,0,0,0,1,0,0,0,0,85,0,1
Raoul Bellanova,ITA,DF,Torino,24,2000,1.0,43,35,7,0,0,0,5,7,0,0,0,0,31,1,0
Raoul Bellanova,ITA,DF,Atalanta,24,2000,26.7,1264,1048,214,10,0,3,156,182,22,0,22,0,977,2,37
Andrea Belotti,ITA,FW,Como,30,1993,6.6,120,108,12,0,1,0,5,0,0,0,0,0,90,0,6
Lucas Beltrán,ARG,"FW,MF",Fiorentina,23,2001,21.7,591,556,31,2,4,5,7,6,0,0,0,0,459,4,10
Adrian Benedyczak,POL,"FW,MF",Parma,23,2000,2.4,52,50,2,1,0,1,1,0,0,0,0,0,35,0,1
Ismaël Bennacer,ALG,MF,Milan,26,1997,3.3,221,210,11,7,0,5,6,1,3,2,0,0,197,0,1
Medon Berisha,ALB,MF,Lecce,20,2003,8.0,400,346,52,29,2,6,29,5,15,5,10,0,312,2,4
Adrian Bernabe,ESP,MF,Parma,23,2001,16.1,984,880,102,63,5,14,29,2,22,11,5,0,823,2,18
Antoine Bernede,FRA,MF,Hellas Verona,25,1999,6.6,242,231,11,2,0,3,13,4,4,2,2,0,178,0,10
Sam Beukema,NED,DF,Bologna,25,1998,33.5,2114,2034,76,69,3,19,8,6,0,0,0,0,1826,4,12
Alessandro Bianco,ITA,MF,Monza,21,2002,28.9,1525,1438,80,69,4,13,23,4,0,0,0,0,1314,7,23
Alessandro Bianco,ITA,MF,Fiorentina,21,2002,0.2,12,11,0,0,0,1,0,0,0,0,0,0,9,1,0
Jaka Bijol,SVN,DF,Udinese,25,1999,32.9,1712,1642,66,41,2,12,3,4,0,0,0,0,1432,4,6
Philip Billing,DEN,MF,Napoli,28,1996,2.2,101,100,0,0,1,0,2,0,0,0,0,0,79,1,2
Cristiano Biraghi,ITA,DF,Torino,31,1992,12.9,717,536,178,38,0,5,107,100,40,23,15,0,513,3,17
Cristiano Biraghi,ITA,DF,Fiorentina,31,1992,4.8,309,246,60,28,0,3,30,8,22,7,8,1,259,3,5
Samuele Birindelli,ITA,"DF,MF",Monza,25,1999,16.3,621,534,85,5,0,1,64,80,0,0,0,0,470,2,17
Bjarki Bjarkason,ISL,"DF,MF",Venezia,24,2000,1.8,89,83,6,0,1,1,7,6,0,0,0,0,78,0,3
Emil Bohinen,NOR,MF,Genoa,25,1999,1.8,86,85,1,1,0,1,0,0,0,0,0,0,69,0,3
Warren Bondo,FRA,MF,Monza,20,2003,18.0,615,595,19,14,0,4,7,3,0,0,0,0,547,1,9
Warren Bondo,FRA,MF,Milan,20,2003,1.8,84,82,2,2,0,0,1,0,0,0,0,0,77,0,1
Kevin Bonifazi,ITA,DF,Lecce,28,1996,0.7,42,38,4,3,0,1,0,0,0,0,0,0,37,0,0
Ange-Yoan Bonny,FRA,FW,Parma,20,2003,28.1,573,520,52,2,3,3,14,1,3,0,0,0,431,1,19
Edoardo Bove,ITA,"MF,FW",Fiorentina,22,2002,9.5,344,321,19,15,1,3,2,3,1,0,0,0,282,4,13
Domagoj Bradarić,CRO,DF,Hellas Verona,24,1999,21.5,780,571,208,21,0,5,78,162,25,12,10,0,565,1,25
Matthias Braunöder,AUT,MF,Como,22,2002,3.0,146,143,3,3,0,0,0,0,0,0,0,0,128,0,1
Iker Bravo,ESP,"FW,MF",Udinese,19,2005,7.6,196,176,18,5,1,0,8,3,6,2,2,0,159,2,4
Gleison Bremer,BRA,DF,Juventus,27,1997,6.0,504,496,8,6,0,1,0,1,0,0,0,0,468,0,0
Brenner,BRA,"MF,FW",Udinese,24,2000,4.3,114,100,13,6,1,1,11,1,6,3,3,0,87,1,3
Marco Brescianini,ITA,MF,Atalanta,24,2000,11.0,420,410,9,2,4,2,18,5,2,1,0,0,334,1,14
Arvid Brorsson,SWE,DF,Monza,25,1999,4.0,247,236,10,7,0,0,0,1,0,0,0,0,224,1,0
Tajon Buchanan,CAN,"DF,FW",Inter,25,1999,1.1,48,41,7,2,0,0,3,5,0,0,0,0,40,0,1
Alessandro Buongiorno,ITA,DF,Napoli,25,1999,21.4,1279,1223,53,39,0,2,1,3,0,0,0,0,1161,3,8
Rareș-Cătălin Burnete,ROU,FW,Lecce,20,2004,0.3,11,9,2,0,0,0,0,0,0,0,0,0,7,0,0
Gianluca Busio,USA,MF,Venezia,22,2002,28.0,917,895,19,9,3,8,29,5,1,1,0,0,696,3,39
Jean Butez,FRA,GK,Como,29,1995,18.5,752,666,86,43,0,0,0,0,0,0,0,0,588,0,1
Liberato Cacace,NZL,"MF,DF",Empoli,23,2000,24.8,912,730,176,25,1,5,102,67,54,16,22,0,619,6,32
Alessio Cacciamani,ITA,"MF,DF",Torino,17,2007,0.3,15,15,0,0,0,0,3,0,0,0,0,0,12,0,2
Davide Calabria,ITA,DF,Bologna,27,1996,7.0,429,348,80,16,1,1,17,64,0,0,0,0,354,1,8
Davide Calabria,ITA,DF,Milan,27,1996,3.5,223,204,19,5,1,1,16,14,0,0,0,0,193,0,5
Luca Caldirola,ITA,DF,Monza,33,1991,9.7,615,567,48,29,0,0,1,2,0,0,0,0,556,0,2
Hakan Çalhanoğlu,TUR,MF,Inter,30,1994,21.6,1690,1532,155,62,7,17,122,4,88,30,47,1,1464,3,12
Drissa Camara,CIV,"MF,FW",Parma,22,2002,5.0,182,164,15,4,2,1,5,0,9,2,1,0,133,3,5
Francesco Camarda,ITA,"FW,MF",Milan,16,2008,2.3,44,41,3,0,0,0,1,0,0,0,0,0,37,0,0
Nicolò Cambiaghi,ITA,FW,Bologna,23,2000,6.9,245,240,3,0,0,0,47,3,0,0,0,0,177,2,6
Andrea Cambiaso,ITA,"DF,FW",Juventus,24,2000,24.7,1667,1479,187,24,2,12,66,149,14,6,4,0,1476,1,39
Thomas Campaniello,ITA,FW,Empoli,16,2008,0.3,14,13,1,0,0,0,0,0,0,0,0,0,9,0,0
Matteo Cancellieri,ITA,"FW,MF",Parma,22,2002,15.8,313,298,15,2,4,4,21,3,2,1,0,0,211,0,10
Fali Candé,GNB,DF,Venezia,26,1998,17.0,939,748,187,44,0,7,7,80,0,0,0,0,761,4,11
Antonio Candela,ITA,DF,Venezia,24,2000,11.2,403,350,51,3,0,1,22,48,0,0,0,0,299,2,5
Gianluca Caprari,ITA,"MF,FW",Monza,31,1993,18.3,732,644,84,20,8,4,80,4,42,15,24,0,579,4,18
Elia Caprile,ITA,GK,Cagliari,22,2001,18.0,706,490,215,56,0,0,0,0,0,0,0,0,482,1,0
Elia Caprile,ITA,GK,Napoli,22,2001,3.6,98,77,20,5,0,0,0,0,0,0,0,0,81,1,0
Francesco Caputo,ITA,FW,Empoli,36,1987,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Maxence Caqueret,FRA,MF,Como,24,2000,12.1,568,550,15,11,1,2,16,1,3,0,2,0,472,3,15
Andrea Carboni,ITA,DF,Monza,23,2001,24.3,1157,1080,70,27,0,8,15,14,0,0,0,0,989,7,16
Franco Carboni,ITA,DF,Venezia,21,2003,2.5,92,82,10,0,0,1,8,10,0,0,0,0,61,0,1
Marco Carnesecchi,ITA,GK,Atalanta,24,2000,34.0,1082,821,258,57,0,0,0,0,0,0,0,0,811,3,0
Cesare Casadei,ITA,MF,Torino,21,2003,11.3,406,404,2,2,0,3,2,0,0,0,0,0,323,0,5
Nicolò Casale,ITA,DF,Bologna,26,1998,10.0,512,485,26,20,3,4,0,2,0,0,0,0,448,1,7
Nicolò Casale,ITA,DF,Lazio,26,1998,1.5,110,110,0,0,0,0,0,0,0,0,0,0,100,0,0
Federico Cassa,ITA,"MF,FW",Atalanta,18,2006,0.2,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
Valentín Castellanos,ARG,FW,Lazio,25,1998,26.5,541,489,50,0,9,1,25,5,0,0,0,0,366,2,20
Santiago Castro,ARG,FW,Bologna,19,2004,25.5,461,401,57,1,5,9,8,9,0,0,0,0,354,3,10
Gaetano Castrovilli,ITA,MF,Monza,27,1997,6.6,238,218,20,10,1,1,14,4,6,2,2,0,188,0,8
Gaetano Castrovilli,ITA,"MF,FW",Lazio,27,1997,1.6,78,76,2,0,1,2,0,1,0,0,0,0,66,0,3
Danilo Cataldi,ITA,MF,Fiorentina,29,1994,19.2,1000,937,57,43,2,3,21,5,9,3,2,0,845,6,11
Zeki Çelik,TUR,DF,Roma,27,1997,25.1,1364,1191,171,18,0,5,42,153,0,0,0,0,1121,2,32
Alberto Cerri,ITA,FW,Como,28,1996,1.0,23,22,1,0,0,0,0,0,0,0,0,0,15,0,0
Gabriel Charpentier,CGO,FW,Parma,25,1999,3.0,55,51,4,0,1,0,2,2,0,0,0,0,33,0,4
Walid Cheddira,MAR,FW,Napoli,26,1998,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Leandro Chichizola,ARG,GK,Parma,34,1990,1.0,50,39,10,2,0,0,0,0,0,0,0,0,36,1,0
Samuel Chukwueze,NGA,"FW,MF",Milan,25,1999,10.3,422,384,34,4,4,6,50,13,17,11,1,0,320,4,9
Aaron Ciammaglichella,ITA,MF,Torino,19,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giuseppe Ciocci,ITA,GK,Cagliari,22,2002,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Alessandro Circati,AUS,DF,Parma,20,2003,6.0,229,202,27,17,0,0,0,0,0,0,0,0,197,0,1
Alphadjo Cissè,ITA,"FW,MF",Hellas Verona,17,2006,0.1,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0
Patrick Ciurria,ITA,"MF,DF",Monza,29,1995,12.3,433,352,78,19,1,2,61,33,25,6,12,0,313,3,13
Saúl Coco,EQG,DF,Torino,25,1999,31.6,1529,1470,57,29,0,12,2,7,0,0,0,0,1350,2,12
Lorenzo Colombo,ITA,"FW,MF",Empoli,22,2002,24.8,508,472,35,0,3,6,10,3,0,0,0,0,343,1,16
Andrea Colpani,ITA,"FW,MF",Fiorentina,25,1999,16.1,466,429,34,7,2,6,33,5,22,12,1,0,376,3,7
Florinel Coman,ROU,"FW,MF",Cagliari,26,1998,2.9,82,80,2,0,0,2,2,0,2,0,2,0,67,0,2
Pietro Comuzzo,ITA,DF,Fiorentina,19,2005,24.4,1266,1221,42,25,0,3,3,17,0,0,0,0,1085,3,10
Francisco Conceição,POR,"FW,MF",Juventus,21,2002,14.9,545,513,32,4,0,4,62,10,18,8,3,0,427,0,21
Diego Coppola,ITA,DF,Hellas Verona,20,2003,32.5,1135,1119,11,11,1,5,0,0,0,0,0,0,920,5,6
Maxwel Cornet,CIV,"FW,MF",Genoa,27,1996,2.7,71,70,1,0,0,1,8,1,0,0,0,0,49,0,5
Joaquín Correa,ARG,"FW,MF",Inter,29,1994,8.1,361,353,5,2,5,0,8,2,0,0,0,0,310,3,14
Alberto costa,POR,DF,Juventus,20,2003,4.0,212,191,20,3,0,0,2,17,0,0,0,0,176,1,4
Lassana Coulibaly,MLI,MF,Lecce,28,1996,29.6,955,933,20,20,5,4,13,0,0,0,0,0,775,2,23
Woyo Coulibaly,MLI,DF,Parma,25,1999,12.0,593,506,87,14,2,2,5,72,1,0,0,0,514,0,7
Bryan Cristante,ITA,MF,Roma,29,1995,22.7,1296,1263,27,26,5,9,15,1,0,0,0,0,1067,6,19
Domen Črnigoj,SVN,MF,Venezia,28,1995,1.5,49,48,0,0,0,0,2,0,0,0,0,0,25,1,3
Juan Cuadrado,COL,"DF,MF",Atalanta,36,1988,9.2,601,512,88,8,2,10,56,60,20,5,15,0,476,1,11
Patrick Cutrone,ITA,FW,Como,26,1998,22.7,478,423,51,0,0,2,30,2,0,0,0,0,336,4,19
Wylan Cyprien,FRA,MF,Parma,29,1995,0.3,21,20,0,0,1,0,0,0,0,0,0,0,14,1,1
Danilo D'Ambrosio,ITA,DF,Monza,35,1988,12.2,652,552,96,37,1,2,9,34,0,0,0,0,566,4,4
Lucas Da Cunha,FRA,MF,Como,23,2001,29.0,1702,1552,147,81,3,12,102,6,60,11,29,0,1439,3,30
Samuel Dahl,SWE,"DF,MF",Roma,24,2000,0.5,28,27,1,0,0,0,1,1,0,0,0,0,24,0,0
Thijs Dallinga,NED,FW,Bologna,23,2000,12.8,293,278,15,0,0,1,3,0,0,0,0,0,210,0,13
Maat Daniel Caprini,ITA,FW,Fiorentina,18,2006,0.1,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
Flavius Daniliuc,AUT,DF,Hellas Verona,23,2001,11.2,449,394,55,8,1,0,6,47,0,0,0,0,375,0,7
Danilo,BRA,DF,Juventus,33,1991,6.5,573,530,42,11,0,5,3,29,0,0,0,0,519,1,3
Matteo Darmian,ITA,DF,Inter,34,1989,19.8,1007,876,129,10,3,2,32,119,0,0,0,0,844,2,23
Juan David Cabal,COL,DF,Juventus,23,2001,5.1,350,319,30,4,1,3,7,26,0,0,0,0,307,1,7
Keinan Davis,ENG,FW,Udinese,26,1998,11.8,275,255,19,1,0,2,3,0,0,0,0,0,208,1,1
Paweł Dawidowicz,POL,"DF,MF",Hellas Verona,29,1995,20.5,797,726,70,35,1,5,1,35,0,0,0,0,653,1,7
Charles De Ketelaere,BEL,"MF,FW",Atalanta,23,2001,23.0,995,932,56,11,14,5,56,26,2,1,0,0,754,7,26
Mattia De Sciglio,ITA,DF,Empoli,31,1992,8.5,299,255,44,16,0,4,7,28,0,0,0,0,233,0,7
Lorenzo De Silvestri,ITA,DF,Bologna,36,1988,11.8,564,441,121,17,0,2,23,104,0,0,0,0,446,2,9
Koni De Winter,BEL,DF,Genoa,22,2002,23.7,1289,1182,104,52,0,3,4,50,0,0,0,0,1116,3,10
Alessandro Deiola,ITA,MF,Cagliari,28,1995,15.9,523,508,13,6,2,7,14,7,0,0,0,0,384,2,20
Enrico Del Prato,ITA,DF,Parma,24,1999,32.7,1534,1319,212,50,0,3,16,150,0,0,0,0,1288,3,15
Fisayo Dele-Bashiru,NGA,"MF,FW",Lazio,23,2001,10.5,359,354,4,4,0,0,7,0,0,0,0,0,315,1,7
Ali Dembélé,FRA,DF,Torino,20,2004,4.3,168,137,31,4,0,0,7,27,0,0,0,0,127,0,4
Michele Di Gregorio,ITA,GK,Juventus,27,1997,33.0,994,799,195,49,0,0,0,0,0,0,0,0,761,0,0
Giovanni Di Lorenzo,ITA,DF,Napoli,30,1993,37.0,2236,1865,357,56,2,7,63,299,0,0,0,0,1870,14,48
Boulaye Dia,SEN,"MF,FW",Lazio,27,1996,24.2,591,578,11,1,7,5,2,0,0,0,0,0,494,2,13
Assane Diao,SEN,"FW,MF",Como,18,2005,13.9,304,295,7,3,0,0,12,3,1,0,0,0,241,2,22
Federico Dimarco,ITA,"DF,FW",Inter,26,1997,24.2,1275,1090,178,24,3,13,190,81,73,12,46,0,973,7,29
Berat Djimsiti,ALB,DF,Atalanta,31,1993,29.3,1691,1614,75,60,1,6,11,15,0,0,0,0,1483,2,15
Dodô,BRA,DF,Fiorentina,25,1998,34.6,1728,1456,269,31,2,10,144,237,1,0,1,0,1341,3,45
Benjamín Domínguez,ARG,FW,Bologna,20,2003,14.2,348,340,5,0,2,0,11,5,0,0,0,0,272,3,17
Patrick Dorgu,DEN,"DF,FW",Lecce,19,2004,20.4,748,643,104,13,3,7,40,90,1,0,0,0,580,1,24
Alberto Dossena,ITA,DF,Como,25,1998,20.3,1020,952,65,43,0,3,1,4,0,0,0,0,894,3,8
Issa Doumbia,ITA,MF,Venezia,20,2003,10.4,271,264,4,3,0,0,10,1,0,0,0,0,203,3,7
Anastasios Douvikas,GRE,FW,Como,24,1999,6.4,106,92,14,0,1,0,2,1,0,0,0,0,81,0,4
Artem Dovbyk,UKR,FW,Roma,27,1997,26.9,433,394,35,0,2,0,1,1,0,0,0,0,321,4,11
Ondrej Duda,SVK,MF,Hellas Verona,29,1994,26.6,1204,1045,153,64,3,15,89,8,66,26,32,0,943,6,13
Denzel Dumfries,NED,"DF,FW",Inter,28,1996,21.7,831,678,150,5,2,3,57,145,0,0,0,0,603,3,27
Alfred Duncan,GHA,MF,Venezia,31,1993,10.6,498,463,32,16,4,6,17,2,11,1,7,0,404,3,7
Paulo Dybala,ARG,"FW,MF",Roma,30,1993,15.7,729,645,81,26,2,16,62,5,36,11,14,2,596,3,16
Enzo Ebosse,CMR,DF,Udinese,25,1999,1.0,55,49,6,3,0,1,0,2,0,0,0,0,48,0,0
Tyronne Ebuehi,NGA,"DF,MF",Empoli,28,1995,0.8,46,29,17,1,0,0,2,16,0,0,0,0,33,0,0
Éderson,BRA,MF,Atalanta,25,1999,32.0,1966,1902,58,51,6,30,23,5,2,0,1,0,1700,6,28
Kingsley Ehizibue,NED,DF,Udinese,29,1995,27.8,982,751,229,7,1,1,61,222,0,0,0,0,753,2,22
Jeff Ekhator,ITA,"FW,MF",Genoa,17,2006,8.5,165,156,7,0,3,0,10,2,1,0,0,0,110,2,6
Jurgen Ekkelenkamp,NED,MF,Udinese,24,2000,21.0,690,644,43,6,2,5,12,32,4,1,1,0,550,3,17
Emmanuel Ekong,SWE,"MF,FW",Empoli,22,2002,2.1,44,43,1,0,0,0,0,1,0,0,0,0,30,0,2
Caleb Ekuban,GHA,FW,Genoa,30,1994,6.2,107,99,7,0,1,0,3,0,0,0,0,0,72,1,4
Mikael Ellertsson,ISL,"DF,MF",Venezia,22,2002,27.4,607,552,54,1,2,2,28,52,0,0,0,0,431,1,20
Elif Elmas,MKD,"FW,MF",Torino,24,1999,11.3,336,321,13,0,0,3,23,10,2,1,0,0,270,2,4
Emerson,BRA,DF,Milan,25,1999,15.3,909,796,110,26,0,3,45,84,0,0,0,0,784,3,23
Yannik Engelhardt,GER,"MF,DF",Como,23,2001,12.9,701,648,52,24,1,3,1,28,0,0,0,0,622,1,11
Martin Erlic,CRO,DF,Bologna,26,1998,3.7,240,232,8,6,0,1,0,0,0,0,0,0,220,0,0
Sebastiano Esposito,ITA,"FW,MF",Empoli,22,2002,25.9,739,678,56,15,7,6,55,7,19,9,4,0,445,5,41
Estanis,ESP,FW,Bologna,20,2003,0.1,8,8,0,0,0,0,0,0,0,0,0,0,7,0,1
Nahuel Estévez,ARG,MF,Parma,28,1995,7.3,313,282,30,17,1,1,16,1,12,4,3,0,237,1,8
Giovanni Fabbian,ITA,MF,Bologna,21,2003,11.4,210,201,7,2,2,1,9,4,0,0,0,0,151,2,9
Alieu Fadera,GAM,"FW,DF",Como,22,2001,18.3,591,541,49,1,3,3,39,48,0,0,0,0,441,1,28
Nicolò Fagioli,ITA,MF,Fiorentina,23,2001,10.7,617,572,43,27,1,7,27,5,7,6,1,0,519,2,10
Nicolò Fagioli,ITA,MF,Juventus,23,2001,6.3,418,404,14,8,2,6,13,1,5,1,3,0,370,0,3
Wladimiro Falcone,ITA,GK,Lecce,29,1995,38.0,1200,892,303,125,0,1,0,0,0,0,0,0,731,5,0
Davide Faraoni,ITA,DF,Hellas Verona,32,1991,2.9,95,79,16,1,0,0,12,15,0,0,0,0,65,0,2
Jacopo Fazzini,ITA,MF,Empoli,21,2003,15.4,426,391,31,9,4,0,32,1,14,3,3,0,305,4,19
Mattia Felici,ITA,"MF,FW",Cagliari,23,2001,10.3,277,255,20,1,0,2,25,7,12,6,5,0,188,2,14
João Félix,POR,MF,Milan,24,1999,8.4,301,282,16,4,3,2,5,6,1,0,0,0,246,3,9
Lewis Ferguson,SCO,MF,Bologna,24,1999,10.9,658,605,50,27,1,4,18,7,14,5,6,0,569,3,8
Daniel Fila,CZE,FW,Venezia,21,2002,5.5,90,80,10,0,0,0,0,0,0,0,0,0,70,0,2
Alessandro Florenzi,ITA,FW,Milan,33,1991,0.1,4,4,0,0,0,0,1,0,0,0,0,0,3,0,0
Youssouf Fofana,FRA,MF,Milan,25,1999,27.8,1444,1390,50,47,13,7,10,3,0,0,0,0,1237,4,7
Michael Folorunsho,ITA,"FW,MF",Fiorentina,26,1998,7.2,252,228,23,7,0,0,21,15,1,1,0,0,178,1,11
Michael Folorunsho,ITA,"FW,MF",Napoli,26,1998,0.4,14,14,0,0,0,0,0,0,0,0,0,0,10,0,0
Omari Forson,ENG,"MF,FW",Monza,20,2004,2.5,113,109,3,1,0,0,9,2,0,0,0,0,92,1,6
Davide Frattesi,ITA,MF,Inter,24,1999,13.6,360,344,14,10,5,0,8,4,0,0,0,0,297,2,10
Morten Frendrup,DEN,MF,Genoa,23,2001,34.5,1250,1210,34,23,3,3,3,10,0,0,0,0,1067,6,23
Martin Frese,DEN,DF,Hellas Verona,26,1998,6.1,256,220,35,3,0,0,10,32,0,0,0,0,182,1,3
Remo Freuler,SUI,MF,Bologna,32,1992,35.6,1944,1825,113,94,3,5,19,17,0,0,0,0,1704,6,16
Matteo Gabbia,ITA,DF,Milan,24,1999,23.9,1443,1397,42,35,0,11,2,4,0,0,0,0,1316,4,6
