Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Sebastian Walukiewicz,POL,DF,Torino,24,2000,18.5,761,938,81.1,13048,4435,347,391,88.7,336,407,82.6,65,104,62.5,0,0.3,0.6,-0.3,4,74,14,5,80
Sebastian Walukiewicz,POL,DF,Empoli,24,2000,2.0,48,62,77.4,874,473,21,26,80.8,18,21,85.7,7,11,63.6,0,0.1,0.0,-0.1,1,6,1,0,8
Timothy Weah,USA,"DF,FW",Juventus,24,2000,18.2,659,787,83.7,10475,2680,342,368,92.9,275,311,88.4,30,62,48.4,2,1.6,1.2,0.4,19,38,13,6,56
Mateusz Wieteska,POL,DF,Cagliari,27,1997,2.0,82,95,86.3,1672,723,19,21,90.5,56,60,93.3,6,11,54.5,0,0.2,0.2,-0.2,1,3,1,0,5
John Yeboah,ECU,"FW,MF",Venezia,24,2000,13.6,258,354,72.9,3414,982,162,200,81.0,65,83,78.3,14,26,53.8,1,1.9,1.5,-0.9,20,19,12,0,42
Kenan Yıldız,TUR,"FW,MF",Juventus,19,2005,26.7,896,1124,79.7,13767,3753,518,579,89.5,307,377,81.4,53,113,46.9,4,5.0,4.8,-1.0,57,70,52,13,121
Mattia Zaccagni,ITA,FW,Lazio,29,1995,29.8,872,1151,75.8,14136,3758,456,500,91.2,312,410,76.1,76,168,45.2,6,4.6,4.1,1.4,55,51,39,6,114
Nicola Zalewski,POL,"DF,FW",Roma,22,2002,5.9,194,265,73.2,3235,575,102,118,86.4,71,96,74.0,16,32,50.0,0,0.8,0.6,-0.8,10,10,14,7,17
Nicola Zalewski,POL,"DF,MF",Inter,22,2002,4.8,205,245,83.7,3270,669,111,122,91.0,68,81,84.0,17,24,70.8,1,1.7,1.8,-0.7,11,11,11,6,18
Andre-Frank Zambo Anguissa,CMR,MF,Napoli,28,1995,31.7,1275,1509,84.5,19289,4960,706,792,89.1,467,532,87.8,66,93,71.0,4,2.4,2.6,1.6,26,128,21,2,144
Francesco Zampano,ITA,DF,Venezia,30,1993,18.2,416,568,73.2,6763,2156,222,255,87.1,155,215,72.1,30,60,50.0,2,0.8,0.7,1.2,12,26,17,6,41
Nicolò Zaniolo,ITA,FW,Fiorentina,25,1999,3.8,52,74,70.3,859,175,24,29,82.8,22,30,73.3,4,6,66.7,0,0.2,0.2,-0.2,5,4,1,0,5
Nicolò Zaniolo,ITA,"FW,MF",Atalanta,25,1999,4.0,85,102,83.3,1138,252,53,58,91.4,25,33,75.8,3,6,50.0,2,0.5,0.6,1.5,7,5,5,0,13
Alessandro Zanoli,ITA,"FW,DF",Genoa,23,2000,19.0,339,507,66.9,5557,1725,175,213,82.2,129,186,69.4,23,56,41.1,0,1.6,1.1,-1.6,19,10,21,13,27
Duván Zapata,COL,FW,Torino,33,1991,6.5,87,126,69.0,1223,191,52,75,69.3,18,25,72.0,9,11,81.8,0,0.5,0.5,-0.5,9,4,4,1,7
Gabriele Zappa,ITA,DF,Cagliari,24,1999,34.0,1318,1723,76.5,22297,10963,623,702,88.7,581,722,80.5,95,216,44.0,0,3.6,3.3,-3.6,28,126,24,15,146
Davide Zappacosta,ITA,DF,Atalanta,32,1992,23.0,986,1192,82.7,15489,4983,534,579,92.2,372,453,82.1,57,104,54.8,2,2.1,3.0,-0.1,23,60,37,23,107
Oier Zarraga,ESP,MF,Udinese,25,1999,10.0,238,289,82.4,3845,859,127,138,92.0,89,103,86.4,17,31,54.8,0,0.4,0.6,-0.4,6,27,8,5,28
Jordan Zemura,ZIM,DF,Udinese,24,1999,15.7,475,621,76.5,7519,2859,261,284,91.9,174,230,75.7,31,72,43.1,2,1.0,1.4,1.0,11,24,15,9,42
Alessio Zerbin,ITA,DF,Venezia,25,1999,16.9,400,612,65.4,6494,2778,198,243,81.5,160,229,69.9,30,85,35.3,1,2.1,2.3,-1.1,24,26,21,10,54
Alessio Zerbin,ITA,"FW,DF",Napoli,25,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Kevin Zeroli,ITA,MF,Monza,19,2005,4.4,71,96,74.0,1047,261,42,51,82.4,25,34,73.5,3,5,60.0,1,0.5,0.0,0.5,2,6,0,0,5
Kevin Zeroli,ITA,MF,Milan,19,2005,0.1,9,9,100.0,133,28,5,5,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,2
Piotr Zieliński,POL,MF,Inter,30,1994,10.9,636,711,89.5,9848,3091,342,354,96.6,249,275,90.5,34,59,57.6,2,0.9,1.0,1.1,14,77,6,0,65
Nadir Zortea,ITA,"DF,MF",Cagliari,25,1999,30.1,557,827,67.4,9098,3140,300,372,80.6,191,269,71.0,50,110,45.5,2,2.4,2.2,-0.4,28,42,31,21,63
Szymon Żurkowski,POL,MF,Empoli,26,1997,1.2,27,33,81.8,338,109,15,15,100.0,9,10,90.0,0,2,0.0,0,0.0,0.0,0.0,0,0,1,0,1
Milan Đurić,BIH,FW,Monza,34,1990,14.1,131,266,49.2,1564,442,80,154,51.9,31,72,43.1,3,3,100.0,1,1.1,0.2,-0.1,5,16,2,0,21
Milan Đurić,BIH,FW,Parma,34,1990,3.0,35,84,41.7,390,154,22,48,45.8,7,19,36.8,1,3,33.3,0,0.0,0.1,0.0,0,3,3,0,7
