Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches
1,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,18,2003,1.9,71,68,3,0,0,0,7,2,1,0,1,0,51,0,1,Matches
2,Sargis Adamyan,am ARM,"FW,MF",Köln,29,1993,7.2,179,159,19,0,1,1,13,6,0,0,0,0,123,1,8,Matches
3,Karim Adeyemi,de GER,"FW,MF",Dortmund,20,2002,15.4,457,431,23,3,2,1,25,12,8,7,1,0,335,3,21,Matches
4,Amine Adli,ma MAR,"FW,MF",Leverkusen,22,2000,15.9,565,535,23,4,3,2,18,5,8,2,2,0,427,7,19,Matches
5,Felix Agu,ng NGA,"DF,FW",Werder Bremen,22,1999,0.5,25,19,6,0,0,0,1,6,0,0,0,0,16,0,2,Matches
6,Naouirou Ahamada,fr FRA,MF,Stuttgart,20,2002,15.5,529,514,13,4,2,1,6,5,0,0,0,0,449,2,13,Matches
7,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,28,1994,13.5,415,398,14,1,1,5,4,2,0,0,0,0,243,3,11,Matches
8,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27,1995,21.7,1024,966,56,30,1,14,8,26,0,0,0,0,814,2,18,Matches
9,Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,29,1992,3.7,85,80,5,0,0,0,0,0,0,0,0,0,56,0,1,Matches
10,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,21,2001,2.0,101,84,17,0,0,0,7,17,0,0,0,0,74,0,2,Matches
11,Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,29,1993,2.6,91,84,5,3,1,1,2,0,2,1,1,0,64,2,1,Matches
12,Lukáš Ambros,cz CZE,MF,Wolfsburg,18,2004,0.2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
13,Nadiem Amiri,de GER,"MF,FW",Leverkusen,25,1996,10.9,507,472,32,14,4,4,16,4,9,2,7,0,423,3,15,Matches
14,Robert Andrich,de GER,MF,Leverkusen,27,1994,26.7,1455,1404,49,42,0,4,4,5,0,0,0,0,1218,2,12,Matches
