Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Zakaria Aboukhlal,MAR,"FW,MF",Torino,25-308,2000.0,1.9,9,5,4,3,2,7,8,87.5,1,2,0,2,0,9,0,0
Francesco Acerbi,ITA,DF,Inter,37-316,1988.0,9.6,7,5,4,2,1,1,2,50.0,1,14,11,3,15,22,59,0
Che Adams,SCO,"FW,MF",Torino,29-163,1996.0,9.1,6,4,3,2,1,2,5,40.0,3,1,0,1,1,7,7,0
Jayden Addai,NED,FW,Como,20-119,2005.0,6.9,6,2,2,3,1,0,3,0.0,3,5,1,4,3,9,4,0
Vasilije Adžić,MNE,MF,Juventus,19-225,2006.0,1.4,3,1,2,1,0,0,1,0.0,1,1,0,1,2,5,3,2
Michel Aebischer,SUI,MF,Pisa,28-351,1997.0,13.9,34,23,12,19,3,19,32,59.4,13,13,4,9,12,46,13,3
Honest Ahanor,ITA,DF,Atalanta,17-303,2008.0,6.1,13,7,7,4,2,9,13,69.2,4,14,4,10,8,21,18,1
Junior Ajayi,CIV,FW,Hellas Verona,21-073,2004.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Manuel Akanji,SUI,DF,Inter,30-157,1995.0,13.0,20,9,11,6,3,9,15,60.0,6,12,5,7,9,29,42,0
Ebenezer Akinsanmiro,NGA,MF,Pisa,21-028,2004.0,9.5,20,13,9,8,3,5,10,50.0,5,7,2,5,11,31,9,0
Jean-Daniel Akpa-Akpro,CIV,MF,Hellas Verona,33-073,1992.0,5.5,19,12,6,12,1,6,12,50.0,6,11,2,9,12,31,9,0
Raúl Albiol,ESP,DF,Pisa,40-110,1985.0,3.4,2,0,1,1,0,2,3,66.7,1,5,5,0,4,6,42,0
Pontus Almqvist,SWE,"DF,MF",Parma,26-166,1999.0,3.9,7,5,4,3,0,2,7,28.6,5,7,0,7,3,10,2,0
Giuseppe Ambrosino,ITA,FW,Napoli,22-104,2003.0,0.4,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
Angeliño,ESP,"DF,MF",Roma,28-353,1997.0,4.3,8,6,5,2,1,5,10,50.0,5,4,0,4,2,10,6,0
Samuele Angori,ITA,DF,Pisa,22-077,2003.0,8.5,17,10,5,11,1,10,15,66.7,5,6,3,3,6,23,23,0
Faustino Anjorin,ENG,"MF,FW",Torino,24-030,2001.0,1.4,1,1,0,1,0,0,0,,0,1,1,0,2,3,2,0
Kristjan Asllani,ALB,MF,Torino,23-289,2002.0,11.7,21,14,12,5,4,9,18,50.0,9,5,0,5,11,32,10,2
Zachary Athekame,SUI,"DF,FW",Milan,21-010,2004.0,1.3,2,1,1,1,0,1,3,33.3,2,0,0,0,1,3,2,0
Arthur Atta,FRA,MF,Udinese,22-343,2003.0,12.3,13,6,1,10,2,5,16,31.3,11,10,1,9,6,19,15,0
Emil Audero,IDN,GK,Cremonese,28-339,1997.0,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1
Carlos Augusto,BRA,DF,Inter,26-350,1999.0,6.4,13,9,5,5,3,9,9,100.0,0,5,2,3,2,15,15,0
Yann Aurel Bisseck,GER,DF,Inter,25-024,2000.0,4.3,5,3,3,2,0,2,3,66.7,1,3,1,2,6,11,24,0
Neil El Aynaoui,MAR,MF,Roma,24-174,2001.0,4.4,7,4,5,1,1,4,6,66.7,2,3,1,2,6,13,5,0
Leon Bailey,JAM,"MF,FW",Roma,28-136,1997.0,2.1,2,0,1,0,1,1,2,50.0,1,1,0,1,0,2,0,0
Tommaso Baldanzi,ITA,"FW,MF",Roma,22-275,2003.0,4.3,5,1,1,2,2,0,1,0.0,1,1,0,1,3,8,1,0
Lameck Banda,ZAM,"FW,MF",Lecce,24-328,2001.0,6.1,9,4,3,5,1,3,9,33.3,6,4,0,4,3,12,6,0
Tommaso Barbieri,ITA,"DF,FW",Cremonese,23-119,2002.0,9.1,29,17,14,11,4,12,22,54.5,10,15,6,9,10,39,16,0
Nicolò Barella,ITA,MF,Inter,28-319,1997.0,13.2,23,13,9,10,4,10,24,41.7,14,15,1,14,3,26,6,0
Davide Bartesaghi,ITA,DF,Milan,19-359,2005.0,9.1,15,11,8,4,3,11,16,68.8,5,11,3,8,4,19,21,1
Federico Baschirotto,ITA,DF,Cremonese,29-094,1996.0,16.0,14,5,10,4,0,5,11,45.5,6,22,16,6,14,28,121,2
Toma Bašić,CRO,MF,Lazio,29-028,1996.0,9.2,12,7,3,8,1,4,9,44.4,5,7,4,3,6,18,15,1
Alessandro Bastoni,ITA,DF,Inter,26-254,1999.0,13.6,31,25,15,10,6,19,23,82.6,4,10,1,9,13,44,43,0
Martin Baturina,CRO,"FW,MF",Como,22-310,2003.0,2.8,4,2,0,2,2,2,7,28.6,5,5,1,4,0,4,1,0
Vakoun Bayo,CIV,FW,Udinese,28-347,1997.0,3.2,2,1,2,0,0,1,1,100.0,0,3,0,3,0,2,1,0
Tjaš Begić,SVN,DF,Parma,22-176,2003.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Reda Belahyane,MAR,MF,Lazio,21-205,2004.0,2.0,6,5,1,3,2,2,2,100.0,0,2,0,2,2,8,4,0
Rafik Belghali,ALG,"DF,FW",Hellas Verona,23-199,2002.0,12.3,15,9,8,5,2,7,13,53.8,6,15,4,11,12,27,21,0
Armel Bella Kotchap,GER,DF,Hellas Verona,24-012,2001.0,7.6,8,4,3,5,0,4,4,100.0,0,14,9,5,17,25,47,0
Raoul Bellanova,ITA,DF,Atalanta,25-220,2000.0,10.3,13,5,7,4,2,7,10,70.0,3,7,2,5,6,19,21,0
Andrea Belotti,ITA,FW,Cagliari,32-003,1993.0,2.1,0,0,0,0,0,0,1,0.0,1,0,0,0,3,3,1,0
Adrian Benedyczak,POL,"FW,MF",Parma,25-029,2000.0,4.1,5,5,2,1,2,3,5,60.0,2,0,0,0,0,5,5,0
Domenico Berardi,ITA,FW,Sassuolo,31-144,1994.0,9.9,14,10,7,4,3,10,19,52.6,9,9,0,9,12,26,12,0
Medon Berisha,ALB,MF,Lecce,22-063,2003.0,9.7,21,12,8,10,3,7,9,77.8,2,9,2,7,5,26,4,1
Adrian Bernabe,ESP,MF,Parma,24-211,2001.0,13.3,17,11,9,7,1,16,32,50.0,16,12,4,8,6,23,9,0
Federico Bernardeschi,ITA,"FW,MF",Bologna,31-310,1994.0,4.7,4,3,1,0,3,2,3,66.7,1,3,1,2,2,6,2,1
Lorenzo Bernasconi,ITA,DF,Atalanta,22-037,2003.0,4.3,11,4,2,7,2,3,8,37.5,5,2,2,0,5,16,8,0
Antoine Bernede,FRA,MF,Hellas Verona,26-211,1999.0,12.1,37,18,15,19,3,16,33,48.5,17,26,4,22,8,45,5,0
Nicolò Bertola,ITA,DF,Udinese,22-275,2003.0,9.7,22,13,14,7,1,11,18,61.1,7,16,8,8,12,34,49,2
Sam Beukema,NED,DF,Napoli,27-036,1998.0,7.7,9,7,4,5,0,5,7,71.4,2,9,8,1,8,17,29,1
Matteo Bianchetti,ITA,DF,Cremonese,32-281,1993.0,12.6,26,17,15,8,3,15,22,68.2,7,17,10,7,6,32,74,2
Cristiano Biraghi,ITA,"DF,MF",Torino,33-113,1992.0,5.1,9,7,4,3,2,6,10,60.0,4,2,0,2,2,11,16,0
Daniel Boloca,ROU,MF,Sassuolo,27-001,1998.0,1.5,2,2,1,0,1,1,2,50.0,1,0,0,0,2,4,3,0
Federico Bonazzoli,ITA,FW,Cremonese,28-216,1997.0,9.5,8,6,4,3,1,2,5,40.0,3,4,0,4,3,11,3,0
Warren Bondo,FRA,MF,Cremonese,22-099,2003.0,12.5,23,10,11,8,4,10,15,66.7,5,10,3,7,4,27,5,1
Giovanni Bonfanti,ITA,DF,Pisa,22-340,2003.0,4.4,10,4,5,4,1,1,3,33.3,2,3,2,1,5,15,20,0
Ange-Yoan Bonny,FRA,FW,Inter,22-059,2003.0,4.9,4,2,2,1,1,0,0,,0,0,0,0,0,4,4,0
Gennaro Borrelli,ITA,FW,Cagliari,25-288,2000.0,8.8,12,5,9,3,0,4,7,57.1,3,7,1,6,2,14,12,0
Domagoj Bradarić,CRO,"DF,FW",Hellas Verona,26-013,1999.0,10.0,17,9,11,5,1,8,11,72.7,3,12,2,10,4,21,16,1
Iker Bravo,ESP,FW,Udinese,20-344,2005.0,2.0,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,0,0
Gleison Bremer,BRA,DF,Juventus,28-280,1997.0,4.7,4,2,3,1,0,2,2,100.0,0,5,4,1,3,7,30,0
Marco Brescianini,ITA,MF,Atalanta,25-337,2000.0,1.9,7,6,2,4,1,3,5,60.0,2,3,1,2,2,9,4,0
Sascha Britschgi,SUI,DF,Parma,19-118,2006.0,10.2,22,11,12,7,3,15,28,53.6,13,8,3,5,4,26,19,1
Louis Buffon,CZE,"FW,MF",Pisa,17-360,2007.0,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Adam Buksa,POL,FW,Udinese,29-164,1996.0,5.4,4,3,1,3,0,1,4,25.0,3,4,0,4,2,6,10,0
Alessandro Buongiorno,ITA,DF,Napoli,26-200,1999.0,10.1,9,8,5,2,2,3,8,37.5,5,7,3,4,14,23,44,0
Jean Butez,FRA,GK,Como,30-198,1995.0,15.0,1,1,1,0,0,0,0,,0,0,0,0,1,2,12,1
Arturo Calabresi,ITA,DF,Pisa,29-281,1996.0,5.6,7,4,2,2,3,4,15,26.7,11,5,1,4,4,11,28,0
Hakan Çalhanoğlu,TUR,MF,Inter,31-318,1994.0,10.6,17,11,8,7,2,9,18,50.0,9,6,1,5,7,24,10,0
Francesco Camarda,ITA,FW,Lecce,17-288,2008.0,5.4,1,0,0,0,1,0,4,0.0,4,3,1,2,0,1,1,0
Nicolò Cambiaghi,ITA,FW,Bologna,24-360,2000.0,9.1,10,6,5,4,1,5,19,26.3,14,9,0,9,4,14,3,0
Andrea Cambiaso,ITA,"DF,FW",Juventus,25-306,2000.0,12.1,21,17,12,8,1,10,18,55.6,8,12,5,7,8,29,10,0
Matteo Cancellieri,ITA,FW,Lazio,23-314,2002.0,6.8,15,9,7,6,2,4,13,30.8,9,7,1,6,10,25,3,0
Fali Candé,GNB,DF,Sassuolo,27-333,1998.0,4.9,5,5,4,1,0,2,3,66.7,1,6,2,4,2,7,27,0
Simone Canestrelli,ITA,DF,Pisa,25-103,2000.0,16.0,19,9,16,3,0,9,14,64.3,5,25,13,12,8,27,98,2
Elia Caprile,ITA,GK,Cagliari,24-120,2001.0,16.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,1
Maxence Caqueret,FRA,"MF,FW",Como,25-311,2000.0,6.6,18,13,5,10,3,11,21,52.4,10,7,3,4,7,25,3,1
Antonio Caracciolo,ITA,DF,Pisa,35-176,1990.0,15.9,33,20,20,13,0,12,26,46.2,14,29,16,13,24,57,98,1
Valentin Carboni,ARG,"MF,FW",Genoa,20-293,2005.0,4.0,14,8,8,4,2,5,9,55.6,4,8,0,8,2,16,6,0
Diego Carlos,BRA,DF,Como,32-283,1993.0,10.4,17,7,11,5,1,6,6,100.0,0,9,8,1,7,24,71,0
Marco Carnesecchi,ITA,GK,Atalanta,25-175,2000.0,16.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,0
Cesare Casadei,ITA,MF,Torino,22-347,2003.0,12.6,22,11,11,9,2,9,19,47.4,10,10,2,8,6,28,17,0
Nicolò Casale,ITA,DF,Bologna,27-312,1998.0,2.6,1,1,0,1,0,1,2,50.0,1,2,2,0,3,4,18,2
Valentín Castellanos,ARG,FW,Lazio,27-081,1998.0,7.5,6,3,0,5,1,3,6,50.0,3,1,0,1,3,9,7,0
Santiago Castro,ARG,FW,Bologna,21-085,2004.0,9.8,4,4,2,0,2,2,5,40.0,3,4,1,3,0,4,16,0
Danilo Cataldi,ITA,MF,Lazio,31-139,1994.0,11.8,18,11,11,5,2,11,17,64.7,6,10,5,5,12,30,25,2
Nicolò Cavuoti,ITA,"MF,DF",Cagliari,22-263,2003.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Federico Ceccherini,ITA,DF,Cremonese,33-226,1992.0,2.5,5,0,3,2,0,1,1,100.0,0,4,3,1,5,10,17,0
Zeki Çelik,TUR,DF,Roma,28-309,1997.0,11.6,22,11,8,10,4,8,13,61.5,5,9,1,8,6,28,28,0
Fallou Cham,GAM,DF,Hellas Verona,19-312,2006.0,2.4,13,10,9,4,0,10,13,76.9,3,3,0,3,4,17,6,0
Walid Cheddira,MAR,FW,Sassuolo,27-335,1998.0,2.0,1,0,0,1,0,0,0,,0,3,0,3,0,1,0,0
Samuel Chukwueze,NGA,FW,Milan,26-215,1999.0,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Alessandro Circati,AUS,DF,Parma,22-074,2003.0,9.4,10,6,5,4,1,5,6,83.3,1,21,12,9,10,20,50,0
Saúl Coco,EQG,DF,Torino,26-317,1999.0,14.0,27,17,19,8,0,15,20,75.0,5,25,18,7,19,46,77,0
Michele Collocolo,ITA,MF,Cremonese,26-045,1999.0,3.2,3,3,0,2,1,2,4,50.0,2,3,1,2,1,4,2,0
Lorenzo Colombo,ITA,"FW,MF",Genoa,23-290,2002.0,9.6,6,5,1,3,2,2,10,20.0,8,8,1,7,0,6,5,0
Pietro Comuzzo,ITA,DF,Fiorentina,20-306,2005.0,7.2,16,8,5,10,1,3,9,33.3,6,10,5,5,13,29,49,0
Francisco Conceição,POR,"MF,FW",Juventus,23-009,2002.0,9.9,13,8,3,5,5,5,10,50.0,5,8,0,8,3,16,3,0
Maxwel Cornet,CIV,"FW,DF",Genoa,29-087,1996.0,0.9,2,1,0,2,0,1,1,100.0,0,1,0,1,0,2,1,0
Edoardo Corvi,ITA,GK,Parma,24-275,2001.0,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,1
Lassana Coulibaly,MLI,MF,Lecce,29-257,1996.0,13.1,16,8,9,6,1,9,24,37.5,15,12,3,9,1,17,16,0
Woyo Coulibaly,MLI,DF,Sassuolo,26-217,1999.0,3.4,7,4,4,1,2,2,5,40.0,3,3,1,2,3,10,4,0
Ben Cremaschi,USA,MF,Parma,20-296,2005.0,0.2,1,1,1,0,0,0,1,0.0,1,1,1,0,0,1,1,0
Bryan Cristante,ITA,MF,Roma,30-295,1995.0,14.7,29,14,7,18,4,17,27,63.0,10,10,0,10,9,38,24,1
Juan Cuadrado,COL,"DF,MF",Pisa,37-211,1988.0,3.6,12,7,8,4,0,5,11,45.5,6,4,2,2,2,14,5,0
Patrick Cutrone,ITA,FW,Parma,27-354,1998.0,9.0,6,1,0,6,0,5,9,55.6,4,2,1,1,3,9,7,0
Lucas Da Cunha,FRA,MF,Como,24-197,2001.0,10.7,17,8,6,8,3,7,20,35.0,13,7,0,7,4,21,8,0
Thijs Dallinga,NED,"FW,MF",Bologna,25-142,2000.0,5.1,5,3,1,2,2,2,2,100.0,0,3,2,1,0,5,6,0
Matteo Darmian,ITA,DF,Inter,36-021,1989.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Juan David Cabal,COL,DF,Juventus,24-349,2001.0,1.5,3,2,3,0,0,3,6,50.0,3,1,0,1,1,4,4,0
