Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Zakaria Aboukhlal,MAR,"FW,MF",Torino,25-308,2000.0,1.9,1,0,0,4,6,3,4,0,5,0,0,0,9,1,5,16.7
Francesco Acerbi,ITA,DF,Inter,37-316,1988.0,9.6,2,0,0,11,8,2,1,15,5,0,0,0,32,32,17,65.3
Che Adams,SCO,"FW,MF",Torino,29-163,1996.0,9.1,0,0,0,5,7,4,9,1,4,0,0,0,24,11,24,31.4
Jayden Addai,NED,FW,Como,20-119,2005.0,6.9,3,0,0,12,12,2,9,3,2,0,0,0,22,2,1,66.7
Vasilije Adžić,MNE,MF,Juventus,19-225,2006.0,1.4,0,0,0,2,1,0,2,2,1,0,0,0,12,1,4,20.0
Michel Aebischer,SUI,MF,Pisa,28-351,1997.0,13.9,3,0,0,19,16,0,16,12,23,0,0,0,69,5,8,38.5
Honest Ahanor,ITA,DF,Atalanta,17-303,2008.0,6.1,0,0,0,4,11,0,1,8,7,0,0,0,17,10,7,58.8
Junior Ajayi,CIV,FW,Hellas Verona,21-073,2004.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Manuel Akanji,SUI,DF,Inter,30-157,1995.0,13.0,3,0,0,11,6,1,3,9,9,0,0,0,50,21,14,60.0
Ebenezer Akinsanmiro,NGA,MF,Pisa,21-028,2004.0,9.5,1,0,0,21,17,1,10,11,13,0,0,0,67,7,9,43.8
Jean-Daniel Akpa-Akpro,CIV,MF,Hellas Verona,33-073,1992.0,5.5,4,0,0,19,1,0,3,12,12,0,0,0,27,15,15,50.0
Raúl Albiol,ESP,DF,Pisa,40-110,1985.0,3.4,1,0,0,4,2,0,1,4,0,0,0,0,8,4,5,44.4
Pontus Almqvist,SWE,"DF,MF",Parma,26-166,1999.0,3.9,0,0,0,6,12,0,4,3,5,0,0,0,17,5,4,55.6
Giuseppe Ambrosino,ITA,FW,Napoli,22-104,2003.0,0.4,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,50.0
Angeliño,ESP,"DF,MF",Roma,28-353,1997.0,4.3,1,0,0,4,2,0,14,2,6,0,0,0,21,4,4,50.0
Samuele Angori,ITA,DF,Pisa,22-077,2003.0,8.5,0,0,0,6,18,1,54,6,10,0,0,0,26,6,9,40.0
Faustino Anjorin,ENG,"MF,FW",Torino,24-030,2001.0,1.4,1,0,0,4,1,1,1,2,1,0,0,0,6,4,4,50.0
Kristjan Asllani,ALB,MF,Torino,23-289,2002.0,11.7,3,0,0,7,12,0,50,11,14,0,0,0,58,1,9,10.0
Zachary Athekame,SUI,"DF,FW",Milan,21-010,2004.0,1.3,2,0,0,3,1,1,6,1,1,0,0,0,5,5,2,71.4
Arthur Atta,FRA,MF,Udinese,22-343,2003.0,12.3,2,0,0,10,19,3,34,6,6,0,0,0,43,7,8,46.7
Emil Audero,IDN,GK,Cremonese,28-339,1997.0,12.0,0,0,0,0,4,0,0,0,0,0,0,0,35,3,1,75.0
Carlos Augusto,BRA,DF,Inter,26-350,1999.0,6.4,1,0,0,11,6,0,14,2,9,0,0,0,19,20,10,66.7
Yann Aurel Bisseck,GER,DF,Inter,25-024,2000.0,4.3,2,0,0,7,3,1,2,6,3,0,0,0,15,14,9,60.9
Neil El Aynaoui,MAR,MF,Roma,24-174,2001.0,4.4,2,0,0,8,2,1,4,6,4,0,0,0,20,2,4,33.3
Leon Bailey,JAM,"MF,FW",Roma,28-136,1997.0,2.1,0,0,0,2,1,1,14,0,0,0,0,0,6,3,4,42.9
Tommaso Baldanzi,ITA,"FW,MF",Roma,22-275,2003.0,4.3,2,0,0,8,18,2,9,3,1,0,0,0,13,1,7,12.5
Lameck Banda,ZAM,"FW,MF",Lecce,24-328,2001.0,6.1,3,0,0,17,17,0,19,3,4,0,0,0,26,5,6,45.5
Tommaso Barbieri,ITA,"DF,FW",Cremonese,23-119,2002.0,9.1,3,0,0,18,13,1,38,10,17,0,0,0,33,6,13,31.6
Nicolò Barella,ITA,MF,Inter,28-319,1997.0,13.2,2,0,0,15,9,1,56,3,13,0,0,0,79,6,7,46.2
Davide Bartesaghi,ITA,DF,Milan,19-359,2005.0,9.1,1,0,0,6,7,2,48,4,11,0,0,0,17,6,6,50.0
Federico Baschirotto,ITA,DF,Cremonese,29-094,1996.0,16.0,1,0,0,21,2,1,3,14,5,0,0,0,47,35,26,57.4
Toma Bašić,CRO,MF,Lazio,29-028,1996.0,9.2,0,1,0,12,14,0,28,6,7,0,0,0,26,13,8,61.9
Alessandro Bastoni,ITA,DF,Inter,26-254,1999.0,13.6,1,0,0,28,13,0,37,13,25,0,0,0,51,25,16,61.0
Martin Baturina,CRO,"FW,MF",Como,22-310,2003.0,2.8,0,0,0,1,7,0,13,0,2,0,0,0,15,1,3,25.0
Vakoun Bayo,CIV,FW,Udinese,28-347,1997.0,3.2,0,0,0,5,3,2,0,0,1,0,0,0,8,14,17,45.2
Tjaš Begić,SVN,DF,Parma,22-176,2003.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Reda Belahyane,MAR,MF,Lazio,21-205,2004.0,2.0,1,1,0,6,0,0,0,2,5,0,0,0,10,1,0,100.0
Rafik Belghali,ALG,"DF,FW",Hellas Verona,23-199,2002.0,12.3,5,0,0,13,5,4,34,12,9,0,0,0,59,5,15,25.0
Armel Bella Kotchap,GER,DF,Hellas Verona,24-012,2001.0,7.6,1,0,0,14,8,0,1,17,4,0,1,0,34,24,5,82.8
Raoul Bellanova,ITA,DF,Atalanta,25-220,2000.0,10.3,0,0,0,1,6,1,61,6,5,0,0,0,38,6,10,37.5
Andrea Belotti,ITA,FW,Cagliari,32-003,1993.0,2.1,0,0,0,3,7,3,1,3,0,1,0,0,3,4,10,28.6
Adrian Benedyczak,POL,"FW,MF",Parma,25-029,2000.0,4.1,1,0,0,8,5,1,7,0,5,0,0,0,6,14,17,45.2
Domenico Berardi,ITA,FW,Sassuolo,31-144,1994.0,9.9,2,0,0,14,17,7,24,12,10,0,0,0,36,5,7,41.7
Medon Berisha,ALB,MF,Lecce,22-063,2003.0,9.7,0,0,0,11,10,1,59,5,12,0,0,0,41,7,8,46.7
Adrian Bernabe,ESP,MF,Parma,24-211,2001.0,13.3,0,0,0,7,26,0,39,6,11,0,0,0,58,2,9,18.2
Federico Bernardeschi,ITA,"FW,MF",Bologna,31-310,1994.0,4.7,2,0,0,7,6,0,22,2,3,0,1,0,22,4,4,50.0
Lorenzo Bernasconi,ITA,DF,Atalanta,22-037,2003.0,4.3,1,0,0,3,1,1,31,5,4,0,0,0,9,2,1,66.7
Antoine Bernede,FRA,MF,Hellas Verona,26-211,1999.0,12.1,1,0,0,31,10,0,17,8,18,0,0,0,59,6,9,40.0
Nicolò Bertola,ITA,DF,Udinese,22-275,2003.0,9.7,2,0,0,10,7,0,4,12,13,0,0,0,38,18,12,60.0
Sam Beukema,NED,DF,Napoli,27-036,1998.0,7.7,2,0,0,7,4,0,2,8,7,0,1,0,24,10,12,45.5
Matteo Bianchetti,ITA,DF,Cremonese,32-281,1993.0,12.6,2,0,0,13,8,0,4,6,17,0,1,0,27,30,22,57.7
Cristiano Biraghi,ITA,"DF,MF",Torino,33-113,1992.0,5.1,0,0,0,7,6,0,35,2,7,0,0,0,12,5,2,71.4
Daniel Boloca,ROU,MF,Sassuolo,27-001,1998.0,1.5,0,0,0,0,1,0,1,2,2,0,0,0,11,0,3,0.0
Federico Bonazzoli,ITA,FW,Cremonese,28-216,1997.0,9.5,0,0,0,8,26,3,4,3,6,0,0,0,30,4,6,40.0
Warren Bondo,FRA,MF,Cremonese,22-099,2003.0,12.5,2,0,0,23,22,0,1,4,10,0,0,0,53,3,9,25.0
Giovanni Bonfanti,ITA,DF,Pisa,22-340,2003.0,4.4,1,0,0,10,3,0,9,5,4,0,0,0,16,8,6,57.1
Ange-Yoan Bonny,FRA,FW,Inter,22-059,2003.0,4.9,0,0,0,7,14,4,0,0,2,1,0,0,13,7,6,53.8
Gennaro Borrelli,ITA,FW,Cagliari,25-288,2000.0,8.8,2,0,0,32,31,5,1,2,5,0,0,0,11,34,36,48.6
Domagoj Bradarić,CRO,"DF,FW",Hellas Verona,26-013,1999.0,10.0,1,0,0,5,5,1,41,4,9,0,0,0,35,4,7,36.4
Iker Bravo,ESP,FW,Udinese,20-344,2005.0,2.0,1,0,0,3,1,0,3,0,1,0,0,0,7,1,4,20.0
Gleison Bremer,BRA,DF,Juventus,28-280,1997.0,4.7,0,0,0,5,3,0,1,3,2,0,0,0,19,9,11,45.0
Marco Brescianini,ITA,MF,Atalanta,25-337,2000.0,1.9,1,0,0,4,2,0,6,2,6,0,0,0,12,0,0,
Sascha Britschgi,SUI,DF,Parma,19-118,2006.0,10.2,2,0,0,7,11,0,23,4,11,0,0,0,27,4,10,28.6
Louis Buffon,CZE,"FW,MF",Pisa,17-360,2007.0,0.3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0
Adam Buksa,POL,FW,Udinese,29-164,1996.0,5.4,1,0,0,9,13,2,1,2,3,0,0,0,8,32,30,51.6
Alessandro Buongiorno,ITA,DF,Napoli,26-200,1999.0,10.1,1,0,0,17,8,1,2,14,8,0,1,0,43,20,13,60.6
Jean Butez,FRA,GK,Como,30-198,1995.0,15.0,0,0,0,0,5,0,0,1,1,0,0,0,42,6,1,85.7
Arturo Calabresi,ITA,DF,Pisa,29-281,1996.0,5.6,3,0,0,9,10,0,7,4,4,0,0,0,22,5,7,41.7
Hakan Çalhanoğlu,TUR,MF,Inter,31-318,1994.0,10.6,2,0,0,13,8,0,53,7,11,0,0,0,61,6,3,66.7
Francesco Camarda,ITA,FW,Lecce,17-288,2008.0,5.4,1,0,0,11,2,0,1,0,0,0,0,0,14,12,22,35.3
Nicolò Cambiaghi,ITA,FW,Bologna,24-360,2000.0,9.1,3,0,0,18,44,2,34,4,6,0,0,0,30,3,4,42.9
Andrea Cambiaso,ITA,"DF,FW",Juventus,25-306,2000.0,12.1,1,1,0,11,7,0,54,8,17,0,0,0,56,4,4,50.0
Matteo Cancellieri,ITA,FW,Lazio,23-314,2002.0,6.8,1,0,0,14,30,0,4,10,9,0,0,0,21,15,11,57.7
Fali Candé,GNB,DF,Sassuolo,27-333,1998.0,4.9,1,0,0,7,5,0,4,2,5,0,1,0,21,9,14,39.1
Simone Canestrelli,ITA,DF,Pisa,25-103,2000.0,16.0,1,0,0,11,6,1,5,8,9,0,0,0,43,47,24,66.2
