Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches
410,Amin Sarr,se SWE,FW,Hellas Verona,24-287,2001,4.3,77,110,70.0,965,254,43,54,79.6,17,26,65.4,3,5,60.0,0,0.5,0.4,-0.5,7,7,3,1,10,Matches
411,Razvan Sava,ro ROU,GK,Udinese,23-185,2002,6.9,154,197,78.2,3817,2888,34,34,100.0,89,91,97.8,30,71,42.3,0,0.0,0.0,0.0,0,1,0,0,0,Matches
412,Giorgio Scalvini,it ITA,DF,Atalanta,22-012,2003,3.2,190,221,86.0,2806,1033,115,123,93.5,69,79,87.3,5,13,38.5,0,0.1,0.3,-0.1,2,13,1,0,22,Matches
413,Gianluca Scamacca,it ITA,FW,Atalanta,26-356,1999,6.7,111,158,70.3,1810,410,54,77,70.1,40,52,76.9,10,13,76.9,0,0.5,0.4,-0.5,7,15,6,0,22,Matches
414,Simone Scuffet,it ITA,GK,Pisa,29-206,1996,2.0,67,79,84.8,2033,1452,7,7,100.0,38,38,100.0,22,34,64.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches
415,Adrian Šemper,hr CRO,GK,Pisa,27-345,1998,14.0,309,477,64.8,10387,8276,38,39,97.4,134,138,97.1,137,298,46.0,0,0.0,0.0,0.0,0,7,0,0,0,Matches
416,Suat Serdar,de GER,MF,Hellas Verona,28-256,1997,8.6,185,265,69.8,3473,1544,78,101,77.2,77,101,76.2,26,47,55.3,0,0.8,0.7,-0.8,12,51,9,1,52,Matches
417,Stephan El Shaarawy,it ITA,"MF,FW",Roma,33-057,1992,2.4,100,125,80.0,1589,373,49,55,89.1,42,52,80.8,5,9,55.6,1,0.5,0.4,+0.5,3,9,4,0,18,Matches
418,Jamil Siebert,de GER,DF,Lecce,23-265,2002,0.9,37,38,97.4,688,192,15,15,100.0,19,19,100.0,3,4,75.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
419,Marco Silvestri,it ITA,GK,Cremonese,34-296,1991,4.0,97,157,61.8,2800,2105,21,21,100.0,48,49,98.0,28,87,32.2,0,0.0,0.0,0.0,0,1,0,0,0,Matches
420,Giovanni Simeone,ar ARG,FW,Torino,30-171,1995,9.0,127,169,75.1,1861,360,66,76,86.8,41,55,74.5,9,15,60.0,0,1.6,0.5,-1.6,8,15,3,0,13,Matches
421,Leo Skiri Østigård,no NOR,DF,Genoa,26-025,1999,10.5,550,621,88.6,11155,4103,144,156,92.3,346,368,94.0,54,87,62.1,1,0.7,0.3,+0.3,3,30,0,0,24,Matches
422,Łukasz Skorupski,pl POL,GK,Bologna,34-232,1991,9.1,334,423,79.0,8701,5429,44,44,100.0,200,204,98.0,90,174,51.7,0,0.0,0.0,0.0,0,10,0,0,0,Matches
423,Ivan Smolčić,hr CRO,DF,Como,25-128,2000,8.1,360,432,83.3,6337,1988,145,160,90.6,178,197,90.4,31,55,56.4,0,1.0,0.3,-1.0,6,31,4,3,29,Matches
424,Simon Sohm,ch SUI,MF,Fiorentina,24-256,2001,7.5,257,295,87.1,4153,985,123,134,91.8,114,127,89.8,14,20,70.0,1,1.8,1.3,-0.8,9,18,5,1,26,Matches
425,Oumar Solet,fr FRA,DF,Udinese,25-319,2000,15.7,835,957,87.3,16414,5109,295,322,91.6,414,442,93.7,117,167,70.1,1,0.7,1.0,+0.3,10,72,14,0,78,Matches
426,Daniele Sommariva,it ITA,GK,Genoa,28-158,1997,1.0,22,40,55.0,1055,989,1,1,100.0,4,4,100.0,17,35,48.6,0,0.0,0.0,0.0,0,2,1,0,0,Matches
427,Yann Sommer,ch SUI,GK,Inter,37-006,1988,13.0,414,477,86.8,10250,6567,92,92,100.0,207,209,99.0,113,174,64.9,0,0.0,0.0,0.0,0,5,0,0,1,Matches
428,Riccardo Sottil,it ITA,"FW,MF",Lecce,26-203,1999,5.2,120,167,71.9,2031,567,53,63,84.1,45,63,71.4,13,25,52.0,1,1.5,1.3,-0.5,13,6,7,3,14,Matches
429,Matìas Soulé,ar ARG,"MF,FW",Roma,22-252,2003,12.5,405,521,77.7,6484,1667,203,234,86.8,150,177,84.7,33,67,49.3,3,1.9,2.1,+1.1,28,44,12,3,60,Matches
430,Leonardo Spinazzola,it ITA,"DF,MF",Napoli,32-273,1993,7.1,279,368,75.8,5148,1638,112,127,88.2,139,172,80.8,26,49,53.1,2,1.2,0.9,+0.8,14,22,11,5,25,Matches
431,Nicolae Stanciu,ro ROU,"MF,FW",Genoa,32-230,1993,1.9,60,88,68.2,944,264,36,42,85.7,12,21,57.1,8,16,50.0,0,0.1,0.2,-0.1,2,4,1,0,4,Matches
432,Calvin Stengs,nl NED,MF,Pisa,27-005,1998,0.1,13,18,72.2,221,85,3,3,100.0,9,11,81.8,0,3,0.0,0,0.0,0.0,0.0,0,2,2,0,5,Matches
433,Nikola Štulić,rs SRB,FW,Lecce,24-106,2001,9.7,99,158,62.7,1345,150,52,84,61.9,30,44,68.2,6,7,85.7,0,0.5,0.7,-0.5,9,4,1,0,9,Matches
434,Petar Sucic,hr CRO,MF,Inter,22-059,2003,8.4,363,428,84.8,6162,1475,172,190,90.5,151,169,89.3,34,49,69.4,2,1.0,0.8,+1.0,13,39,15,2,67,Matches
435,Ibrahim Sulemana,gh GHA,MF,Bologna,22-215,2003,0.4,18,19,94.7,281,70,9,10,90.0,9,9,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,3,Matches
436,Kamaldeen Sulemana,gh GHA,MF,Atalanta,23-311,2002,5.8,142,173,82.1,2329,570,76,83,91.6,55,63,87.3,10,15,66.7,1,0.9,1.3,+0.1,4,12,9,1,26,Matches
437,Zion Suzuki,jp JPN,GK,Parma,23-124,2002,11.0,290,447,64.9,10435,7978,29,29,100.0,125,125,100.0,135,291,46.4,0,0.0,0.1,0.0,0,15,0,0,0,Matches
438,Mile Svilar,rs SRB,GK,Roma,26-118,1999,16.0,450,594,75.8,12915,7874,44,45,97.8,257,260,98.8,148,287,51.6,0,0.0,0.0,0.0,0,3,0,0,0,Matches
439,Adrien Tameze,cm CMR,"DF,MF",Torino,31-322,1994,8.5,272,349,77.9,5021,1803,100,123,81.3,147,166,88.6,22,48,45.8,0,0.2,0.1,-0.2,5,27,3,1,30,Matches
440,Nuno Tavares,pt POR,DF,Lazio,25-331,2000,5.7,307,382,80.4,5065,1933,151,169,89.3,119,139,85.6,24,52,46.2,0,0.3,0.4,-0.3,7,29,2,2,28,Matches
441,Filippo Terracciano,it ITA,DF,Cremonese,22-318,2003,14.9,701,852,82.3,12642,4389,317,344,92.2,307,355,86.5,68,115,59.1,0,0.2,0.2,-0.2,5,46,1,0,46,Matches
442,Pietro Terracciano,it ITA,GK,Milan,35-290,1990,1.4,33,36,91.7,1026,574,2,2,100.0,19,20,95.0,12,14,85.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches
443,Morten Thorsby,no NOR,MF,Genoa,29-232,1996,6.5,113,172,65.7,1588,532,69,99,69.7,39,53,73.6,3,8,37.5,1,0.8,0.2,+0.2,5,11,2,0,15,Matches
444,Kristian Thorstvedt,no NOR,MF,Sassuolo,26-285,1999,9.6,282,364,77.5,3943,1074,164,197,83.2,98,115,85.2,9,24,37.5,1,0.8,0.7,+0.2,14,31,12,3,41,Matches
445,Khéphren Thuram,fr FRA,MF,Juventus,24-272,2001,12.0,569,650,87.5,9359,2234,279,302,92.4,240,263,91.3,39,51,76.5,1,0.4,1.0,+0.6,7,62,12,1,61,Matches
446,Marcus Thuram,fr FRA,FW,Inter,28-139,1997,7.1,124,169,73.4,1635,250,83,108,76.9,31,42,73.8,5,5,100.0,1,1.5,0.5,-0.5,13,7,4,1,11,Matches
447,Fikayo Tomori,eng ENG,DF,Milan,28-004,1997,11.6,643,728,88.3,11645,3684,228,245,93.1,370,399,92.7,41,65,63.1,2,0.7,0.6,+1.3,3,56,5,0,42,Matches
448,Idrissa Touré,de GER,DF,Pisa,27-238,1998,13.0,250,400,62.5,4086,1630,130,166,78.3,82,134,61.2,26,51,51.0,0,2.3,2.4,-2.3,16,20,16,9,27,Matches
449,Mattéo Tramoni,fr FRA,"MF,FW",Pisa,25-337,2000,8.0,114,182,62.6,2022,750,54,71,76.1,43,61,70.5,16,41,39.0,1,0.9,1.3,+0.1,12,14,13,5,29,Matches
450,Mariano Troilo,ar ARG,DF,Parma,22-184,2003,2.7,125,140,89.3,2612,928,31,34,91.2,82,89,92.1,11,15,73.3,0,0.2,0.1,-0.2,2,3,2,1,9,Matches
451,Kostas Tsimikas,gr GRE,DF,Roma,29-225,1996,2.7,83,118,70.3,1409,437,38,45,84.4,36,46,78.3,8,21,38.1,0,0.0,0.0,0.0,1,6,1,1,6,Matches
452,Stefano Turati,it ITA,GK,Sassuolo,24-109,2001,1.0,10,26,38.5,225,138,3,3,100.0,6,6,100.0,1,17,5.9,0,0.0,0.0,0.0,0,0,0,0,0,Matches
453,Lautaro Valenti,ar ARG,DF,Parma,26-343,1999,10.5,315,455,69.2,6746,2656,74,84,88.1,196,238,82.4,44,112,39.3,0,0.8,0.3,-0.8,7,19,0,0,21,Matches
454,Nicolás Valentini,ar ARG,DF,Hellas Verona,24-261,2001,4.9,85,128,66.4,1614,711,36,39,92.3,36,47,76.6,12,35,34.3,0,0.8,0.5,-0.8,3,13,3,3,16,Matches
455,Emanuele Valeri,it ITA,DF,Parma,27-016,1998,8.6,190,344,55.2,3857,1762,74,94,78.7,79,131,60.3,33,98,33.7,1,1.5,1.5,-0.5,20,16,14,10,18,Matches
456,Álex Valle,es ESP,DF,Como,21-242,2004,11.4,553,667,82.9,7968,2572,305,343,88.9,210,237,88.6,14,35,40.0,1,0.3,0.4,+0.7,4,48,5,1,44,Matches
457,Ignace Van Der Brempt,be BEL,DF,Como,23-266,2002,1.2,47,56,83.9,772,239,25,25,100.0,17,20,85.0,4,5,80.0,0,0.0,0.0,0.0,1,2,1,0,2,Matches
458,Jari Vandeputte,be BEL,MF,Cremonese,29-312,1996,11.8,405,580,69.8,7966,2752,159,191,83.2,184,235,78.3,58,127,45.7,4,3.0,2.6,+1.0,32,49,13,5,60,Matches
459,Jamie Vardy,eng ENG,FW,Cremonese,38-346,1987,10.7,76,139,54.7,1025,243,48,74,64.9,22,37,59.5,1,4,25.0,0,0.7,0.5,-0.7,6,6,4,1,10,Matches
460,Johan Vásquez,mx MEX,DF,Genoa,27-062,1998,16.0,737,877,84.0,14420,4626,246,268,91.8,403,440,91.6,85,146,58.2,0,0.2,0.2,-0.2,2,58,1,1,59,Matches
