Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Zakaria Aboukhlal,MAR,"FW,MF",Torino,25-308,2000.0,1.9,25,39,64.1,386,129,15,20,75.0,6,7,85.7,3,5,60.0,0,0.0,0.0,0.0,0,1,1,1,4
Francesco Acerbi,ITA,DF,Inter,37-316,1988.0,9.6,541,572,94.6,10219,2666,162,171,94.7,339,348,97.4,37,44,84.1,1,0.4,0.8,0.6,3,22,2,1,34
Che Adams,SCO,"FW,MF",Torino,29-163,1996.0,9.1,168,226,74.3,3045,604,82,103,79.6,52,68,76.5,26,30,86.7,0,0.7,0.8,-0.7,9,17,5,1,19
Jayden Addai,NED,FW,Como,20-119,2005.0,6.9,108,155,69.7,1629,351,62,78,79.5,36,49,73.5,7,14,50.0,0,0.5,0.7,-0.5,5,5,5,1,14
Vasilije Adžić,MNE,MF,Juventus,19-225,2006.0,1.4,54,70,77.1,901,218,26,29,89.7,18,20,90.0,5,7,71.4,0,0.2,0.1,-0.2,4,4,2,0,9
Michel Aebischer,SUI,MF,Pisa,28-351,1997.0,13.9,598,705,84.8,11239,3001,240,258,93.0,268,306,87.6,79,115,68.7,0,0.8,1.0,-0.8,13,57,10,1,76
Honest Ahanor,ITA,DF,Atalanta,17-303,2008.0,6.1,285,314,90.8,4546,1288,137,147,93.2,138,147,93.9,6,11,54.5,0,0.0,0.1,0.0,0,21,1,0,15
Junior Ajayi,CIV,FW,Hellas Verona,21-073,2004.0,0.0,1,1,100.0,15,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Manuel Akanji,SUI,DF,Inter,30-157,1995.0,13.0,845,928,91.1,15816,4554,315,333,94.6,444,472,94.1,82,104,78.8,0,0.2,0.5,-0.2,3,72,6,2,61
Ebenezer Akinsanmiro,NGA,MF,Pisa,21-028,2004.0,9.5,239,283,84.5,4349,1233,97,106,91.5,111,126,88.1,22,35,62.9,1,1.3,1.1,-0.3,11,41,6,3,46
Jean-Daniel Akpa-Akpro,CIV,MF,Hellas Verona,33-073,1992.0,5.5,84,121,69.4,1253,578,52,66,78.8,25,35,71.4,4,7,57.1,0,0.1,0.1,-0.1,4,11,1,0,10
Raúl Albiol,ESP,DF,Pisa,40-110,1985.0,3.4,181,203,89.2,3918,1785,48,51,94.1,103,108,95.4,30,42,71.4,0,0.1,0.0,-0.1,1,10,1,0,13
Pontus Almqvist,SWE,"DF,MF",Parma,26-166,1999.0,3.9,60,80,75.0,862,233,41,48,85.4,13,19,68.4,5,8,62.5,0,1.0,0.7,-1.0,7,1,4,3,3
Giuseppe Ambrosino,ITA,FW,Napoli,22-104,2003.0,0.4,1,4,25.0,5,0,1,3,33.3,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Angeliño,ESP,"DF,MF",Roma,28-353,1997.0,4.3,183,244,75.0,3214,1065,76,84,90.5,87,111,78.4,16,32,50.0,0,0.1,0.6,-0.1,3,13,9,2,25
Samuele Angori,ITA,DF,Pisa,22-077,2003.0,8.5,177,276,64.1,3708,1591,66,78,84.6,76,108,70.4,33,75,44.0,1,1.8,2.0,-0.8,13,12,11,8,15
Faustino Anjorin,ENG,"MF,FW",Torino,24-030,2001.0,1.4,24,36,66.7,384,158,13,17,76.5,9,14,64.3,2,2,100.0,0,0.0,0.1,0.0,0,4,1,1,4
Kristjan Asllani,ALB,MF,Torino,23-289,2002.0,11.7,486,618,78.6,10436,3397,167,182,91.8,226,260,86.9,90,165,54.5,0,0.8,1.2,-0.8,13,54,9,1,56
Zachary Athekame,SUI,"DF,FW",Milan,21-010,2004.0,1.3,52,66,78.8,992,269,24,26,92.3,21,27,77.8,7,11,63.6,0,0.0,0.1,0.0,0,4,2,1,4
Arthur Atta,FRA,MF,Udinese,22-343,2003.0,12.3,354,456,77.6,5606,1611,182,212,85.8,124,144,86.1,29,58,50.0,2,1.3,1.3,0.7,20,43,13,3,52
Emil Audero,IDN,GK,Cremonese,28-339,1997.0,12.0,347,551,63.0,9697,7004,49,49,100.0,189,192,98.4,109,308,35.4,0,0.0,0.0,0.0,0,1,0,0,0
