Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Zakaria Aboukhlal,MAR,"FW,MF",Torino,25-308,2000.0,1.9,39,37,2,0,0,0,4,1,0,0,0,0,25,0,3
Francesco Acerbi,ITA,DF,Inter,37-316,1988.0,9.6,572,562,10,7,0,0,1,1,0,0,0,0,541,0,5
Che Adams,SCO,"FW,MF",Torino,29-163,1996.0,9.1,226,217,7,1,0,8,9,0,1,0,0,0,168,2,9
Jayden Addai,NED,FW,Como,20-119,2005.0,6.9,155,152,3,1,1,2,9,1,1,0,1,0,108,0,8
Vasilije Adžić,MNE,MF,Juventus,19-225,2006.0,1.4,70,63,5,2,0,1,2,2,1,0,1,0,54,2,5
Michel Aebischer,SUI,MF,Pisa,28-351,1997.0,13.9,705,636,67,43,0,8,16,4,8,2,5,0,598,2,10
Honest Ahanor,ITA,DF,Atalanta,17-303,2008.0,6.1,314,307,7,6,0,1,1,0,0,0,0,0,285,0,2
Junior Ajayi,CIV,FW,Hellas Verona,21-073,2004.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Manuel Akanji,SUI,DF,Inter,30-157,1995.0,13.0,928,870,55,23,0,10,3,32,0,0,0,0,845,3,6
Ebenezer Akinsanmiro,NGA,MF,Pisa,21-028,2004.0,9.5,283,269,10,4,2,3,10,1,0,0,0,0,239,4,1
Jean-Daniel Akpa-Akpro,CIV,MF,Hellas Verona,33-073,1992.0,5.5,121,116,4,2,0,0,3,2,0,0,0,0,84,1,6
Raúl Albiol,ESP,DF,Pisa,40-110,1985.0,3.4,203,196,7,3,0,0,1,1,0,0,0,0,181,0,1
Pontus Almqvist,SWE,"DF,MF",Parma,26-166,1999.0,3.9,80,79,1,1,0,0,4,0,0,0,0,0,60,0,1
Giuseppe Ambrosino,ITA,FW,Napoli,22-104,2003.0,0.4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0
Angeliño,ESP,"DF,MF",Roma,28-353,1997.0,4.3,244,200,43,5,0,2,14,38,0,0,0,0,183,1,6
Samuele Angori,ITA,DF,Pisa,22-077,2003.0,8.5,276,203,71,24,0,3,54,33,14,4,8,0,177,2,10
Faustino Anjorin,ENG,"MF,FW",Torino,24-030,2001.0,1.4,36,35,0,0,1,0,1,0,0,0,0,0,24,1,0
Kristjan Asllani,ALB,MF,Torino,23-289,2002.0,11.7,618,519,96,50,3,7,50,4,30,12,17,0,486,3,3
Zachary Athekame,SUI,"DF,FW",Milan,21-010,2004.0,1.3,66,60,6,0,0,1,6,6,0,0,0,0,52,0,2
Arthur Atta,FRA,MF,Udinese,22-343,2003.0,12.3,456,413,43,14,0,3,34,9,20,14,2,0,354,0,16
Emil Audero,IDN,GK,Cremonese,28-339,1997.0,12.0,551,444,105,40,0,0,0,0,0,0,0,0,347,2,0
Carlos Augusto,BRA,DF,Inter,26-350,1999.0,6.4,337,294,43,6,1,1,14,37,0,0,0,0,277,0,6
Yann Aurel Bisseck,GER,DF,Inter,25-024,2000.0,4.3,279,260,19,8,0,1,2,11,0,0,0,0,252,0,3
Neil El Aynaoui,MAR,MF,Roma,24-174,2001.0,4.4,213,205,8,3,1,0,4,2,3,2,1,0,186,0,1
Leon Bailey,JAM,"MF,FW",Roma,28-136,1997.0,2.1,73,67,6,3,0,0,14,0,3,2,0,0,51,0,4
Tommaso Baldanzi,ITA,"FW,MF",Roma,22-275,2003.0,4.3,146,134,11,2,2,0,9,1,4,3,1,0,121,1,3
Lameck Banda,ZAM,"FW,MF",Lecce,24-328,2001.0,6.1,139,132,6,1,1,1,19,4,1,1,0,0,107,1,9
Tommaso Barbieri,ITA,"DF,FW",Cremonese,23-119,2002.0,9.1,310,271,38,4,0,4,38,34,0,0,0,0,211,1,14
Nicolò Barella,ITA,MF,Inter,28-319,1997.0,13.2,890,852,35,9,5,12,56,3,21,7,13,0,731,3,20
Davide Bartesaghi,ITA,DF,Milan,19-359,2005.0,9.1,411,331,78,11,1,1,48,56,11,9,1,0,328,2,6
Federico Baschirotto,ITA,DF,Cremonese,29-094,1996.0,16.0,713,643,68,33,0,2,3,1,0,0,0,0,619,2,2
Toma Bašić,CRO,MF,Lazio,29-028,1996.0,9.2,434,410,24,11,1,3,28,0,13,9,3,0,361,0,3
Alessandro Bastoni,ITA,DF,Inter,26-254,1999.0,13.6,1070,930,136,37,1,9,37,84,0,0,0,0,909,4,15
Martin Baturina,CRO,"FW,MF",Como,22-310,2003.0,2.8,110,100,10,4,2,0,13,0,6,0,6,0,88,0,1
Vakoun Bayo,CIV,FW,Udinese,28-347,1997.0,3.2,86,81,4,0,0,0,0,0,0,0,0,0,66,1,2
Tjaš Begić,SVN,DF,Parma,22-176,2003.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Reda Belahyane,MAR,MF,Lazio,21-205,2004.0,2.0,72,72,0,0,1,1,0,0,0,0,0,0,60,0,2
Rafik Belghali,ALG,"DF,FW",Hellas Verona,23-199,2002.0,12.3,408,336,71,0,1,1,34,71,0,0,0,0,304,1,13
Armel Bella Kotchap,GER,DF,Hellas Verona,24-012,2001.0,7.6,260,238,22,7,0,1,1,15,0,0,0,0,206,0,3
Raoul Bellanova,ITA,DF,Atalanta,25-220,2000.0,10.3,484,399,85,4,0,0,61,73,8,0,7,0,391,0,5
Andrea Belotti,ITA,FW,Cagliari,32-003,1993.0,2.1,31,27,3,0,0,0,1,1,0,0,0,0,23,1,1
Adrian Benedyczak,POL,"FW,MF",Parma,25-029,2000.0,4.1,78,76,2,0,0,1,7,1,0,0,0,0,50,0,6
Domenico Berardi,ITA,FW,Sassuolo,31-144,1994.0,9.9,328,297,28,14,2,8,24,3,11,4,2,0,243,3,13
Medon Berisha,ALB,MF,Lecce,22-063,2003.0,9.7,426,353,72,21,1,6,59,2,48,14,27,0,317,1,7
Adrian Bernabe,ESP,MF,Parma,24-211,2001.0,13.3,594,521,69,26,1,7,39,2,18,13,5,0,468,4,10
Federico Bernardeschi,ITA,"FW,MF",Bologna,31-310,1994.0,4.7,226,213,11,2,0,5,22,1,8,4,2,0,179,2,4
Lorenzo Bernasconi,ITA,DF,Atalanta,22-037,2003.0,4.3,253,203,50,5,0,0,31,30,15,12,3,0,203,0,4
Antoine Bernede,FRA,MF,Hellas Verona,26-211,1999.0,12.1,399,374,21,10,4,1,17,3,4,2,2,0,282,4,9
Nicolò Bertola,ITA,DF,Udinese,22-275,2003.0,9.7,417,391,25,14,0,3,4,10,0,0,0,0,328,1,8
Sam Beukema,NED,DF,Napoli,27-036,1998.0,7.7,528,512,15,13,0,1,2,1,0,0,0,0,484,1,4
Matteo Bianchetti,ITA,DF,Cremonese,32-281,1993.0,12.6,638,526,108,29,1,1,4,67,0,0,0,0,520,4,3
Cristiano Biraghi,ITA,"DF,MF",Torino,33-113,1992.0,5.1,230,163,65,10,0,3,35,40,15,7,5,0,163,2,6
Daniel Boloca,ROU,MF,Sassuolo,27-001,1998.0,1.5,57,57,0,0,0,1,1,0,0,0,0,0,53,0,0
Federico Bonazzoli,ITA,FW,Cremonese,28-216,1997.0,9.5,262,242,17,0,2,3,4,0,0,0,0,0,207,3,7
Warren Bondo,FRA,MF,Cremonese,22-099,2003.0,12.5,455,446,9,9,0,3,1,0,0,0,0,0,398,0,8
Giovanni Bonfanti,ITA,DF,Pisa,22-340,2003.0,4.4,155,114,41,5,0,1,9,30,0,0,0,0,94,0,5
Ange-Yoan Bonny,FRA,FW,Inter,22-059,2003.0,4.9,104,104,0,0,0,0,0,0,0,0,0,0,82,0,4
Gennaro Borrelli,ITA,FW,Cagliari,25-288,2000.0,8.8,148,140,7,0,0,1,1,0,0,0,0,0,102,1,6
Domagoj Bradarić,CRO,"DF,FW",Hellas Verona,26-013,1999.0,10.0,342,280,60,2,2,1,41,46,12,11,1,0,238,2,11
Iker Bravo,ESP,FW,Udinese,20-344,2005.0,2.0,42,35,7,1,0,0,3,0,2,2,0,0,31,0,4
Gleison Bremer,BRA,DF,Juventus,28-280,1997.0,4.7,230,223,7,4,1,2,1,0,0,0,0,0,195,0,5
Marco Brescianini,ITA,MF,Atalanta,25-337,2000.0,1.9,87,84,3,0,0,0,6,0,3,0,3,0,72,0,0
Sascha Britschgi,SUI,DF,Parma,19-118,2006.0,10.2,313,258,54,0,0,0,23,54,0,0,0,0,219,1,18
Louis Buffon,CZE,"FW,MF",Pisa,17-360,2007.0,0.3,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Adam Buksa,POL,FW,Udinese,29-164,1996.0,5.4,97,94,2,0,0,1,1,0,0,0,0,0,56,1,2
Alessandro Buongiorno,ITA,DF,Napoli,26-200,1999.0,10.1,546,521,24,12,0,0,2,1,0,0,0,0,490,1,6
Jean Butez,FRA,GK,Como,30-198,1995.0,15.0,611,539,70,26,0,0,0,0,0,0,0,0,507,2,0
Arturo Calabresi,ITA,DF,Pisa,29-281,1996.0,5.6,236,186,50,7,0,1,7,43,0,0,0,0,184,0,3
Hakan Çalhanoğlu,TUR,MF,Inter,31-318,1994.0,10.6,876,798,74,32,2,5,53,2,40,15,22,0,759,4,11
Francesco Camarda,ITA,FW,Lecce,17-288,2008.0,5.4,72,67,4,0,0,0,1,0,0,0,0,0,47,1,0
Nicolò Cambiaghi,ITA,FW,Bologna,24-360,2000.0,9.1,230,228,2,1,2,3,34,0,1,0,0,0,175,0,5
Andrea Cambiaso,ITA,"DF,FW",Juventus,25-306,2000.0,12.1,705,627,78,7,1,1,54,66,5,2,2,0,594,0,11
Matteo Cancellieri,ITA,FW,Lazio,23-314,2002.0,6.8,180,176,4,3,1,0,4,1,0,0,0,0,138,0,5
Fali Candé,GNB,DF,Sassuolo,27-333,1998.0,4.9,191,167,23,4,0,1,4,16,0,0,0,0,146,1,4
Simone Canestrelli,ITA,DF,Pisa,25-103,2000.0,16.0,614,536,78,18,0,2,5,27,0,0,0,0,493,0,5
Elia Caprile,ITA,GK,Cagliari,24-120,2001.0,16.0,537,376,160,62,0,0,0,0,0,0,0,0,369,1,0
Maxence Caqueret,FRA,"MF,FW",Como,25-311,2000.0,6.6,423,392,31,18,3,0,14,3,9,2,5,0,367,0,6
Antonio Caracciolo,ITA,DF,Pisa,35-176,1990.0,15.9,610,562,45,17,0,1,0,21,0,0,0,0,492,3,8
Valentin Carboni,ARG,"MF,FW",Genoa,20-293,2005.0,4.0,146,136,6,0,0,1,8,3,0,0,0,0,111,4,3
Diego Carlos,BRA,DF,Como,32-283,1993.0,10.4,646,609,35,18,0,2,1,2,0,0,0,0,594,2,1
Marco Carnesecchi,ITA,GK,Atalanta,25-175,2000.0,16.0,583,471,109,29,0,1,0,0,0,0,0,0,435,3,0
Cesare Casadei,ITA,MF,Torino,22-347,2003.0,12.6,441,434,5,3,1,3,2,1,1,0,0,0,344,2,4
Nicolò Casale,ITA,DF,Bologna,27-312,1998.0,2.6,120,111,9,9,0,0,0,0,0,0,0,0,90,0,0
Valentín Castellanos,ARG,FW,Lazio,27-081,1998.0,7.5,140,126,12,0,4,0,6,0,0,0,0,0,90,2,5
Santiago Castro,ARG,FW,Bologna,21-085,2004.0,9.8,145,125,18,0,2,3,2,4,0,0,0,0,103,2,2
Danilo Cataldi,ITA,MF,Lazio,31-139,1994.0,11.8,613,557,53,43,4,6,18,1,8,1,4,0,489,3,13
Nicolò Cavuoti,ITA,"MF,DF",Cagliari,22-263,2003.0,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Federico Ceccherini,ITA,DF,Cremonese,33-226,1992.0,2.5,131,107,23,8,0,0,2,13,0,0,0,0,106,1,1
