Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Brenden Aaronson,USA,MF,Leeds United,23.0,2000.0,39.5,1028,1293,79.5,13716,3018,627,728,86.1,302,366,82.5,34,64,53.1,2,5.7,6.0,-3.7,73,84,49,10,160
Thelo Aasgaard,NOR,"MF,FW",Luton Town,22.0,2002.0,16.8,328,455,72.1,5421,973,159,193,82.4,132,175,75.4,24,50,48.0,1,1.1,1.4,-0.1,13,26,17,1,46
James Abankwah,IRL,DF,Watford,20.0,2004.0,15.4,780,925,84.3,13411,4895,342,369,92.7,351,394,89.1,65,124,52.4,0,0.3,0.4,-0.3,6,49,3,0,55
Salis Abdul Samed,GHA,MF,Sunderland,24.0,2000.0,3.1,145,162,89.5,2464,511,53,59,89.8,75,77,97.4,9,12,75.0,0,0.0,0.1,0.0,1,14,0,0,15
Azeem Abdulai,SCO,"FW,MF",Swansea City,21.0,2002.0,3.9,102,143,71.3,1534,219,63,76,82.9,28,38,73.7,9,16,56.3,0,0.2,0.5,-0.2,2,2,4,0,10
Ebou Adams,GAM,MF,Derby County,28.0,1996.0,42.1,914,1296,70.5,16733,4113,370,469,78.9,411,537,76.5,114,193,59.1,1,1.9,1.4,-0.9,18,101,19,4,131
Elijah Adebayo,ENG,FW,Luton Town,26.0,1998.0,26.9,219,313,70.0,2853,423,144,186,77.4,56,78,71.8,6,9,66.7,0,1.1,1.1,-1.1,16,8,10,1,20
Michael Adu-Poku,ENG,FW,Watford,18.0,2005.0,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Enock Agyei,BEL,"FW,MF",Burnley,19.0,2005.0,0.6,22,29,75.9,362,99,11,11,100.0,8,11,72.7,2,4,50.0,0,0.0,0.1,0.0,1,3,2,0,5
Anel Ahmedhodžić,BIH,DF,Sheffield Utd,25.0,1999.0,34.8,1617,1801,89.8,28771,8771,623,660,94.4,865,918,94.2,103,180,57.2,1,1.2,0.9,-0.2,13,91,9,2,88
Semi Ajayi,NGA,DF,West Brom,30.0,1993.0,13.6,707,822,86.0,14332,4612,195,223,87.4,432,463,93.3,76,118,64.4,0,0.0,0.1,0.0,1,62,1,0,51
Milan Aleksić,SRB,"MF,FW",Sunderland,18.0,2005.0,3.2,69,106,65.1,1160,214,35,46,76.1,23,33,69.7,7,12,58.3,0,0.3,0.3,-0.3,3,5,4,2,7
Ajibola Alese,ENG,DF,Sunderland,23.0,2001.0,7.8,278,349,79.7,5044,1598,111,123,90.2,132,153,86.3,28,54,51.9,0,0.5,0.3,-0.5,3,20,6,2,29
Jamie Allen,ENG,MF,Coventry City,29.0,1995.0,11.2,364,419,86.9,5853,1384,174,196,88.8,154,170,90.6,21,28,75.0,0,0.1,0.2,-0.1,4,46,4,0,37
Joe Allen,WAL,MF,Swansea City,34.0,1990.0,7.9,343,400,85.8,5734,1324,160,182,87.9,149,165,90.3,25,34,73.5,1,0.4,0.9,0.6,7,27,6,1,40
Millenic Alli,IRL,"FW,DF",Luton Town,24.0,2000.0,8.5,133,220,60.5,2039,474,83,109,76.1,33,61,54.1,10,19,52.6,0,0.3,0.3,-0.3,3,8,6,2,14
Jak Alnwick,ENG,GK,Cardiff City,31.0,1993.0,29.0,571,908,62.9,16706,12418,81,82,98.8,285,290,98.3,203,525,38.7,0,0.0,0.0,0.0,0,17,1,0,0
Will Alves,ENG,"FW,MF",Cardiff City,19.0,2005.0,7.4,121,159,76.1,1682,401,75,81,92.6,40,52,76.9,3,12,25.0,3,0.9,1.5,2.1,11,6,6,1,14
Steven Alzate,COL,MF,Hull City,25.0,1998.0,21.6,915,1093,83.7,14599,3892,471,517,91.1,334,390,85.6,71,115,61.7,1,0.7,0.8,0.3,14,95,6,2,77
Zeki Amdouni,SUI,MF,Burnley,23.0,2000.0,0.4,16,19,84.2,288,19,7,9,77.8,8,9,88.9,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,2
Ethan Ampadu,WAL,"DF,MF",Leeds United,23.0,2000.0,25.4,1997,2239,89.2,35446,11844,822,872,94.3,1001,1062,94.3,146,243,60.1,0,1.5,1.4,-1.5,14,169,15,2,106
Nordin Amrabat,MAR,"FW,MF",Hull City,37.0,1987.0,3.2,76,123,61.8,1587,510,38,43,88.4,19,42,45.2,19,29,65.5,1,0.3,0.5,0.7,6,8,6,1,14
Lucas Andersen,DEN,"MF,FW",QPR,29.0,1994.0,12.9,348,490,71.0,5788,1843,181,209,86.6,104,152,68.4,44,93,47.3,0,1.8,2.1,-1.8,24,14,11,2,38
Joe Anderson,ENG,DF,Sunderland,23.0,2001.0,1.1,61,82,74.4,1155,307,20,26,76.9,31,36,86.1,8,13,61.5,0,0.0,0.1,0.0,0,7,2,2,9
Ryan Andrews,ENG,"DF,MF",Watford,19.0,2004.0,23.2,614,959,64.0,10249,3853,317,380,83.4,232,366,63.4,51,154,33.1,2,2.2,1.8,-0.2,13,46,15,8,56
Jaidon Anthony,ENG,"FW,MF",Burnley,24.0,1999.0,40.7,1171,1646,71.1,18570,5001,630,735,85.7,396,561,70.6,99,231,42.9,7,8.1,8.1,-1.1,81,63,67,17,159
Adil Aouchiche,FRA,"MF,FW",Portsmouth,22.0,2002.0,7.6,161,239,67.4,2398,761,88,113,77.9,50,75,66.7,11,26,42.3,1,0.4,0.9,0.6,8,23,7,4,18
Adil Aouchiche,FRA,"FW,MF",Sunderland,22.0,2002.0,3.3,90,142,63.4,1476,568,47,57,82.5,26,41,63.4,11,32,34.4,1,1.6,1.0,-0.6,8,8,8,2,14
Oliver Arblaster,ENG,MF,Sheffield Utd,20.0,2004.0,10.9,510,599,85.1,8971,2638,219,248,88.3,241,260,92.7,40,61,65.6,1,1.3,1.3,-0.3,22,56,11,2,84
Jordan Archer,SCO,GK,Portsmouth,31.0,1993.0,1.7,35,57,61.4,925,738,9,9,100.0,18,20,90.0,8,28,28.6,0,0.0,0.0,0.0,0,1,0,0,0
Adam Armstrong,ENG,FW,West Brom,27.0,1997.0,11.2,151,194,77.8,2293,255,84,102,82.4,55,63,87.3,9,17,52.9,0,0.4,0.5,-0.4,7,6,4,0,11
Harrison Armstrong,ENG,MF,Derby County,17.0,2007.0,12.3,222,332,66.9,4363,1118,80,107,74.8,101,150,67.3,35,54,64.8,0,0.2,0.4,-0.2,5,32,2,0,39
Sinclair Armstrong,IRL,FW,Bristol City,21.0,2003.0,17.3,187,242,77.3,2776,287,97,121,80.2,77,93,82.8,7,10,70.0,0,0.8,0.6,-0.8,13,9,7,0,16
Stuart Armstrong,SCO,"MF,FW",Sheffield Weds,32.0,1992.0,6.0,206,254,81.1,2766,664,133,150,88.7,57,67,85.1,7,15,46.7,1,1.0,0.8,0.0,14,16,13,2,25
Harrison Ashby,SCO,"DF,FW",QPR,22.0,2001.0,17.6,490,673,72.8,8643,3569,235,276,85.1,171,231,74.0,68,126,54.0,1,1.1,1.1,-0.1,9,38,11,6,38
Cian Ashford,WAL,"FW,MF",Cardiff City,19.0,2004.0,16.9,285,383,74.4,3850,871,181,212,85.4,75,106,70.8,11,21,52.4,3,2.8,2.1,0.2,13,11,15,3,35
Robert Atkinson,ENG,DF,Portsmouth,26.0,1998.0,12.2,364,475,76.6,5971,2259,165,183,90.2,168,207,81.2,18,56,32.1,1,1.0,0.7,0.0,3,25,0,0,39
Luke Ayling,ENG,DF,Middlesbrough,32.0,1991.0,21.7,1335,1605,83.2,23322,9083,616,670,91.9,602,678,88.8,107,217,49.3,2,2.5,3.0,-0.5,23,123,22,11,143
Finn Azaz,IRL,"MF,FW",Middlesbrough,23.0,2000.0,39.4,1105,1617,68.3,18623,6706,541,663,81.6,411,548,75.0,103,258,39.9,11,9.7,7.6,1.3,88,127,81,13,236
Femi Azeez,ENG,FW,Millwall,23.0,2001.0,21.2,329,570,57.7,4550,1825,202,277,72.9,84,152,55.3,18,61,29.5,5,2.1,2.5,2.9,26,22,28,11,61
Kwadwo Baah,ENG,"MF,FW",Watford,21.0,2003.0,16.2,131,257,51.0,1945,544,71,118,60.2,47,81,58.0,8,17,47.1,3,3.0,1.8,0.0,11,6,10,3,17
Daniel Bachmann,AUT,GK,Watford,30.0,1994.0,21.1,453,694,65.3,11688,9049,136,136,100.0,188,196,95.9,126,351,35.9,0,0.0,0.1,0.0,0,10,1,0,0
Joel Bagan,IRL,DF,Cardiff City,24.0,2000.0,17.9,587,788,74.5,11103,4402,239,269,88.8,273,357,76.5,68,141,48.2,1,0.5,0.6,0.5,7,48,5,1,44
Michael Baidoo,GHA,"MF,FW",Plymouth Argyle,25.0,1999.0,5.0,70,107,65.4,1054,332,34,45,75.6,26,34,76.5,5,10,50.0,0,0.3,0.3,-0.3,6,12,5,1,14
Lewis Baker,ENG,MF,Stoke City,29.0,1995.0,16.4,460,603,76.3,8010,2227,210,243,86.4,183,219,83.6,49,106,46.2,2,1.9,2.1,0.1,18,41,7,1,57
Lewis Baker,ENG,"MF,FW",Blackburn,29.0,1995.0,6.6,191,233,82.0,3416,948,78,88,88.6,92,105,87.6,17,31,54.8,0,0.4,0.2,-0.4,5,17,2,0,15
