Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Stuart Armstrong,SCO,"MF,FW",Sheffield Weds,32.0,1992.0,6.0,0,13,2,15.4,2.18,0.34,0.0,0.0,17.3,0,0,0,1.1,1.1,0.09,-1.1,-1.1
Harrison Ashby,SCO,"DF,FW",QPR,22.0,2001.0,17.6,0,13,4,30.8,0.74,0.23,0.0,0.0,20.2,0,0,0,1.4,1.4,0.11,-1.4,-1.4
Cian Ashford,WAL,"FW,MF",Cardiff City,19.0,2004.0,16.9,2,21,4,19.0,1.24,0.24,0.1,0.5,17.4,0,0,0,1.6,1.6,0.08,0.4,0.4
Robert Atkinson,ENG,DF,Portsmouth,26.0,1998.0,12.2,2,6,2,33.3,0.49,0.16,0.33,1.0,11.5,0,0,0,0.5,0.5,0.09,1.5,1.5
Luke Ayling,ENG,DF,Middlesbrough,32.0,1991.0,21.7,0,14,1,7.1,0.65,0.05,0.0,0.0,15.9,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Finn Azaz,IRL,"MF,FW",Middlesbrough,23.0,2000.0,39.4,12,123,40,32.5,3.12,1.02,0.1,0.3,19.1,3,0,0,9.5,9.5,0.08,2.5,2.5
Femi Azeez,ENG,FW,Millwall,23.0,2001.0,21.2,2,53,18,34.0,2.5,0.85,0.04,0.11,16.5,1,0,0,4.8,4.8,0.09,-2.8,-2.8
Kwadwo Baah,ENG,"MF,FW",Watford,21.0,2003.0,16.2,4,25,12,48.0,1.54,0.74,0.16,0.33,14.8,0,0,0,3.2,3.2,0.13,0.8,0.8
Daniel Bachmann,AUT,GK,Watford,30.0,1994.0,21.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Joel Bagan,IRL,DF,Cardiff City,24.0,2000.0,17.9,0,2,2,100.0,0.11,0.11,0.0,0.0,7.7,0,0,0,0.2,0.2,0.1,-0.2,-0.2
Michael Baidoo,GHA,"MF,FW",Plymouth Argyle,25.0,1999.0,5.0,0,1,1,100.0,0.2,0.2,0.0,0.0,6.0,0,0,0,0.4,0.4,0.41,-0.4,-0.4
Lewis Baker,ENG,MF,Stoke City,29.0,1995.0,16.4,6,25,10,40.0,1.53,0.61,0.16,0.4,25.0,2,2,2,3.8,2.2,0.09,2.2,1.8
Lewis Baker,ENG,"MF,FW",Blackburn,29.0,1995.0,6.6,1,12,3,25.0,1.81,0.45,0.08,0.33,17.9,0,0,0,0.9,0.9,0.08,0.1,0.1
Daniel Ballard,NIR,DF,Sunderland,24.0,1999.0,12.5,2,14,6,42.9,1.12,0.48,0.14,0.33,11.9,0,0,0,1.4,1.4,0.1,0.6,0.6
Patrick Bamford,ENG,FW,Leeds United,30.0,1993.0,2.8,0,12,2,16.7,4.29,0.71,0.0,0.0,12.0,0,0,0,2.2,2.2,0.18,-2.2,-2.2
Raees Bangura-Williams,,"FW,MF",Millwall,,,6.8,0,8,2,25.0,1.18,0.3,0.0,0.0,19.4,0,0,0,1.1,1.1,0.13,-1.1,-1.1
Tamer Bani Odeh,JOR,"MF,FW",West Brom,20.0,2003.0,0.6,0,3,0,0.0,5.09,0.0,0.0,,14.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Barry Bannan,SCO,MF,Sheffield Weds,34.0,1989.0,38.5,4,48,9,18.8,1.25,0.23,0.08,0.44,24.1,2,0,0,2.6,2.6,0.05,1.4,1.4
Jamal Baptiste,ENG,DF,Sheffield Utd,20.0,2003.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Shandon Baptiste,GRN,MF,Luton Town,26.0,1998.0,8.0,1,6,2,33.3,0.75,0.25,0.17,0.5,19.3,0,0,0,0.9,0.9,0.15,0.1,0.1
Tom Barkhuizen,ENG,"FW,MF",Derby County,31.0,1993.0,4.5,0,5,1,20.0,1.11,0.22,0.0,0.0,14.0,0,0,0,0.7,0.7,0.13,-0.7,-0.7
Daniel Barlaser,TUR,MF,Middlesbrough,27.0,1997.0,12.8,1,8,2,25.0,0.62,0.16,0.13,0.5,24.6,3,0,0,0.3,0.3,0.04,0.7,0.7
Ashley Barnes,ENG,"FW,MF",Norwich City,34.0,1989.0,1.9,0,4,1,25.0,2.08,0.52,0.0,0.0,11.0,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Ashley Barnes,ENG,"FW,MF",Burnley,34.0,1989.0,1.5,1,3,1,33.3,2.01,0.67,0.33,1.0,12.9,0,0,0,0.9,0.9,0.3,0.1,0.1
Louie Barry,ENG,"FW,MF",Hull City,21.0,2003.0,1.8,0,3,1,33.3,1.64,0.55,0.0,0.0,21.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Kyle Bartley,ENG,DF,West Brom,33.0,1991.0,29.0,0,24,6,25.0,0.83,0.21,0.0,0.0,12.1,0,0,0,1.9,1.9,0.08,-1.9,-1.9
Norman Bassette,BEL,FW,Coventry City,19.0,2004.0,10.1,2,18,7,38.9,1.79,0.69,0.11,0.29,12.3,0,0,0,4.9,4.9,0.27,-2.9,-2.9
Danny Batth,ENG,DF,Blackburn,33.0,1990.0,33.4,2,17,6,35.3,0.51,0.18,0.12,0.33,10.5,0,0,0,2.1,2.1,0.12,-0.1,-0.1
Patrick Bauer,GER,DF,Preston,31.0,1992.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Vakoun Bayo,CIV,FW,Watford,27.0,1997.0,24.9,10,59,20,33.9,2.37,0.8,0.15,0.45,12.0,0,1,1,13.1,12.3,0.21,-3.1,-3.3
James Beadle,ENG,GK,Sheffield Weds,20.0,2004.0,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Owen Beck,WAL,"DF,FW",Blackburn,21.0,2002.0,20.8,1,8,2,25.0,0.38,0.1,0.13,0.5,12.9,0,0,0,1.1,1.1,0.14,-0.1,-0.1
Chris Bedia,CIV,FW,Hull City,28.0,1996.0,10.2,3,19,7,36.8,1.86,0.68,0.11,0.29,9.8,0,1,1,4.7,4.0,0.21,-1.7,-2.0
Amari'i Bell,JAM,DF,Luton Town,30.0,1994.0,30.1,0,4,0,0.0,0.13,0.0,0.0,,23.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Sam Bell,ENG,"FW,DF",Bristol City,22.0,2002.0,4.9,0,15,7,46.7,3.07,1.43,0.0,0.0,15.9,0,0,0,1.6,1.6,0.1,-1.6,-1.6
Jobe Bellingham,ENG,MF,Sunderland,18.0,2005.0,39.0,4,52,9,17.3,1.33,0.23,0.08,0.44,19.0,0,0,0,3.0,3.0,0.06,1.0,1.0
Bachir Belloumi,ALG,"FW,MF",Hull City,22.0,2002.0,9.1,2,25,11,44.0,2.76,1.21,0.08,0.18,19.6,1,0,0,2.4,2.4,0.1,-0.4,-0.4
Anis Ben Slimane,TUN,MF,Norwich City,23.0,2001.0,23.2,2,19,6,31.6,0.82,0.26,0.11,0.33,14.4,0,0,0,2.1,2.1,0.12,-0.1,-0.1
Anis Ben Slimane,TUN,MF,Sheffield Utd,23.0,2001.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Joe Bennett,ENG,DF,Oxford United,34.0,1990.0,8.3,0,1,0,0.0,0.12,0.0,0.0,,25.9,0,0,0,0.0,0.0,0.02,0.0,0.0
Daniel Bennie,AUS,"FW,MF",QPR,18.0,2006.0,2.4,0,3,1,33.3,1.25,0.42,0.0,0.0,16.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Jóhann Berg Guðmundsson,ISL,MF,Burnley,33.0,1990.0,0.2,1,1,1,100.0,5.63,5.63,1.0,1.0,23.9,0,0,0,0.1,0.1,0.09,0.9,0.9
Di'Shon Bernard,JAM,DF,Sheffield Weds,23.0,2000.0,24.8,2,17,4,23.5,0.68,0.16,0.12,0.5,10.6,0,0,0,2.0,2.0,0.12,0.0,0.0
Kian Best,ENG,DF,Preston,18.0,2005.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Florian Bianchini,FRA,FW,Swansea City,23.0,2001.0,12.3,3,18,9,50.0,1.47,0.73,0.17,0.33,10.7,0,0,0,4.4,4.4,0.24,-1.4,-1.4
Jake Bidwell,ENG,DF,Coventry City,31.0,1993.0,22.9,1,11,1,9.1,0.48,0.04,0.09,1.0,14.7,0,0,0,1.0,0.9,0.08,0.0,0.1
Luis Binks,ENG,DF,Coventry City,22.0,2001.0,20.6,0,8,3,37.5,0.39,0.15,0.0,0.0,13.1,0,0,0,0.8,0.8,0.1,-0.8,-0.8
Max Bird,ENG,MF,Bristol City,23.0,2000.0,38.7,1,43,12,27.9,1.11,0.31,0.02,0.08,21.0,1,0,0,3.0,3.0,0.07,-2.0,-2.0
Colby Bishop,ENG,FW,Portsmouth,27.0,1996.0,29.2,11,62,19,30.6,2.12,0.65,0.13,0.42,11.8,0,3,4,13.9,10.7,0.18,-2.9,-2.7
Billy Blacker,ENG,MF,Sheffield Utd,18.0,2006.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Corey Blackett-Taylor,ENG,"FW,MF",Derby County,26.0,1997.0,4.5,1,11,4,36.4,2.45,0.89,0.09,0.25,13.7,0,0,0,1.0,1.0,0.09,0.0,0.0
Harvey Blair,ENG,FW,Portsmouth,20.0,2003.0,3.3,1,4,2,50.0,1.22,0.61,0.25,0.5,10.9,0,0,0,0.9,0.9,0.23,0.1,0.1
Malachi Boateng,ENG,MF,Plymouth Argyle,22.0,2002.0,2.2,0,3,0,0.0,1.36,0.0,0.0,,22.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Eric Bocat,FRA,DF,Stoke City,25.0,1999.0,22.7,0,17,4,23.5,0.75,0.18,0.0,0.0,19.7,0,0,0,0.8,0.8,0.05,-0.8,-0.8
Jayden Bogle,ENG,DF,Leeds United,24.0,2000.0,42.5,6,47,14,29.8,1.11,0.33,0.13,0.43,14.4,0,0,0,5.3,5.3,0.11,0.7,0.7
Jonathan Bond,ENG,GK,Watford,31.0,1993.0,8.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Neto Borges,BRA,DF,Middlesbrough,27.0,1996.0,32.1,1,19,4,21.1,0.59,0.12,0.05,0.25,17.9,0,0,0,1.4,1.4,0.07,-0.4,-0.4
Raphael Borges Rodrigues,AUS,"MF,FW",Coventry City,20.0,2003.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Josh Bowler,ENG,"FW,DF",Preston,25.0,1999.0,5.1,0,11,4,36.4,2.17,0.79,0.0,0.0,20.2,0,0,0,0.7,0.7,0.06,-0.7,-0.7
Josh Bowler,ENG,"MF,FW",Luton Town,25.0,1999.0,1.7,0,3,0,0.0,1.8,0.0,0.0,,22.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Sonny Bradley,ENG,DF,Derby County,32.0,1991.0,3.4,0,1,1,100.0,0.3,0.3,0.0,0.0,9.5,0,0,0,0.2,0.2,0.21,-0.2,-0.2
Tom Bradshaw,WAL,FW,Oxford United,32.0,1992.0,4.0,0,7,2,28.6,1.75,0.5,0.0,0.0,12.7,0,0,0,0.8,0.8,0.11,-0.8,-0.8
Tom Bradshaw,WAL,FW,Millwall,32.0,1992.0,5.0,1,14,2,14.3,2.8,0.4,0.0,0.0,12.3,0,1,1,2.4,1.6,0.12,-1.4,-1.6
Robbie Brady,IRL,"DF,FW",Preston,32.0,1992.0,18.2,0,21,4,19.0,1.15,0.22,0.0,0.0,21.0,0,0,0,1.3,1.3,0.06,-1.3,-1.3
Cohen Bramall,ENG,"DF,FW",Portsmouth,28.0,1996.0,5.1,0,4,0,0.0,0.78,0.0,0.0,,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Cameron Brannagan,ENG,MF,Oxford United,28.0,1996.0,32.2,3,48,16,33.3,1.49,0.5,0.06,0.19,26.2,5,0,0,1.7,1.7,0.04,1.3,1.3
Ben Brereton,CHI,"FW,MF",Sheffield Utd,25.0,1999.0,10.9,4,22,8,36.4,2.01,0.73,0.18,0.5,13.8,0,0,0,4.2,4.2,0.19,-0.2,-0.2
Rhian Brewster,ENG,"MF,FW",Sheffield Utd,24.0,2000.0,17.3,4,37,7,18.9,2.14,0.4,0.11,0.57,17.4,0,0,0,4.3,4.3,0.12,-0.3,-0.3
Callum Brittain,ENG,DF,Blackburn,26.0,1998.0,29.5,2,18,3,16.7,0.61,0.1,0.11,0.67,17.4,1,0,0,1.1,1.1,0.06,0.9,0.9
Andre Brooks,ENG,"FW,MF",Sheffield Utd,20.0,2003.0,10.6,3,21,9,42.9,1.99,0.85,0.14,0.33,16.4,0,0,0,3.0,3.0,0.14,0.0,0.0
Ciaron Brown,NIR,DF,Oxford United,26.0,1998.0,40.1,4,23,6,26.1,0.57,0.15,0.17,0.67,12.9,0,0,0,1.9,1.9,0.08,2.1,2.1
Dajaune Brown,JAM,FW,Derby County,18.0,2005.0,4.3,1,7,2,28.6,1.63,0.47,0.14,0.5,15.9,0,0,0,0.5,0.5,0.07,0.5,0.5
Jacob Brown,SCO,"FW,MF",Luton Town,26.0,1998.0,13.5,4,34,9,26.5,2.51,0.67,0.12,0.44,13.7,0,0,0,3.8,3.8,0.11,0.2,0.2
Alan Browne,IRL,"MF,DF",Sunderland,29.0,1995.0,13.5,1,10,3,30.0,0.74,0.22,0.1,0.33,12.8,1,0,0,1.4,1.4,0.14,-0.4,-0.4
Josh Brownhill,ENG,"MF,FW",Burnley,28.0,1995.0,38.6,18,63,26,41.3,1.63,0.67,0.24,0.58,19.3,2,3,3,9.9,7.5,0.12,8.1,7.5
Joe Bryan,ENG,DF,Millwall,30.0,1993.0,36.4,1,24,6,25.0,0.66,0.16,0.04,0.17,23.8,7,0,0,1.3,1.3,0.06,-0.3,-0.3
Solomon Brynn,ENG,GK,Middlesbrough,23.0,2000.0,5.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
