Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 25_level_0_Matches
491,Owen Moxon,eng ENG,MF,Portsmouth,26,1998,3.1,0,4,3,75.0,1.31,0.98,0.00,0.00,32.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
492,Bali Mumba,eng ENG,"DF,MF",Plymouth Argyle,22,2001,37.7,0,22,3,13.6,0.58,0.08,0.00,0.00,21.2,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
493,Romaine Mundle,eng ENG,"FW,MF",Sunderland,21,2003,15.9,5,35,12,34.3,2.20,0.75,0.14,0.42,19.9,3,0,0,2.2,2.2,0.06,+2.8,+2.8,Matches
494,Josh Murphy,eng ENG,FW,Portsmouth,29,1995,38.1,7,106,31,29.2,2.78,0.81,0.07,0.23,22.8,5,0,0,5.0,5.0,0.05,+2.0,+2.0,Matches
495,Anthony Musaba,nl NED,"FW,MF",Sheffield Weds,23,2000,14.8,3,32,10,31.3,2.17,0.68,0.09,0.30,15.0,0,0,0,4.5,4.5,0.15,-1.5,-1.5,Matches
496,Elliot Myles,wls WAL,MF,Norwich City,17,2007,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
497,Amin Nabizada,eng ENG,MF,Watford,17,2007,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
498,Kal Naismith,sct SCO,DF,Bristol City,32,1992,3.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
499,Kal Naismith,sct SCO,"DF,MF",Luton Town,32,1992,5.1,0,3,0,0.0,0.58,0.00,0.00,,19.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
500,Marvelous Nakamba,zw ZIM,MF,Luton Town,30,1994,14.4,0,2,0,0.0,0.14,0.00,0.00,,22.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
501,Paul Nardi,fr FRA,GK,QPR,30,1994,45.0,0,2,2,100.0,0.04,0.04,0.00,0.00,9.0,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
502,Kyle Naughton,eng ENG,DF,Swansea City,35,1988,9.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
503,Camiel Neghli,nl NED,"FW,MF",Millwall,22,2001,2.1,1,7,6,85.7,3.26,2.80,0.14,0.17,17.4,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
504,Dan Neil,eng ENG,MF,Sunderland,22,2001,43.1,2,24,5,20.8,0.56,0.12,0.08,0.40,23.6,0,0,0,0.8,0.8,0.03,+1.2,+1.2,Matches
505,Benjamin Nelson,eng ENG,DF,Oxford United,20,2004,15.2,1,4,2,50.0,0.26,0.13,0.25,0.50,9.1,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches
506,Curtis Nelson,eng ENG,DF,Derby County,31,1993,27.0,2,18,7,38.9,0.67,0.26,0.11,0.29,10.4,0,0,0,1.0,1.0,0.06,+1.0,+1.0,Matches
507,Zack Nelson,eng ENG,"MF,FW",Luton Town,19,2004,8.9,0,8,1,12.5,0.90,0.11,0.00,0.00,17.9,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
508,Perry Ng,eng ENG,DF,Cardiff City,28,1996,31.0,1,25,6,24.0,0.81,0.19,0.04,0.17,18.9,5,0,0,1.6,1.6,0.06,-0.6,-0.6,Matches
509,Jeremy Ngakia,,DF,Watford,23,2000,20.9,1,17,3,17.6,0.81,0.14,0.06,0.33,20.7,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches
510,Kevin Nisbet,sct SCO,FW,Millwall,27,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
511,Lasse Nordås,no NOR,"FW,MF",Luton Town,22,2002,2.8,0,8,0,0.0,2.82,0.00,0.00,,12.4,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
512,Casper de Norre,be BEL,MF,Millwall,27,1997,40.1,3,30,6,20.0,0.75,0.15,0.10,0.50,19.4,0,0,0,2.2,2.2,0.07,+0.8,+0.8,Matches
513,Rhys Norrington-Davies,wls WAL,DF,Sheffield Utd,25,1999,2.8,0,1,0,0.0,0.36,0.00,0.00,,29.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
514,Will Norris,eng ENG,GK,Portsmouth,30,1993,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
515,Marcelino Núñez,cl CHI,MF,Norwich City,24,2000,24.9,6,56,16,28.6,2.24,0.64,0.11,0.38,24.6,15,0,0,4.4,4.4,0.09,+1.6,+1.6,Matches
516,Tanatswa Nyakuhwa,wls WAL,DF,Cardiff City,18,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
517,Ryan Nyambe,na NAM,DF,Derby County,26,1997,12.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
518,Lewis O'Brien,eng ENG,MF,Swansea City,25,1998,15.8,1,22,7,31.8,1.40,0.44,0.05,0.14,20.3,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
519,Gatlin O'Donkor,eng ENG,FW,Oxford United,19,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
520,Callum O'Dowda,ie IRL,"DF,FW",Cardiff City,29,1995,39.4,2,26,9,34.6,0.66,0.23,0.08,0.22,18.1,0,0,0,1.2,1.2,0.05,+0.8,+0.8,Matches
521,Callum O'Hare,eng ENG,"MF,FW",Sheffield Utd,26,1998,34.9,2,40,12,30.0,1.15,0.34,0.05,0.17,15.0,0,0,0,4.7,4.7,0.12,-2.7,-2.7,Matches
