Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
James Ward-Prowse,ENG,MF,Nott'ham Forest,29.0,1994.0,4.4,205,13,49,115,45,1,205,0,0,,0,,92,407,170,1,3,0,3,3,115,3
Ollie Watkins,ENG,FW,Aston Villa,28.0,1995.0,28.9,695,18,50,248,407,168,693,41,10,24.4,27,65.9,409,2243,1125,55,21,38,60,50,552,165
Adam Webster,ENG,DF,Brighton,29.0,1995.0,9.9,824,119,389,399,43,15,824,3,1,33.3,2,66.7,476,2600,1475,8,6,0,5,1,552,2
Danny Welbeck,ENG,FW,Brighton,33.0,1990.0,23.5,726,18,58,318,356,102,725,37,13,35.1,21,56.8,448,2065,890,21,23,8,49,28,547,95
Welington,BRA,DF,Southampton,23.0,2001.0,5.4,276,31,113,102,64,3,276,9,5,55.6,3,33.3,100,389,197,5,4,1,9,4,120,19
Timo Werner,GER,"FW,MF",Tottenham,28.0,1996.0,5.7,298,8,24,78,203,33,298,19,10,52.6,8,42.1,215,1768,1062,42,24,18,14,6,227,89
Adam Wharton,ENG,MF,Crystal Palace,20.0,2004.0,14.6,872,30,204,463,212,11,872,10,2,20.0,8,80.0,430,2014,1078,14,23,2,17,13,533,11
Ben White,ENG,DF,Arsenal,26.0,1997.0,13.3,813,55,214,367,238,28,813,6,0,0.0,5,83.3,394,1617,953,23,16,4,10,6,494,42
Mats Wieffer,NED,"DF,MF",Brighton,24.0,1999.0,11.3,867,55,223,450,206,22,867,15,7,46.7,7,46.7,483,2351,1051,18,20,1,19,9,533,23
Neco Williams,WAL,DF,Nott'ham Forest,23.0,2001.0,28.8,1565,155,558,574,453,45,1565,46,18,39.1,19,41.3,650,3952,2169,68,28,16,36,21,744,103
Willian,BRA,"FW,MF",Fulham,35.0,1988.0,2.9,231,1,18,83,134,7,231,7,1,14.3,4,57.1,148,1005,503,11,10,2,3,1,183,33
