Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Joe Lumley,ENG,GK,Southampton,29.0,1995.0,3.0,106,151,70.2,2342,1476,42,44,95.5,42,46,91.3,21,59,35.6,0,0.0,0.0,0.0,0,2,0,0,0
Massimo Luongo,AUS,MF,Ipswich Town,31.0,1992.0,2.2,50,66,75.8,722,183,30,34,88.2,15,20,75.0,3,8,37.5,0,0.0,0.0,0.0,0,1,0,0,6
Ian Maatsen,NED,DF,Aston Villa,22.0,2002.0,12.7,609,747,81.5,9635,2492,307,346,88.7,263,309,85.1,26,52,50.0,2,2.7,2.4,-0.7,19,22,19,3,50
Alexis Mac Allister,ARG,MF,Liverpool,25.0,1998.0,28.9,1273,1524,83.5,20344,5748,658,729,90.3,493,558,88.4,89,160,55.6,5,4.7,5.6,0.3,45,122,35,2,177
James Maddison,ENG,MF,Tottenham,27.0,1996.0,20.1,1021,1256,81.3,16664,5028,481,529,90.9,424,492,86.2,75,162,46.3,7,4.2,5.9,2.8,41,123,32,5,164
Noni Madueke,ENG,FW,Chelsea,22.0,2002.0,22.6,530,685,77.4,7705,1853,325,377,86.2,164,215,76.3,22,41,53.7,3,4.2,3.2,-1.2,32,16,35,8,69
Gabriel Magalhães,BRA,DF,Arsenal,26.0,1997.0,26.3,1480,1641,90.2,25788,7938,598,617,96.9,782,830,94.2,83,154,53.9,1,0.9,1.2,0.1,13,145,8,0,126
Edmond-Paris Maghoma,ENG,"MF,FW",Brentford,23.0,2001.0,1.3,76,84,90.5,1259,343,38,40,95.0,29,31,93.5,6,7,85.7,0,0.1,0.0,-0.1,1,2,0,0,13
Harry Maguire,ENG,DF,Manchester Utd,31.0,1993.0,19.5,965,1128,85.5,17965,6236,354,392,90.3,517,568,91.0,80,139,57.6,0,0.6,0.3,-0.6,9,48,4,0,51
Kobbie Mainoo,ENG,MF,Manchester Utd,19.0,2005.0,18.3,723,836,86.5,9649,2346,452,490,92.2,192,219,87.7,31,45,68.9,0,1.6,1.8,-1.6,14,50,12,1,65
