Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 24_level_0_Matches
103,Jean-Charles Castelletto,cm CMR,DF,Nantes,28,1995,27.4,25,0.91,23,0,1,0,1,0,1,0.04,1,0,0,0,0,0,Matches
104,Maximiliano Caufriez,be BEL,DF,Clermont Foot,26,1997,18.4,14,0.76,13,1,0,0,0,0,2,0.11,2,0,0,0,0,0,Matches
105,Ivan Cavaleiro,pt POR,FW,Lille,29,1993,8.6,18,2.10,12,3,1,1,1,0,1,0.12,1,0,0,0,0,0,Matches
106,Fabien Centonze,fr FRA,DF,Nantes,27,1996,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
107,Fares Chaïbi,dz ALG,"FW,MF",Toulouse,20,2002,0.6,3,4.66,2,1,0,0,0,0,1,1.55,0,1,0,0,0,0,Matches
108,Muhammed Cham,at AUT,"MF,FW",Clermont Foot,22,2000,28.4,119,4.20,71,27,3,8,10,0,9,0.32,4,3,0,2,0,0,Matches
109,Brendan Chardonnet,fr FRA,DF,Brest,28,1994,33.0,28,0.85,24,1,0,2,1,0,4,0.12,2,0,0,1,1,0,Matches
110,Jhoanner Chávez,ec ECU,DF,Lens,21,2002,5.3,9,1.68,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
111,Rayan Cherki,fr FRA,"MF,FW",Lyon,19,2003,19.1,106,5.55,52,23,21,7,2,1,14,0.73,9,2,1,2,0,0,Matches
112,Lucas Chevalier,fr FRA,GK,Lille,21,2001,33.0,5,0.15,5,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
113,Pedro Chirivella,es ESP,MF,Nantes,26,1997,28.8,69,2.39,61,3,0,3,0,2,4,0.14,4,0,0,0,0,0,Matches
114,Joris Chotard,fr FRA,MF,Montpellier,21,2001,28.7,46,1.60,38,2,0,2,2,2,4,0.14,4,0,0,0,0,0,Matches
115,Djaoui Cissé,fr FRA,MF,Rennes,19,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
116,Ibrahim Cissoko,nl NED,"FW,MF",Toulouse,20,2003,2.7,15,5.58,9,0,5,0,0,1,1,0.37,1,0,0,0,0,0,Matches
117,Alexis Claude-Maurice,fr FRA,MF,Nice,25,1998,5.6,14,2.50,9,3,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
118,Jonathan Clauss,fr FRA,DF,Marseille,30,1992,23.0,76,3.31,53,16,1,3,2,1,5,0.22,4,1,0,0,0,0,Matches
119,Marcus Coco,fr FRA,"DF,FW",Nantes,27,1996,16.5,30,1.82,26,0,1,1,2,0,2,0.12,1,0,0,1,0,0,Matches
