Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Keyliane Abdallah,FRA,FW,Marseille,17,2006,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Yunis Abdelhamid,MAR,DF,Reims,35,1987,30.9,1836,1650,178,75,2,13,3,29,0,0,0,0,1552,8,20
Salis Abdul Samed,GHA,MF,Lens,23,2000,16.9,895,875,18,17,0,1,3,1,0,0,0,0,796,2,17
Laurent Abergel,FRA,MF,Lorient,30,1993,31.8,1836,1743,88,68,6,13,34,14,0,0,0,0,1551,5,25
Matthis Abline,FRA,FW,Nantes,20,2003,11.6,231,218,12,0,2,1,7,1,0,0,0,0,162,1,11
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,23,2000,8.4,196,185,11,1,0,0,5,9,0,0,0,0,140,0,7
Nathaniel Adjei,GHA,DF,Lorient,20,2002,13.8,669,628,40,27,0,3,2,11,0,0,0,0,578,1,5
Adryelson,BRA,"DF,FW",Lyon,25,1998,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Adson,BRA,"MF,FW",Nantes,22,2000,2.6,130,128,2,0,0,0,2,2,0,0,0,0,115,0,2
Emmanuel Agbadou,CIV,DF,Reims,26,1997,28.8,1838,1728,106,50,5,11,6,48,0,0,0,0,1599,4,11
Ruben Aguilar,FRA,DF,Lens,30,1993,21.4,1282,1094,185,17,3,1,75,168,0,0,0,0,1044,3,35
Tosin Aiyegun,BEN,"MF,FW",Lorient,25,1998,10.0,203,193,7,0,0,0,8,1,0,0,0,0,154,3,4
Sergio Akieme,ESP,DF,Reims,25,1997,9.1,350,287,61,3,0,0,21,57,0,0,0,0,277,2,8
Maghnes Akliouche,FRA,"MF,FW",Monaco,21,2002,17.9,833,773,54,12,8,2,54,3,37,14,8,0,645,6,24
Adams Akor,NGA,FW,Montpellier,23,2000,25.0,385,375,10,0,2,1,12,1,0,0,0,0,250,0,20
Paul Akouokou,CIV,MF,Lyon,25,1997,3.4,185,183,2,2,0,0,0,0,0,0,0,0,158,0,2
Aboubacar Ali,COM,"MF,FW",Strasbourg,17,2006,1.4,34,34,0,0,0,0,6,0,0,0,0,0,22,0,1
Mohamed Ali Cho,FRA,FW,Nice,19,2004,9.6,268,245,22,6,1,0,44,0,16,8,7,0,193,1,8
Nabil Alioui,FRA,"MF,FW",Le Havre,24,1999,11.2,358,289,66,17,6,1,54,1,36,23,13,0,228,3,14
Jim Allevinah,GAB,"MF,DF",Clermont Foot,28,1995,20.7,743,675,65,2,1,0,47,57,1,0,0,0,589,3,17
Skelly Alvero,FRA,MF,Lyon,21,2002,4.7,193,190,2,2,1,1,2,0,0,0,0,0,159,1,2
Papa Amadou Diallo,SEN,FW,Metz,19,2004,9.9,257,255,2,1,2,0,14,1,0,0,0,0,167,0,7
Jordan Amavi,FRA,DF,Brest,29,1994,1.0,54,43,11,3,0,0,1,8,0,0,0,0,47,0,1
Kelvin Amian,FRA,DF,Nantes,25,1998,8.9,350,266,84,8,1,0,14,76,0,0,0,0,268,0,15
Michael Amir Murillo,PAN,DF,Marseille,27,1996,11.1,602,517,84,13,0,1,16,71,0,0,0,0,492,1,10
Benjamin André,FRA,MF,Lille,32,1990,28.6,1919,1855,58,57,5,19,19,1,0,0,0,0,1598,6,34
Komnen Andrić,SRB,FW,Clermont Foot,28,1995,1.9,59,54,5,0,0,0,1,0,0,0,0,0,45,0,0
Ângelo,BRA,"FW,MF",Strasbourg,18,2004,12.2,426,410,15,3,4,1,42,4,5,3,1,0,300,1,13
Stredair Appuah,FRA,"FW,MF",Nantes,19,2004,0.9,23,23,0,0,0,0,2,0,0,0,0,0,14,0,2
Yoël Armougom,FRA,"DF,MF",Clermont Foot,25,1998,2.6,131,114,17,1,0,0,14,16,0,0,0,0,97,0,3
Hákon Arnar Haraldsson,ISL,"FW,MF",Lille,20,2003,14.3,549,525,21,6,3,4,7,4,2,1,0,0,451,3,13
Mohamed El Arouch,FRA,FW,Lyon,19,2004,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Marco Asensio,ESP,"MF,FW",Paris S-G,27,1996,12.4,656,598,55,10,6,6,52,8,31,11,10,0,545,3,13
Joel Asoro,SWE,"FW,MF",Metz,24,1999,9.4,147,136,10,4,0,0,19,1,2,2,0,0,94,1,10
Lorenz Assignon,TOG,DF,Rennes,23,2000,11.2,600,491,109,13,0,1,22,96,0,0,0,0,516,0,12
Youcef Atal,ALG,DF,Nice,27,1996,4.0,238,215,22,6,2,0,6,16,0,0,0,0,214,1,1
Valentin Atangana Edoa,FRA,MF,Reims,17,2005,6.2,179,171,7,1,0,0,5,6,0,0,0,0,155,1,3
Arthur Atta,FRA,"MF,FW",Metz,20,2003,10.3,401,378,20,10,1,4,10,6,1,1,0,0,301,3,11
Pierre-Emerick Aubameyang,GAB,FW,Marseille,34,1989,29.1,660,608,48,1,3,0,42,4,0,0,0,0,444,4,27
André Ayew,GHA,FW,Le Havre,33,1989,12.3,266,244,19,0,0,0,4,1,0,0,0,0,197,3,10
Neil El Aynaoui,MAR,MF,Lens,22,2001,17.4,670,660,9,8,2,0,7,1,0,0,0,0,576,1,6
Abdellah Baallal,MAR,MF,Clermont Foot,18,2004,0.0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Shavy Babicka,GAB,"FW,MF",Toulouse,23,2000,4.1,127,122,3,0,0,0,13,3,0,0,0,0,77,2,10
Aliou Badara Baldé,GUI,"FW,DF",Nice,20,2002,0.8,30,29,1,0,1,0,4,0,1,0,0,0,15,0,2
Tiemoué Bakayoko,FRA,MF,Lorient,28,1994,14.6,637,619,17,16,1,3,1,1,0,0,0,0,550,1,11
Dilane Bakwa,FRA,"FW,MF",Strasbourg,20,2002,24.2,862,705,154,49,9,5,155,33,72,43,22,1,587,3,28
Carlos Baleba,CMR,MF,Lille,19,2004,0.7,45,45,0,0,0,0,0,0,0,0,0,0,39,0,0
Leonardo Balerdi,ARG,DF,Marseille,24,1999,25.2,1628,1560,64,51,0,14,2,4,1,0,0,0,1402,4,12
Folarin Balogun,USA,FW,Monaco,22,2001,18.8,365,333,25,1,3,1,7,0,0,0,0,0,263,7,15
Mohamed Bamba,CIV,FW,Lorient,21,2001,12.6,256,228,25,0,0,0,2,1,0,0,0,0,185,3,14
Mamady Bangré,BFA,"FW,MF",Toulouse,22,2001,1.1,74,74,0,0,0,0,4,0,0,0,0,0,59,0,3
Bradley Barcola,FRA,FW,Lyon,20,2002,3.0,90,90,0,0,0,1,0,0,0,0,0,0,70,0,2
Bradley Barcola,FRA,"FW,MF",Paris S-G,20,2002,15.2,562,553,5,2,4,1,18,3,0,0,0,0,436,4,16
Melvin Bard,FRA,DF,Nice,22,2000,29.5,1784,1509,266,32,0,2,70,233,1,1,0,0,1457,9,41
Steven Baseya,FRA,DF,Strasbourg,18,2005,0.1,12,11,1,1,0,0,0,0,0,0,0,0,11,0,0
Mohamed Bechikh,FRA,"FW,MF",Strasbourg,18,2005,0.2,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Yanis Begraoui,MAR,"FW,MF",Toulouse,22,2001,3.3,97,89,6,1,0,0,5,1,2,0,1,0,70,2,1
Jérémie Bela,ANG,"MF,FW",Clermont Foot,30,1993,2.3,100,94,6,1,0,0,14,2,3,2,0,0,70,0,5
Reda Belahyane,MAR,MF,Nice,19,2004,0.3,15,15,0,0,0,0,0,0,0,0,0,0,13,0,1
Alaa Bellaarouch,MAR,GK,Strasbourg,21,2002,15.0,504,404,97,36,0,1,0,0,0,0,0,0,352,3,1
Jean-Ricner Bellegarde,HAI,"MF,FW",Strasbourg,25,1998,3.0,96,88,6,1,0,0,8,0,5,3,2,0,67,2,1
Jeanuël Belocian,FRA,DF,Rennes,18,2005,16.1,862,807,55,9,0,5,13,43,0,0,0,0,759,0,8
Eliesse Ben Seghir,MAR,"MF,FW",Monaco,18,2005,4.8,215,206,8,2,2,2,13,4,1,0,1,0,174,1,4
Wissam Ben Yedder,FRA,FW,Monaco,32,1990,25.7,752,698,51,3,12,2,9,3,0,0,0,0,555,3,25
Saïd Benrahma,ALG,"FW,MF",Lyon,27,1995,8.6,349,313,34,7,2,1,67,2,25,20,4,0,238,2,12
Nabil Bentaleb,ALG,MF,Lille,28,1994,21.9,1454,1405,45,42,4,18,6,2,1,1,0,0,1248,4,15
Lucas Beraldo,BRA,DF,Paris S-G,19,2003,11.2,968,912,56,22,1,3,2,33,0,0,0,0,867,0,10
Dimitry Bertaud,COD,GK,Montpellier,25,1998,4.0,142,103,38,15,0,0,0,0,0,0,0,0,91,1,0
