Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches
73,Jeremie Boga,ci CIV,FW,Nice,26,1997,22.2,753,676,73,7,3,1,88,5,61,30,24,1,583,4,18,Matches
74,Adama Bojang,gm GAM,FW,Reims,19,2004,0.9,27,23,4,0,0,0,1,0,0,0,0,0,17,0,3,Matches
75,Neto Borges,br BRA,DF,Clermont Foot,26,1996,28.0,1422,1213,209,9,3,3,79,195,1,0,0,0,1148,0,27,Matches
76,Saïmon Bouabré,fr FRA,MF,Monaco,17,2006,0.5,17,17,0,0,0,0,0,0,0,0,0,0,15,0,1,Matches
77,Ayyoub Bouaddi,fr FRA,MF,Lille,15,2007,1.5,115,115,0,0,0,0,2,0,0,0,0,0,103,0,3,Matches
78,Badredine Bouanani,dz ALG,FW,Nice,18,2004,1.8,70,70,0,0,0,1,8,0,0,0,0,0,54,0,3,Matches
79,Badredine Bouanani,dz ALG,MF,Lorient,18,2004,4.9,180,161,18,6,0,4,10,6,6,3,1,0,146,1,8,Matches
80,Mohamed Bouchenna,fr FRA,"MF,FW",Clermont Foot,17,2006,0.3,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
81,Hicham Boudaoui,dz ALG,MF,Nice,23,1999,17.9,717,703,11,8,3,0,23,1,1,0,0,0,601,3,18,Matches
82,Benjamin Bourigeaud,fr FRA,"MF,FW",Rennes,29,1994,26.9,1566,1354,207,62,7,14,165,45,96,33,48,0,1197,5,34,Matches
83,Bilal Boutobba,fr FRA,"FW,MF",Clermont Foot,24,1998,10.3,395,367,27,11,5,0,57,4,12,10,2,0,273,1,16,Matches
84,Hugo Boutsingkham,fr FRA,"MF,FW",Nantes,20,2003,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
85,Bilal Brahimi,dz ALG,FW,Nice,23,2000,0.1,13,11,2,1,0,0,2,0,1,0,0,0,10,0,0,Matches
86,Bilal Brahimi,dz ALG,"FW,MF",Brest,23,2000,2.5,122,114,8,1,1,1,32,3,4,3,1,0,72,0,8,Matches
87,Lilian Brassier,fr FRA,DF,Brest,23,1999,29.7,1810,1755,54,53,2,20,5,1,0,0,0,0,1503,1,10,Matches
88,Maxime Busi,be BEL,"FW,DF",Reims,23,1999,1.8,95,73,22,0,0,1,4,22,0,0,0,0,71,0,3,Matches
89,Marcin Bułka,pl POL,GK,Nice,23,1999,34.0,1235,1039,194,47,0,2,0,0,0,0,0,0,1060,2,5,Matches
90,Rémy Cabella,fr FRA,"FW,MF",Lille,33,1990,16.4,908,803,98,31,3,1,51,22,36,8,12,0,732,7,15,Matches
91,Duje Ćaleta-Car,hr CRO,DF,Lyon,26,1996,22.1,1204,1183,20,16,0,9,0,3,0,0,0,0,1051,1,3,Matches
92,Lamine Camara,sn SEN,MF,Metz,19,2004,25.1,983,840,140,61,1,19,119,3,74,33,40,0,715,3,20,Matches
93,Mahdi Camara,fr FRA,MF,Brest,25,1998,22.4,852,801,51,3,0,2,45,5,0,0,0,0,693,0,21,Matches
94,Mohamed Camara,ml MLI,MF,Monaco,23,2000,11.5,769,749,18,17,1,3,1,0,1,0,0,0,707,2,13,Matches
95,Axel Camblan,fr FRA,FW,Brest,19,2003,1.0,22,21,1,0,0,0,1,1,0,0,0,0,18,0,0,Matches
96,Fali Candé,gw GNB,DF,Metz,25,1998,20.5,799,723,73,37,0,18,8,35,1,0,1,0,628,3,8,Matches
97,Gino Caoki,fr FRA,MF,Lorient,19,2004,0.1,4,3,1,1,0,0,1,0,0,0,0,0,2,0,0,Matches
98,Maxence Caqueret,fr FRA,MF,Lyon,23,2000,33.6,2009,1877,124,51,9,11,86,9,44,10,25,0,1661,8,46,Matches
99,Igor Carioca,br BRA,"DF,MF",Lorient,26,1996,2.9,162,134,28,4,1,1,10,24,0,0,0,0,115,0,15,Matches
100,Antonin Cartillier,fr FRA,DF,Monaco,19,2004,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
101,Josué Casimir,ht HAI,"FW,DF",Le Havre,21,2001,22.4,781,675,103,5,1,1,52,88,2,0,0,0,572,3,26,Matches
102,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,23,2000,21.6,1030,961,67,39,3,6,22,10,10,4,3,0,837,2,24,Matches
103,Jean-Charles Castelletto,cm CMR,DF,Nantes,28,1995,27.4,1340,1267,71,24,1,2,20,47,0,0,0,0,1147,2,10,Matches
104,Maximiliano Caufriez,be BEL,DF,Clermont Foot,26,1997,18.4,892,799,91,31,2,4,4,14,0,0,0,0,780,2,5,Matches
105,Ivan Cavaleiro,pt POR,FW,Lille,29,1993,8.6,282,267,15,4,0,1,29,0,11,6,0,0,207,0,6,Matches
106,Fabien Centonze,fr FRA,DF,Nantes,27,1996,1.0,51,45,6,0,0,0,7,6,0,0,0,0,37,0,0,Matches
107,Fares Chaïbi,dz ALG,"FW,MF",Toulouse,20,2002,0.6,40,38,2,0,0,0,7,0,2,1,1,0,28,0,0,Matches
108,Muhammed Cham,at AUT,"MF,FW",Clermont Foot,22,2000,28.4,1327,1154,162,67,14,6,118,9,71,28,36,1,1055,11,31,Matches
109,Brendan Chardonnet,fr FRA,DF,Brest,28,1994,33.0,1824,1763,58,55,1,25,13,3,0,0,0,0,1511,3,14,Matches
110,Jhoanner Chávez,ec ECU,DF,Lens,21,2002,5.3,222,173,49,2,0,2,13,47,0,0,0,0,173,0,8,Matches
111,Rayan Cherki,fr FRA,"MF,FW",Lyon,19,2003,19.1,1069,945,121,24,15,24,71,15,66,22,15,0,830,3,31,Matches
112,Lucas Chevalier,fr FRA,GK,Lille,21,2001,33.0,1186,956,226,103,1,3,0,0,0,0,0,0,914,4,0,Matches
113,Pedro Chirivella,es ESP,MF,Nantes,26,1997,28.8,1743,1628,105,67,7,10,29,4,13,8,2,0,1494,10,13,Matches
