Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Keyliane Abdallah,FRA,FW,Marseille,17,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Yunis Abdelhamid,MAR,DF,Reims,35,1987,30.9,64,35,36,23,5,26,45,57.8,19,51,32,19,39,103,109,2
Salis Abdul Samed,GHA,MF,Lens,23,2000,16.9,21,14,8,10,3,8,18,44.4,10,12,1,11,12,33,18,0
Laurent Abergel,FRA,MF,Lorient,30,1993,31.8,85,52,43,34,8,38,96,39.6,58,29,6,23,61,146,61,3
Matthis Abline,FRA,FW,Nantes,20,2003,11.6,9,4,4,3,2,3,8,37.5,5,3,0,3,3,12,5,0
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,23,2000,8.4,9,8,1,5,3,3,12,25.0,9,9,1,8,1,10,2,0
Nathaniel Adjei,GHA,DF,Lorient,20,2002,13.8,13,9,8,3,2,6,7,85.7,1,15,8,7,18,31,64,1
Adryelson,BRA,"DF,FW",Lyon,25,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0
Adson,BRA,"MF,FW",Nantes,22,2000,2.6,7,6,1,6,0,2,2,100.0,0,5,0,5,2,9,2,0
Emmanuel Agbadou,CIV,DF,Reims,26,1997,28.8,65,41,38,23,4,44,64,68.8,20,47,25,22,55,120,116,1
Ruben Aguilar,FRA,DF,Lens,30,1993,21.4,53,31,27,23,3,27,45,60.0,18,35,5,30,26,79,46,0
Tosin Aiyegun,BEN,"MF,FW",Lorient,25,1998,10.0,6,4,2,3,1,3,9,33.3,6,4,1,3,2,8,8,0
Sergio Akieme,ESP,DF,Reims,25,1997,9.1,11,5,6,3,2,8,11,72.7,3,9,3,6,10,21,25,0
Maghnes Akliouche,FRA,"MF,FW",Monaco,21,2002,17.9,37,23,12,20,5,12,36,33.3,24,21,0,21,9,46,3,0
Adams Akor,NGA,FW,Montpellier,23,2000,25.0,12,4,3,4,5,3,7,42.9,4,9,2,7,5,17,11,0
Paul Akouokou,CIV,MF,Lyon,25,1997,3.4,14,9,2,10,2,6,7,85.7,1,5,1,4,6,20,11,0
Aboubacar Ali,COM,"MF,FW",Strasbourg,17,2006,1.4,2,0,0,2,0,0,0,,0,1,0,1,1,3,2,0
Mohamed Ali Cho,FRA,FW,Nice,19,2004,9.6,12,9,4,7,1,3,11,27.3,8,10,0,10,3,15,6,0
Nabil Alioui,FRA,"MF,FW",Le Havre,24,1999,11.2,3,2,2,1,0,2,4,50.0,2,6,1,5,3,6,4,0
Jim Allevinah,GAB,"MF,DF",Clermont Foot,28,1995,20.7,30,18,11,14,5,14,35,40.0,21,20,3,17,13,43,30,0
Skelly Alvero,FRA,MF,Lyon,21,2002,4.7,8,7,5,2,1,2,9,22.2,7,5,1,4,2,10,5,0
Papa Amadou Diallo,SEN,FW,Metz,19,2004,9.9,18,8,10,7,1,7,21,33.3,14,11,1,10,11,29,16,0
Jordan Amavi,FRA,DF,Brest,29,1994,1.0,1,1,0,1,0,1,3,33.3,2,2,1,1,3,4,2,0
Kelvin Amian,FRA,DF,Nantes,25,1998,8.9,16,7,12,4,0,11,15,73.3,4,6,0,6,7,23,28,0
Michael Amir Murillo,PAN,DF,Marseille,27,1996,11.1,23,11,13,6,4,15,23,65.2,8,9,2,7,11,34,34,2
Benjamin André,FRA,MF,Lille,32,1990,28.6,89,49,39,45,5,43,81,53.1,38,34,5,29,35,124,60,0
Komnen Andrić,SRB,FW,Clermont Foot,28,1995,1.9,2,1,0,1,1,0,4,0.0,4,2,0,2,0,2,1,0
Ângelo,BRA,"FW,MF",Strasbourg,18,2004,12.2,24,11,9,7,8,11,31,35.5,20,18,0,18,9,33,2,0
Stredair Appuah,FRA,"FW,MF",Nantes,19,2004,0.9,0,0,0,0,0,0,3,0.0,3,0,0,0,1,1,1,0
Yoël Armougom,FRA,"DF,MF",Clermont Foot,25,1998,2.6,3,3,2,0,1,2,3,66.7,1,1,0,1,1,4,3,0
Hákon Arnar Haraldsson,ISL,"FW,MF",Lille,20,2003,14.3,12,8,4,7,1,5,21,23.8,16,7,2,5,3,15,5,0
Mohamed El Arouch,FRA,FW,Lyon,19,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Marco Asensio,ESP,"MF,FW",Paris S-G,27,1996,12.4,12,10,4,7,1,4,13,30.8,9,7,0,7,5,17,2,0
Joel Asoro,SWE,"FW,MF",Metz,24,1999,9.4,13,9,7,6,0,3,10,30.0,7,7,1,6,6,19,9,0
Lorenz Assignon,TOG,DF,Rennes,23,2000,11.2,24,12,12,8,4,9,24,37.5,15,9,4,5,9,33,27,1
Youcef Atal,ALG,DF,Nice,27,1996,4.0,9,3,6,2,1,6,8,75.0,2,7,1,6,4,13,1,0
Valentin Atangana Edoa,FRA,MF,Reims,17,2005,6.2,19,13,6,9,4,5,13,38.5,8,5,1,4,6,25,9,0
Arthur Atta,FRA,"MF,FW",Metz,20,2003,10.3,18,14,8,7,3,8,19,42.1,11,13,3,10,10,28,23,0
Pierre-Emerick Aubameyang,GAB,FW,Marseille,34,1989,29.1,22,14,4,11,7,7,26,26.9,19,30,5,25,9,31,26,0
André Ayew,GHA,FW,Le Havre,33,1989,12.3,15,11,7,6,2,6,9,66.7,3,8,3,5,2,17,11,0
Neil El Aynaoui,MAR,MF,Lens,22,2001,17.4,37,20,13,20,4,20,46,43.5,26,20,6,14,32,69,21,1
Abdellah Baallal,MAR,MF,Clermont Foot,18,2004,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Shavy Babicka,GAB,"FW,MF",Toulouse,23,2000,4.1,11,8,2,7,2,2,5,40.0,3,6,1,5,0,11,2,0
Aliou Badara Baldé,GUI,"FW,DF",Nice,20,2002,0.8,4,1,0,3,1,1,1,100.0,0,2,1,1,3,7,0,0
Tiemoué Bakayoko,FRA,MF,Lorient,28,1994,14.6,34,17,14,17,3,15,28,53.6,13,10,4,6,26,60,15,1
Dilane Bakwa,FRA,"FW,MF",Strasbourg,20,2002,24.2,30,22,12,13,5,11,40,27.5,29,26,1,25,20,50,11,0
Carlos Baleba,CMR,MF,Lille,19,2004,0.7,6,2,1,4,1,3,4,75.0,1,0,0,0,2,8,0,0
Leonardo Balerdi,ARG,DF,Marseille,24,1999,25.2,79,50,55,23,1,49,67,73.1,18,38,15,23,51,130,91,0
Folarin Balogun,USA,FW,Monaco,22,2001,18.8,12,4,3,8,1,5,13,38.5,8,10,0,10,3,15,4,0
Mohamed Bamba,CIV,FW,Lorient,21,2001,12.6,14,9,3,8,3,4,10,40.0,6,7,1,6,2,16,3,0
Mamady Bangré,BFA,"FW,MF",Toulouse,22,2001,1.1,4,2,2,2,0,3,4,75.0,1,0,0,0,4,8,3,0
Bradley Barcola,FRA,FW,Lyon,20,2002,3.0,5,2,0,2,3,1,7,14.3,6,4,0,4,2,7,0,0
Bradley Barcola,FRA,"FW,MF",Paris S-G,20,2002,15.2,34,16,12,13,9,7,25,28.0,18,27,2,25,10,44,13,1
Melvin Bard,FRA,DF,Nice,22,2000,29.5,69,38,28,30,11,37,63,58.7,26,46,12,34,42,111,46,0
Steven Baseya,FRA,DF,Strasbourg,18,2005,0.1,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,1,0
Mohamed Bechikh,FRA,"FW,MF",Strasbourg,18,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Yanis Begraoui,MAR,"FW,MF",Toulouse,22,2001,3.3,5,3,1,3,1,3,9,33.3,6,4,0,4,5,10,5,0
Jérémie Bela,ANG,"MF,FW",Clermont Foot,30,1993,2.3,1,1,0,1,0,1,3,33.3,2,1,0,1,0,1,1,0
Reda Belahyane,MAR,MF,Nice,19,2004,0.3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Alaa Bellaarouch,MAR,GK,Strasbourg,21,2002,15.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,2
Jean-Ricner Bellegarde,HAI,"MF,FW",Strasbourg,25,1998,3.0,5,3,3,2,0,3,6,50.0,3,4,0,4,4,9,0,0
Jeanuël Belocian,FRA,DF,Rennes,18,2005,16.1,32,22,23,8,1,22,28,78.6,6,18,10,8,13,45,49,0
Eliesse Ben Seghir,MAR,"MF,FW",Monaco,18,2005,4.8,9,6,2,5,2,3,7,42.9,4,6,0,6,2,11,2,0
Wissam Ben Yedder,FRA,FW,Monaco,32,1990,25.7,4,3,1,2,1,1,11,9.1,10,18,0,18,8,12,1,0
Saïd Benrahma,ALG,"FW,MF",Lyon,27,1995,8.6,9,7,1,6,2,5,7,71.4,2,7,0,7,1,10,3,0
Nabil Bentaleb,ALG,MF,Lille,28,1994,21.9,49,32,29,18,2,22,43,51.2,21,33,12,21,37,86,33,0
Lucas Beraldo,BRA,DF,Paris S-G,19,2003,11.2,22,14,14,8,0,10,25,40.0,15,15,6,9,20,42,25,0
Dimitry Bertaud,COD,GK,Montpellier,25,1998,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Marco Bizot,NED,GK,Brest,32,1991,32.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,18,3
Rubén Blanco,ESP,GK,Marseille,28,1995,1.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ludovic Blas,FRA,"FW,MF",Rennes,25,1997,17.4,30,14,16,13,1,12,28,42.9,16,13,1,12,6,36,9,0
Myron Boadu,NED,FW,Monaco,22,2001,0.9,2,2,0,1,1,1,2,50.0,1,2,0,2,0,2,0,0
Jeremie Boga,CIV,FW,Nice,26,1997,22.2,18,7,6,10,2,10,20,50.0,10,26,2,24,8,26,4,0
Adama Bojang,GAM,FW,Reims,19,2004,0.9,2,1,1,0,1,0,0,,0,2,1,1,1,3,0,0
Neto Borges,BRA,DF,Clermont Foot,26,1996,28.0,48,24,25,18,5,28,63,44.4,35,28,6,22,57,105,84,0
Saïmon Bouabré,FRA,MF,Monaco,17,2006,0.5,2,2,0,2,0,1,2,50.0,1,1,0,1,0,2,0,0
Ayyoub Bouaddi,FRA,MF,Lille,15,2007,1.5,6,2,6,0,0,2,5,40.0,3,2,0,2,1,7,3,0
Badredine Bouanani,ALG,FW,Nice,18,2004,1.8,3,2,1,1,1,3,4,75.0,1,5,0,5,3,6,0,0
Badredine Bouanani,ALG,MF,Lorient,18,2004,4.9,4,2,1,1,2,2,4,50.0,2,3,0,3,2,6,3,0
Mohamed Bouchenna,FRA,"MF,FW",Clermont Foot,17,2006,0.3,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
Hicham Boudaoui,ALG,MF,Nice,23,1999,17.9,41,19,16,22,3,21,30,70.0,9,15,1,14,11,52,15,0
