Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches
1,Max Aarons,eng ENG,DF,Norwich City,22,2000,42.8,2008,2536,79.2,32036,10126,1019,1111,91.7,827,1012,81.7,113,251,45.0,3,2.4,2.7,+0.6,40,120,57,23,201,Matches
2,Thelo Aasgaard,no NOR,"FW,MF",Wigan Athletic,20,2002,17.6,399,507,78.7,6856,940,200,231,86.6,148,175,84.6,42,63,66.7,1,0.7,0.9,+0.3,8,23,6,2,41,Matches
3,Nelson Abbey,eng ENG,DF,Reading,18,2003,0.2,6,9,66.7,81,41,4,4,100.0,2,4,50.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
4,Kelvin Abrefa,eng ENG,"MF,DF",Reading,18,2003,1.4,20,36,55.6,356,158,9,14,64.3,8,11,72.7,3,8,37.5,0,0.1,0.1,-0.1,2,1,2,1,4,Matches
5,Finlay Adair,eng ENG,"FW,MF",Preston,17,2005,0.7,3,8,37.5,42,2,2,5,40.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
6,Elijah Adebayo,eng ENG,FW,Luton Town,24,1998,35.7,388,625,62.1,5033,1225,254,367,69.2,97,158,61.4,10,14,71.4,3,3.8,3.3,-0.8,30,35,21,3,63,Matches
7,Toby Adeyemo,eng ENG,"MF,FW",Watford,17,2005,1.1,9,15,60.0,89,19,6,8,75.0,2,3,66.7,0,1,0.0,0,0.2,0.1,-0.2,2,0,1,0,1,Matches
8,Albert Adomah,gh GHA,"FW,MF",QPR,34,1987,14.1,250,423,59.1,3890,1400,132,170,77.6,81,134,60.4,23,75,30.7,0,2.2,2.9,-2.2,27,17,20,13,31,Matches
9,Michael Adu-Poku,eng ENG,FW,Watford,16,2005,0.1,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
10,Benik Afobe,cd COD,FW,Millwall,29,1993,10.3,127,192,66.1,1576,331,86,116,74.1,27,45,60.0,5,10,50.0,1,0.4,0.3,+0.6,8,9,2,0,10,Matches
11,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,23,1999,31.8,992,1334,74.4,16654,5439,487,568,85.7,382,495,77.2,96,190,50.5,2,2.6,2.5,-0.6,20,79,14,4,100,Matches
12,Semi Ajayi,ng NGA,DF,West Brom,28,1993,16.2,743,890,83.5,16006,5311,177,206,85.9,459,504,91.1,102,168,60.7,0,0.3,0.1,-0.3,4,50,2,0,52,Matches
13,Chuba Akpom,eng ENG,"MF,FW",Middlesbrough,26,1995,34.5,566,705,80.3,8654,1921,325,378,86.0,176,218,80.7,46,61,75.4,2,1.9,2.0,+0.1,23,75,18,0,98,Matches
14,Marc Albrighton,eng ENG,"FW,MF",West Brom,32,1989,7.5,183,292,62.7,3264,1424,87,116,75.0,66,98,67.3,24,52,46.2,0,1.4,1.2,-1.4,11,25,18,7,34,Matches
15,Ajibola Alese,eng ENG,DF,Sunderland,21,2001,15.6,589,759,77.6,9149,3661,309,346,89.3,235,305,77.0,30,72,41.7,0,0.8,0.6,-0.8,11,44,7,3,58,Matches
16,Jamie Allen,eng ENG,MF,Coventry City,27,1995,31.3,757,939,80.6,10807,2985,448,521,86.0,240,287,83.6,27,46,58.7,2,2.8,2.3,-0.8,28,93,14,3,97,Matches
17,Joe Allen,wls WAL,MF,Swansea City,32,1990,13.7,664,781,85.0,10224,2442,347,376,92.3,261,293,89.1,28,66,42.4,1,0.9,1.0,+0.1,13,56,3,0,66,Matches
18,Ryan Allsop,eng ENG,GK,Cardiff City,30,1992,42.7,997,1715,58.1,32288,24780,193,195,99.0,389,397,98.0,412,1118,36.9,0,0.0,0.2,0.0,2,79,1,0,1,Matches
19,Jak Alnwick,eng ENG,GK,Cardiff City,29,1993,3.3,42,115,36.5,1889,1587,3,3,100.0,11,11,100.0,28,99,28.3,0,0.0,0.0,0.0,0,4,0,0,0,Matches
20,Jordan Amissah,gh GHA,GK,Sheffield Utd,20,2001,0.1,2,8,25.0,29,11,1,1,100.0,1,1,100.0,0,6,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
21,Ben Amos,eng ENG,GK,Wigan Athletic,32,1990,28.6,541,893,60.6,17101,13462,136,137,99.3,157,162,96.9,230,575,40.0,0,0.0,0.1,0.0,0,22,0,0,0,Matches
22,Luke Amos,eng ENG,"MF,FW",QPR,25,1997,9.9,238,323,73.7,3648,1057,130,152,85.5,86,112,76.8,14,34,41.2,0,0.8,0.6,-0.8,4,23,3,0,37,Matches
23,Joe Anderson,eng ENG,"DF,MF",Sunderland,21,2001,0.5,25,29,86.2,402,198,15,16,93.8,8,10,80.0,2,3,66.7,0,0.0,0.0,0.0,0,2,0,0,2,Matches
24,Keshi Anderson,eng ENG,MF,Blackpool,27,1995,4.8,182,223,81.6,3075,897,84,101,83.2,74,90,82.2,18,21,85.7,2,0.6,0.5,+1.4,9,18,10,0,32,Matches
25,Ryan Andrews,eng ENG,DF,Watford,17,2004,5.4,175,261,67.0,2842,945,82,95,86.3,73,107,68.2,13,41,31.7,0,0.2,0.3,-0.2,2,14,2,1,18,Matches
26,Faustino Anjorin,eng ENG,"MF,FW",Huddersfield,20,2001,4.9,103,136,75.7,1622,385,54,62,87.1,35,44,79.5,8,16,50.0,0,0.0,0.1,0.0,2,14,2,0,13,Matches
27,Robert Apter,sct SCO,MF,Blackpool,19,2003,0.2,8,11,72.7,115,14,4,5,80.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,1,1,0,0,0,Matches
28,Henrique Araújo,pt POR,FW,Watford,20,2002,3.8,51,75,68.0,614,86,35,47,74.5,14,16,87.5,0,0,,1,1.1,0.8,-0.1,3,4,0,0,5,Matches
29,Oliver Arblaster,eng ENG,MF,Sheffield Utd,18,2004,0.8,28,35,80.0,436,142,15,18,83.3,10,12,83.3,1,1,100.0,0,0.0,0.0,0.0,0,2,1,0,6,Matches
30,Cameron Archer,eng ENG,FW,Middlesbrough,21,2001,15.2,261,324,80.6,3176,418,179,214,83.6,67,73,91.8,4,5,80.0,6,4.3,3.7,+1.7,25,11,8,0,19,Matches
