Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Max Aarons,ENG,DF,Norwich City,22.0,2000.0,42.8,93,2.17,82,2,4,2,3,0,2,0.05,2,0,0,0,0,0
Thelo Aasgaard,NOR,"FW,MF",Wigan Athletic,20.0,2002.0,17.6,43,2.44,34,1,2,4,2,0,6,0.34,5,0,0,1,0,0
Nelson Abbey,ENG,DF,Reading,18.0,2003.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kelvin Abrefa,ENG,"MF,DF",Reading,18.0,2003.0,1.4,2,1.42,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Finlay Adair,ENG,"FW,MF",Preston,17.0,2005.0,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Elijah Adebayo,ENG,FW,Luton Town,24.0,1998.0,35.7,78,2.18,54,0,9,6,9,0,8,0.22,4,0,2,1,1,0
Toby Adeyemo,ENG,"MF,FW",Watford,17.0,2005.0,1.1,4,3.75,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Albert Adomah,GHA,"FW,MF",QPR,34.0,1987.0,14.1,48,3.4,33,6,4,2,3,0,1,0.07,0,0,0,0,1,0
Michael Adu-Poku,ENG,FW,Watford,16.0,2005.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Benik Afobe,COD,FW,Millwall,29.0,1993.0,10.3,21,2.04,11,0,5,3,2,0,4,0.39,2,0,1,0,1,0
Anel Ahmedhodžić,BIH,DF,Sheffield Utd,23.0,1999.0,31.8,45,1.42,34,0,0,6,2,3,2,0.06,1,0,0,1,0,0
Semi Ajayi,NGA,DF,West Brom,28.0,1993.0,16.2,10,0.62,7,1,0,2,0,0,0,0.0,0,0,0,0,0,0
Chuba Akpom,ENG,"MF,FW",Middlesbrough,26.0,1995.0,34.5,72,2.08,46,0,9,12,4,1,17,0.49,14,0,1,2,0,0
Marc Albrighton,ENG,"FW,MF",West Brom,32.0,1989.0,7.5,25,3.34,22,2,1,0,0,0,1,0.13,1,0,0,0,0,0
Ajibola Alese,ENG,DF,Sunderland,21.0,2001.0,15.6,22,1.41,17,1,3,1,0,0,0,0.0,0,0,0,0,0,0
Jamie Allen,ENG,MF,Coventry City,27.0,1995.0,31.3,62,1.98,54,0,3,4,1,0,6,0.19,4,0,0,2,0,0
