Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Max Aarons,ENG,DF,Norwich City,22.0,2000.0,42.8,10,0,0,23,57,4,102,48,37,0,0,0,213,20,34,37.0
Thelo Aasgaard,NOR,"FW,MF",Wigan Athletic,20.0,2002.0,17.6,1,0,0,15,29,0,18,23,13,0,0,0,78,29,31,48.3
Nelson Abbey,ENG,DF,Reading,18.0,2003.0,0.2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,66.7
Kelvin Abrefa,ENG,"MF,DF",Reading,18.0,2003.0,1.4,1,0,0,3,1,0,4,1,3,0,0,0,6,2,3,40.0
Finlay Adair,ENG,"FW,MF",Preston,17.0,2005.0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,33.3
Elijah Adebayo,ENG,FW,Luton Town,24.0,1998.0,35.7,8,0,0,64,47,26,23,11,14,0,0,0,93,134,162,45.3
Toby Adeyemo,ENG,"MF,FW",Watford,17.0,2005.0,1.1,1,0,0,6,5,1,1,0,0,0,0,0,2,3,2,60.0
Albert Adomah,GHA,"FW,MF",QPR,34.0,1987.0,14.1,2,0,0,13,13,7,92,11,11,0,0,0,80,11,34,24.4
Michael Adu-Poku,ENG,FW,Watford,16.0,2005.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Benik Afobe,COD,FW,Millwall,29.0,1993.0,10.3,1,0,0,8,9,6,6,1,3,0,0,0,20,37,62,37.4
Anel Ahmedhodžić,BIH,DF,Sheffield Utd,23.0,1999.0,31.8,12,0,0,40,21,3,29,62,41,1,1,0,165,67,52,56.3
Semi Ajayi,NGA,DF,West Brom,28.0,1993.0,16.2,2,0,0,11,9,0,4,24,15,0,1,0,107,51,26,66.2
