Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 30_level_0_Matches
272,Mario Gaspar,es ESP,"DF,MF",Watford,31,1990,19.7,1171,61,393,542,253,35,1171,16,8,50.0,8,50.0,493,2153,1086,26,14,5,19,9,572,45,Matches
273,Dwight Gayle,eng ENG,FW,Stoke City,31,1990,26.5,768,9,37,409,329,107,768,18,2,11.1,10,55.6,393,1523,599,17,12,10,46,14,544,118,Matches
274,Joe Gelhardt,eng ENG,FW,Sunderland,20,2002,13.3,451,14,44,248,163,34,451,31,12,38.7,12,38.7,267,1096,437,17,9,6,31,21,326,65,Matches
275,Dimitris Giannoulis,gr GRE,DF,Norwich City,26,1995,18.5,1415,43,553,550,328,13,1415,58,38,65.5,9,15.5,687,3851,2050,40,24,2,35,15,754,75,Matches
276,Liam Gibbs,eng ENG,MF,Norwich City,19,2002,18.8,1159,41,272,634,262,19,1159,16,10,62.5,4,25.0,653,3927,1843,33,40,5,36,13,775,34,Matches
277,Ben Gibson,eng ENG,DF,Norwich City,29,1993,19.7,1464,245,916,524,31,11,1464,1,0,0.0,1,100.0,811,3694,2260,11,3,0,1,1,958,5,Matches
278,Ryan Giles,eng ENG,DF,Middlesbrough,22,2000,42.6,2821,88,685,1033,1122,59,2821,54,19,35.2,30,55.6,1419,6525,3605,107,59,15,40,13,1751,343,Matches
279,Brodie Gilmore,nir NIR,DF,Huddersfield,18,2004,2.7,154,6,67,63,24,4,154,0,0,,0,,64,477,271,8,1,2,1,2,80,4,Matches
280,Matthew Godden,eng ENG,FW,Coventry City,31,1991,22.0,598,24,53,263,285,91,596,20,2,10.0,14,70.0,304,1178,374,18,10,7,41,21,391,109,Matches
281,Lynden Gooch,us USA,DF,Sunderland,26,1995,26.3,1674,66,477,754,462,23,1674,61,29,47.5,24,39.3,901,4916,2650,68,37,11,32,23,971,89,Matches
282,Charlie Goode,eng ENG,DF,Blackpool,26,1995,1.3,47,10,24,20,3,1,47,1,1,100.0,0,0.0,10,30,16,0,1,0,0,0,8,0,Matches
283,Kyron Gordon,eng ENG,DF,Sheffield Utd,20,2002,0.8,41,2,10,26,5,1,41,1,0,0.0,1,100.0,15,85,60,3,0,0,1,0,18,1,Matches
284,Dan Gosling,eng ENG,"DF,MF",Watford,32,1990,9.8,602,23,178,318,109,7,602,10,2,20.0,7,70.0,301,1307,652,8,5,0,14,13,342,19,Matches
285,Jordan Graham,eng ENG,DF,Birmingham City,27,1995,13.6,734,45,205,270,265,12,734,31,11,35.5,15,48.4,345,2411,932,43,18,3,18,5,340,49,Matches
286,Karlan Grant,eng ENG,"FW,MF",West Brom,24,1997,19.1,608,5,42,273,302,90,606,27,9,33.3,13,48.1,367,2072,825,28,16,18,50,20,461,112,Matches
287,Jacob Greaves,eng ENG,DF,Hull City,21,2000,39.6,2839,255,1206,1282,363,63,2839,25,10,40.0,9,36.0,1358,6253,3426,51,37,7,29,15,1659,61,Matches
288,Jack Grieves,eng ENG,MF,Watford,17,2004,0.1,4,0,2,1,1,0,4,0,0,,0,,2,24,2,0,1,0,1,0,1,0,Matches
289,Joshua Griffiths,eng ENG,GK,West Brom,20,2001,10.0,394,285,384,10,0,0,394,0,0,,0,,222,887,515,0,0,0,0,0,211,0,Matches
290,Matt Grimes,eng ENG,MF,Swansea City,27,1995,44.0,4589,117,1020,2955,635,11,4589,36,28,77.8,6,16.7,2608,12995,7644,74,77,1,48,28,3755,54,Matches
291,Daniel Grimshaw,eng ENG,GK,Blackpool,24,1998,18.0,699,558,691,8,0,0,699,0,0,,0,,324,2078,1295,0,0,0,0,0,250,0,Matches
292,Nesta Guinness-Walker,eng ENG,"DF,FW",Reading,22,1999,18.3,914,52,288,355,285,19,914,55,23,41.8,21,38.2,384,2380,1278,38,22,8,28,12,420,55,Matches
293,Angus Gunn,sct SCO,GK,Norwich City,26,1996,30.0,1261,1015,1244,17,0,0,1261,0,0,,0,,664,3134,1623,0,1,0,0,0,618,0,Matches
294,Viktor Gyökeres,se SWE,FW,Coventry City,24,1998,44.7,1809,29,60,655,1120,320,1805,285,96,33.7,158,55.4,1200,8937,4102,198,105,143,217,103,1439,492,Matches
295,Hayden Hackney,eng ENG,MF,Middlesbrough,20,2002,30.4,2353,60,463,1449,469,29,2353,54,29,53.7,17,31.5,1442,6661,3231,65,42,8,49,24,1738,49,Matches
296,George Hall,eng ENG,MF,Birmingham City,18,2004,14.1,400,13,63,156,189,31,400,45,19,42.2,22,48.9,182,1093,474,18,14,6,31,27,195,42,Matches
297,Grant Hall,eng ENG,DF,Rotherham Utd,30,1991,16.2,839,102,326,435,86,16,839,5,4,80.0,1,20.0,324,1577,850,7,5,1,8,4,328,2,Matches
298,Niko Hämäläinen,fi FIN,DF,QPR,25,1997,1.0,66,2,19,32,16,1,66,1,0,0.0,1,100.0,42,104,33,0,0,0,0,2,39,1,Matches
299,Ben Hamer,eng ENG,GK,Watford,34,1987,1.0,34,33,34,0,0,0,34,0,0,,0,,16,94,63,0,0,0,0,0,9,0,Matches
300,Gustavo Hamer,nl NED,MF,Coventry City,25,1997,38.6,2529,71,475,1335,750,64,2529,89,46,51.7,35,39.3,1262,7186,3739,77,69,19,54,24,1435,85,Matches
301,CJ Hamilton,ie IRL,"FW,MF",Blackpool,27,1995,19.9,770,28,142,263,378,75,770,47,12,25.5,25,53.2,363,2573,1248,52,23,23,64,24,413,150,Matches
302,Grant Hanley,sct SCO,DF,Norwich City,30,1991,38.3,2481,354,1442,972,77,31,2481,4,2,50.0,1,25.0,1396,6926,4183,26,16,2,10,5,1596,5,Matches
303,Wes Harding,jm JAM,"DF,FW",Rotherham Utd,25,1996,35.1,1914,154,582,913,438,25,1914,55,22,40.0,28,50.9,704,3549,1625,28,24,2,33,16,759,48,Matches
304,Kian Harratt,eng ENG,"FW,MF",Huddersfield,20,2002,0.2,13,0,2,6,5,2,13,0,0,,0,,4,13,0,0,0,0,4,0,10,1,Matches
305,Mark Harris,wls WAL,FW,Cardiff City,23,1998,17.9,533,13,49,212,285,62,533,33,15,45.5,16,48.5,345,2035,838,32,22,17,56,37,400,119,Matches
306,Taylor Harwood-Bellis,eng ENG,DF,Burnley,20,2002,30.7,2884,292,1312,1486,91,26,2884,8,4,50.0,3,37.5,1914,11651,8184,25,24,1,5,0,2136,3,Matches
307,Kortney Hause,eng ENG,DF,Watford,27,1995,2.1,147,20,70,72,5,1,147,0,0,,0,,67,294,165,0,1,0,3,1,77,0,Matches
