Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Azeem Abdulai,SCO,"DF,FW",Swansea City,20.0,2002.0,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ken Aboh,ENG,MF,Norwich City,18.0,2004.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Che Adams,SCO,FW,Southampton,27.0,1996.0,25.4,16,80,31,38.8,3.15,1.22,0.2,0.52,16.4,0,0,0,13.6,13.6,0.17,2.4,2.4
Ebou Adams,GAM,"MF,DF",Cardiff City,27.0,1996.0,3.4,0,2,0,0.0,0.58,0.0,0.0,,25.6,0,0,0,0.0,0.0,0.02,0.0,0.0
Albert Adomah,GHA,"DF,FW",QPR,35.0,1987.0,4.1,0,2,0,0.0,0.49,0.0,0.0,,16.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Emanuel Aiwum,AUT,DF,Birmingham City,22.0,2000.0,21.6,0,5,2,40.0,0.23,0.09,0.0,0.0,9.5,0,0,0,0.7,0.7,0.14,-0.7,-0.7
Semi Ajayi,NGA,DF,West Brom,29.0,1993.0,13.4,2,6,2,33.3,0.45,0.15,0.33,1.0,8.4,0,0,0,0.9,0.9,0.16,1.1,1.1
Yunus Akgün,TUR,"MF,FW",Leicester City,23.0,2000.0,9.9,1,16,3,18.8,1.62,0.3,0.06,0.33,16.3,0,0,0,1.2,1.2,0.08,-0.2,-0.2
Marc Albrighton,ENG,FW,Leicester City,33.0,1989.0,1.4,0,1,0,0.0,0.7,0.0,0.0,,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0
Carlos Alcaraz,ARG,"MF,FW",Southampton,20.0,2002.0,12.2,3,40,16,40.0,3.27,1.31,0.08,0.19,19.5,3,0,1,4.4,3.6,0.09,-1.4,-0.6
Ajibola Alese,ENG,DF,Sunderland,22.0,2001.0,5.1,0,1,0,0.0,0.19,0.0,0.0,,14.4,0,0,0,0.0,0.0,0.02,0.0,0.0
