Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Kamaldeen Sulemana,GHA,"FW,MF",Southampton,21.0,2002.0,10.6,557,12,59,178,335,68,557,94,55,58.5,36,38.3,414,3384,1728,66,24,37,43,9,443,135
Crysencio Summerville,NED,FW,Leeds United,21.0,2001.0,38.9,2231,19,164,784,1327,256,2226,191,98,51.3,78,40.8,1444,10330,5154,196,117,100,119,59,1653,367
Ivan Šunjić,BIH,MF,Birmingham City,26.0,1996.0,29.2,1185,83,405,623,170,16,1185,15,8,53.3,7,46.7,519,2525,841,11,13,3,26,18,599,34
John Swift,ENG,"MF,FW",West Brom,28.0,1995.0,20.7,1383,16,141,685,572,56,1380,40,22,55.0,17,42.5,818,4062,2003,46,41,13,52,27,1032,114
Mark Sykes,IRL,"FW,MF",Bristol City,25.0,1997.0,28.7,1451,64,286,654,537,80,1451,74,21,28.4,47,63.5,836,4656,2263,75,51,21,61,32,969,211
Sammie Szmodics,IRL,"MF,FW",Blackburn,27.0,1995.0,43.3,1840,25,168,755,935,218,1839,61,30,49.2,31,50.8,1083,5202,2255,83,45,46,85,48,1370,350
Jakob Sørensen,DEN,"DF,MF",Norwich City,25.0,1998.0,5.5,475,37,247,207,23,3,475,3,2,66.7,1,33.3,277,1087,585,2,2,1,2,1,365,1
Japhet Tanganga,ENG,DF,Millwall,24.0,1999.0,17.2,828,105,447,322,65,20,828,7,3,42.9,4,57.1,382,1815,918,9,4,2,12,6,417,4
George Tanner,ENG,DF,Bristol City,23.0,1999.0,33.7,2296,146,733,1208,366,10,2296,15,7,46.7,5,33.3,1029,4740,2437,40,37,0,34,11,1282,52
Ollie Tanner,ENG,"FW,DF",Cardiff City,21.0,2002.0,13.7,817,16,140,371,319,38,817,51,24,47.1,24,47.1,461,2995,1565,56,39,19,44,6,547,103
Fabio Tavares,ENG,"FW,DF",Coventry City,22.0,2001.0,2.0,104,1,5,30,69,6,104,2,0,0.0,2,100.0,68,299,175,6,1,1,3,3,80,27
Caleb Taylor,ENG,DF,West Brom,20.0,2003.0,0.3,27,2,12,15,0,0,27,0,0,,0,,17,148,98,0,0,0,0,1,20,0
Jack Taylor,IRL,MF,Ipswich Town,25.0,1998.0,9.8,658,17,137,371,161,22,658,12,4,33.3,8,66.7,388,2008,957,18,15,4,12,9,458,25
Junior Tchamadeu,CMR,"DF,FW",Stoke City,19.0,2003.0,9.7,483,15,110,236,141,17,483,15,6,40.0,8,53.3,245,1617,718,20,16,5,18,11,260,42
Semir Telalovic,GER,FW,Blackburn,23.0,1999.0,3.4,151,4,11,68,73,18,151,5,3,60.0,2,40.0,83,402,116,5,3,2,10,8,110,28
Nathan Tella,NGA,FW,Southampton,24.0,1999.0,3.0,196,2,13,65,118,25,196,10,3,30.0,4,40.0,115,731,319,11,3,6,7,7,145,54
Bobby Thomas,ENG,DF,Coventry City,22.0,2001.0,41.8,2968,396,1606,1223,157,52,2968,15,9,60.0,6,40.0,1656,8169,4282,29,23,0,39,6,1903,15
Luke Thomas,ENG,DF,Middlesbrough,22.0,2001.0,7.3,557,20,181,220,158,11,557,6,3,50.0,3,50.0,266,888,398,10,3,2,14,3,304,45
Sorba Thomas,WAL,"FW,MF",Huddersfield,23.0,1999.0,38.1,1887,36,214,769,955,67,1887,110,43,39.1,56,50.9,1034,8241,4360,159,97,28,74,44,1107,246
Brandon Thomas-Asante,GHA,FW,West Brom,24.0,1998.0,30.4,780,7,67,385,345,109,779,72,37,51.4,31,43.1,507,3130,1123,44,27,19,89,55,588,126
Jordan Thompson,NIR,"DF,MF",Stoke City,26.0,1997.0,24.6,1517,60,383,800,345,20,1517,21,6,28.6,13,61.9,731,3325,1495,24,17,3,26,17,900,65
Christ Tiéhi,CIV,MF,Rotherham Utd,25.0,1998.0,34.0,1620,97,464,921,267,25,1620,43,27,62.8,15,34.9,848,4488,1948,29,28,4,35,18,883,25
Victor Torp,DEN,MF,Coventry City,24.0,1999.0,7.8,536,17,100,258,187,6,536,15,9,60.0,6,40.0,274,1293,632,11,15,2,10,18,332,14
Conor Townsend,ENG,DF,West Brom,30.0,1993.0,34.7,2323,125,718,934,682,43,2323,13,5,38.5,5,38.5,1060,5030,2887,79,57,7,22,14,1314,185
Adama Traoré,MLI,"FW,MF",Hull City,28.0,1995.0,11.9,650,18,93,334,231,21,650,29,17,58.6,8,27.6,436,2267,966,21,26,3,21,12,497,48
Mark Travers,IRL,GK,Stoke City,24.0,1999.0,13.0,532,438,528,4,0,0,532,0,0,,0,,294,1576,815,0,0,0,0,0,266,0
Lewis Travis,ENG,MF,Ipswich Town,25.0,1997.0,3.7,208,16,57,127,26,0,208,4,2,50.0,2,50.0,96,501,238,5,5,0,4,7,114,4
Lewis Travis,ENG,"MF,DF",Blackburn,25.0,1997.0,13.2,825,35,151,423,262,25,825,25,13,52.0,8,32.0,489,2133,1106,30,14,3,24,13,551,72
Nectarios Triantis,GRE,DF,Sunderland,20.0,2003.0,1.0,60,12,47,13,0,0,60,1,1,100.0,0,0.0,33,138,22,0,0,0,0,0,39,0
Sondre Tronstad,NOR,MF,Blackburn,27.0,1995.0,32.6,2200,88,609,1216,397,9,2200,35,23,65.7,11,31.4,1111,4453,1859,9,22,1,42,25,1506,33
Axel Tuanzebe,COD,DF,Ipswich Town,25.0,1997.0,15.3,1139,73,482,529,141,14,1139,17,10,58.8,7,41.2,615,2908,1544,11,10,1,11,9,682,11
Ozan Tufan,TUR,"MF,FW",Hull City,28.0,1995.0,23.6,1091,18,121,597,390,75,1088,37,13,35.1,22,59.5,639,3029,1212,33,21,15,40,21,820,120
David Turnbull,SCO,"MF,FW",Cardiff City,24.0,1999.0,9.6,524,10,60,286,181,19,524,11,5,45.5,5,45.5,294,1364,581,11,16,1,16,7,348,32
Oliver Turton,ENG,DF,Huddersfield,30.0,1992.0,1.9,94,6,26,50,18,0,94,2,0,0.0,2,100.0,44,194,54,1,3,0,1,1,54,8
Scott Twine,ENG,"MF,FW",Bristol City,24.0,1999.0,8.2,380,5,33,167,185,35,380,18,7,38.9,10,55.6,196,850,350,10,7,6,19,11,230,35
