Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Willian Arão,BRA,MF,Santos,32,1992,8.7,312,366,85.2,5550,2036,138,158,87.3,126,141,89.4,40,48,83.3,0,0.0,0.1,0.0,1,40,0,0,43
Luiz Araújo,BRA,"FW,MF",Flamengo,28,1996,19.6,666,872,76.4,10800,2595,345,385,89.6,235,282,83.3,58,130,44.6,3,4.2,3.7,-1.2,44,47,24,8,92
Matheus Araújo,BRA,"MF,FW",Ceará,22,2002,3.0,68,94,72.3,1181,408,33,44,75.0,23,27,85.2,8,13,61.5,1,0.6,0.3,0.4,5,12,5,2,15
Michel Araujo,URU,"MF,FW",Bahia,28,1996,9.5,331,395,83.8,5185,1236,169,189,89.4,129,143,90.2,23,39,59.0,1,0.6,0.7,0.4,14,33,13,1,47
Alexander Aravena,CHI,"FW,MF",Grêmio,22,2002,6.5,153,190,80.5,2202,433,86,98,87.8,55,64,85.9,5,8,62.5,0,0.9,0.9,-0.9,7,6,7,3,12
Robert Arboleda,ECU,DF,São Paulo,33,1991,22.9,1070,1174,91.1,21171,6973,305,318,95.9,654,684,95.6,100,152,65.8,0,0.1,0.1,-0.1,3,39,1,0,19
Lucas Arcanjo,BRA,GK,Vitória,26,1998,28.3,558,810,68.9,16940,11765,64,64,100.0,305,311,98.1,186,431,43.2,0,0.1,0.0,-0.1,3,14,0,0,1
Matias Arezo,URU,FW,Grêmio,22,2002,3.0,32,55,58.2,508,98,17,31,54.8,12,13,92.3,2,4,50.0,1,0.8,0.2,0.2,6,3,2,1,5
Jhon Arias,COL,FW,Fluminense,27,1997,12.0,610,732,83.3,8431,2112,375,405,92.6,163,189,86.2,30,74,40.5,4,2.9,3.0,1.1,33,37,24,10,55
Santiago Arias,COL,DF,Bahia,33,1992,15.8,900,1031,87.3,14359,5509,457,488,93.6,386,429,90.0,43,65,66.2,0,0.6,1.3,-0.6,11,85,15,9,76
