Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Thiago,BRA,GK,Vitória,25,1999,8.7,257,206,253,4,0,0,257,0,0,,0,,102,593,441,0,0,0,0,0,69,0
Rafael Thyere,BRA,DF,Sport Recife,31,1993,23.4,1224,233,597,595,35,13,1224,0,0,,0,,665,2870,1675,11,3,0,10,0,771,5
Tiago,BRA,"FW,MF",Bahia,19,2005,10.0,308,17,51,98,163,57,308,21,12,57.1,7,33.3,180,1071,409,18,7,15,32,17,230,86
Guilherme Tinga,BRA,DF,Fortaleza,31,1993,8.4,516,31,156,256,111,17,516,7,1,14.3,6,85.7,214,979,514,11,9,0,6,2,261,21
Titi,BRA,DF,Fortaleza,36,1988,3.0,125,16,74,50,1,0,125,0,0,,0,,75,455,224,0,0,0,2,0,74,0
Kauan Toledo,BRA,"DF,MF",Botafogo (RJ),18,2006,0.1,10,0,2,5,4,0,10,4,3,75.0,0,0.0,9,101,66,3,1,0,0,1,9,2
Rafael Tolói,ITA,DF,São Paulo,34,1990,5.5,358,37,191,152,15,2,358,1,0,0.0,1,100.0,181,683,355,4,1,0,2,1,233,1
Félix Torres Caicedo,ECU,DF,Corinthians,28,1997,7.2,546,60,249,274,25,3,546,5,3,60.0,2,40.0,327,1233,559,3,1,0,9,3,397,2
Facundo Torres,URU,"FW,MF",Palmeiras,24,2000,18.5,897,19,121,393,390,59,897,42,13,31.0,19,45.2,563,2804,1374,31,32,5,35,16,667,133
Bruno Tubarão,BRA,"FW,DF",Ceará,29,1995,1.1,66,1,10,27,29,4,66,2,0,0.0,2,100.0,31,207,103,6,0,1,5,2,45,9
Enner Valencia,ECU,FW,Internacional,35,1989,7.0,206,5,12,91,106,27,206,22,6,27.3,13,59.1,124,719,246,14,7,9,22,13,150,38
Vanderlan,BRA,DF,Palmeiras,22,2002,2.2,111,5,47,49,16,0,111,7,2,28.6,4,57.1,38,160,49,2,3,0,5,2,53,7
