Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Abner,BRA,DF,Juventude,20,2004,14.6,3,0,0,16,5,1,0,18,11,0,0,0,36,32,8,80.0
Nicolás Acevedo,URU,MF,Bahia,25,1999,18.8,6,0,0,44,28,0,10,31,40,0,0,0,117,20,17,54.1
Luciano Acosta,ARG,MF,Fluminense,30,1994,13.3,5,0,0,27,25,2,37,0,14,0,0,0,55,7,11,38.9
Adriel,BRA,MF,Sport Recife,18,2006,1.6,1,0,0,7,0,0,0,1,3,0,0,0,4,4,0,100.0
Adson,BRA,"FW,MF",Vasco da Gama,24,2000,2.3,0,0,0,2,3,0,7,0,4,0,0,0,7,1,4,20.0
Braian Aguirre,ARG,DF,Internacional,24,2000,26.5,4,0,0,44,6,3,79,31,43,2,0,0,102,13,31,29.5
Carlos Alberto,BRA,"FW,MF",Sport Recife,22,2002,3.7,1,0,0,7,0,1,5,9,3,0,0,0,13,5,10,33.3
Yuri Alberto,BRA,FW,Corinthians,23,2001,22.3,3,0,0,23,44,12,4,4,7,1,0,0,44,29,40,42.0
José Aldo,BRA,MF,Mirassol,26,1998,15.2,6,0,0,33,16,1,9,27,24,0,0,0,84,15,14,51.7
Alesson,BRA,FW,Mirassol,25,1999,16.2,1,0,0,30,22,13,46,6,13,0,0,0,76,15,20,42.9
Caio Alexandre,BRA,MF,Bahia,25,1999,14.5,4,0,0,32,30,0,14,10,15,0,0,0,73,4,8,33.3
Matheus Alexandre,BRA,DF,Sport Recife,25,1999,19.8,9,1,1,29,14,0,47,33,33,1,1,0,78,30,16,65.2
Alexsander,BRA,MF,Atlético Mineiro,21,2003,9.2,3,0,0,19,18,0,4,13,23,0,0,0,46,3,4,42.9
Alisson,BRA,MF,São Paulo,31,1993,21.8,6,0,0,20,33,2,29,13,20,0,0,0,99,14,26,35.0
Allan,BRA,"MF,FW",Palmeiras,20,2004,10.2,0,1,0,14,12,1,17,8,18,0,0,0,46,13,19,40.6
Allan,BRA,MF,Botafogo (RJ),34,1991,10.7,8,0,0,28,11,0,8,5,17,0,0,0,48,2,7,22.2
Allan,BRA,MF,Flamengo,27,1997,7.6,2,0,0,18,7,0,0,9,4,0,0,0,32,3,5,37.5
Allanzinho,BRA,"MF,FW",Fortaleza,24,2000,3.2,1,0,0,6,11,1,15,2,2,1,0,0,14,5,6,45.5
Júnior Alonso,PAR,DF,Atlético Mineiro,31,1993,29.0,6,2,0,23,11,0,11,32,18,0,0,1,111,62,42,59.6
Dyogo Alves,BRA,GK,Flamengo,21,2004,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Matheus Alves,BRA,"MF,FW",São Paulo,19,2005,4.1,3,0,0,9,6,1,4,3,4,0,0,0,17,3,3,50.0
Francis Amuzu,BEL,"FW,MF",Grêmio,25,1999,12.7,4,0,0,11,23,3,39,0,8,0,0,0,42,2,10,16.7
Felipe Anderson,BRA,"MF,FW",Palmeiras,31,1993,19.7,0,0,0,13,18,2,34,18,33,0,0,0,124,9,12,42.9
Kervin Andrade,VEN,"FW,MF",Fortaleza,19,2005,1.8,3,0,0,6,4,1,10,1,4,0,0,0,9,0,2,0.0
André,BRA,MF,Corinthians,18,2006,3.5,0,0,0,8,9,0,1,1,8,0,0,0,19,5,2,71.4
