Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Jhon Arias,COL,FW,Fluminense,27,1997,12.0,13,10,3,3,7,7,16,43.8,9,17,0,17,4,17,2,0
Santiago Arias,COL,DF,Bahia,33,1992,15.8,20,15,10,8,2,10,20,50.0,10,10,6,4,18,38,50,2
Keny Arroyo,ECU,FW,Cruzeiro,18,2006,7.2,7,6,2,4,1,5,10,50.0,5,6,1,5,4,11,7,0
Arthur,BRA,FW,Sport Recife,21,2003,2.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,1
Artur,BRA,"FW,MF",Botafogo (RJ),26,1998,21.3,15,12,4,7,4,9,25,36.0,16,16,0,16,11,26,11,0
Rodrigo Atencio,ARG,"MF,FW",Sport Recife,22,2002,6.0,8,3,5,2,1,5,12,41.7,7,2,0,2,4,12,3,1
Loide Augusto,ANG,"FW,MF",Vasco da Gama,24,2000,2.1,2,2,1,1,0,0,0,,0,2,0,2,1,3,1,0
Leo Augusto Pereira,BRA,"FW,MF",Vitória,24,2000,1.8,3,3,0,3,0,1,3,33.3,2,0,0,0,1,4,0,0
Leo Augusto Pereira,BRA,"FW,MF",Sport Recife,24,2000,12.3,17,10,6,8,3,8,17,47.1,9,8,0,8,3,20,10,0
Renato Augusto,BRA,"MF,FW",Fluminense,36,1988,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Gastón Ávila,ARG,DF,Fortaleza,23,2001,25.8,62,42,37,22,3,44,72,61.1,28,32,25,7,25,87,120,1
Aylon,BRA,"FW,MF",Ceará,32,1992,8.8,17,10,5,11,1,10,21,47.6,11,15,2,13,2,19,8,0
Matheus Babi,BRA,FW,Juventude,27,1997,5.3,7,3,1,5,1,0,4,0.0,4,5,0,5,1,8,8,0
Bahia,BRA,MF,Corinthians,19,2006,0.5,3,2,1,2,0,2,2,100.0,0,2,0,2,2,5,1,0
Gabriel Bahia,BRA,DF,Botafogo (RJ),26,1998,2.6,4,2,2,2,0,4,4,100.0,0,2,2,0,2,6,16,1
Matheus Bahia,BRA,DF,Ceará,25,1999,27.4,46,27,33,9,4,22,41,53.7,19,22,7,15,21,67,86,0
Fabián Balbuena,PAR,DF,Grêmio,33,1991,2.5,3,2,3,0,0,1,3,33.3,2,0,0,0,4,7,24,0
Gabriel Baralhas,BRA,MF,Vitória,26,1998,25.3,54,39,20,28,6,25,53,47.2,28,44,11,33,36,90,51,0
Danilo Barbosa,BRA,"DF,MF",Botafogo (RJ),28,1996,0.4,1,1,1,0,0,1,1,100.0,0,1,1,0,1,2,2,0
Diogo Barbosa,BRA,DF,Fortaleza,32,1992,13.8,31,18,19,11,1,22,38,57.9,16,13,2,11,11,42,61,0
Gabriel Barbosa,BRA,"FW,MF",Cruzeiro,28,1996,12.0,7,2,3,2,2,1,5,20.0,4,8,0,8,0,7,1,0
Lucas Barbosa,BRA,"FW,MF",RB Bragantino,23,2001,25.9,48,30,20,17,11,18,43,41.9,25,52,7,45,19,67,56,0
Alexander Barboza,ARG,DF,Botafogo (RJ),29,1995,23.9,46,37,38,7,1,32,45,71.1,13,32,15,17,22,68,166,2
Adam Bareiro,PAR,FW,Fortaleza,28,1996,9.8,11,8,3,6,2,5,10,50.0,5,5,2,3,0,11,12,0
Chrystian Barletta,BRA,"FW,MF",Sport Recife,23,2001,16.7,15,6,1,9,5,7,21,33.3,14,16,1,15,11,26,11,0
Álvaro Barreal,ARG,"FW,MF",Santos,24,2000,24.9,44,22,13,23,8,25,69,36.2,44,53,9,44,24,68,31,1
Jordan Barrera,COL,"FW,MF",Botafogo (RJ),18,2006,3.4,4,2,3,1,0,2,3,66.7,1,0,0,0,0,4,2,0
Cauan Barros,BRA,MF,Vasco da Gama,20,2004,14.9,30,21,10,17,3,14,30,46.7,16,22,11,11,21,51,54,1
Enmerson Batalla,COL,"FW,MF",Juventude,23,2001,14.6,22,16,7,11,4,8,20,40.0,12,8,2,6,2,24,6,1
Paulo Baya,BRA,FW,Ceará,25,1999,4.8,4,2,2,1,1,3,8,37.5,5,4,0,4,0,4,2,1
Paulo Baya,BRA,"MF,FW",Fluminense,25,1999,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,1
José Luis Rodríguez Bebanz,URU,DF,Vasco da Gama,27,1997,16.1,21,10,10,7,4,14,20,70.0,6,17,8,9,12,33,55,0
