Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 24_level_0_Matches
1,Abner,br BRA,DF,Juventude,20,2004,14.6,3,0,0,16,5,1,0,18,11,0,0,0,36,32,8,80.0,Matches
2,Nicolás Acevedo,uy URU,MF,Bahia,25,1999,18.8,6,0,0,44,28,0,10,31,40,0,0,0,117,20,17,54.1,Matches
3,Luciano Acosta,ar ARG,MF,Fluminense,30,1994,13.3,5,0,0,27,25,2,37,0,14,0,0,0,55,7,11,38.9,Matches
4,Adriel,br BRA,MF,Sport Recife,18,2006,1.6,1,0,0,7,0,0,0,1,3,0,0,0,4,4,0,100.0,Matches
5,Adson,br BRA,"FW,MF",Vasco da Gama,24,2000,2.3,0,0,0,2,3,0,7,0,4,0,0,0,7,1,4,20.0,Matches
6,Braian Aguirre,ar ARG,DF,Internacional,24,2000,26.5,4,0,0,44,6,3,79,31,43,2,0,0,102,13,31,29.5,Matches
7,Carlos Alberto,br BRA,"FW,MF",Sport Recife,22,2002,3.7,1,0,0,7,0,1,5,9,3,0,0,0,13,5,10,33.3,Matches
8,Yuri Alberto,br BRA,FW,Corinthians,23,2001,22.3,3,0,0,23,44,12,4,4,7,1,0,0,44,29,40,42.0,Matches
9,José Aldo,br BRA,MF,Mirassol,26,1998,15.2,6,0,0,33,16,1,9,27,24,0,0,0,84,15,14,51.7,Matches
10,Alesson,br BRA,FW,Mirassol,25,1999,16.2,1,0,0,30,22,13,46,6,13,0,0,0,76,15,20,42.9,Matches
